epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.2532420464051075,2.180650448226929,22.56,70.88
1,2.182110852461595,2.0748351444244384,25.34,77.72
2,2.0776596821271456,1.9582708591461182,29.63,80.35
3,2.0003082058368586,1.8696028774261475,31.68,84.03
4,1.9540619489474174,1.8744224626541137,29.6,83.02
5,1.9417061854631472,1.8590684177398682,30.55,83.4
6,1.9387124131887388,1.8571174770355225,30.81,84.21
7,1.933667167639121,1.855402714920044,30.97,84.21
8,1.9335579682619144,1.8577341613769531,31.21,84.12
9,1.9307159319902079,1.8505117879867554,31.33,84.41
10,1.9325336853663126,1.8530825109481812,31.53,84.22
11,1.9280450105667115,1.854761204147339,31.52,84.15
12,1.9313965146358196,1.8619015142440796,31.28,84.18
13,1.9396145667785254,1.869247439956665,30.58,83.73
14,1.9346578371830476,1.8555005262374877,30.91,84.1
15,1.926442161278847,1.8542016429901123,31.43,84.35
16,1.9222256556535378,1.8535092662811279,31.53,84.58
17,1.9206636389096579,1.8511791967391968,31.59,84.32
