epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.40135320516733,2.356783991241455,12.59,49.39
1,2.1110490230413586,1.9345693523406982,29.32,80.71
2,1.8374223947525024,1.6818150533676148,36.17,88.38
3,1.7265310250795805,1.6465943344116212,37.93,89.13
4,1.6392970595604335,1.5038039178848266,45.24,91.88
5,1.5558936366668115,1.4282432565689087,48.29,92.82
6,1.5060648924265152,1.3970284574508667,48.35,92.97
7,1.4620568339641278,1.3464948699951171,51.21,94.03
8,1.4356692760418623,1.4027378896713256,48.36,93.46
9,1.4094836956415422,1.319462914466858,51.61,94.35
10,1.3845604734543042,1.2934979804992677,53.94,94.72
11,1.3657780570861622,1.2601397216796875,55.11,94.67
12,1.3469606362856352,1.2748410879135132,53.65,94.52
13,1.3327580999105404,1.2102828233718872,56.63,95.37
14,1.3159462289932446,1.2506357059478759,53.73,94.92
15,1.3018989205360412,1.2036618635177612,57.4,95.37
16,1.2843972358948146,1.1976985307693482,56.35,95.52
17,1.2689509546145414,1.2599076627731323,54.58,94.9
18,1.2612541365317809,1.1638986124038697,58.14,95.64
19,1.247929515899756,1.14580831489563,59.17,95.72
20,1.2406496754059424,1.1543086854934692,58.41,96.04
21,1.2240457803775102,1.1481082077026368,59.76,95.65
22,1.2184413660795261,1.1713838605880738,58.3,95.63
23,1.2080766282020472,1.1220759840011596,59.58,96.2
24,1.1977001312451485,1.103059866142273,60.92,96.27
25,1.1906361835125165,1.114397614479065,60.6,96.07
26,1.1840541106003981,1.1455777410507202,58.79,95.73
27,1.1775164717283004,1.104774635887146,60.45,96.14
28,1.1711364753735372,1.0845267105102538,61.06,96.75
29,1.1600950702642783,1.0715588619232177,62.22,96.47
30,1.1561637120369153,1.0703960346221923,62.23,96.47
31,1.147658280378733,1.0891065908432007,61.36,96.27
32,1.145238222831335,1.0724865009307862,62.01,96.45
33,1.1286663347329848,1.0610253118515014,62.4,96.63
34,1.1307539699933469,1.0478615478515625,63.23,96.69
35,1.120936922996472,1.0659751435279847,62.26,96.61
36,1.1206007662491921,1.0404799926757813,63.15,96.62
37,1.1136653252137012,1.0398636892318727,63.27,96.6
38,1.1102486216104948,1.0319222778320312,63.33,96.72
39,1.1046821754712326,1.0301001770973206,63.51,96.72
40,1.1041319133379521,1.0354280741691588,63.08,96.87
41,1.0972759417998486,1.0198710812568665,64.25,96.83
42,1.092791842802977,1.0320236733436585,63.29,96.89
43,1.0904187152018914,1.0195624947547912,63.88,96.88
44,1.0902803289584624,1.0281482340812682,63.55,96.61
45,1.090651802986096,1.0203155847549439,64.22,96.81
46,1.0831459506964072,1.0179757967948913,64.23,96.96
