condition,step,erank_A,erank_B,erank_AB,erank_C
no_noise,2,31.8222,31.8278,31.6388,543.175
no_noise,12,31.8239,31.8301,31.6447,543.175
no_noise,22,31.8211,31.8299,31.6382,543.175
no_noise,32,31.8209,31.829,31.6353,543.174
no_noise,42,31.8087,31.8281,31.6183,543.174
no_noise,52,31.7957,31.8252,31.5894,543.173
no_noise,62,31.7644,31.8226,31.5232,543.175
no_noise,72,31.7632,31.8266,31.5186,543.175
no_noise,82,31.761,31.8258,31.5088,543.175
no_noise,92,31.7544,31.8224,31.4879,543.178
no_noise,102,31.7565,31.8239,31.5022,543.175
no_noise,112,31.7599,31.8216,31.5026,543.179
no_noise,122,31.76,31.8203,31.4966,543.18
no_noise,132,31.7719,31.8232,31.5227,543.182
no_noise,142,31.7681,31.8149,31.5103,543.185
no_noise,152,31.7568,31.8094,31.4762,543.186
no_noise,162,31.7394,31.807,31.4318,543.19
no_noise,172,31.7164,31.7971,31.3671,543.192
no_noise,182,31.6845,31.7801,31.245,543.188
no_noise,192,31.651,31.7692,31.1586,543.194
no_noise,202,31.6392,31.7548,31.0929,543.195
no_noise,212,31.6258,31.7433,31.0395,543.199
no_noise,222,31.6176,31.7348,31.0185,543.199
no_noise,232,31.6245,31.7303,30.9949,543.199
no_noise,242,31.6315,31.7337,31.0359,543.201
no_noise,252,31.6139,31.7188,30.9681,543.204
no_noise,262,31.5957,31.7067,30.8626,543.204
no_noise,272,31.5902,31.6995,30.833,543.196
no_noise,282,31.6035,31.6979,30.8621,543.196
no_noise,292,31.6142,31.6936,30.8792,543.198
no_noise,302,31.6105,31.6923,30.8546,543.204
no_noise,312,31.6184,31.6929,30.8745,543.203
no_noise,322,31.6142,31.6918,30.8849,543.208
no_noise,332,31.6143,31.6895,30.8874,543.215
no_noise,342,31.6151,31.6918,30.9035,543.213
no_noise,352,31.6028,31.6824,30.8825,543.217
no_noise,362,31.6051,31.6739,30.8769,543.222
no_noise,372,31.6,31.6717,30.8702,543.227
no_noise,382,31.6077,31.6687,30.893,543.223
no_noise,392,31.6067,31.6664,30.8877,543.232
no_noise,402,31.6235,31.6776,30.9608,543.242
no_noise,412,31.628,31.6861,30.9868,543.251
no_noise,422,31.6371,31.6798,30.9707,543.248
no_noise,432,31.6405,31.6728,30.9657,543.254
no_noise,442,31.6487,31.6736,30.9719,543.259
no_noise,452,31.636,31.6653,30.9177,543.254
no_noise,462,31.6426,31.6623,30.9037,543.262
no_noise,472,31.6401,31.6646,30.9055,543.267
no_noise,482,31.6433,31.6766,30.9501,543.279
no_noise,492,31.6553,31.6898,30.992,543.285
no_noise,502,31.6598,31.6902,31,543.286
no_noise,512,31.6654,31.6909,31.0039,543.296
no_noise,522,31.6599,31.6904,30.9916,543.301
no_noise,532,31.6701,31.6887,31.0088,543.307
no_noise,542,31.6729,31.6808,31.0002,543.315
no_noise,552,31.6778,31.6911,31.0217,543.318
no_noise,562,31.687,31.6974,31.0447,543.32
no_noise,572,31.682,31.6968,31.0362,543.322
no_noise,582,31.6837,31.7012,31.0516,543.329
no_noise,592,31.6813,31.6944,31.0261,543.327
no_noise,602,31.6863,31.701,31.0614,543.332
no_noise,612,31.6862,31.6957,31.0702,543.346
no_noise,622,31.6794,31.6952,31.0475,543.35
no_noise,632,31.6762,31.6887,31.0399,543.351
no_noise,642,31.6821,31.6957,31.0603,543.358
no_noise,652,31.6893,31.6963,31.0887,543.366
no_noise,662,31.6924,31.6947,31.0763,543.368
no_noise,672,31.6914,31.6977,31.0799,543.371
no_noise,682,31.6985,31.6973,31.0919,543.38
no_noise,692,31.7082,31.694,31.1093,543.382
no_noise,702,31.7045,31.6896,31.092,543.393
no_noise,712,31.7128,31.6802,31.0969,543.405
no_noise,722,31.7142,31.6798,31.0969,543.416
no_noise,732,31.7102,31.6699,31.0693,543.42
no_noise,742,31.7075,31.6687,31.0663,543.425
no_noise,752,31.7091,31.664,31.0594,543.434
no_noise,762,31.7007,31.6574,31.0287,543.441
no_noise,772,31.7017,31.664,31.0572,543.444
no_noise,782,31.6979,31.6539,31.0503,543.453
no_noise,792,31.6932,31.6598,31.0643,543.459
no_noise,802,31.6942,31.6618,31.0639,543.466
no_noise,812,31.699,31.6607,31.0751,543.47
no_noise,822,31.7041,31.6697,31.0907,543.477
no_noise,832,31.7089,31.6749,31.1153,543.486
no_noise,842,31.709,31.6794,31.111,543.486
no_noise,852,31.6992,31.6758,31.093,543.494
no_noise,862,31.6974,31.6679,31.0692,543.489
no_noise,872,31.6995,31.6693,31.0802,543.498
no_noise,882,31.6999,31.6694,31.0731,543.505
no_noise,892,31.7092,31.6657,31.0836,543.504
no_noise,902,31.715,31.6715,31.1047,543.51
no_noise,912,31.7196,31.6676,31.1085,543.516
no_noise,922,31.7115,31.6707,31.0939,543.519
