condition,step,erank_A,erank_B,erank_AB,erank_C
no_noise,2,31.8352,31.8148,31.6759,599.262
no_noise,12,31.8363,31.8138,31.6656,599.264
no_noise,22,31.7937,31.807,31.5608,599.263
no_noise,32,31.5334,31.757,30.8755,599.263
no_noise,42,30.7826,31.5711,28.2069,599.264
no_noise,52,29.562,31.1048,22.8251,599.262
no_noise,62,28.9955,30.8422,20.3492,599.263
no_noise,72,28.7539,30.669,19.2043,599.265
no_noise,82,28.906,30.6632,19.7271,599.265
no_noise,92,28.926,30.6487,19.9534,599.265
no_noise,102,28.7978,30.6265,19.8695,599.267
no_noise,112,28.7407,30.577,19.7869,599.266
no_noise,122,28.7972,30.5224,19.8597,599.264
no_noise,132,28.8227,30.5025,19.8757,599.269
no_noise,142,29.0375,30.5605,20.7687,599.266
no_noise,152,29.0675,30.5564,21.0346,599.27
no_noise,162,29.3181,30.5539,21.7965,599.269
no_noise,172,29.422,30.5917,22.1074,599.267
no_noise,182,29.5191,30.5219,22.1543,599.267
no_noise,192,29.4886,30.4791,21.9027,599.27
no_noise,202,29.7035,30.5414,22.8007,599.271
no_noise,212,29.7454,30.5504,22.9692,599.275
no_noise,222,29.7775,30.5119,23.0056,599.278
no_noise,232,29.805,30.5157,23.1502,599.281
no_noise,242,29.782,30.4504,23.1516,599.281
no_noise,252,29.8799,30.5045,23.5018,599.281
no_noise,262,29.9279,30.4887,23.5924,599.281
no_noise,272,30.0121,30.5363,23.936,599.283
no_noise,282,30.0854,30.5465,24.2526,599.287
no_noise,292,30.1151,30.5481,24.3234,599.293
no_noise,302,30.0854,30.5561,24.2913,599.297
no_noise,312,30.152,30.5367,24.4109,599.3
no_noise,322,30.1831,30.5504,24.5707,599.297
no_noise,332,30.2514,30.5818,24.9003,599.3
no_noise,342,30.2397,30.579,24.8805,599.3
no_noise,352,30.2408,30.5934,25.0067,599.293
no_noise,362,30.1991,30.6028,25.0067,599.3
no_noise,372,30.2213,30.61,25.1553,599.3
no_noise,382,30.2433,30.6112,25.2686,599.298
no_noise,392,30.2021,30.5975,25.1707,599.303
no_noise,402,30.1928,30.5742,25.1093,599.304
no_noise,412,30.2242,30.6025,25.3385,599.303
no_noise,422,30.2401,30.6222,25.3979,599.297
no_noise,432,30.2328,30.6372,25.4914,599.296
no_noise,442,30.2905,30.6161,25.5903,599.304
no_noise,452,30.3276,30.6312,25.7533,599.303
no_noise,462,30.3764,30.6333,25.8383,599.303
no_noise,472,30.3861,30.6802,26.0197,599.297
