condition,epoch,eval_f1,train_loss
no_noise,1,79.5790,1.96858
no_noise,2,81.2841,1.39215
no_noise,3,82.7031,1.28867
no_noise,4,83.2846,1.22239
no_noise,5,83.4827,1.17607
a_only,1,80.2299,1.93507
a_only,2,82.1695,1.34456
a_only,3,83.2815,1.24362
a_only,4,31.6177,1.28616
a_only,5,5.5649,5.7426
b_only,1,80.2607,1.94829
b_only,2,82.4657,1.34783
b_only,3,83.6923,1.23496
b_only,4,84.1128,1.16023
b_only,5,84.6157,1.10596
both,1,77.8655,1.95812
both,2,72.5886,1.69038
both,3,59.6285,2.35322
both,4,43.9907,3.21821
both,5,39.0296,3.63954
