condition,step,quantity,bin_idx,bin_low,bin_high,bin_center,count
no_noise,1,A,0,-0.0434661,-0.0418668,-0.0426664,2
no_noise,1,A,1,-0.0418668,-0.0402675,-0.0410672,0
no_noise,1,A,2,-0.0402675,-0.0386683,-0.0394679,2
no_noise,1,A,3,-0.0386683,-0.037069,-0.0378686,0
no_noise,1,A,4,-0.037069,-0.0354697,-0.0362693,3
no_noise,1,A,5,-0.0354697,-0.0338704,-0.0346701,3
no_noise,1,A,6,-0.0338704,-0.0322712,-0.0330708,8
no_noise,1,A,7,-0.0322712,-0.0306719,-0.0314715,6
no_noise,1,A,8,-0.0306719,-0.0290726,-0.0298723,19
no_noise,1,A,9,-0.0290726,-0.0274734,-0.028273,26
no_noise,1,A,10,-0.0274734,-0.0258741,-0.0266737,54
no_noise,1,A,11,-0.0258741,-0.0242748,-0.0250745,70
no_noise,1,A,12,-0.0242748,-0.0226756,-0.0234752,94
no_noise,1,A,13,-0.0226756,-0.0210763,-0.0218759,148
no_noise,1,A,14,-0.0210763,-0.019477,-0.0202767,212
no_noise,1,A,15,-0.019477,-0.0178778,-0.0186774,258
no_noise,1,A,16,-0.0178778,-0.0162785,-0.0170781,363
no_noise,1,A,17,-0.0162785,-0.0146792,-0.0154789,469
no_noise,1,A,18,-0.0146792,-0.01308,-0.0138796,622
no_noise,1,A,19,-0.01308,-0.0114807,-0.0122803,707
no_noise,1,A,20,-0.0114807,-0.00988142,-0.0106811,884
no_noise,1,A,21,-0.00988142,-0.00828215,-0.00908179,1072
no_noise,1,A,22,-0.00828215,-0.00668288,-0.00748252,1119
no_noise,1,A,23,-0.00668288,-0.00508362,-0.00588325,1324
no_noise,1,A,24,-0.00508362,-0.00348435,-0.00428398,1397
no_noise,1,A,25,-0.00348435,-0.00188508,-0.00268471,1575
no_noise,1,A,26,-0.00188508,-0.000285811,-0.00108545,1537
no_noise,1,A,27,-0.000285811,0.00131346,0.000513823,1645
no_noise,1,A,28,0.00131346,0.00291273,0.00211309,1521
no_noise,1,A,29,0.00291273,0.00451199,0.00371236,1460
no_noise,1,A,30,0.00451199,0.00611126,0.00531163,1357
no_noise,1,A,31,0.00611126,0.00771053,0.0069109,1199
no_noise,1,A,32,0.00771053,0.0093098,0.00851017,1163
no_noise,1,A,33,0.0093098,0.0109091,0.0101094,946
no_noise,1,A,34,0.0109091,0.0125083,0.0117087,777
no_noise,1,A,35,0.0125083,0.0141076,0.013308,624
no_noise,1,A,36,0.0141076,0.0157069,0.0149072,506
no_noise,1,A,37,0.0157069,0.0173061,0.0165065,396
no_noise,1,A,38,0.0173061,0.0189054,0.0181058,300
no_noise,1,A,39,0.0189054,0.0205047,0.019705,231
no_noise,1,A,40,0.0205047,0.0221039,0.0213043,161
no_noise,1,A,41,0.0221039,0.0237032,0.0229036,112
no_noise,1,A,42,0.0237032,0.0253025,0.0245028,74
no_noise,1,A,43,0.0253025,0.0269018,0.0261021,47
no_noise,1,A,44,0.0269018,0.028501,0.0277014,36
no_noise,1,A,45,0.028501,0.0301003,0.0293007,18
no_noise,1,A,46,0.0301003,0.0316996,0.0308999,15
no_noise,1,A,47,0.0316996,0.0332988,0.0324992,3
no_noise,1,A,48,0.0332988,0.0348981,0.0340985,7
no_noise,1,A,49,0.0348981,0.0364974,0.0356977,4
no_noise,1,B,0,-0.0360828,-0.0346395,-0.0353612,490
no_noise,1,B,1,-0.0346395,-0.0331962,-0.0339179,493
no_noise,1,B,2,-0.0331962,-0.031753,-0.0324746,469
no_noise,1,B,3,-0.031753,-0.0303097,-0.0310313,501
no_noise,1,B,4,-0.0303097,-0.0288664,-0.029588,463
no_noise,1,B,5,-0.0288664,-0.0274231,-0.0281448,483
no_noise,1,B,6,-0.0274231,-0.0259798,-0.0267015,511
no_noise,1,B,7,-0.0259798,-0.0245366,-0.0252582,481
no_noise,1,B,8,-0.0245366,-0.0230933,-0.0238149,473
no_noise,1,B,9,-0.0230933,-0.02165,-0.0223716,485
