condition,step,quantity,bin_idx,bin_low,bin_high,bin_center,count
no_noise,1,A,0,-0.0401727,-0.0385598,-0.0393662,1
no_noise,1,A,1,-0.0385598,-0.036947,-0.0377534,2
no_noise,1,A,2,-0.036947,-0.0353342,-0.0361406,1
no_noise,1,A,3,-0.0353342,-0.0337214,-0.0345278,3
no_noise,1,A,4,-0.0337214,-0.0321085,-0.0329149,7
no_noise,1,A,5,-0.0321085,-0.0304957,-0.0313021,8
no_noise,1,A,6,-0.0304957,-0.0288829,-0.0296893,16
no_noise,1,A,7,-0.0288829,-0.02727,-0.0280765,30
no_noise,1,A,8,-0.02727,-0.0256572,-0.0264636,43
no_noise,1,A,9,-0.0256572,-0.0240444,-0.0248508,75
no_noise,1,A,10,-0.0240444,-0.0224316,-0.023238,108
no_noise,1,A,11,-0.0224316,-0.0208187,-0.0216251,167
no_noise,1,A,12,-0.0208187,-0.0192059,-0.0200123,217
no_noise,1,A,13,-0.0192059,-0.0175931,-0.0183995,284
no_noise,1,A,14,-0.0175931,-0.0159802,-0.0167867,387
no_noise,1,A,15,-0.0159802,-0.0143674,-0.0151738,509
no_noise,1,A,16,-0.0143674,-0.0127546,-0.013561,680
no_noise,1,A,17,-0.0127546,-0.0111418,-0.0119482,799
no_noise,1,A,18,-0.0111418,-0.00952893,-0.0103353,946
no_noise,1,A,19,-0.00952893,-0.00791611,-0.00872252,1076
no_noise,1,A,20,-0.00791611,-0.00630328,-0.00710969,1221
no_noise,1,A,21,-0.00630328,-0.00469045,-0.00549686,1343
no_noise,1,A,22,-0.00469045,-0.00307762,-0.00388404,1392
no_noise,1,A,23,-0.00307762,-0.00146479,-0.00227121,1512
no_noise,1,A,24,-0.00146479,0.000148034,-0.00065838,1581
no_noise,1,A,25,0.000148034,0.00176086,0.000954448,1536
no_noise,1,A,26,0.00176086,0.00337369,0.00256728,1536
no_noise,1,A,27,0.00337369,0.00498652,0.0041801,1443
no_noise,1,A,28,0.00498652,0.00659935,0.00579293,1390
no_noise,1,A,29,0.00659935,0.00821217,0.00740576,1191
