layer_name,shape,num_params,min,max,mean,std,abs_mean,abs_max,pct_gt_1,pct_gt_5,pct_gt_10,model
bert.embeddings.word_embeddings.weight,"torch.Size([30522, 768])",23440896,-0.95036876,0.8728918,-0.028024513,0.04266705,0.040824838,0.95036876,0.0,0.0,0.0,BERT-base
bert.embeddings.position_embeddings.weight,"torch.Size([512, 768])",393216,-0.94872916,0.72689223,-3.8739825e-05,0.016068805,0.011634388,0.94872916,0.0,0.0,0.0,BERT-base
bert.embeddings.token_type_embeddings.weight,"torch.Size([2, 768])",1536,-0.6951669,0.29730737,-0.00091922964,0.0335437,0.008718404,0.6951669,0.0,0.0,0.0,BERT-base
bert.embeddings.LayerNorm.weight,torch.Size([768]),768,0.08930355,0.98305887,0.8493085,0.13390099,0.8493085,0.98305887,0.0,0.0,0.0,BERT-base
bert.embeddings.LayerNorm.bias,torch.Size([768]),768,-0.5555246,0.8020752,-0.019596022,0.0692509,0.040932287,0.8020752,0.0,0.0,0.0,BERT-base
bert.encoder.layer.0.attention.self.query.weight,"torch.Size([768, 768])",589824,-0.52491736,0.45409948,3.5583795e-05,0.043119404,0.033743247,0.52491736,0.0,0.0,0.0,BERT-base
bert.encoder.layer.0.attention.self.query.bias,torch.Size([768]),768,-1.0507234,0.8619886,0.0063358154,0.2806866,0.21772154,1.0507234,0.13020833333333334,0.0,0.0,BERT-base
bert.encoder.layer.0.attention.self.key.weight,"torch.Size([768, 768])",589824,-0.7098266,0.833463,4.959387e-06,0.042788815,0.033151016,0.833463,0.0,0.0,0.0,BERT-base
bert.encoder.layer.0.attention.self.key.bias,torch.Size([768]),768,-0.0124451,0.010560889,-0.00030759603,0.0031856871,0.0024383294,0.0124451,0.0,0.0,0.0,BERT-base
bert.encoder.layer.0.attention.self.value.weight,"torch.Size([768, 768])",589824,-0.16439176,0.19317074,-3.3003147e-05,0.028810903,0.022685625,0.19317074,0.0,0.0,0.0,BERT-base
bert.encoder.layer.0.attention.self.value.bias,torch.Size([768]),768,-0.17886831,0.25031704,0.0018207309,0.04068954,0.026219832,0.25031704,0.0,0.0,0.0,BERT-base
bert.encoder.layer.0.attention.output.dense.weight,"torch.Size([768, 768])",589824,-0.49465838,0.5869761,-2.0735584e-05,0.028576432,0.021941375,0.5869761,0.0,0.0,0.0,BERT-base
bert.encoder.layer.0.attention.output.dense.bias,torch.Size([768]),768,-0.3073207,0.14768931,-0.001123726,0.03545677,0.024891237,0.3073207,0.0,0.0,0.0,BERT-base
bert.encoder.layer.0.attention.output.LayerNorm.weight,torch.Size([768]),768,0.7153004,2.9968393,0.95848054,0.08341577,0.95848054,2.9968393,4.036458333333333,0.0,0.0,BERT-base
bert.encoder.layer.0.attention.output.LayerNorm.bias,torch.Size([768]),768,-4.2050343,0.8336061,-0.018173277,0.32897252,0.19969948,4.2050343,1.171875,0.0,0.0,BERT-base
bert.encoder.layer.0.intermediate.dense.weight,"torch.Size([3072, 768])",2359296,-0.29784212,0.32221562,-3.0438814e-05,0.03742156,0.029612865,0.32221562,0.0,0.0,0.0,BERT-base
bert.encoder.layer.0.intermediate.dense.bias,torch.Size([3072]),3072,-0.35148737,0.40574893,-0.10811424,0.04938253,0.11298295,0.40574893,0.0,0.0,0.0,BERT-base
bert.encoder.layer.0.output.dense.weight,"torch.Size([768, 3072])",2359296,-1.679095,0.7699132,-8.50341e-05,0.035847377,0.02790053,1.679095,8.477105034722222e-05,0.0,0.0,BERT-base
bert.encoder.layer.0.output.dense.bias,torch.Size([768]),768,-0.5255518,0.33932135,-0.0020538445,0.08016905,0.057816368,0.5255518,0.0,0.0,0.0,BERT-base
bert.encoder.layer.0.output.LayerNorm.weight,torch.Size([768]),768,0.10011039,0.81203336,0.7558718,0.056285094,0.7558718,0.81203336,0.0,0.0,0.0,BERT-base
bert.encoder.layer.0.output.LayerNorm.bias,torch.Size([768]),768,-1.3253225,0.41903484,-0.03663818,0.09846807,0.07400045,1.3253225,0.13020833333333334,0.0,0.0,BERT-base
bert.encoder.layer.1.attention.self.query.weight,"torch.Size([768, 768])",589824,-0.38935438,0.30423334,-0.00029593593,0.042532444,0.033478186,0.38935438,0.0,0.0,0.0,BERT-base
bert.encoder.layer.1.attention.self.query.bias,torch.Size([768]),768,-0.8809636,0.88817465,0.01578102,0.18058792,0.11258296,0.88817465,0.0,0.0,0.0,BERT-base
