layer_name,shape,num_params,min,max,mean,std,abs_mean,abs_max,pct_gt_1,pct_gt_5,pct_gt_10,model
mobilebert.encoder.layer.2.attention.self.key.bias,torch.Size([128]),128,-15.299581,21.931551,-0.25454155,5.5097485,3.9755316,21.931551,82.8125,25.78125,8.59375,MobileBERT
mobilebert.encoder.layer.4.attention.self.key.bias,torch.Size([128]),128,-13.095663,16.770292,0.6843714,4.7540445,3.6925902,16.770292,89.84375,20.3125,7.03125,MobileBERT
mobilebert.encoder.layer.6.attention.self.key.bias,torch.Size([128]),128,-13.714272,15.419429,-0.13491264,4.044477,2.845695,15.419429,71.875,14.0625,3.90625,MobileBERT
mobilebert.encoder.layer.8.attention.self.key.bias,torch.Size([128]),128,-14.296442,10.377103,-0.1600802,4.147904,3.016138,14.296442,74.21875,20.3125,3.125,MobileBERT
mobilebert.encoder.layer.0.attention.self.key.bias,torch.Size([128]),128,-9.767221,13.909192,0.38820353,3.5703425,2.6315646,13.909192,73.4375,15.625,1.5625,MobileBERT
mobilebert.encoder.layer.3.attention.self.key.bias,torch.Size([128]),128,-11.3806925,11.692745,-0.4595334,4.007093,3.1411452,11.692745,82.03125,24.21875,1.5625,MobileBERT
mobilebert.encoder.layer.7.attention.self.key.bias,torch.Size([128]),128,-10.7578,11.215585,0.34573013,2.949346,2.1216002,11.215585,64.0625,10.15625,1.5625,MobileBERT
mobilebert.encoder.layer.1.attention.self.key.bias,torch.Size([128]),128,-11.037981,10.670383,-0.42370805,3.627176,2.7972481,11.037981,74.21875,17.96875,1.5625,MobileBERT
mobilebert.encoder.layer.5.attention.self.key.bias,torch.Size([128]),128,-10.279854,8.874714,0.16368666,3.1248195,2.3615644,10.279854,75.78125,11.71875,1.5625,MobileBERT
mobilebert.encoder.layer.23.intermediate.dense.bias,torch.Size([512]),512,-7.53826,0.5093563,-0.9497355,0.5501008,0.9523525,7.53826,41.2109375,0.390625,0.0,MobileBERT
mobilebert.encoder.layer.11.attention.self.key.bias,torch.Size([128]),128,-7.508896,5.7853627,0.04489918,2.0744433,1.5484557,7.508896,58.59375,2.34375,0.0,MobileBERT
