layer_name,shape,num_params,min,max,mean,std,abs_mean,abs_max,pct_gt_1,pct_gt_5,pct_gt_10,model
mobilebert.embeddings.word_embeddings.weight,"torch.Size([30522, 128])",3906816,-0.7049293,0.7449273,-0.0017788173,0.14724492,0.11708621,0.7449273,0.0,0.0,0.0,MobileBERT
mobilebert.embeddings.position_embeddings.weight,"torch.Size([512, 512])",262144,-1.32192,2.8475378,-0.00032627746,0.120717846,0.089791946,2.8475378,0.0057220458984375,0.0,0.0,MobileBERT
mobilebert.embeddings.token_type_embeddings.weight,"torch.Size([2, 512])",1024,-1.1398349,1.0644255,-0.00048706215,0.06275962,0.031652905,1.1398349,0.1953125,0.0,0.0,MobileBERT
mobilebert.embeddings.embedding_transformation.weight,"torch.Size([512, 384])",196608,-1.2382205,1.0931444,-0.0003800035,0.16319501,0.11083289,1.2382205,0.010172526041666666,0.0,0.0,MobileBERT
mobilebert.embeddings.embedding_transformation.bias,torch.Size([512]),512,-0.1815863,3.9257393,0.0057784803,0.18288548,0.052654356,3.9257393,0.1953125,0.0,0.0,MobileBERT
mobilebert.embeddings.LayerNorm.bias,torch.Size([512]),512,-0.80849195,0.15760732,-0.0003033363,0.06347477,0.032977946,0.80849195,0.0,0.0,0.0,MobileBERT
mobilebert.embeddings.LayerNorm.weight,torch.Size([512]),512,0.23172231,3.7331717,1.1700543,0.65315527,1.1700543,3.7331717,49.0234375,0.0,0.0,MobileBERT
mobilebert.encoder.layer.0.attention.self.query.weight,"torch.Size([128, 128])",16384,-0.6950355,0.9048804,0.0016505042,0.15588696,0.1179194,0.9048804,0.0,0.0,0.0,MobileBERT
mobilebert.encoder.layer.0.attention.self.query.bias,torch.Size([128]),128,-1.6363145,2.370419,0.040589385,0.541932,0.37895963,2.370419,7.8125,0.0,0.0,MobileBERT
mobilebert.encoder.layer.0.attention.self.key.weight,"torch.Size([128, 128])",16384,-0.87937343,0.6786807,0.0006461332,0.13745862,0.104429364,0.87937343,0.0,0.0,0.0,MobileBERT
mobilebert.encoder.layer.0.attention.self.key.bias,torch.Size([128]),128,-9.767221,13.909192,0.38820353,3.5703425,2.6315646,13.909192,73.4375,15.625,1.5625,MobileBERT
mobilebert.encoder.layer.0.attention.self.value.weight,"torch.Size([128, 512])",65536,-0.88538134,0.7817225,0.00022350224,0.13665105,0.10706474,0.88538134,0.0,0.0,0.0,MobileBERT
mobilebert.encoder.layer.0.attention.self.value.bias,torch.Size([128]),128,-0.55872005,0.70977604,0.004076166,0.20549297,0.14642972,0.70977604,0.0,0.0,0.0,MobileBERT
mobilebert.encoder.layer.0.attention.output.dense.weight,"torch.Size([128, 128])",16384,-0.6254419,0.6522242,0.0002341519,0.1298395,0.10135423,0.6522242,0.0,0.0,0.0,MobileBERT
mobilebert.encoder.layer.0.attention.output.dense.bias,torch.Size([128]),128,-1.785827,2.107615,-0.016325604,0.42934278,0.25020063,2.107615,5.46875,0.0,0.0,MobileBERT
mobilebert.encoder.layer.0.attention.output.LayerNorm.bias,torch.Size([128]),128,-1.9086078,2.1706378,-0.02200465,0.45689112,0.27163064,2.1706378,6.25,0.0,0.0,MobileBERT
mobilebert.encoder.layer.0.attention.output.LayerNorm.weight,torch.Size([128]),128,0.39651677,1.3195778,0.52384025,0.14107619,0.52384025,1.3195778,3.90625,0.0,0.0,MobileBERT
mobilebert.encoder.layer.0.intermediate.dense.weight,"torch.Size([512, 128])",65536,-0.68936753,0.75833493,-0.00270952,0.13640644,0.10500469,0.75833493,0.0,0.0,0.0,MobileBERT
mobilebert.encoder.layer.0.intermediate.dense.bias,torch.Size([512]),512,-3.248122,0.6242845,-0.74744594,0.35897157,0.7516103,3.248122,19.921875,0.0,0.0,MobileBERT
mobilebert.encoder.layer.0.output.dense.weight,"torch.Size([128, 512])",65536,-0.74068654,0.73257303,0.0008474705,0.12895203,0.0983269,0.74068654,0.0,0.0,0.0,MobileBERT
mobilebert.encoder.layer.0.output.dense.bias,torch.Size([128]),128,-0.65950567,0.21206093,-0.01087204,0.11287147,0.075823896,0.65950567,0.0,0.0,0.0,MobileBERT
mobilebert.encoder.layer.0.output.LayerNorm.bias,torch.Size([128]),128,-0.3545095,0.07144213,-0.005925105,0.042955685,0.020764232,0.3545095,0.0,0.0,0.0,MobileBERT
mobilebert.encoder.layer.0.output.LayerNorm.weight,torch.Size([128]),128,0.20942171,0.34293208,0.30455345,0.019058453,0.30455345,0.34293208,0.0,0.0,0.0,MobileBERT
mobilebert.encoder.layer.0.output.bottleneck.dense.weight,"torch.Size([512, 128])",65536,-1.0573987,1.6250273,-0.00064574135,0.14380552,0.110059336,1.6250273,0.00457763671875,0.0,0.0,MobileBERT
mobilebert.encoder.layer.0.output.bottleneck.dense.bias,torch.Size([512]),512,-0.09002806,0.09597949,0.0008422814,0.02254108,0.017605029,0.09597949,0.0,0.0,0.0,MobileBERT
mobilebert.encoder.layer.0.output.bottleneck.LayerNorm.bias,torch.Size([512]),512,-0.24140461,0.07329264,0.000730937,0.023736013,0.017098367,0.24140461,0.0,0.0,0.0,MobileBERT
mobilebert.encoder.layer.0.output.bottleneck.LayerNorm.weight,torch.Size([512]),512,0.83980376,2.7054806,1.7332501,0.34541327,1.7332501,2.7054806,99.8046875,0.0,0.0,MobileBERT
mobilebert.encoder.layer.0.bottleneck.input.dense.weight,"torch.Size([128, 512])",65536,-1.0335305,0.83330464,-0.0010860632,0.16800806,0.13141826,1.0335305,0.0030517578125,0.0,0.0,MobileBERT
mobilebert.encoder.layer.0.bottleneck.input.dense.bias,torch.Size([128]),128,-1.7433454,2.0585504,-0.014966426,0.4258032,0.250647,2.0585504,3.90625,0.0,0.0,MobileBERT
mobilebert.encoder.layer.0.bottleneck.input.LayerNorm.bias,torch.Size([128]),128,-1.785827,2.107615,-0.016325604,0.42934278,0.25020063,2.107615,5.46875,0.0,0.0,MobileBERT
mobilebert.encoder.layer.0.bottleneck.input.LayerNorm.weight,torch.Size([128]),128,0.34659058,1.8696392,1.401793,0.28140768,1.401793,1.8696392,95.3125,0.0,0.0,MobileBERT
mobilebert.encoder.layer.0.bottleneck.attention.dense.weight,"torch.Size([128, 512])",65536,-1.4182029,1.9878781,-0.00017123412,0.14626677,0.11226403,1.9878781,0.02899169921875,0.0,0.0,MobileBERT
mobilebert.encoder.layer.0.bottleneck.attention.dense.bias,torch.Size([128]),128,-0.24862167,0.3282136,0.00885267,0.10349724,0.08099745,0.3282136,0.0,0.0,0.0,MobileBERT
mobilebert.encoder.layer.0.bottleneck.attention.LayerNorm.bias,torch.Size([128]),128,-0.26053134,0.27153522,0.0011308973,0.06860463,0.046261884,0.27153522,0.0,0.0,0.0,MobileBERT
