c_device,reinit_mode,rank,rank_exp,best_val_acc
idealizedpreset,gauss_a_zero,1,0,96.270
idealizedpreset,gauss_a_zero,4,2,97.020
idealizedpreset,gauss_a_zero,16,4,97.540
idealizedpreset,gauss_a_zero,64,6,97.990
idealizedpreset,gauss_b_zero,1,0,96.140
idealizedpreset,gauss_b_zero,4,2,96.940
idealizedpreset,gauss_b_zero,16,4,97.700
idealizedpreset,gauss_b_zero,64,6,98.000
reramespreset,gauss_a_zero,1,0,92.960
reramespreset,gauss_a_zero,4,2,93.130
reramespreset,gauss_a_zero,16,4,93.070
reramespreset,gauss_a_zero,64,6,93.110
reramespreset,gauss_b_zero,1,0,93.080
reramespreset,gauss_b_zero,4,2,93.090
reramespreset,gauss_b_zero,16,4,93.050
reramespreset,gauss_b_zero,64,6,93.090
ecrampreset,gauss_a_zero,1,0,95.560
ecrampreset,gauss_a_zero,4,2,96.090
ecrampreset,gauss_a_zero,16,4,96.350
ecrampreset,gauss_a_zero,64,6,96.620
ecrampreset,gauss_b_zero,1,0,95.390
ecrampreset,gauss_b_zero,4,2,95.910
ecrampreset,gauss_b_zero,16,4,96.450
ecrampreset,gauss_b_zero,64,6,96.400
