reinit_mode,af_ratio,unr,best_val_acc,n_complete
gauss_a_zero,0,0,97.390,60
gauss_a_zero,0,1,97.360,60
gauss_a_zero,0,3,97.470,60
gauss_a_zero,0,5,97.490,60
gauss_a_zero,0,10,97.330,60
gauss_a_zero,1,0,97.520,60
gauss_a_zero,1,1,97.330,60
gauss_a_zero,1,3,97.330,60
gauss_a_zero,1,5,97.430,60
gauss_a_zero,1,10,97.340,60
gauss_a_zero,2,0,97.410,60
gauss_a_zero,2,1,97.470,60
gauss_a_zero,2,3,97.390,60
gauss_a_zero,2,5,97.410,60
gauss_a_zero,2,10,97.290,60
gauss_a_zero,5,0,97.450,60
gauss_a_zero,5,1,97.330,60
gauss_a_zero,5,3,97.430,60
gauss_a_zero,5,5,97.240,60
gauss_a_zero,5,10,97.240,60
gauss_a_zero,10,0,97.290,60
gauss_a_zero,10,1,97.240,60
gauss_a_zero,10,3,97.340,60
gauss_a_zero,10,5,97.170,60
gauss_a_zero,10,10,97.140,60
gauss_b_zero,0,0,97.480,60
gauss_b_zero,0,1,97.530,60
gauss_b_zero,0,3,97.370,60
gauss_b_zero,0,5,97.340,60
gauss_b_zero,0,10,97.170,60
gauss_b_zero,1,0,97.480,60
gauss_b_zero,1,1,97.380,60
gauss_b_zero,1,3,97.300,60
gauss_b_zero,1,5,97.230,60
gauss_b_zero,1,10,97.260,60
gauss_b_zero,2,0,97.370,60
gauss_b_zero,2,1,97.340,60
gauss_b_zero,2,3,97.310,60
gauss_b_zero,2,5,97.310,60
gauss_b_zero,2,10,97.260,60
gauss_b_zero,5,0,97.290,60
gauss_b_zero,5,1,97.420,60
gauss_b_zero,5,3,97.310,60
gauss_b_zero,5,5,97.310,60
gauss_b_zero,5,10,97.130,60
gauss_b_zero,10,0,97.490,60
gauss_b_zero,10,1,97.230,60
gauss_b_zero,10,3,97.220,60
gauss_b_zero,10,5,97.330,60
gauss_b_zero,10,10,97.250,60
