step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
20,1,5.815578,8.695652e-04,1.630435e-04,1.630435e-04,,,40.6
40,1,5.119566,1.739130e-03,3.260870e-04,3.260870e-04,,,78.3
60,1,4.539181,2.608696e-03,4.891304e-04,4.891304e-04,,,116.0
80,1,4.392832,3.478261e-03,6.521739e-04,6.521739e-04,,,153.9
100,1,4.027429,4.347826e-03,8.152174e-04,8.152174e-04,,,192.1
120,1,4.114686,5.217391e-03,9.782609e-04,9.782609e-04,,,230.6
140,1,3.377238,6.086957e-03,1.141304e-03,1.141304e-03,,,269.2
160,1,4.100471,6.956522e-03,1.304348e-03,1.304348e-03,,,308.2
180,1,2.779144,7.826087e-03,1.467391e-03,1.467391e-03,,,347.9
200,1,2.601659,8.695652e-03,1.630435e-03,1.630435e-03,,,388.0
220,1,3.436136,9.565217e-03,1.793478e-03,1.793478e-03,,,428.7
240,1,1.934734,1.043478e-02,1.956522e-03,1.956522e-03,,,469.3
260,1,2.051815,1.130435e-02,2.119565e-03,2.119565e-03,,,510.0
280,1,2.292993,1.217391e-02,2.282609e-03,2.282609e-03,,,550.8
300,1,2.633762,1.304348e-02,2.445652e-03,2.445652e-03,,,591.6
320,1,2.066263,1.391304e-02,2.608696e-03,2.608696e-03,,,632.3
340,1,2.800576,1.478261e-02,2.771739e-03,2.771739e-03,,,672.9
360,1,2.298978,1.565217e-02,2.934783e-03,2.934783e-03,,,713.7
380,1,3.046548,1.597397e-02,2.995120e-03,2.995120e-03,,,754.5
400,1,2.280488,1.593059e-02,2.986986e-03,2.986986e-03,,,795.3
420,1,1.759905,1.588721e-02,2.978853e-03,2.978853e-03,,,836.0
440,1,2.615634,1.584384e-02,2.970719e-03,2.970719e-03,,,876.6
460,1,1.801112,1.580046e-02,2.962586e-03,2.962586e-03,,,917.3
480,1,1.567174,1.575708e-02,2.954452e-03,2.954452e-03,,,958.3
500,1,1.457889,1.571370e-02,2.946318e-03,2.946318e-03,,,999.2
520,1,2.187781,1.567032e-02,2.938185e-03,2.938185e-03,,,1039.9
540,1,1.675831,1.562694e-02,2.930051e-03,2.930051e-03,,,1080.7
560,1,1.955358,1.558356e-02,2.921918e-03,2.921918e-03,,,1121.3
580,1,2.096008,1.554018e-02,2.913784e-03,2.913784e-03,,,1162.0
600,1,1.715059,1.549680e-02,2.905651e-03,2.905651e-03,,,1202.7
620,1,1.991539,1.545342e-02,2.897517e-03,2.897517e-03,,,1243.3
640,1,1.702148,1.541005e-02,2.889384e-03,2.889384e-03,,,1283.9
660,1,2.047142,1.536667e-02,2.881250e-03,2.881250e-03,,,1324.6
680,1,1.675113,1.532329e-02,2.873116e-03,2.873116e-03,,,1365.2
700,1,1.861405,1.527991e-02,2.864983e-03,2.864983e-03,,,1405.7
720,1,1.977927,1.523653e-02,2.856849e-03,2.856849e-03,,,1446.3
740,1,1.374008,1.519315e-02,2.848716e-03,2.848716e-03,,,1486.6
760,1,2.118345,1.514977e-02,2.840582e-03,2.840582e-03,,,1527.0
780,1,1.911177,1.510639e-02,2.832449e-03,2.832449e-03,,,1567.4
800,1,1.767394,1.506301e-02,2.824315e-03,2.824315e-03,,,1607.9
820,1,2.304015,1.501963e-02,2.816182e-03,2.816182e-03,,,1648.3
840,1,1.427766,1.497626e-02,2.808048e-03,2.808048e-03,,,1688.7
860,1,1.747100,1.493288e-02,2.799914e-03,2.799914e-03,,,1729.1
880,1,1.642097,1.488950e-02,2.791781e-03,2.791781e-03,,,1769.4
900,1,1.912651,1.484612e-02,2.783647e-03,2.783647e-03,,,1809.8
920,1,2.133775,1.480274e-02,2.775514e-03,2.775514e-03,,,1850.2
940,1,2.178760,1.475936e-02,2.767380e-03,2.767380e-03,,,1890.8
960,1,1.943473,1.471598e-02,2.759247e-03,2.759247e-03,,,1931.3
980,1,1.440370,1.467260e-02,2.751113e-03,2.751113e-03,,,1971.7
1000,1,1.940263,1.462922e-02,2.742979e-03,2.742979e-03,,,2012.1
1020,1,1.699695,1.458584e-02,2.734846e-03,2.734846e-03,,,2052.6
1040,1,1.110266,1.454247e-02,2.726712e-03,2.726712e-03,,,2092.8
1060,1,1.628909,1.449909e-02,2.718579e-03,2.718579e-03,,,2133.1
1080,1,1.719894,1.445571e-02,2.710445e-03,2.710445e-03,,,2173.8
1100,1,1.857184,1.441233e-02,2.702312e-03,2.702312e-03,,,2214.5
1120,1,1.771288,1.436895e-02,2.694178e-03,2.694178e-03,,,2255.0
1140,1,1.325451,1.432557e-02,2.686045e-03,2.686045e-03,,,2295.6
1160,1,1.583143,1.428219e-02,2.677911e-03,2.677911e-03,,,2336.4
1180,1,1.940717,1.423881e-02,2.669777e-03,2.669777e-03,,,2377.3
1200,1,2.014768,1.419543e-02,2.661644e-03,2.661644e-03,,,2418.0
1220,1,1.840904,1.415205e-02,2.653510e-03,2.653510e-03,,,2458.6
1240,1,1.728864,1.410868e-02,2.645377e-03,2.645377e-03,,,2499.3
1260,1,1.687795,1.406530e-02,2.637243e-03,2.637243e-03,,,2539.9
1280,1,1.259545,1.402192e-02,2.629110e-03,2.629110e-03,,,2580.6
1300,1,1.549737,1.397854e-02,2.620976e-03,2.620976e-03,,,2621.2
1320,1,1.172834,1.393516e-02,2.612842e-03,2.612842e-03,,,2661.8
1340,1,1.402689,1.389178e-02,2.604709e-03,2.604709e-03,,,2702.1
1360,1,1.390209,1.384840e-02,2.596575e-03,2.596575e-03,,,2742.5
1380,1,1.393462,1.380502e-02,2.588442e-03,2.588442e-03,,,2783.0
1400,1,1.903269,1.376164e-02,2.580308e-03,2.580308e-03,,,2823.3
1420,1,1.495642,1.371826e-02,2.572175e-03,2.572175e-03,,,2863.7
1440,1,2.157820,1.367489e-02,2.564041e-03,2.564041e-03,,,2903.9
1460,1,1.045515,1.363151e-02,2.555908e-03,2.555908e-03,,,2944.2
1480,1,2.037632,1.358813e-02,2.547774e-03,2.547774e-03,,,2984.5
1500,1,1.482029,1.354475e-02,2.539640e-03,2.539640e-03,,,3024.8
1520,1,2.101928,1.350137e-02,2.531507e-03,2.531507e-03,,,3065.2
1540,1,1.499587,1.345799e-02,2.523373e-03,2.523373e-03,,,3105.6
1560,1,1.991574,1.341461e-02,2.515240e-03,2.515240e-03,,,3145.9
1580,1,2.140607,1.337123e-02,2.507106e-03,2.507106e-03,,,3186.3
1600,1,2.022808,1.332785e-02,2.498973e-03,2.498973e-03,,,3226.6
1620,1,1.405968,1.328447e-02,2.490839e-03,2.490839e-03,,,3267.0
1640,1,2.055725,1.324110e-02,2.482705e-03,2.482705e-03,,,3307.5
1660,1,1.554369,1.319772e-02,2.474572e-03,2.474572e-03,,,3347.9
1680,1,1.590608,1.315434e-02,2.466438e-03,2.466438e-03,,,3388.5
1700,1,1.500301,1.311096e-02,2.458305e-03,2.458305e-03,,,3428.8
