step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
20,1,5.815627,8.695652e-04,1.630435e-04,1.630435e-04,,,40.0
40,1,5.119831,1.739130e-03,3.260870e-04,3.260870e-04,,,77.2
60,1,4.539408,2.608696e-03,4.891304e-04,4.891304e-04,,,114.3
80,1,4.392914,3.478261e-03,6.521739e-04,6.521739e-04,,,151.6
100,1,4.027374,4.347826e-03,8.152174e-04,8.152174e-04,,,188.7
120,1,4.116434,5.217391e-03,9.782609e-04,9.782609e-04,,,225.9
140,1,3.405182,6.086957e-03,1.141304e-03,1.141304e-03,,,263.1
160,1,4.114778,6.956522e-03,1.304348e-03,1.304348e-03,,,300.3
180,1,2.846261,7.826087e-03,1.467391e-03,1.467391e-03,,,337.6
200,1,2.538523,8.695652e-03,1.630435e-03,1.630435e-03,,,374.7
220,1,3.409400,9.565217e-03,1.793478e-03,1.793478e-03,,,411.8
240,1,1.926958,1.043478e-02,1.956522e-03,1.956522e-03,,,449.2
260,1,2.036459,1.130435e-02,2.119565e-03,2.119565e-03,,,486.4
280,1,2.243552,1.217391e-02,2.282609e-03,2.282609e-03,,,523.5
300,1,2.670934,1.304348e-02,2.445652e-03,2.445652e-03,,,560.7
320,1,2.099997,1.391304e-02,2.608696e-03,2.608696e-03,,,597.7
340,1,2.791627,1.478261e-02,2.771739e-03,2.771739e-03,,,634.7
360,1,2.278243,1.565217e-02,2.934783e-03,2.934783e-03,,,671.9
380,1,3.006830,1.597397e-02,2.995120e-03,2.995120e-03,,,708.9
400,1,2.405139,1.593059e-02,2.986986e-03,2.986986e-03,,,746.0
420,1,1.754694,1.588721e-02,2.978853e-03,2.978853e-03,,,783.2
440,1,2.550685,1.584384e-02,2.970719e-03,2.970719e-03,,,820.2
460,1,1.799075,1.580046e-02,2.962586e-03,2.962586e-03,,,857.2
480,1,1.522203,1.575708e-02,2.954452e-03,2.954452e-03,,,894.1
500,1,1.405638,1.571370e-02,2.946318e-03,2.946318e-03,,,931.4
520,1,2.182667,1.567032e-02,2.938185e-03,2.938185e-03,,,968.3
540,1,1.580391,1.562694e-02,2.930051e-03,2.930051e-03,,,1005.3
560,1,1.878587,1.558356e-02,2.921918e-03,2.921918e-03,,,1042.2
580,1,2.148628,1.554018e-02,2.913784e-03,2.913784e-03,,,1079.2
600,1,1.653686,1.549680e-02,2.905651e-03,2.905651e-03,,,1116.4
620,1,1.990905,1.545342e-02,2.897517e-03,2.897517e-03,,,1153.6
640,1,1.660541,1.541005e-02,2.889384e-03,2.889384e-03,,,1190.9
660,1,2.111673,1.536667e-02,2.881250e-03,2.881250e-03,,,1228.1
680,1,1.664967,1.532329e-02,2.873116e-03,2.873116e-03,,,1265.4
700,1,1.888451,1.527991e-02,2.864983e-03,2.864983e-03,,,1302.6
720,1,1.920722,1.523653e-02,2.856849e-03,2.856849e-03,,,1340.0
