step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
20,1,5.815596,8.695652e-04,1.630435e-04,1.630435e-04,,,39.7
40,1,5.119548,1.739130e-03,3.260870e-04,3.260870e-04,,,76.7
60,1,4.539147,2.608696e-03,4.891304e-04,4.891304e-04,,,113.6
80,1,4.392788,3.478261e-03,6.521739e-04,6.521739e-04,,,150.5
100,1,4.027399,4.347826e-03,8.152174e-04,8.152174e-04,,,187.6
120,1,4.114652,5.217391e-03,9.782609e-04,9.782609e-04,,,224.9
140,1,3.381167,6.086957e-03,1.141304e-03,1.141304e-03,,,262.1
160,1,4.100376,6.956522e-03,1.304348e-03,1.304348e-03,,,299.6
180,1,2.779454,7.826087e-03,1.467391e-03,1.467391e-03,,,337.4
200,1,2.553217,8.695652e-03,1.630435e-03,1.630435e-03,,,375.5
220,1,3.415784,9.565217e-03,1.793478e-03,1.793478e-03,,,413.7
240,1,1.920212,1.043478e-02,1.956522e-03,1.956522e-03,,,452.2
260,1,2.025291,1.130435e-02,2.119565e-03,2.119565e-03,,,490.5
280,1,2.298066,1.217391e-02,2.282609e-03,2.282609e-03,,,528.8
300,1,2.665572,1.304348e-02,2.445652e-03,2.445652e-03,,,567.1
320,1,2.051697,1.391304e-02,2.608696e-03,2.608696e-03,,,605.3
340,1,2.781901,1.478261e-02,2.771739e-03,2.771739e-03,,,643.6
360,1,2.324517,1.565217e-02,2.934783e-03,2.934783e-03,,,682.1
380,1,3.107962,1.597397e-02,2.995120e-03,2.995120e-03,,,720.3
400,1,2.329299,1.593059e-02,2.986986e-03,2.986986e-03,,,758.6
420,1,1.771967,1.588721e-02,2.978853e-03,2.978853e-03,,,797.0
440,1,2.666683,1.584384e-02,2.970719e-03,2.970719e-03,,,835.3
460,1,1.795469,1.580046e-02,2.962586e-03,2.962586e-03,,,873.9
480,1,1.487297,1.575708e-02,2.954452e-03,2.954452e-03,,,912.4
500,1,1.413996,1.571370e-02,2.946318e-03,2.946318e-03,,,950.9
520,1,2.179800,1.567032e-02,2.938185e-03,2.938185e-03,,,989.3
540,1,1.594860,1.562694e-02,2.930051e-03,2.930051e-03,,,1027.6
560,1,1.930156,1.558356e-02,2.921918e-03,2.921918e-03,,,1065.9
580,1,2.080110,1.554018e-02,2.913784e-03,2.913784e-03,,,1104.4
600,1,1.654222,1.549680e-02,2.905651e-03,2.905651e-03,,,1142.7
620,1,1.995848,1.545342e-02,2.897517e-03,2.897517e-03,,,1180.9
640,1,1.609311,1.541005e-02,2.889384e-03,2.889384e-03,,,1219.2
660,1,2.081928,1.536667e-02,2.881250e-03,2.881250e-03,,,1257.5
680,1,1.678563,1.532329e-02,2.873116e-03,2.873116e-03,,,1296.1
700,1,1.851907,1.527991e-02,2.864983e-03,2.864983e-03,,,1334.5
720,1,1.978920,1.523653e-02,2.856849e-03,2.856849e-03,,,1372.8
740,1,1.430263,1.519315e-02,2.848716e-03,2.848716e-03,,,1411.0
760,1,2.170620,1.514977e-02,2.840582e-03,2.840582e-03,,,1449.0
780,1,1.843521,1.510639e-02,2.832449e-03,2.832449e-03,,,1487.2
800,1,1.737957,1.506301e-02,2.824315e-03,2.824315e-03,,,1525.3
820,1,2.238237,1.501963e-02,2.816182e-03,2.816182e-03,,,1563.6
840,1,1.461790,1.497626e-02,2.808048e-03,2.808048e-03,,,1601.7
860,1,1.699186,1.493288e-02,2.799914e-03,2.799914e-03,,,1639.8
880,1,1.752478,1.488950e-02,2.791781e-03,2.791781e-03,,,1678.0
900,1,1.886525,1.484612e-02,2.783647e-03,2.783647e-03,,,1716.1
