step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
20,1,5.791794,8.695652e-04,1.630435e-04,1.630435e-04,,,40.3
40,1,5.025498,1.739130e-03,3.260870e-04,3.260870e-04,,,77.3
60,1,4.480408,2.608696e-03,4.891304e-04,4.891304e-04,,,114.5
80,1,4.370594,3.478261e-03,6.521739e-04,6.521739e-04,,,151.7
100,1,4.031908,4.347826e-03,8.152174e-04,8.152174e-04,,,188.9
120,1,4.105289,5.217391e-03,9.782609e-04,9.782609e-04,,,226.1
140,1,3.364608,6.086957e-03,1.141304e-03,1.141304e-03,,,263.5
160,1,4.038936,6.956522e-03,1.304348e-03,1.304348e-03,,,301.2
180,1,2.742576,7.826087e-03,1.467391e-03,1.467391e-03,,,339.4
200,1,2.523185,8.695652e-03,1.630435e-03,1.630435e-03,,,377.8
220,1,3.437459,9.565217e-03,1.793478e-03,1.793478e-03,,,416.3
240,1,1.723834,1.043478e-02,1.956522e-03,1.956522e-03,,,455.0
260,1,1.927891,1.130435e-02,2.119565e-03,2.119565e-03,,,493.5
280,1,2.149260,1.217391e-02,2.282609e-03,2.282609e-03,,,532.1
300,1,2.563841,1.304348e-02,2.445652e-03,2.445652e-03,,,570.5
320,1,2.045624,1.391304e-02,2.608696e-03,2.608696e-03,,,609.1
340,1,2.739232,1.478261e-02,2.771739e-03,2.771739e-03,,,647.3
360,1,2.090941,1.565217e-02,2.934783e-03,2.934783e-03,,,685.8
380,1,2.852011,1.597397e-02,2.995120e-03,2.995120e-03,,,724.1
400,1,2.041332,1.593059e-02,2.986986e-03,2.986986e-03,,,762.4
420,1,1.512575,1.588721e-02,2.978853e-03,2.978853e-03,,,800.6
440,1,2.520523,1.584384e-02,2.970719e-03,2.970719e-03,,,839.1
460,1,1.564745,1.580046e-02,2.962586e-03,2.962586e-03,,,877.6
480,1,1.409695,1.575708e-02,2.954452e-03,2.954452e-03,,,915.8
500,1,1.356256,1.571370e-02,2.946318e-03,2.946318e-03,,,954.2
520,1,2.045898,1.567032e-02,2.938185e-03,2.938185e-03,,,992.4
540,1,1.480535,1.562694e-02,2.930051e-03,2.930051e-03,,,1030.9
560,1,1.703356,1.558356e-02,2.921918e-03,2.921918e-03,,,1069.0
580,1,1.905455,1.554018e-02,2.913784e-03,2.913784e-03,,,1107.2
