step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
20,1,5.706517,1.940217e-03,4.130435e-05,4.130435e-05,,,67.3
40,1,5.145212,3.880435e-03,8.260870e-05,8.260870e-05,,,134.3
60,1,4.734982,5.820652e-03,1.239130e-04,1.239130e-04,,,201.3
80,1,4.580041,7.760870e-03,1.652174e-04,1.652174e-04,,,267.6
100,1,4.039443,9.701087e-03,2.065217e-04,2.065217e-04,,,333.7
120,1,3.990704,1.164130e-02,2.478261e-04,2.478261e-04,,,399.8
140,1,3.310991,1.358152e-02,2.891304e-04,2.891304e-04,,,465.6
160,1,3.464443,1.552174e-02,3.304348e-04,3.304348e-04,,,531.2
180,1,2.334311,1.746196e-02,3.717391e-04,3.717391e-04,,,597.1
200,1,2.265172,1.940217e-02,4.130435e-04,4.130435e-04,,,662.7
220,1,2.786759,2.134239e-02,4.543478e-04,4.543478e-04,,,728.7
240,1,1.670947,2.328261e-02,4.956522e-04,4.956522e-04,,,794.5
260,1,2.052966,2.522283e-02,5.369565e-04,5.369565e-04,,,860.4
280,1,1.818173,2.716304e-02,5.782609e-04,5.782609e-04,,,926.3
300,1,2.108312,2.910326e-02,6.195652e-04,6.195652e-04,,,992.1
320,1,1.758559,3.104348e-02,6.608696e-04,6.608696e-04,,,1058.0
340,1,1.916104,3.298370e-02,7.021739e-04,7.021739e-04,,,1123.9
360,1,1.855563,3.492391e-02,7.434783e-04,7.434783e-04,,,1190.2
380,1,2.218095,3.564193e-02,7.587637e-04,7.587637e-04,,,1256.4
400,1,1.755172,3.554514e-02,7.567032e-04,7.567032e-04,,,1322.7
420,1,1.290486,3.544835e-02,7.546427e-04,7.546427e-04,,,1389.1
440,1,2.079235,3.535156e-02,7.525822e-04,7.525822e-04,,,1455.4
460,1,1.213981,3.525477e-02,7.505217e-04,7.505217e-04,,,1521.9
480,1,1.371498,3.515798e-02,7.484612e-04,7.484612e-04,,,1588.1
500,1,1.181044,3.506119e-02,7.464007e-04,7.464007e-04,,,1654.3
520,1,1.690390,3.496440e-02,7.443402e-04,7.443402e-04,,,1720.6
540,1,1.700808,3.486761e-02,7.422797e-04,7.422797e-04,,,1786.8
560,1,1.260234,3.477082e-02,7.402192e-04,7.402192e-04,,,1853.1
580,1,1.282516,3.467403e-02,7.381587e-04,7.381587e-04,,,1919.6
600,1,1.220011,3.457724e-02,7.360982e-04,7.360982e-04,,,1985.9
620,1,1.644398,3.448045e-02,7.340377e-04,7.340377e-04,,,2052.5
640,1,1.023360,3.438366e-02,7.319772e-04,7.319772e-04,,,2119.0
660,1,1.691486,3.428687e-02,7.299167e-04,7.299167e-04,,,2185.7
680,1,1.394002,3.419009e-02,7.278562e-04,7.278562e-04,,,2252.3
700,1,1.167897,3.409330e-02,7.257957e-04,7.257957e-04,,,2319.0
720,1,1.377054,3.399651e-02,7.237352e-04,7.237352e-04,,,2385.5
740,1,1.128334,3.389972e-02,7.216747e-04,7.216747e-04,,,2452.4
760,1,1.671007,3.380293e-02,7.196142e-04,7.196142e-04,,,2519.1
780,1,1.188378,3.370614e-02,7.175537e-04,7.175537e-04,,,2585.7
800,1,1.511502,3.360935e-02,7.154932e-04,7.154932e-04,,,2652.5
820,1,2.119018,3.351256e-02,7.134326e-04,7.134326e-04,,,2719.2
840,1,1.496066,3.341577e-02,7.113721e-04,7.113721e-04,,,2785.8
860,1,1.405128,3.331898e-02,7.093116e-04,7.093116e-04,,,2852.4
880,1,1.581778,3.322219e-02,7.072511e-04,7.072511e-04,,,2919.0
900,1,1.350182,3.312540e-02,7.051906e-04,7.051906e-04,,,2985.5
920,1,1.374032,3.302861e-02,7.031301e-04,7.031301e-04,,,3052.1
940,1,1.962144,3.293182e-02,7.010696e-04,7.010696e-04,,,3118.7
960,1,1.387019,3.283503e-02,6.990091e-04,6.990091e-04,,,3185.5
980,1,0.976711,3.273824e-02,6.969486e-04,6.969486e-04,,,3252.1
