step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
20,1,5.927087,1.940217e-03,4.130435e-05,4.130435e-05,,,66.8
40,1,5.923393,3.880435e-03,8.260870e-05,8.260870e-05,,,132.8
60,1,5.829963,5.820652e-03,1.239130e-04,1.239130e-04,,,198.8
80,1,5.787144,7.760870e-03,1.652174e-04,1.652174e-04,,,265.1
100,1,5.628025,9.701087e-03,2.065217e-04,2.065217e-04,,,331.3
120,1,5.410503,1.164130e-02,2.478261e-04,2.478261e-04,,,397.5
140,1,5.017367,1.358152e-02,2.891304e-04,2.891304e-04,,,464.0
160,1,4.844571,1.552174e-02,3.304348e-04,3.304348e-04,,,530.4
180,1,4.861833,1.746196e-02,3.717391e-04,3.717391e-04,,,596.7
200,1,4.588773,1.940217e-02,4.130435e-04,4.130435e-04,,,663.4
220,1,4.701443,2.134239e-02,4.543478e-04,4.543478e-04,,,730.0
240,1,4.273960,2.328261e-02,4.956522e-04,4.956522e-04,,,796.7
260,1,4.308014,2.522283e-02,5.369565e-04,5.369565e-04,,,863.3
280,1,4.423513,2.716304e-02,5.782609e-04,5.782609e-04,,,929.8
300,1,4.770810,2.910326e-02,6.195652e-04,6.195652e-04,,,996.5
320,1,4.515109,3.104348e-02,6.608696e-04,6.608696e-04,,,1063.5
340,1,4.083945,3.298370e-02,7.021739e-04,7.021739e-04,,,1130.6
360,1,4.511940,3.492391e-02,7.434783e-04,7.434783e-04,,,1197.6
380,1,4.379244,3.566943e-02,7.593493e-04,7.593493e-04,,,1264.6
400,1,4.424690,3.561849e-02,7.582648e-04,7.582648e-04,,,1331.7
420,1,4.140534,3.556755e-02,7.571804e-04,7.571804e-04,,,1399.0
440,1,4.408045,3.551661e-02,7.560959e-04,7.560959e-04,,,1465.7
460,1,4.056620,3.546567e-02,7.550114e-04,7.550114e-04,,,1532.8
480,1,4.201418,3.541473e-02,7.539269e-04,7.539269e-04,,,1600.0
500,1,3.867254,3.536378e-02,7.528425e-04,7.528425e-04,,,1666.9
520,1,3.887569,3.531284e-02,7.517580e-04,7.517580e-04,,,1733.6
540,1,3.973309,3.526190e-02,7.506735e-04,7.506735e-04,,,1800.5
560,1,4.017945,3.521096e-02,7.495890e-04,7.495890e-04,,,1867.1
580,1,3.924373,3.516002e-02,7.485046e-04,7.485046e-04,,,1933.7
600,1,3.972290,3.510908e-02,7.474201e-04,7.474201e-04,,,2000.5
620,1,4.362609,3.505813e-02,7.463356e-04,7.463356e-04,,,2067.1
640,1,4.164283,3.500719e-02,7.452511e-04,7.452511e-04,,,2133.9
660,1,3.970378,3.495625e-02,7.441667e-04,7.441667e-04,,,2200.7
680,1,3.694091,3.490531e-02,7.430822e-04,7.430822e-04,,,2267.6
700,1,4.093389,3.485437e-02,7.419977e-04,7.419977e-04,,,2334.6
720,1,3.805704,3.480342e-02,7.409132e-04,7.409132e-04,,,2401.4
740,1,4.223209,3.475248e-02,7.398288e-04,7.398288e-04,,,2468.1
760,1,3.857015,3.470154e-02,7.387443e-04,7.387443e-04,,,2534.9
780,1,4.232625,3.465060e-02,7.376598e-04,7.376598e-04,,,2601.7
800,1,3.895061,3.459966e-02,7.365753e-04,7.365753e-04,,,2668.3
820,1,3.874289,3.454872e-02,7.354909e-04,7.354909e-04,,,2735.0
840,1,3.872360,3.449777e-02,7.344064e-04,7.344064e-04,,,2801.7
860,1,3.887103,3.444683e-02,7.333219e-04,7.333219e-04,,,2868.2
880,1,4.188642,3.439589e-02,7.322374e-04,7.322374e-04,,,2934.7
900,1,3.985065,3.434495e-02,7.311530e-04,7.311530e-04,,,3001.5
920,1,3.726883,3.429401e-02,7.300685e-04,7.300685e-04,,,3068.1
940,1,3.998720,3.424307e-02,7.289840e-04,7.289840e-04,,,3134.7
960,1,4.174360,3.419212e-02,7.278995e-04,7.278995e-04,,,3201.6
980,1,3.727803,3.414118e-02,7.268151e-04,7.268151e-04,,,3268.2
1000,1,4.070421,3.409024e-02,7.257306e-04,7.257306e-04,,,3334.8
1020,1,4.072136,3.403930e-02,7.246461e-04,7.246461e-04,,,3401.6
1040,1,3.585904,3.398836e-02,7.235616e-04,7.235616e-04,,,3468.2
1060,1,3.951269,3.393741e-02,7.224772e-04,7.224772e-04,,,3534.8
1080,1,3.846164,3.388647e-02,7.213927e-04,7.213927e-04,,,3601.6
1100,1,3.999462,3.383553e-02,7.203082e-04,7.203082e-04,,,3668.3
