step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
20,1,5.864707,1.940217e-03,4.130435e-05,4.130435e-05,,,67.3
40,1,5.529854,3.880435e-03,8.260870e-05,8.260870e-05,,,134.1
60,1,4.968296,5.820652e-03,1.239130e-04,1.239130e-04,,,201.0
80,1,4.751819,7.760870e-03,1.652174e-04,1.652174e-04,,,267.5
100,1,4.233161,9.701087e-03,2.065217e-04,2.065217e-04,,,333.5
120,1,4.221840,1.164130e-02,2.478261e-04,2.478261e-04,,,399.2
140,1,3.581872,1.358152e-02,2.891304e-04,2.891304e-04,,,465.2
160,1,3.815422,1.552174e-02,3.304348e-04,3.304348e-04,,,530.7
180,1,2.568354,1.746196e-02,3.717391e-04,3.717391e-04,,,596.3
200,1,2.646009,1.940217e-02,4.130435e-04,4.130435e-04,,,662.0
220,1,2.938066,2.134239e-02,4.543478e-04,4.543478e-04,,,727.6
240,1,2.162549,2.328261e-02,4.956522e-04,4.956522e-04,,,793.5
260,1,2.486367,2.522283e-02,5.369565e-04,5.369565e-04,,,859.2
280,1,1.996301,2.716304e-02,5.782609e-04,5.782609e-04,,,925.0
300,1,2.868550,2.910326e-02,6.195652e-04,6.195652e-04,,,991.3
320,1,2.294223,3.104348e-02,6.608696e-04,6.608696e-04,,,1057.9
340,1,2.063273,3.298370e-02,7.021739e-04,7.021739e-04,,,1123.9
360,1,2.111954,3.492391e-02,7.434783e-04,7.434783e-04,,,1189.9
380,1,2.272538,3.564193e-02,7.587637e-04,7.587637e-04,,,1256.3
400,1,1.948470,3.554514e-02,7.567032e-04,7.567032e-04,,,1322.5
420,1,1.821429,3.544835e-02,7.546427e-04,7.546427e-04,,,1389.3
440,1,2.380787,3.535156e-02,7.525822e-04,7.525822e-04,,,1455.3
460,1,1.299402,3.525477e-02,7.505217e-04,7.505217e-04,,,1521.1
480,1,2.018659,3.515798e-02,7.484612e-04,7.484612e-04,,,1587.1
500,1,1.463302,3.506119e-02,7.464007e-04,7.464007e-04,,,1653.4
520,1,1.722453,3.496440e-02,7.443402e-04,7.443402e-04,,,1719.3
540,1,1.806491,3.486761e-02,7.422797e-04,7.422797e-04,,,1785.5
560,1,1.405064,3.477082e-02,7.402192e-04,7.402192e-04,,,1851.8
580,1,1.670033,3.467403e-02,7.381587e-04,7.381587e-04,,,1917.8
600,1,1.199431,3.457724e-02,7.360982e-04,7.360982e-04,,,1984.0
620,1,2.211228,3.448045e-02,7.340377e-04,7.340377e-04,,,2050.1
640,1,1.399629,3.438366e-02,7.319772e-04,7.319772e-04,,,2116.2
660,1,1.789305,3.428687e-02,7.299167e-04,7.299167e-04,,,2183.1
680,1,1.565982,3.419009e-02,7.278562e-04,7.278562e-04,,,2249.6
700,1,1.371895,3.409330e-02,7.257957e-04,7.257957e-04,,,2315.5
720,1,1.465162,3.399651e-02,7.237352e-04,7.237352e-04,,,2381.7
740,1,1.144403,3.389972e-02,7.216747e-04,7.216747e-04,,,2447.7
760,1,1.880664,3.380293e-02,7.196142e-04,7.196142e-04,,,2513.7
780,1,1.387573,3.370614e-02,7.175537e-04,7.175537e-04,,,2579.9
