step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
20,1,5.756531,1.940217e-03,4.130435e-05,4.130435e-05,,,67.3
40,1,5.316187,3.880435e-03,8.260870e-05,8.260870e-05,,,134.3
60,1,4.805263,5.820652e-03,1.239130e-04,1.239130e-04,,,200.9
80,1,4.692255,7.760870e-03,1.652174e-04,1.652174e-04,,,267.2
100,1,4.095802,9.701087e-03,2.065217e-04,2.065217e-04,,,333.4
120,1,4.079385,1.164130e-02,2.478261e-04,2.478261e-04,,,399.5
140,1,3.407897,1.358152e-02,2.891304e-04,2.891304e-04,,,465.6
160,1,3.689252,1.552174e-02,3.304348e-04,3.304348e-04,,,531.3
180,1,2.507690,1.746196e-02,3.717391e-04,3.717391e-04,,,596.9
200,1,2.383597,1.940217e-02,4.130435e-04,4.130435e-04,,,662.5
220,1,2.976207,2.134239e-02,4.543478e-04,4.543478e-04,,,728.2
240,1,1.862707,2.328261e-02,4.956522e-04,4.956522e-04,,,794.1
260,1,2.422167,2.522283e-02,5.369565e-04,5.369565e-04,,,859.7
280,1,1.905093,2.716304e-02,5.782609e-04,5.782609e-04,,,925.6
300,1,2.202232,2.910326e-02,6.195652e-04,6.195652e-04,,,991.7
320,1,1.872357,3.104348e-02,6.608696e-04,6.608696e-04,,,1057.6
340,1,2.099151,3.298370e-02,7.021739e-04,7.021739e-04,,,1123.5
360,1,2.078933,3.492391e-02,7.434783e-04,7.434783e-04,,,1189.6
380,1,2.028251,3.564193e-02,7.587637e-04,7.587637e-04,,,1256.3
400,1,1.773245,3.554514e-02,7.567032e-04,7.567032e-04,,,1322.8
420,1,1.527307,3.544835e-02,7.546427e-04,7.546427e-04,,,1389.7
440,1,1.945733,3.535156e-02,7.525822e-04,7.525822e-04,,,1456.4
460,1,1.509496,3.525477e-02,7.505217e-04,7.505217e-04,,,1522.8
480,1,1.580005,3.515798e-02,7.484612e-04,7.484612e-04,,,1589.3
500,1,1.158355,3.506119e-02,7.464007e-04,7.464007e-04,,,1655.9
520,1,1.850825,3.496440e-02,7.443402e-04,7.443402e-04,,,1722.4
540,1,1.658613,3.486761e-02,7.422797e-04,7.422797e-04,,,1789.1
560,1,1.333287,3.477082e-02,7.402192e-04,7.402192e-04,,,1855.8
580,1,1.596131,3.467403e-02,7.381587e-04,7.381587e-04,,,1922.4
600,1,1.198540,3.457724e-02,7.360982e-04,7.360982e-04,,,1989.1
620,1,1.764064,3.448045e-02,7.340377e-04,7.340377e-04,,,2055.8
640,1,1.237650,3.438366e-02,7.319772e-04,7.319772e-04,,,2122.8
660,1,1.543504,3.428687e-02,7.299167e-04,7.299167e-04,,,2190.0
680,1,1.669764,3.419009e-02,7.278562e-04,7.278562e-04,,,2257.1
700,1,1.207729,3.409330e-02,7.257957e-04,7.257957e-04,,,2324.2
720,1,1.302753,3.399651e-02,7.237352e-04,7.237352e-04,,,2391.1
740,1,1.367096,3.389972e-02,7.216747e-04,7.216747e-04,,,2458.0
760,1,1.722070,3.380293e-02,7.196142e-04,7.196142e-04,,,2524.7
780,1,1.276745,3.370614e-02,7.175537e-04,7.175537e-04,,,2591.7
800,1,1.680736,3.360935e-02,7.154932e-04,7.154932e-04,,,2658.6
820,1,2.208492,3.351256e-02,7.134326e-04,7.134326e-04,,,2725.3
840,1,1.481021,3.341577e-02,7.113721e-04,7.113721e-04,,,2792.0
860,1,1.378800,3.331898e-02,7.093116e-04,7.093116e-04,,,2858.9
880,1,1.624841,3.322219e-02,7.072511e-04,7.072511e-04,,,2925.6
900,1,1.403334,3.312540e-02,7.051906e-04,7.051906e-04,,,2992.5
920,1,1.449522,3.302861e-02,7.031301e-04,7.031301e-04,,,3059.1
940,1,2.059630,3.293182e-02,7.010696e-04,7.010696e-04,,,3125.8
960,1,1.430246,3.283503e-02,6.990091e-04,6.990091e-04,,,3192.7
980,1,1.076253,3.273824e-02,6.969486e-04,6.969486e-04,,,3259.4
1000,1,1.456667,3.264146e-02,6.948881e-04,6.948881e-04,,,3325.9
1020,1,1.412444,3.254467e-02,6.928276e-04,6.928276e-04,,,3392.7
1040,1,1.166817,3.244788e-02,6.907671e-04,6.907671e-04,,,3459.2
1060,1,1.356383,3.235109e-02,6.887066e-04,6.887066e-04,,,3526.0
1080,1,1.367744,3.225430e-02,6.866461e-04,6.866461e-04,,,3592.9
1100,1,1.200433,3.215751e-02,6.845856e-04,6.845856e-04,,,3659.7
1120,1,1.303144,3.206072e-02,6.825251e-04,6.825251e-04,,,3727.0
1140,1,1.094944,3.196393e-02,6.804646e-04,6.804646e-04,,,3793.8
1160,1,1.234289,3.186714e-02,6.784041e-04,6.784041e-04,,,3860.5
1180,1,1.098608,3.177035e-02,6.763436e-04,6.763436e-04,,,3927.5
