step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
20,1,5.811644,8.695652e-04,1.630435e-04,1.630435e-04,,,40.5
40,1,5.094129,1.739130e-03,3.260870e-04,3.260870e-04,,,77.6
60,1,4.515870,2.608696e-03,4.891304e-04,4.891304e-04,,,114.6
80,1,4.386097,3.478261e-03,6.521739e-04,6.521739e-04,,,151.6
100,1,4.032505,4.347826e-03,8.152174e-04,8.152174e-04,,,188.8
120,1,4.132219,5.217391e-03,9.782609e-04,9.782609e-04,,,226.1
140,1,3.364595,6.086957e-03,1.141304e-03,1.141304e-03,,,263.6
160,1,4.059661,6.956522e-03,1.304348e-03,1.304348e-03,,,301.3
180,1,2.755473,7.826087e-03,1.467391e-03,1.467391e-03,,,339.4
200,1,2.578986,8.695652e-03,1.630435e-03,1.630435e-03,,,377.7
220,1,3.321524,9.565217e-03,1.793478e-03,1.793478e-03,,,416.2
240,1,1.783933,1.043478e-02,1.956522e-03,1.956522e-03,,,454.6
260,1,1.935205,1.130435e-02,2.119565e-03,2.119565e-03,,,492.9
280,1,2.147884,1.217391e-02,2.282609e-03,2.282609e-03,,,531.1
300,1,2.648660,1.304348e-02,2.445652e-03,2.445652e-03,,,569.3
320,1,2.064243,1.391304e-02,2.608696e-03,2.608696e-03,,,607.5
340,1,2.746309,1.478261e-02,2.771739e-03,2.771739e-03,,,645.7
360,1,2.111158,1.565217e-02,2.934783e-03,2.934783e-03,,,683.8
380,1,2.905873,1.597397e-02,2.995120e-03,2.995120e-03,,,722.0
400,1,2.149410,1.593059e-02,2.986986e-03,2.986986e-03,,,760.2
420,1,1.564421,1.588721e-02,2.978853e-03,2.978853e-03,,,798.4
440,1,2.568155,1.584384e-02,2.970719e-03,2.970719e-03,,,836.6
460,1,1.566425,1.580046e-02,2.962586e-03,2.962586e-03,,,874.9
480,1,1.429932,1.575708e-02,2.954452e-03,2.954452e-03,,,913.0
500,1,1.285500,1.571370e-02,2.946318e-03,2.946318e-03,,,951.2
520,1,2.026684,1.567032e-02,2.938185e-03,2.938185e-03,,,989.4
540,1,1.408657,1.562694e-02,2.930051e-03,2.930051e-03,,,1027.5
560,1,1.691584,1.558356e-02,2.921918e-03,2.921918e-03,,,1065.5
580,1,1.896030,1.554018e-02,2.913784e-03,2.913784e-03,,,1103.6
