step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
20,1,5.811679,8.695652e-04,1.630435e-04,1.630435e-04,,,40.6
40,1,5.094091,1.739130e-03,3.260870e-04,3.260870e-04,,,77.7
60,1,4.515229,2.608696e-03,4.891304e-04,4.891304e-04,,,114.8
80,1,4.385261,3.478261e-03,6.521739e-04,6.521739e-04,,,152.0
100,1,4.039192,4.347826e-03,8.152174e-04,8.152174e-04,,,189.3
120,1,4.135526,5.217391e-03,9.782609e-04,9.782609e-04,,,226.7
140,1,3.375092,6.086957e-03,1.141304e-03,1.141304e-03,,,264.2
160,1,4.090394,6.956522e-03,1.304348e-03,1.304348e-03,,,301.9
180,1,2.764297,7.826087e-03,1.467391e-03,1.467391e-03,,,340.0
200,1,2.572083,8.695652e-03,1.630435e-03,1.630435e-03,,,378.4
220,1,3.335433,9.565217e-03,1.793478e-03,1.793478e-03,,,416.9
240,1,1.767574,1.043478e-02,1.956522e-03,1.956522e-03,,,455.5
260,1,1.945141,1.130435e-02,2.119565e-03,2.119565e-03,,,493.8
280,1,2.091482,1.217391e-02,2.282609e-03,2.282609e-03,,,532.0
300,1,2.632177,1.304348e-02,2.445652e-03,2.445652e-03,,,570.4
320,1,2.079730,1.391304e-02,2.608696e-03,2.608696e-03,,,608.7
340,1,2.717241,1.478261e-02,2.771739e-03,2.771739e-03,,,646.9
360,1,2.111656,1.565217e-02,2.934783e-03,2.934783e-03,,,685.1
380,1,2.918723,1.597397e-02,2.995120e-03,2.995120e-03,,,723.3
400,1,2.122064,1.593059e-02,2.986986e-03,2.986986e-03,,,761.6
420,1,1.520153,1.588721e-02,2.978853e-03,2.978853e-03,,,799.9
440,1,2.523548,1.584384e-02,2.970719e-03,2.970719e-03,,,838.1
460,1,1.505321,1.580046e-02,2.962586e-03,2.962586e-03,,,876.4
480,1,1.418238,1.575708e-02,2.954452e-03,2.954452e-03,,,914.6
500,1,1.324548,1.571370e-02,2.946318e-03,2.946318e-03,,,952.7
520,1,1.966534,1.567032e-02,2.938185e-03,2.938185e-03,,,990.9
540,1,1.423841,1.562694e-02,2.930051e-03,2.930051e-03,,,1029.0
560,1,1.703529,1.558356e-02,2.921918e-03,2.921918e-03,,,1067.1
580,1,1.893947,1.554018e-02,2.913784e-03,2.913784e-03,,,1105.3
600,1,1.548844,1.549680e-02,2.905651e-03,2.905651e-03,,,1143.4
