step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
20,1,5.351635,8.695652e-04,1.630435e-04,1.630435e-04,,,43.2
40,1,4.224700,1.739130e-03,3.260870e-04,3.260870e-04,,,83.9
60,1,4.053177,2.608696e-03,4.891304e-04,4.891304e-04,,,125.0
80,1,3.665707,3.478261e-03,6.521739e-04,6.521739e-04,,,166.3
100,1,3.707717,4.347826e-03,8.152174e-04,8.152174e-04,,,207.9
120,1,4.082391,5.217391e-03,9.782609e-04,9.782609e-04,,,250.5
140,1,2.886493,6.086957e-03,1.141304e-03,1.141304e-03,,,293.9
160,1,3.296125,6.956522e-03,1.304348e-03,1.304348e-03,,,337.2
180,1,1.736457,7.826087e-03,1.467391e-03,1.467391e-03,,,380.8
200,1,2.059927,8.695652e-03,1.630435e-03,1.630435e-03,,,423.9
220,1,3.160282,9.565217e-03,1.793478e-03,1.793478e-03,,,467.2
240,1,1.428681,1.043478e-02,1.956522e-03,1.956522e-03,,,510.6
260,1,2.032728,1.130435e-02,2.119565e-03,2.119565e-03,,,553.7
280,1,1.934704,1.217391e-02,2.282609e-03,2.282609e-03,,,596.9
300,1,2.318534,1.304348e-02,2.445652e-03,2.445652e-03,,,640.3
320,1,1.933840,1.391304e-02,2.608696e-03,2.608696e-03,,,683.5
340,1,3.027237,1.478261e-02,2.771739e-03,2.771739e-03,,,726.6
360,1,2.238447,1.565217e-02,2.934783e-03,2.934783e-03,,,769.9
380,1,2.168088,1.597397e-02,2.995120e-03,2.995120e-03,,,812.8
400,1,1.567724,1.593059e-02,2.986986e-03,2.986986e-03,,,855.9
420,1,1.020875,1.588721e-02,2.978853e-03,2.978853e-03,,,899.1
440,1,2.804423,1.584384e-02,2.970719e-03,2.970719e-03,,,942.1
460,1,1.068799,1.580046e-02,2.962586e-03,2.962586e-03,,,985.0
480,1,1.128965,1.575708e-02,2.954452e-03,2.954452e-03,,,1027.9
500,1,1.021121,1.571370e-02,2.946318e-03,2.946318e-03,,,1070.9
520,1,2.123893,1.567032e-02,2.938185e-03,2.938185e-03,,,1114.0
540,1,1.465154,1.562694e-02,2.930051e-03,2.930051e-03,,,1156.9
560,1,2.043203,1.558356e-02,2.921918e-03,2.921918e-03,,,1199.8
580,1,1.270843,1.554018e-02,2.913784e-03,2.913784e-03,,,1242.6
600,1,1.382794,1.549680e-02,2.905651e-03,2.905651e-03,,,1285.5
620,1,1.928867,1.545342e-02,2.897517e-03,2.897517e-03,,,1328.5
640,1,1.419543,1.541005e-02,2.889384e-03,2.889384e-03,,,1371.3
660,1,1.715363,1.536667e-02,2.881250e-03,2.881250e-03,,,1414.3
680,1,1.342113,1.532329e-02,2.873116e-03,2.873116e-03,,,1457.1
700,1,1.276180,1.527991e-02,2.864983e-03,2.864983e-03,,,1500.0
720,1,1.569172,1.523653e-02,2.856849e-03,2.856849e-03,,,1542.7
740,1,1.269634,1.519315e-02,2.848716e-03,2.848716e-03,,,1585.5
760,1,1.531395,1.514977e-02,2.840582e-03,2.840582e-03,,,1628.7
780,1,1.010342,1.510639e-02,2.832449e-03,2.832449e-03,,,1672.0
800,1,2.246652,1.506301e-02,2.824315e-03,2.824315e-03,,,1715.1
820,1,2.396101,1.501963e-02,2.816182e-03,2.816182e-03,,,1758.1
840,1,1.734359,1.497626e-02,2.808048e-03,2.808048e-03,,,1801.0
860,1,1.328810,1.493288e-02,2.799914e-03,2.799914e-03,,,1844.3
880,1,2.080646,1.488950e-02,2.791781e-03,2.791781e-03,,,1887.6
900,1,1.672299,1.484612e-02,2.783647e-03,2.783647e-03,,,1930.3
920,1,1.252952,1.480274e-02,2.775514e-03,2.775514e-03,,,1973.0
940,1,1.847061,1.475936e-02,2.767380e-03,2.767380e-03,,,2015.9
960,1,1.300272,1.471598e-02,2.759247e-03,2.759247e-03,,,2058.8
980,1,1.354142,1.467260e-02,2.751113e-03,2.751113e-03,,,2101.8
1000,1,1.740727,1.462922e-02,2.742979e-03,2.742979e-03,,,2144.8
1020,1,1.518502,1.458584e-02,2.734846e-03,2.734846e-03,,,2188.2
1040,1,0.494047,1.454247e-02,2.726712e-03,2.726712e-03,,,2231.7
1060,1,1.347184,1.449909e-02,2.718579e-03,2.718579e-03,,,2274.7
1080,1,1.234282,1.445571e-02,2.710445e-03,2.710445e-03,,,2317.6
1100,1,0.965956,1.441233e-02,2.702312e-03,2.702312e-03,,,2360.6
1120,1,1.410732,1.436895e-02,2.694178e-03,2.694178e-03,,,2403.3
1140,1,0.867362,1.432557e-02,2.686045e-03,2.686045e-03,,,2446.3
1160,1,1.301331,1.428219e-02,2.677911e-03,2.677911e-03,,,2489.2
1180,1,1.497302,1.423881e-02,2.669777e-03,2.669777e-03,,,2532.2
1200,1,1.769954,1.419543e-02,2.661644e-03,2.661644e-03,,,2575.1
1220,1,1.193731,1.415205e-02,2.653510e-03,2.653510e-03,,,2618.1
1240,1,2.088279,1.410868e-02,2.645377e-03,2.645377e-03,,,2661.3
1260,1,1.386952,1.406530e-02,2.637243e-03,2.637243e-03,,,2704.2
1280,1,0.877313,1.402192e-02,2.629110e-03,2.629110e-03,,,2747.3
1300,1,1.346726,1.397854e-02,2.620976e-03,2.620976e-03,,,2790.4
1320,1,0.784485,1.393516e-02,2.612842e-03,2.612842e-03,,,2833.6
1340,1,0.740237,1.389178e-02,2.604709e-03,2.604709e-03,,,2876.6
1360,1,1.193622,1.384840e-02,2.596575e-03,2.596575e-03,,,2919.6
