step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
20,1,5.353924,8.695652e-04,1.630435e-04,1.630435e-04,,,42.8
40,1,4.224746,1.739130e-03,3.260870e-04,3.260870e-04,,,83.0
60,1,4.053575,2.608696e-03,4.891304e-04,4.891304e-04,,,123.3
80,1,3.708851,3.478261e-03,6.521739e-04,6.521739e-04,,,163.7
100,1,3.734007,4.347826e-03,8.152174e-04,8.152174e-04,,,204.5
120,1,4.121658,5.217391e-03,9.782609e-04,9.782609e-04,,,245.8
140,1,2.870137,6.086957e-03,1.141304e-03,1.141304e-03,,,287.7
160,1,3.184416,6.956522e-03,1.304348e-03,1.304348e-03,,,329.4
180,1,1.742188,7.826087e-03,1.467391e-03,1.467391e-03,,,371.4
200,1,2.092430,8.695652e-03,1.630435e-03,1.630435e-03,,,412.9
220,1,3.117835,9.565217e-03,1.793478e-03,1.793478e-03,,,454.4
240,1,1.437991,1.043478e-02,1.956522e-03,1.956522e-03,,,496.0
260,1,1.967890,1.130435e-02,2.119565e-03,2.119565e-03,,,537.7
280,1,1.834844,1.217391e-02,2.282609e-03,2.282609e-03,,,579.4
300,1,2.374330,1.304348e-02,2.445652e-03,2.445652e-03,,,621.0
320,1,1.970206,1.391304e-02,2.608696e-03,2.608696e-03,,,662.6
340,1,2.978837,1.478261e-02,2.771739e-03,2.771739e-03,,,704.0
360,1,2.390176,1.565217e-02,2.934783e-03,2.934783e-03,,,745.5
380,1,2.232431,1.597397e-02,2.995120e-03,2.995120e-03,,,787.0
400,1,1.538929,1.593059e-02,2.986986e-03,2.986986e-03,,,828.5
420,1,0.929983,1.588721e-02,2.978853e-03,2.978853e-03,,,870.0
440,1,2.709436,1.584384e-02,2.970719e-03,2.970719e-03,,,911.6
460,1,1.132228,1.580046e-02,2.962586e-03,2.962586e-03,,,953.0
480,1,1.216275,1.575708e-02,2.954452e-03,2.954452e-03,,,994.4
500,1,1.150458,1.571370e-02,2.946318e-03,2.946318e-03,,,1036.0
520,1,2.040716,1.567032e-02,2.938185e-03,2.938185e-03,,,1077.5
540,1,1.353885,1.562694e-02,2.930051e-03,2.930051e-03,,,1118.8
560,1,2.056005,1.558356e-02,2.921918e-03,2.921918e-03,,,1160.0
580,1,1.296858,1.554018e-02,2.913784e-03,2.913784e-03,,,1201.3
600,1,1.566376,1.549680e-02,2.905651e-03,2.905651e-03,,,1242.6
620,1,1.814913,1.545342e-02,2.897517e-03,2.897517e-03,,,1283.9
640,1,1.325687,1.541005e-02,2.889384e-03,2.889384e-03,,,1325.2
660,1,1.987201,1.536667e-02,2.881250e-03,2.881250e-03,,,1366.6
680,1,1.342265,1.532329e-02,2.873116e-03,2.873116e-03,,,1407.9
700,1,1.318838,1.527991e-02,2.864983e-03,2.864983e-03,,,1449.3
720,1,1.496649,1.523653e-02,2.856849e-03,2.856849e-03,,,1490.6
740,1,1.182300,1.519315e-02,2.848716e-03,2.848716e-03,,,1531.9
760,1,1.595935,1.514977e-02,2.840582e-03,2.840582e-03,,,1573.2
780,1,1.008498,1.510639e-02,2.832449e-03,2.832449e-03,,,1614.4
800,1,2.134542,1.506301e-02,2.824315e-03,2.824315e-03,,,1655.6
820,1,2.527129,1.501963e-02,2.816182e-03,2.816182e-03,,,1696.9
840,1,1.671477,1.497626e-02,2.808048e-03,2.808048e-03,,,1738.2
860,1,1.150437,1.493288e-02,2.799914e-03,2.799914e-03,,,1779.5
880,1,2.092512,1.488950e-02,2.791781e-03,2.791781e-03,,,1821.0
900,1,1.705776,1.484612e-02,2.783647e-03,2.783647e-03,,,1862.1
920,1,1.302435,1.480274e-02,2.775514e-03,2.775514e-03,,,1903.4
940,1,1.847337,1.475936e-02,2.767380e-03,2.767380e-03,,,1944.8
960,1,1.194587,1.471598e-02,2.759247e-03,2.759247e-03,,,1986.1
980,1,1.445696,1.467260e-02,2.751113e-03,2.751113e-03,,,2027.3
1000,1,1.989780,1.462922e-02,2.742979e-03,2.742979e-03,,,2068.7
1020,1,1.544082,1.458584e-02,2.734846e-03,2.734846e-03,,,2110.1
1040,1,0.542036,1.454247e-02,2.726712e-03,2.726712e-03,,,2151.5
1060,1,1.379442,1.449909e-02,2.718579e-03,2.718579e-03,,,2192.8
1080,1,1.390776,1.445571e-02,2.710445e-03,2.710445e-03,,,2234.1
1100,1,0.851083,1.441233e-02,2.702312e-03,2.702312e-03,,,2275.3
1120,1,1.387398,1.436895e-02,2.694178e-03,2.694178e-03,,,2316.5
1140,1,0.777005,1.432557e-02,2.686045e-03,2.686045e-03,,,2357.7
1160,1,1.314010,1.428219e-02,2.677911e-03,2.677911e-03,,,2398.9
1180,1,1.364388,1.423881e-02,2.669777e-03,2.669777e-03,,,2440.1
1200,1,1.925677,1.419543e-02,2.661644e-03,2.661644e-03,,,2481.4
1220,1,1.250776,1.415205e-02,2.653510e-03,2.653510e-03,,,2522.7
1240,1,2.144325,1.410868e-02,2.645377e-03,2.645377e-03,,,2564.0
1260,1,1.325754,1.406530e-02,2.637243e-03,2.637243e-03,,,2605.1
1280,1,1.072997,1.402192e-02,2.629110e-03,2.629110e-03,,,2646.4
1300,1,1.340281,1.397854e-02,2.620976e-03,2.620976e-03,,,2687.6
1320,1,0.880521,1.393516e-02,2.612842e-03,2.612842e-03,,,2728.7
1340,1,0.841179,1.389178e-02,2.604709e-03,2.604709e-03,,,2769.8
1360,1,1.266664,1.384840e-02,2.596575e-03,2.596575e-03,,,2811.0
1380,1,1.137136,1.380502e-02,2.588442e-03,2.588442e-03,,,2852.2
1400,1,1.188598,1.376164e-02,2.580308e-03,2.580308e-03,,,2893.4
1420,1,1.070342,1.371826e-02,2.572175e-03,2.572175e-03,,,2934.6
1440,1,1.383325,1.367489e-02,2.564041e-03,2.564041e-03,,,2975.8
1460,1,1.041078,1.363151e-02,2.555908e-03,2.555908e-03,,,3016.9
1480,1,2.162226,1.358813e-02,2.547774e-03,2.547774e-03,,,3058.0
1500,1,1.513526,1.354475e-02,2.539640e-03,2.539640e-03,,,3099.3
1520,1,1.927987,1.350137e-02,2.531507e-03,2.531507e-03,,,3140.5
1540,1,1.676623,1.345799e-02,2.523373e-03,2.523373e-03,,,3181.6
1560,1,1.935046,1.341461e-02,2.515240e-03,2.515240e-03,,,3222.8
1580,1,2.664129,1.337123e-02,2.507106e-03,2.507106e-03,,,3264.1
1600,1,2.007198,1.332785e-02,2.498973e-03,2.498973e-03,,,3305.2
1620,1,1.124791,1.328447e-02,2.490839e-03,2.490839e-03,,,3346.4
1640,1,1.899984,1.324110e-02,2.482705e-03,2.482705e-03,,,3387.5
1660,1,1.663454,1.319772e-02,2.474572e-03,2.474572e-03,,,3428.8
1680,1,2.052780,1.315434e-02,2.466438e-03,2.466438e-03,,,3470.0
1700,1,1.388244,1.311096e-02,2.458305e-03,2.458305e-03,,,3511.2
1720,1,1.929640,1.306758e-02,2.450171e-03,2.450171e-03,,,3552.3
1740,1,1.539703,1.302420e-02,2.442038e-03,2.442038e-03,,,3593.5
1760,1,1.296674,1.298082e-02,2.433904e-03,2.433904e-03,,,3634.7
1780,1,0.934241,1.293744e-02,2.425771e-03,2.425771e-03,,,3675.8
1800,1,0.845571,1.289406e-02,2.417637e-03,2.417637e-03,,,3716.9
1820,1,1.872379,1.285068e-02,2.409503e-03,2.409503e-03,,,3758.0
1840,1,1.216380,1.280731e-02,2.401370e-03,2.401370e-03,,,3799.1
1844,1,1.827708,1.279863e-02,2.399743e-03,2.399743e-03,80.71,71.24,3980.2
1860,2,1.437879,1.276393e-02,2.393236e-03,2.393236e-03,,,4013.2
1880,2,1.178783,1.272055e-02,2.385103e-03,2.385103e-03,,,4054.4
1900,2,0.863431,1.267717e-02,2.376969e-03,2.376969e-03,,,4095.5
1920,2,1.086296,1.263379e-02,2.368836e-03,2.368836e-03,,,4136.9
1940,2,1.487771,1.259041e-02,2.360702e-03,2.360702e-03,,,4178.0
1960,2,1.770457,1.254703e-02,2.352568e-03,2.352568e-03,,,4219.2
1980,2,1.642652,1.250365e-02,2.344435e-03,2.344435e-03,,,4260.3
2000,2,1.117288,1.246027e-02,2.336301e-03,2.336301e-03,,,4301.5
2020,2,1.392760,1.241689e-02,2.328168e-03,2.328168e-03,,,4342.7
2040,2,0.587681,1.237352e-02,2.320034e-03,2.320034e-03,,,4383.8
2060,2,0.896046,1.233014e-02,2.311901e-03,2.311901e-03,,,4424.9
2080,2,1.774147,1.228676e-02,2.303767e-03,2.303767e-03,,,4466.2
2100,2,1.891829,1.224338e-02,2.295634e-03,2.295634e-03,,,4507.6
2120,2,0.911061,1.220000e-02,2.287500e-03,2.287500e-03,,,4548.7
2140,2,1.353502,1.215662e-02,2.279366e-03,2.279366e-03,,,4589.9
2160,2,3.090393,1.211324e-02,2.271233e-03,2.271233e-03,,,4631.2
2180,2,1.276849,1.206986e-02,2.263099e-03,2.263099e-03,,,4672.4
2200,2,1.522757,1.202648e-02,2.254966e-03,2.254966e-03,,,4713.7
2220,2,0.721495,1.198311e-02,2.246832e-03,2.246832e-03,,,4754.8
2240,2,2.888922,1.193973e-02,2.238699e-03,2.238699e-03,,,4795.9
2260,2,0.944133,1.189635e-02,2.230565e-03,2.230565e-03,,,4837.2
2280,2,0.907602,1.185297e-02,2.222432e-03,2.222432e-03,,,4878.3
2300,2,1.386865,1.180959e-02,2.214298e-03,2.214298e-03,,,4919.4
2320,2,1.631780,1.176621e-02,2.206164e-03,2.206164e-03,,,4960.5
2340,2,1.796646,1.172283e-02,2.198031e-03,2.198031e-03,,,5001.8
2360,2,1.408641,1.167945e-02,2.189897e-03,2.189897e-03,,,5043.1
2380,2,1.805632,1.163607e-02,2.181764e-03,2.181764e-03,,,5084.2
2400,2,0.993535,1.159269e-02,2.173630e-03,2.173630e-03,,,5125.5
2420,2,1.114418,1.154932e-02,2.165497e-03,2.165497e-03,,,5166.6
2440,2,1.027502,1.150594e-02,2.157363e-03,2.157363e-03,,,5207.9
2460,2,1.194627,1.146256e-02,2.149229e-03,2.149229e-03,,,5249.2
2480,2,1.833972,1.141918e-02,2.141096e-03,2.141096e-03,,,5290.4
2500,2,1.030445,1.137580e-02,2.132962e-03,2.132962e-03,,,5331.6
2520,2,1.123706,1.133242e-02,2.124829e-03,2.124829e-03,,,5372.8
