step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
20,1,5.357414,8.695652e-04,1.630435e-04,1.630435e-04,,,43.0
40,1,4.224946,1.739130e-03,3.260870e-04,3.260870e-04,,,83.4
60,1,4.047992,2.608696e-03,4.891304e-04,4.891304e-04,,,124.1
80,1,3.669445,3.478261e-03,6.521739e-04,6.521739e-04,,,164.8
100,1,3.727093,4.347826e-03,8.152174e-04,8.152174e-04,,,206.0
120,1,4.003596,5.217391e-03,9.782609e-04,9.782609e-04,,,247.5
140,1,2.806033,6.086957e-03,1.141304e-03,1.141304e-03,,,289.5
160,1,3.297800,6.956522e-03,1.304348e-03,1.304348e-03,,,331.4
180,1,1.684516,7.826087e-03,1.467391e-03,1.467391e-03,,,373.4
200,1,2.137298,8.695652e-03,1.630435e-03,1.630435e-03,,,415.6
220,1,3.153373,9.565217e-03,1.793478e-03,1.793478e-03,,,457.8
240,1,1.412431,1.043478e-02,1.956522e-03,1.956522e-03,,,500.5
260,1,1.957997,1.130435e-02,2.119565e-03,2.119565e-03,,,543.1
280,1,1.834146,1.217391e-02,2.282609e-03,2.282609e-03,,,585.6
300,1,2.255850,1.304348e-02,2.445652e-03,2.445652e-03,,,628.0
320,1,1.964370,1.391304e-02,2.608696e-03,2.608696e-03,,,670.6
340,1,3.010105,1.478261e-02,2.771739e-03,2.771739e-03,,,712.6
360,1,2.333474,1.565217e-02,2.934783e-03,2.934783e-03,,,755.1
380,1,2.054284,1.597397e-02,2.995120e-03,2.995120e-03,,,797.1
400,1,1.559211,1.593059e-02,2.986986e-03,2.986986e-03,,,838.9
420,1,0.934923,1.588721e-02,2.978853e-03,2.978853e-03,,,880.9
440,1,2.612680,1.584384e-02,2.970719e-03,2.970719e-03,,,922.8
460,1,1.107859,1.580046e-02,2.962586e-03,2.962586e-03,,,964.9
480,1,1.175665,1.575708e-02,2.954452e-03,2.954452e-03,,,1006.8
500,1,0.929436,1.571370e-02,2.946318e-03,2.946318e-03,,,1048.8
520,1,1.963962,1.567032e-02,2.938185e-03,2.938185e-03,,,1091.2
540,1,1.447292,1.562694e-02,2.930051e-03,2.930051e-03,,,1133.3
560,1,2.116391,1.558356e-02,2.921918e-03,2.921918e-03,,,1175.1
580,1,1.264245,1.554018e-02,2.913784e-03,2.913784e-03,,,1216.8
600,1,1.406376,1.549680e-02,2.905651e-03,2.905651e-03,,,1258.7
620,1,1.769348,1.545342e-02,2.897517e-03,2.897517e-03,,,1300.8
640,1,1.457306,1.541005e-02,2.889384e-03,2.889384e-03,,,1342.6
660,1,1.851295,1.536667e-02,2.881250e-03,2.881250e-03,,,1384.4
680,1,1.349604,1.532329e-02,2.873116e-03,2.873116e-03,,,1426.1
700,1,1.271996,1.527991e-02,2.864983e-03,2.864983e-03,,,1468.0
720,1,1.508012,1.523653e-02,2.856849e-03,2.856849e-03,,,1509.8
740,1,1.333310,1.519315e-02,2.848716e-03,2.848716e-03,,,1551.7
760,1,1.570177,1.514977e-02,2.840582e-03,2.840582e-03,,,1593.5
780,1,0.917303,1.510639e-02,2.832449e-03,2.832449e-03,,,1635.4
800,1,2.281372,1.506301e-02,2.824315e-03,2.824315e-03,,,1677.0
820,1,2.391171,1.501963e-02,2.816182e-03,2.816182e-03,,,1718.7
840,1,1.656283,1.497626e-02,2.808048e-03,2.808048e-03,,,1760.3
860,1,1.219989,1.493288e-02,2.799914e-03,2.799914e-03,,,1802.0
880,1,1.877182,1.488950e-02,2.791781e-03,2.791781e-03,,,1844.1
900,1,1.582452,1.484612e-02,2.783647e-03,2.783647e-03,,,1885.7
920,1,1.358203,1.480274e-02,2.775514e-03,2.775514e-03,,,1927.5
940,1,1.678367,1.475936e-02,2.767380e-03,2.767380e-03,,,1969.4
960,1,1.152397,1.471598e-02,2.759247e-03,2.759247e-03,,,2010.8
980,1,1.253697,1.467260e-02,2.751113e-03,2.751113e-03,,,2052.4
1000,1,1.955435,1.462922e-02,2.742979e-03,2.742979e-03,,,2093.9
1020,1,1.577954,1.458584e-02,2.734846e-03,2.734846e-03,,,2135.7
1040,1,0.505716,1.454247e-02,2.726712e-03,2.726712e-03,,,2177.2
1060,1,1.390105,1.449909e-02,2.718579e-03,2.718579e-03,,,2218.6
1080,1,1.306958,1.445571e-02,2.710445e-03,2.710445e-03,,,2260.1
1100,1,0.831266,1.441233e-02,2.702312e-03,2.702312e-03,,,2301.5
1120,1,1.379068,1.436895e-02,2.694178e-03,2.694178e-03,,,2342.9
1140,1,0.806113,1.432557e-02,2.686045e-03,2.686045e-03,,,2384.4
1160,1,1.372186,1.428219e-02,2.677911e-03,2.677911e-03,,,2425.8
1180,1,1.465308,1.423881e-02,2.669777e-03,2.669777e-03,,,2467.6
1200,1,1.826820,1.419543e-02,2.661644e-03,2.661644e-03,,,2509.3
1220,1,1.220712,1.415205e-02,2.653510e-03,2.653510e-03,,,2551.0
1240,1,2.149453,1.410868e-02,2.645377e-03,2.645377e-03,,,2592.5
1260,1,1.532691,1.406530e-02,2.637243e-03,2.637243e-03,,,2634.1
1280,1,1.012884,1.402192e-02,2.629110e-03,2.629110e-03,,,2675.8
1300,1,1.359859,1.397854e-02,2.620976e-03,2.620976e-03,,,2717.5
1320,1,0.874361,1.393516e-02,2.612842e-03,2.612842e-03,,,2759.2
1340,1,0.849419,1.389178e-02,2.604709e-03,2.604709e-03,,,2800.8
