step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
20,1,5.356259,8.695652e-04,1.630435e-04,1.630435e-04,,,43.4
40,1,4.223907,1.739130e-03,3.260870e-04,3.260870e-04,,,84.4
60,1,4.057981,2.608696e-03,4.891304e-04,4.891304e-04,,,125.5
80,1,3.672865,3.478261e-03,6.521739e-04,6.521739e-04,,,167.0
100,1,3.708493,4.347826e-03,8.152174e-04,8.152174e-04,,,208.7
120,1,4.049698,5.217391e-03,9.782609e-04,9.782609e-04,,,251.4
140,1,2.777345,6.086957e-03,1.141304e-03,1.141304e-03,,,295.0
160,1,3.226897,6.956522e-03,1.304348e-03,1.304348e-03,,,338.7
180,1,1.750020,7.826087e-03,1.467391e-03,1.467391e-03,,,382.4
200,1,2.122485,8.695652e-03,1.630435e-03,1.630435e-03,,,425.9
220,1,3.119663,9.565217e-03,1.793478e-03,1.793478e-03,,,469.2
240,1,1.427918,1.043478e-02,1.956522e-03,1.956522e-03,,,512.5
260,1,1.952164,1.130435e-02,2.119565e-03,2.119565e-03,,,555.9
280,1,1.797455,1.217391e-02,2.282609e-03,2.282609e-03,,,599.5
300,1,2.314805,1.304348e-02,2.445652e-03,2.445652e-03,,,642.9
320,1,1.983903,1.391304e-02,2.608696e-03,2.608696e-03,,,686.4
340,1,3.040172,1.478261e-02,2.771739e-03,2.771739e-03,,,729.6
360,1,2.436256,1.565217e-02,2.934783e-03,2.934783e-03,,,773.2
380,1,2.082994,1.597397e-02,2.995120e-03,2.995120e-03,,,816.4
400,1,1.545154,1.593059e-02,2.986986e-03,2.986986e-03,,,859.7
420,1,0.900912,1.588721e-02,2.978853e-03,2.978853e-03,,,903.1
440,1,2.585394,1.584384e-02,2.970719e-03,2.970719e-03,,,946.4
460,1,1.058507,1.580046e-02,2.962586e-03,2.962586e-03,,,989.6
480,1,1.297271,1.575708e-02,2.954452e-03,2.954452e-03,,,1033.0
500,1,0.949156,1.571370e-02,2.946318e-03,2.946318e-03,,,1076.4
520,1,2.093746,1.567032e-02,2.938185e-03,2.938185e-03,,,1119.7
540,1,1.416224,1.562694e-02,2.930051e-03,2.930051e-03,,,1162.8
560,1,2.045290,1.558356e-02,2.921918e-03,2.921918e-03,,,1205.8
580,1,1.336507,1.554018e-02,2.913784e-03,2.913784e-03,,,1248.7
600,1,1.427283,1.549680e-02,2.905651e-03,2.905651e-03,,,1291.6
620,1,1.922596,1.545342e-02,2.897517e-03,2.897517e-03,,,1334.7
640,1,1.451009,1.541005e-02,2.889384e-03,2.889384e-03,,,1377.6
660,1,1.979637,1.536667e-02,2.881250e-03,2.881250e-03,,,1420.5
680,1,1.268712,1.532329e-02,2.873116e-03,2.873116e-03,,,1463.3
700,1,1.432323,1.527991e-02,2.864983e-03,2.864983e-03,,,1506.3
720,1,1.432023,1.523653e-02,2.856849e-03,2.856849e-03,,,1549.1
740,1,1.329986,1.519315e-02,2.848716e-03,2.848716e-03,,,1592.0
760,1,1.507009,1.514977e-02,2.840582e-03,2.840582e-03,,,1634.9
780,1,0.983693,1.510639e-02,2.832449e-03,2.832449e-03,,,1677.8
800,1,2.257360,1.506301e-02,2.824315e-03,2.824315e-03,,,1720.6
820,1,2.348927,1.501963e-02,2.816182e-03,2.816182e-03,,,1763.6
840,1,1.697951,1.497626e-02,2.808048e-03,2.808048e-03,,,1806.3
860,1,1.098866,1.493288e-02,2.799914e-03,2.799914e-03,,,1849.1
