step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
20,1,5.356459,8.695652e-04,1.630435e-04,1.630435e-04,,,43.6
40,1,4.224613,1.739130e-03,3.260870e-04,3.260870e-04,,,84.6
60,1,4.049124,2.608696e-03,4.891304e-04,4.891304e-04,,,126.0
80,1,3.658281,3.478261e-03,6.521739e-04,6.521739e-04,,,167.6
100,1,3.745366,4.347826e-03,8.152174e-04,8.152174e-04,,,209.7
120,1,4.065249,5.217391e-03,9.782609e-04,9.782609e-04,,,252.7
140,1,2.861888,6.086957e-03,1.141304e-03,1.141304e-03,,,296.4
160,1,3.312238,6.956522e-03,1.304348e-03,1.304348e-03,,,340.1
180,1,1.721815,7.826087e-03,1.467391e-03,1.467391e-03,,,384.1
200,1,2.093746,8.695652e-03,1.630435e-03,1.630435e-03,,,427.7
220,1,3.171095,9.565217e-03,1.793478e-03,1.793478e-03,,,471.2
240,1,1.407091,1.043478e-02,1.956522e-03,1.956522e-03,,,514.9
260,1,2.025191,1.130435e-02,2.119565e-03,2.119565e-03,,,558.5
280,1,1.926220,1.217391e-02,2.282609e-03,2.282609e-03,,,602.1
300,1,2.334957,1.304348e-02,2.445652e-03,2.445652e-03,,,645.9
320,1,1.957390,1.391304e-02,2.608696e-03,2.608696e-03,,,689.6
340,1,2.967507,1.478261e-02,2.771739e-03,2.771739e-03,,,733.0
360,1,2.419904,1.565217e-02,2.934783e-03,2.934783e-03,,,776.7
380,1,2.091978,1.597397e-02,2.995120e-03,2.995120e-03,,,820.0
400,1,1.610928,1.593059e-02,2.986986e-03,2.986986e-03,,,863.4
420,1,0.970718,1.588721e-02,2.978853e-03,2.978853e-03,,,907.0
440,1,2.653145,1.584384e-02,2.970719e-03,2.970719e-03,,,950.6
460,1,1.053674,1.580046e-02,2.962586e-03,2.962586e-03,,,994.2
480,1,1.238163,1.575708e-02,2.954452e-03,2.954452e-03,,,1037.6
500,1,0.908380,1.571370e-02,2.946318e-03,2.946318e-03,,,1081.0
520,1,2.081605,1.567032e-02,2.938185e-03,2.938185e-03,,,1124.5
540,1,1.556166,1.562694e-02,2.930051e-03,2.930051e-03,,,1167.9
560,1,2.105282,1.558356e-02,2.921918e-03,2.921918e-03,,,1211.0
580,1,1.425003,1.554018e-02,2.913784e-03,2.913784e-03,,,1254.2
600,1,1.469783,1.549680e-02,2.905651e-03,2.905651e-03,,,1297.7
620,1,1.919129,1.545342e-02,2.897517e-03,2.897517e-03,,,1341.1
640,1,1.475425,1.541005e-02,2.889384e-03,2.889384e-03,,,1384.6
660,1,1.937132,1.536667e-02,2.881250e-03,2.881250e-03,,,1428.2
680,1,1.249929,1.532329e-02,2.873116e-03,2.873116e-03,,,1471.6
700,1,1.268889,1.527991e-02,2.864983e-03,2.864983e-03,,,1516.0
720,1,1.505603,1.523653e-02,2.856849e-03,2.856849e-03,,,1559.4
740,1,1.349841,1.519315e-02,2.848716e-03,2.848716e-03,,,1602.7
760,1,1.488086,1.514977e-02,2.840582e-03,2.840582e-03,,,1646.0
780,1,0.951239,1.510639e-02,2.832449e-03,2.832449e-03,,,1689.3
800,1,2.295112,1.506301e-02,2.824315e-03,2.824315e-03,,,1732.6
820,1,2.460313,1.501963e-02,2.816182e-03,2.816182e-03,,,1776.1
840,1,1.817767,1.497626e-02,2.808048e-03,2.808048e-03,,,1819.3
860,1,1.149505,1.493288e-02,2.799914e-03,2.799914e-03,,,1862.4
880,1,1.877689,1.488950e-02,2.791781e-03,2.791781e-03,,,1905.7
900,1,1.654152,1.484612e-02,2.783647e-03,2.783647e-03,,,1948.6
920,1,1.458272,1.480274e-02,2.775514e-03,2.775514e-03,,,1991.6
940,1,1.876168,1.475936e-02,2.767380e-03,2.767380e-03,,,2034.8
960,1,1.302459,1.471598e-02,2.759247e-03,2.759247e-03,,,2077.8
980,1,1.330694,1.467260e-02,2.751113e-03,2.751113e-03,,,2120.8
1000,1,1.845634,1.462922e-02,2.742979e-03,2.742979e-03,,,2163.7
1020,1,1.546612,1.458584e-02,2.734846e-03,2.734846e-03,,,2206.8
1040,1,0.510201,1.454247e-02,2.726712e-03,2.726712e-03,,,2249.9
1060,1,1.304732,1.449909e-02,2.718579e-03,2.718579e-03,,,2293.0
1080,1,1.162416,1.445571e-02,2.710445e-03,2.710445e-03,,,2336.3
1100,1,0.957129,1.441233e-02,2.702312e-03,2.702312e-03,,,2379.2
1120,1,1.382554,1.436895e-02,2.694178e-03,2.694178e-03,,,2422.3
1140,1,0.780402,1.432557e-02,2.686045e-03,2.686045e-03,,,2465.3
1160,1,1.409628,1.428219e-02,2.677911e-03,2.677911e-03,,,2508.5
1180,1,1.353277,1.423881e-02,2.669777e-03,2.669777e-03,,,2551.6
1200,1,1.909008,1.419543e-02,2.661644e-03,2.661644e-03,,,2594.9
1220,1,1.352533,1.415205e-02,2.653510e-03,2.653510e-03,,,2638.1
1240,1,2.196295,1.410868e-02,2.645377e-03,2.645377e-03,,,2681.2
1260,1,1.419325,1.406530e-02,2.637243e-03,2.637243e-03,,,2724.2
1280,1,0.959387,1.402192e-02,2.629110e-03,2.629110e-03,,,2767.4
1300,1,1.419047,1.397854e-02,2.620976e-03,2.620976e-03,,,2810.5
1320,1,0.850047,1.393516e-02,2.612842e-03,2.612842e-03,,,2853.5
1340,1,0.743910,1.389178e-02,2.604709e-03,2.604709e-03,,,2896.3
1360,1,1.261843,1.384840e-02,2.596575e-03,2.596575e-03,,,2939.3
