step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
20,1,5.357515,8.695652e-04,1.630435e-04,1.630435e-04,,,43.1
40,1,4.228046,1.739130e-03,3.260870e-04,3.260870e-04,,,83.6
60,1,4.050444,2.608696e-03,4.891304e-04,4.891304e-04,,,124.3
80,1,3.682935,3.478261e-03,6.521739e-04,6.521739e-04,,,164.8
100,1,3.702289,4.347826e-03,8.152174e-04,8.152174e-04,,,205.7
120,1,4.047790,5.217391e-03,9.782609e-04,9.782609e-04,,,247.1
140,1,2.824510,6.086957e-03,1.141304e-03,1.141304e-03,,,289.1
160,1,3.183919,6.956522e-03,1.304348e-03,1.304348e-03,,,330.9
180,1,1.761801,7.826087e-03,1.467391e-03,1.467391e-03,,,372.9
200,1,2.077045,8.695652e-03,1.630435e-03,1.630435e-03,,,414.8
220,1,3.177050,9.565217e-03,1.793478e-03,1.793478e-03,,,456.5
240,1,1.404498,1.043478e-02,1.956522e-03,1.956522e-03,,,498.4
260,1,2.026023,1.130435e-02,2.119565e-03,2.119565e-03,,,540.4
280,1,1.876558,1.217391e-02,2.282609e-03,2.282609e-03,,,582.1
300,1,2.253891,1.304348e-02,2.445652e-03,2.445652e-03,,,623.9
320,1,1.809910,1.391304e-02,2.608696e-03,2.608696e-03,,,665.7
340,1,3.045223,1.478261e-02,2.771739e-03,2.771739e-03,,,707.6
360,1,2.313053,1.565217e-02,2.934783e-03,2.934783e-03,,,749.5
380,1,2.236882,1.597397e-02,2.995120e-03,2.995120e-03,,,791.2
400,1,1.510673,1.593059e-02,2.986986e-03,2.986986e-03,,,832.9
420,1,0.934089,1.588721e-02,2.978853e-03,2.978853e-03,,,874.7
440,1,2.763127,1.584384e-02,2.970719e-03,2.970719e-03,,,916.4
460,1,1.056627,1.580046e-02,2.962586e-03,2.962586e-03,,,958.1
480,1,1.307725,1.575708e-02,2.954452e-03,2.954452e-03,,,999.7
500,1,0.971935,1.571370e-02,2.946318e-03,2.946318e-03,,,1041.4
520,1,2.021950,1.567032e-02,2.938185e-03,2.938185e-03,,,1083.3
540,1,1.451612,1.562694e-02,2.930051e-03,2.930051e-03,,,1125.4
560,1,2.127699,1.558356e-02,2.921918e-03,2.921918e-03,,,1167.0
580,1,1.331634,1.554018e-02,2.913784e-03,2.913784e-03,,,1208.6
600,1,1.419386,1.549680e-02,2.905651e-03,2.905651e-03,,,1250.2
620,1,1.756596,1.545342e-02,2.897517e-03,2.897517e-03,,,1291.9
640,1,1.518649,1.541005e-02,2.889384e-03,2.889384e-03,,,1333.6
660,1,1.750081,1.536667e-02,2.881250e-03,2.881250e-03,,,1375.1
680,1,1.374323,1.532329e-02,2.873116e-03,2.873116e-03,,,1416.7
700,1,1.277616,1.527991e-02,2.864983e-03,2.864983e-03,,,1458.5
720,1,1.687618,1.523653e-02,2.856849e-03,2.856849e-03,,,1500.0
740,1,1.393571,1.519315e-02,2.848716e-03,2.848716e-03,,,1541.6
760,1,1.573523,1.514977e-02,2.840582e-03,2.840582e-03,,,1583.2
780,1,1.049435,1.510639e-02,2.832449e-03,2.832449e-03,,,1624.8
800,1,2.249123,1.506301e-02,2.824315e-03,2.824315e-03,,,1666.4
820,1,2.533727,1.501963e-02,2.816182e-03,2.816182e-03,,,1707.9
840,1,1.621480,1.497626e-02,2.808048e-03,2.808048e-03,,,1749.5
860,1,1.217119,1.493288e-02,2.799914e-03,2.799914e-03,,,1791.1
880,1,1.947767,1.488950e-02,2.791781e-03,2.791781e-03,,,1832.7
900,1,1.638833,1.484612e-02,2.783647e-03,2.783647e-03,,,1874.3
920,1,1.303362,1.480274e-02,2.775514e-03,2.775514e-03,,,1915.9
940,1,1.788645,1.475936e-02,2.767380e-03,2.767380e-03,,,1957.4
960,1,1.314867,1.471598e-02,2.759247e-03,2.759247e-03,,,1998.9
980,1,1.378921,1.467260e-02,2.751113e-03,2.751113e-03,,,2040.4
1000,1,1.633663,1.462922e-02,2.742979e-03,2.742979e-03,,,2082.1
1020,1,1.589653,1.458584e-02,2.734846e-03,2.734846e-03,,,2123.9
1040,1,0.597086,1.454247e-02,2.726712e-03,2.726712e-03,,,2165.8
1060,1,1.254777,1.449909e-02,2.718579e-03,2.718579e-03,,,2207.7
1080,1,1.303542,1.445571e-02,2.710445e-03,2.710445e-03,,,2249.5
1100,1,0.899198,1.441233e-02,2.702312e-03,2.702312e-03,,,2291.1
1120,1,1.386654,1.436895e-02,2.694178e-03,2.694178e-03,,,2332.8
1140,1,0.920775,1.432557e-02,2.686045e-03,2.686045e-03,,,2374.4
1160,1,1.440447,1.428219e-02,2.677911e-03,2.677911e-03,,,2416.1
1180,1,1.576278,1.423881e-02,2.669777e-03,2.669777e-03,,,2457.9
1200,1,1.876041,1.419543e-02,2.661644e-03,2.661644e-03,,,2499.4
1220,1,1.486779,1.415205e-02,2.653510e-03,2.653510e-03,,,2541.2
1240,1,2.281418,1.410868e-02,2.645377e-03,2.645377e-03,,,2582.8
1260,1,1.540728,1.406530e-02,2.637243e-03,2.637243e-03,,,2624.3
1280,1,0.918651,1.402192e-02,2.629110e-03,2.629110e-03,,,2665.7
1300,1,1.550131,1.397854e-02,2.620976e-03,2.620976e-03,,,2707.3
1320,1,0.769989,1.393516e-02,2.612842e-03,2.612842e-03,,,2748.9
1340,1,0.950554,1.389178e-02,2.604709e-03,2.604709e-03,,,2790.4
1360,1,1.276138,1.384840e-02,2.596575e-03,2.596575e-03,,,2831.9
1380,1,1.198358,1.380502e-02,2.588442e-03,2.588442e-03,,,2873.5
1400,1,1.291974,1.376164e-02,2.580308e-03,2.580308e-03,,,2915.3
1420,1,1.158077,1.371826e-02,2.572175e-03,2.572175e-03,,,2956.9
1440,1,1.324121,1.367489e-02,2.564041e-03,2.564041e-03,,,2998.5
1460,1,0.915544,1.363151e-02,2.555908e-03,2.555908e-03,,,3039.9
1480,1,2.299065,1.358813e-02,2.547774e-03,2.547774e-03,,,3081.3
1500,1,1.585755,1.354475e-02,2.539640e-03,2.539640e-03,,,3122.9
1520,1,2.368987,1.350137e-02,2.531507e-03,2.531507e-03,,,3164.4
1540,1,1.443672,1.345799e-02,2.523373e-03,2.523373e-03,,,3205.9
1560,1,1.877145,1.341461e-02,2.515240e-03,2.515240e-03,,,3247.3
