step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
20,1,5.851186,1.934959e-03,4.119241e-05,4.119241e-05,,,25.7
40,1,5.644180,3.869919e-03,8.238482e-05,8.238482e-05,,,42.9
60,1,5.275717,5.804878e-03,1.235772e-04,1.235772e-04,,,60.2
80,1,4.841852,7.739837e-03,1.647696e-04,1.647696e-04,,,77.5
100,1,4.397676,9.674797e-03,2.059621e-04,2.059621e-04,,,94.7
120,1,4.404219,1.160976e-02,2.471545e-04,2.471545e-04,,,112.0
140,1,3.791317,1.354472e-02,2.883469e-04,2.883469e-04,,,129.2
160,1,4.172688,1.547967e-02,3.295393e-04,3.295393e-04,,,146.4
180,1,3.576327,1.741463e-02,3.707317e-04,3.707317e-04,,,163.7
200,1,3.176221,1.934959e-02,4.119241e-04,4.119241e-04,,,181.2
220,1,2.967276,2.128455e-02,4.531165e-04,4.531165e-04,,,198.4
240,1,2.541763,2.321951e-02,4.943089e-04,4.943089e-04,,,215.7
260,1,2.378620,2.515447e-02,5.355014e-04,5.355014e-04,,,232.9
280,1,2.333508,2.708943e-02,5.766938e-04,5.766938e-04,,,250.2
300,1,2.252019,2.902439e-02,6.178862e-04,6.178862e-04,,,267.5
320,1,2.511622,3.095935e-02,6.590786e-04,6.590786e-04,,,284.7
340,1,2.074573,3.289431e-02,7.002710e-04,7.002710e-04,,,302.0
360,1,2.484607,3.482927e-02,7.414634e-04,7.414634e-04,,,319.2
380,1,2.178578,3.567199e-02,7.594038e-04,7.594038e-04,,,336.5
400,1,2.013164,3.562107e-02,7.583198e-04,7.583198e-04,,,353.7
420,1,1.602151,3.557015e-02,7.572358e-04,7.572358e-04,,,371.1
440,1,1.945666,3.551923e-02,7.561518e-04,7.561518e-04,,,388.4
460,1,1.800399,3.546831e-02,7.550678e-04,7.550678e-04,,,405.6
480,1,1.649206,3.541739e-02,7.539837e-04,7.539837e-04,,,422.8
500,1,1.632714,3.536647e-02,7.528997e-04,7.528997e-04,,,440.1
520,1,1.915379,3.531555e-02,7.518157e-04,7.518157e-04,,,457.3
540,1,1.930879,3.526463e-02,7.507317e-04,7.507317e-04,,,474.5
560,1,1.597018,3.521371e-02,7.496477e-04,7.496477e-04,,,491.8
580,1,1.890810,3.516279e-02,7.485637e-04,7.485637e-04,,,509.0
600,1,1.568238,3.511187e-02,7.474797e-04,7.474797e-04,,,526.3
620,1,1.758372,3.506095e-02,7.463957e-04,7.463957e-04,,,543.5
640,1,1.648276,3.501003e-02,7.453117e-04,7.453117e-04,,,560.7
660,1,1.561213,3.495911e-02,7.442276e-04,7.442276e-04,,,578.0
680,1,2.009248,3.490819e-02,7.431436e-04,7.431436e-04,,,595.2
700,1,1.512471,3.485727e-02,7.420596e-04,7.420596e-04,,,612.6
720,1,1.660591,3.480635e-02,7.409756e-04,7.409756e-04,,,629.8
740,1,1.426515,3.475543e-02,7.398916e-04,7.398916e-04,,,647.1
760,1,1.580294,3.470451e-02,7.388076e-04,7.388076e-04,,,664.3
780,1,1.774780,3.465359e-02,7.377236e-04,7.377236e-04,,,681.5
800,1,1.671657,3.460267e-02,7.366396e-04,7.366396e-04,,,698.8
820,1,1.541775,3.455175e-02,7.355556e-04,7.355556e-04,,,716.0
840,1,1.177080,3.450083e-02,7.344715e-04,7.344715e-04,,,733.2
860,1,1.390578,3.444991e-02,7.333875e-04,7.333875e-04,,,750.5
880,1,1.548974,3.439899e-02,7.323035e-04,7.323035e-04,,,767.7
900,1,1.195991,3.434807e-02,7.312195e-04,7.312195e-04,,,785.1
920,1,1.628281,3.429715e-02,7.301355e-04,7.301355e-04,,,802.3
940,1,1.524522,3.424623e-02,7.290515e-04,7.290515e-04,,,819.6
960,1,1.456080,3.419531e-02,7.279675e-04,7.279675e-04,,,836.8
980,1,1.334261,3.414439e-02,7.268835e-04,7.268835e-04,,,854.0
1000,1,1.211028,3.409347e-02,7.257995e-04,7.257995e-04,,,871.3
1020,1,1.427138,3.404255e-02,7.247154e-04,7.247154e-04,,,888.5
1040,1,1.542464,3.399163e-02,7.236314e-04,7.236314e-04,,,905.7
1060,1,1.297665,3.394071e-02,7.225474e-04,7.225474e-04,,,922.9
1080,1,1.468650,3.388979e-02,7.214634e-04,7.214634e-04,,,940.2
1100,1,1.459036,3.383887e-02,7.203794e-04,7.203794e-04,,,957.4
1120,1,1.842109,3.378795e-02,7.192954e-04,7.192954e-04,,,974.6
1140,1,1.124430,3.373703e-02,7.182114e-04,7.182114e-04,,,991.9
1160,1,1.402731,3.368611e-02,7.171274e-04,7.171274e-04,,,1009.1
1180,1,1.285633,3.363519e-02,7.160434e-04,7.160434e-04,,,1026.5
1200,1,1.794883,3.358427e-02,7.149593e-04,7.149593e-04,,,1043.8
1220,1,1.254000,3.353335e-02,7.138753e-04,7.138753e-04,,,1061.1
1240,1,1.714238,3.348243e-02,7.127913e-04,7.127913e-04,,,1078.3
1260,1,1.221650,3.343151e-02,7.117073e-04,7.117073e-04,,,1095.6
1280,1,1.006374,3.338059e-02,7.106233e-04,7.106233e-04,,,1112.8
1300,1,1.356363,3.332967e-02,7.095393e-04,7.095393e-04,,,1130.1
1320,1,0.913935,3.327875e-02,7.084553e-04,7.084553e-04,,,1147.3
1340,1,1.260411,3.322783e-02,7.073713e-04,7.073713e-04,,,1164.6
1360,1,1.118641,3.317691e-02,7.062873e-04,7.062873e-04,,,1181.8
1380,1,1.889317,3.312599e-02,7.052033e-04,7.052033e-04,,,1199.0
1400,1,1.330780,3.307507e-02,7.041192e-04,7.041192e-04,,,1216.4
1420,1,1.217297,3.302415e-02,7.030352e-04,7.030352e-04,,,1233.7
1440,1,1.728104,3.297323e-02,7.019512e-04,7.019512e-04,,,1250.9
1460,1,0.941293,3.292231e-02,7.008672e-04,7.008672e-04,,,1268.1
1480,1,1.806962,3.287139e-02,6.997832e-04,6.997832e-04,,,1285.4
1500,1,1.685053,3.282047e-02,6.986992e-04,6.986992e-04,,,1302.6
1520,1,1.155457,3.276955e-02,6.976152e-04,6.976152e-04,,,1319.8
1540,1,0.981279,3.271864e-02,6.965312e-04,6.965312e-04,,,1337.1
1560,1,1.196990,3.266772e-02,6.954472e-04,6.954472e-04,,,1354.3
1580,1,1.709056,3.261680e-02,6.943631e-04,6.943631e-04,,,1371.5
1600,1,1.325003,3.256588e-02,6.932791e-04,6.932791e-04,,,1388.8
1620,1,0.947056,3.251496e-02,6.921951e-04,6.921951e-04,,,1406.0
1640,1,1.446642,3.246404e-02,6.911111e-04,6.911111e-04,,,1423.2
1660,1,1.021593,3.241312e-02,6.900271e-04,6.900271e-04,,,1440.5
1680,1,1.344018,3.236220e-02,6.889431e-04,6.889431e-04,,,1457.9
1700,1,1.800228,3.231128e-02,6.878591e-04,6.878591e-04,,,1475.1
1720,1,1.597487,3.226036e-02,6.867751e-04,6.867751e-04,,,1492.3
1740,1,1.445499,3.220944e-02,6.856911e-04,6.856911e-04,,,1509.6
1760,1,1.521485,3.215852e-02,6.846070e-04,6.846070e-04,,,1526.9
1780,1,0.950714,3.210760e-02,6.835230e-04,6.835230e-04,,,1544.1
1800,1,1.069442,3.205668e-02,6.824390e-04,6.824390e-04,,,1561.4
1820,1,1.360051,3.200576e-02,6.813550e-04,6.813550e-04,,,1578.6
1840,1,1.355429,3.195484e-02,6.802710e-04,6.802710e-04,,,1595.9
1845,1,1.894736,3.194211e-02,6.800000e-04,6.800000e-04,82.80,74.23,1703.6
1860,2,1.055958,3.190392e-02,6.791870e-04,6.791870e-04,,,1716.7
1880,2,1.444032,3.185300e-02,6.781030e-04,6.781030e-04,,,1733.9
1900,2,1.173253,3.180208e-02,6.770190e-04,6.770190e-04,,,1751.2
1920,2,1.174921,3.175116e-02,6.759350e-04,6.759350e-04,,,1768.4
1940,2,1.139567,3.170024e-02,6.748509e-04,6.748509e-04,,,1785.7
1960,2,1.215029,3.164932e-02,6.737669e-04,6.737669e-04,,,1802.9
1980,2,0.962051,3.159840e-02,6.726829e-04,6.726829e-04,,,1820.2
2000,2,1.624564,3.154748e-02,6.715989e-04,6.715989e-04,,,1837.4
2020,2,0.872019,3.149656e-02,6.705149e-04,6.705149e-04,,,1854.6
2040,2,0.965965,3.144564e-02,6.694309e-04,6.694309e-04,,,1871.9
2060,2,1.208215,3.139472e-02,6.683469e-04,6.683469e-04,,,1889.3
2080,2,1.204515,3.134380e-02,6.672629e-04,6.672629e-04,,,1906.5
2100,2,1.643137,3.129288e-02,6.661789e-04,6.661789e-04,,,1923.7
2120,2,0.829300,3.124196e-02,6.650949e-04,6.650949e-04,,,1941.0
2140,2,1.483048,3.119104e-02,6.640108e-04,6.640108e-04,,,1958.2
2160,2,1.330330,3.114012e-02,6.629268e-04,6.629268e-04,,,1975.4
2180,2,1.678546,3.108920e-02,6.618428e-04,6.618428e-04,,,1992.7
2200,2,0.865632,3.103828e-02,6.607588e-04,6.607588e-04,,,2009.9
2220,2,0.961185,3.098736e-02,6.596748e-04,6.596748e-04,,,2027.1
2240,2,1.053451,3.093644e-02,6.585908e-04,6.585908e-04,,,2044.4
2260,2,1.101450,3.088552e-02,6.575068e-04,6.575068e-04,,,2061.6
2280,2,0.961460,3.083460e-02,6.564228e-04,6.564228e-04,,,2078.8
2300,2,0.977100,3.078368e-02,6.553388e-04,6.553388e-04,,,2096.0
2320,2,1.167945,3.073276e-02,6.542547e-04,6.542547e-04,,,2113.3
2340,2,1.390806,3.068184e-02,6.531707e-04,6.531707e-04,,,2130.7
2360,2,1.300814,3.063092e-02,6.520867e-04,6.520867e-04,,,2147.9
2380,2,1.192994,3.058000e-02,6.510027e-04,6.510027e-04,,,2165.1
2400,2,1.228646,3.052908e-02,6.499187e-04,6.499187e-04,,,2182.4
2420,2,1.180428,3.047816e-02,6.488347e-04,6.488347e-04,,,2199.6
2440,2,1.152443,3.042724e-02,6.477507e-04,6.477507e-04,,,2216.8
2460,2,1.174997,3.037632e-02,6.466667e-04,6.466667e-04,,,2234.1
2480,2,0.858904,3.032540e-02,6.455827e-04,6.455827e-04,,,2251.3
2500,2,1.106654,3.027448e-02,6.444986e-04,6.444986e-04,,,2268.5
2520,2,1.153415,3.022356e-02,6.434146e-04,6.434146e-04,,,2285.8
2540,2,1.059310,3.017264e-02,6.423306e-04,6.423306e-04,,,2303.0
2560,2,1.227052,3.012172e-02,6.412466e-04,6.412466e-04,,,2320.4
2580,2,0.699715,3.007080e-02,6.401626e-04,6.401626e-04,,,2337.6
2600,2,1.157662,3.001988e-02,6.390786e-04,6.390786e-04,,,2354.9
2620,2,0.997730,2.996896e-02,6.379946e-04,6.379946e-04,,,2372.1
2640,2,1.363986,2.991804e-02,6.369106e-04,6.369106e-04,,,2389.4
2660,2,0.808862,2.986712e-02,6.358266e-04,6.358266e-04,,,2406.6
2680,2,1.133023,2.981620e-02,6.347425e-04,6.347425e-04,,,2423.9
2700,2,0.858968,2.976528e-02,6.336585e-04,6.336585e-04,,,2441.1
2720,2,1.123941,2.971436e-02,6.325745e-04,6.325745e-04,,,2458.4
2740,2,1.020478,2.966344e-02,6.314905e-04,6.314905e-04,,,2475.6
2760,2,1.104332,2.961252e-02,6.304065e-04,6.304065e-04,,,2492.9
2780,2,1.478545,2.956160e-02,6.293225e-04,6.293225e-04,,,2510.1
2800,2,0.973642,2.951068e-02,6.282385e-04,6.282385e-04,,,2527.3
2820,2,1.121512,2.945976e-02,6.271545e-04,6.271545e-04,,,2544.6
2840,2,1.156913,2.940884e-02,6.260705e-04,6.260705e-04,,,2562.0
2860,2,1.405032,2.935792e-02,6.249864e-04,6.249864e-04,,,2579.2
2880,2,1.445020,2.930700e-02,6.239024e-04,6.239024e-04,,,2596.4
2900,2,0.879649,2.925608e-02,6.228184e-04,6.228184e-04,,,2613.6
2920,2,1.166477,2.920516e-02,6.217344e-04,6.217344e-04,,,2630.9
2940,2,1.121998,2.915424e-02,6.206504e-04,6.206504e-04,,,2648.1
2960,2,0.965379,2.910332e-02,6.195664e-04,6.195664e-04,,,2665.3
2980,2,1.536459,2.905240e-02,6.184824e-04,6.184824e-04,,,2682.6
3000,2,0.949796,2.900148e-02,6.173984e-04,6.173984e-04,,,2699.8
3020,2,1.090715,2.895056e-02,6.163144e-04,6.163144e-04,,,2717.0
3040,2,1.730395,2.889964e-02,6.152304e-04,6.152304e-04,,,2734.2
