step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
20,1,5.848597,1.934959e-03,4.119241e-05,4.119241e-05,,,18.3
40,1,5.635907,3.869919e-03,8.238482e-05,8.238482e-05,,,31.9
60,1,5.328752,5.804878e-03,1.235772e-04,1.235772e-04,,,45.5
80,1,4.906822,7.739837e-03,1.647696e-04,1.647696e-04,,,59.1
100,1,4.409512,9.674797e-03,2.059621e-04,2.059621e-04,,,72.7
120,1,4.473969,1.160976e-02,2.471545e-04,2.471545e-04,,,86.3
140,1,3.880140,1.354472e-02,2.883469e-04,2.883469e-04,,,99.9
160,1,4.203336,1.547967e-02,3.295393e-04,3.295393e-04,,,113.4
180,1,3.815578,1.741463e-02,3.707317e-04,3.707317e-04,,,127.0
200,1,3.311959,1.934959e-02,4.119241e-04,4.119241e-04,,,140.5
220,1,3.300121,2.128455e-02,4.531165e-04,4.531165e-04,,,154.1
240,1,2.516660,2.321951e-02,4.943089e-04,4.943089e-04,,,167.7
260,1,2.407429,2.515447e-02,5.355014e-04,5.355014e-04,,,181.3
280,1,2.209365,2.708943e-02,5.766938e-04,5.766938e-04,,,194.8
300,1,2.275841,2.902439e-02,6.178862e-04,6.178862e-04,,,208.4
320,1,2.514148,3.095935e-02,6.590786e-04,6.590786e-04,,,222.0
340,1,2.203761,3.289431e-02,7.002710e-04,7.002710e-04,,,235.6
360,1,2.217243,3.482927e-02,7.414634e-04,7.414634e-04,,,249.2
380,1,2.115336,3.567199e-02,7.594038e-04,7.594038e-04,,,262.8
400,1,2.069572,3.562107e-02,7.583198e-04,7.583198e-04,,,276.3
420,1,1.502662,3.557015e-02,7.572358e-04,7.572358e-04,,,289.9
440,1,1.801422,3.551923e-02,7.561518e-04,7.561518e-04,,,303.5
460,1,1.666653,3.546831e-02,7.550678e-04,7.550678e-04,,,317.1
480,1,1.576124,3.541739e-02,7.539837e-04,7.539837e-04,,,330.7
500,1,1.579454,3.536647e-02,7.528997e-04,7.528997e-04,,,344.3
520,1,1.966340,3.531555e-02,7.518157e-04,7.518157e-04,,,357.8
540,1,1.739738,3.526463e-02,7.507317e-04,7.507317e-04,,,371.4
560,1,1.449074,3.521371e-02,7.496477e-04,7.496477e-04,,,385.6
580,1,1.626268,3.516279e-02,7.485637e-04,7.485637e-04,,,399.1
600,1,1.493382,3.511187e-02,7.474797e-04,7.474797e-04,,,413.2
620,1,1.525246,3.506095e-02,7.463957e-04,7.463957e-04,,,427.1
640,1,1.567068,3.501003e-02,7.453117e-04,7.453117e-04,,,440.8
660,1,1.332476,3.495911e-02,7.442276e-04,7.442276e-04,,,455.0
680,1,1.835319,3.490819e-02,7.431436e-04,7.431436e-04,,,468.6
700,1,1.426901,3.485727e-02,7.420596e-04,7.420596e-04,,,482.2
720,1,1.387872,3.480635e-02,7.409756e-04,7.409756e-04,,,495.7
740,1,1.262601,3.475543e-02,7.398916e-04,7.398916e-04,,,509.3
760,1,1.763942,3.470451e-02,7.388076e-04,7.388076e-04,,,522.9
780,1,1.629195,3.465359e-02,7.377236e-04,7.377236e-04,,,536.5
800,1,1.620895,3.460267e-02,7.366396e-04,7.366396e-04,,,550.1
820,1,1.688885,3.455175e-02,7.355556e-04,7.355556e-04,,,563.7
