step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
20,1,5.862391,1.934959e-04,4.119241e-05,4.119241e-05,,,37.1
40,1,5.772021,3.869919e-04,8.238482e-05,8.238482e-05,,,67.4
60,1,5.534719,5.804878e-04,1.235772e-04,1.235772e-04,,,97.8
80,1,5.267174,7.739837e-04,1.647696e-04,1.647696e-04,,,128.2
100,1,4.894939,9.674797e-04,2.059621e-04,2.059621e-04,,,158.6
120,1,4.690683,1.160976e-03,2.471545e-04,2.471545e-04,,,189.0
140,1,4.213161,1.354472e-03,2.883469e-04,2.883469e-04,,,219.4
160,1,4.407003,1.547967e-03,3.295393e-04,3.295393e-04,,,249.7
180,1,4.150748,1.741463e-03,3.707317e-04,3.707317e-04,,,280.1
200,1,3.910584,1.934959e-03,4.119241e-04,4.119241e-04,,,310.5
220,1,3.833945,2.128455e-03,4.531165e-04,4.531165e-04,,,340.8
240,1,3.538216,2.321951e-03,4.943089e-04,4.943089e-04,,,371.1
260,1,3.450045,2.515447e-03,5.355014e-04,5.355014e-04,,,401.5
280,1,3.578794,2.708943e-03,5.766938e-04,5.766938e-04,,,431.9
300,1,3.395730,2.902439e-03,6.178862e-04,6.178862e-04,,,462.2
320,1,3.513897,3.095935e-03,6.590786e-04,6.590786e-04,,,492.6
340,1,2.842059,3.289431e-03,7.002710e-04,7.002710e-04,,,523.0
360,1,2.779690,3.482927e-03,7.414634e-04,7.414634e-04,,,553.3
380,1,2.836602,3.567199e-03,7.594038e-04,7.594038e-04,,,583.7
400,1,2.438689,3.562107e-03,7.583198e-04,7.583198e-04,,,614.0
420,1,2.128646,3.557015e-03,7.572358e-04,7.572358e-04,,,644.4
440,1,2.477142,3.551923e-03,7.561518e-04,7.561518e-04,,,674.7
460,1,2.427481,3.546831e-03,7.550678e-04,7.550678e-04,,,705.1
480,1,2.188830,3.541739e-03,7.539837e-04,7.539837e-04,,,735.5
500,1,2.236968,3.536647e-03,7.528997e-04,7.528997e-04,,,765.9
520,1,2.417322,3.531555e-03,7.518157e-04,7.518157e-04,,,796.3
540,1,2.166637,3.526463e-03,7.507317e-04,7.507317e-04,,,826.7
560,1,2.086868,3.521371e-03,7.496477e-04,7.496477e-04,,,857.0
580,1,2.639112,3.516279e-03,7.485637e-04,7.485637e-04,,,887.4
600,1,2.171700,3.511187e-03,7.474797e-04,7.474797e-04,,,918.0
