step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
1,1,5.960170,8.000000e-03,3.000000e-03,1.600000e-02,,,4.9
2,1,5.378153,1.600000e-02,3.000000e-03,1.600000e-02,,,10.9
3,1,4.997844,1.583333e-02,2.968750e-03,1.583333e-02,,,15.2
4,1,4.655406,1.566667e-02,2.937500e-03,1.566667e-02,,,19.8
5,1,4.375006,1.550000e-02,2.906250e-03,1.550000e-02,,,24.7
6,1,4.570532,1.533333e-02,2.875000e-03,1.533333e-02,,,29.5
7,1,4.168858,1.516667e-02,2.843750e-03,1.516667e-02,,,35.4
8,1,4.097600,1.500000e-02,2.812500e-03,1.500000e-02,,,48.8
9,1,4.057853,1.483333e-02,2.781250e-03,1.483333e-02,,,68.9
10,1,4.076818,1.466667e-02,2.750000e-03,1.466667e-02,,,75.1
11,1,3.971575,1.450000e-02,2.718750e-03,1.450000e-02,,,79.1
12,1,3.845887,1.433333e-02,2.687500e-03,1.433333e-02,,,83.3
13,1,3.890241,1.416667e-02,2.656250e-03,1.416667e-02,,,87.5
14,1,3.550756,1.400000e-02,2.625000e-03,1.400000e-02,,,92.2
15,1,4.215881,1.383333e-02,2.593750e-03,1.383333e-02,,,95.3
16,1,3.914498,1.366667e-02,2.562500e-03,1.366667e-02,,,106.0
17,1,3.741427,1.350000e-02,2.531250e-03,1.350000e-02,,,109.2
18,1,4.018087,1.333333e-02,2.500000e-03,1.333333e-02,,,112.4
19,1,3.845605,1.316667e-02,2.468750e-03,1.316667e-02,,,116.6
20,1,3.907825,1.300000e-02,2.437500e-03,1.300000e-02,,,119.9
21,1,4.037792,1.283333e-02,2.406250e-03,1.283333e-02,,,123.0
22,1,3.671327,1.266667e-02,2.375000e-03,1.266667e-02,,,127.3
23,1,3.839398,1.250000e-02,2.343750e-03,1.250000e-02,,,131.5
24,1,3.747180,1.233333e-02,2.312500e-03,1.233333e-02,,,137.1
25,1,3.929502,1.216667e-02,2.281250e-03,1.216667e-02,,,149.9
26,1,3.801392,1.200000e-02,2.250000e-03,1.200000e-02,,,153.1
27,1,3.864376,1.183333e-02,2.218750e-03,1.183333e-02,,,156.3
28,1,4.101559,1.166667e-02,2.187500e-03,1.166667e-02,,,160.2
29,1,3.830849,1.150000e-02,2.156250e-03,1.150000e-02,,,164.1
30,1,3.778913,1.133333e-02,2.125000e-03,1.133333e-02,,,168.4
31,1,3.615678,1.116667e-02,2.093750e-03,1.116667e-02,,,171.8
32,1,3.836235,1.100000e-02,2.062500e-03,1.100000e-02,,,174.9
33,1,3.799272,1.083333e-02,2.031250e-03,1.083333e-02,,,178.2
34,1,3.721533,1.066667e-02,2.000000e-03,1.066667e-02,,,183.4
35,1,3.566352,1.050000e-02,1.968750e-03,1.050000e-02,,,190.8
36,1,3.874001,1.033333e-02,1.937500e-03,1.033333e-02,,,206.7
37,1,3.503618,1.016667e-02,1.906250e-03,1.016667e-02,,,209.9
38,1,3.785581,1.000000e-02,1.875000e-03,1.000000e-02,,,214.1
39,1,3.579420,9.833333e-03,1.843750e-03,9.833333e-03,,,217.2
40,1,3.399735,9.666667e-03,1.812500e-03,9.666667e-03,,,220.4
41,1,3.644917,9.500000e-03,1.781250e-03,9.500000e-03,,,223.9
42,1,3.309833,9.333333e-03,1.750000e-03,9.333333e-03,,,227.1
43,1,3.465011,9.166667e-03,1.718750e-03,9.166667e-03,,,230.5
44,1,3.732994,9.000000e-03,1.687500e-03,9.000000e-03,,,233.7
45,1,3.516388,8.833333e-03,1.656250e-03,8.833333e-03,,,237.6
46,1,3.126652,8.666667e-03,1.625000e-03,8.666667e-03,,,241.4
47,1,3.602432,8.500000e-03,1.593750e-03,8.500000e-03,,,247.7
48,1,3.394390,8.333333e-03,1.562500e-03,8.333333e-03,,,251.4
49,1,3.418770,8.166667e-03,1.531250e-03,8.166667e-03,,,264.0
50,1,3.680860,8.000000e-03,1.500000e-03,8.000000e-03,,,267.1
