step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
20,1,3.964074,1.739130e-03,3.000000e-03,1.600000e-02,,,21.8
40,1,3.535331,3.478261e-03,3.000000e-03,1.600000e-02,,,37.4
60,1,3.010852,5.217391e-03,3.000000e-03,1.600000e-02,,,53.3
80,1,2.916606,6.956522e-03,3.000000e-03,1.600000e-02,,,69.5
100,1,2.510901,8.695652e-03,3.000000e-03,1.600000e-02,,,85.9
120,1,3.119711,1.043478e-02,3.000000e-03,1.600000e-02,,,102.5
140,1,2.564867,1.217391e-02,3.000000e-03,1.600000e-02,,,119.2
160,1,3.155215,1.391304e-02,3.000000e-03,1.600000e-02,,,136.1
180,1,2.343862,1.565217e-02,3.000000e-03,1.600000e-02,,,153.1
200,1,2.191538,1.596349e-02,2.993155e-03,1.596349e-02,,,170.2
220,1,2.620203,1.591786e-02,2.984598e-03,1.591786e-02,,,187.3
240,1,2.514063,1.587222e-02,2.976041e-03,1.587222e-02,,,204.4
260,1,2.241861,1.582658e-02,2.967484e-03,1.582658e-02,,,221.5
280,1,2.149525,1.578095e-02,2.958928e-03,1.578095e-02,,,238.7
300,1,2.242652,1.573531e-02,2.950371e-03,1.573531e-02,,,255.8
320,1,2.415270,1.568967e-02,2.941814e-03,1.568967e-02,,,273.0
340,1,2.401375,1.564404e-02,2.933257e-03,1.564404e-02,,,290.1
360,1,2.332389,1.559840e-02,2.924701e-03,1.559840e-02,,,307.3
380,1,2.431871,1.555277e-02,2.916144e-03,1.555277e-02,,,324.4
400,1,2.585822,1.550713e-02,2.907587e-03,1.550713e-02,,,341.4
420,1,1.790048,1.546149e-02,2.899030e-03,1.546149e-02,,,358.5
440,1,2.132584,1.541586e-02,2.890473e-03,1.541586e-02,,,375.6
460,1,1.946810,1.537022e-02,2.881917e-03,1.537022e-02,,,392.6
480,1,1.816529,1.532459e-02,2.873360e-03,1.532459e-02,,,409.6
500,1,2.042814,1.527895e-02,2.864803e-03,1.527895e-02,,,426.6
520,1,2.248131,1.523331e-02,2.856246e-03,1.523331e-02,,,443.6
