step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
20,1,4.111273,1.739130e-03,3.000000e-03,3.000000e-03,,,21.8
40,1,3.416858,3.478261e-03,3.000000e-03,3.000000e-03,,,37.4
60,1,3.157046,5.217391e-03,3.000000e-03,3.000000e-03,,,53.3
80,1,3.071207,6.956522e-03,3.000000e-03,3.000000e-03,,,69.5
100,1,2.239919,8.695652e-03,3.000000e-03,3.000000e-03,,,85.8
120,1,2.789431,1.043478e-02,3.000000e-03,3.000000e-03,,,102.3
140,1,2.275023,1.217391e-02,3.000000e-03,3.000000e-03,,,119.0
160,1,2.721259,1.391304e-02,3.000000e-03,3.000000e-03,,,135.9
180,1,2.042664,1.565217e-02,3.000000e-03,3.000000e-03,,,152.9
200,1,2.048131,1.596349e-02,2.993155e-03,2.993155e-03,,,169.9
220,1,2.180815,1.591786e-02,2.984598e-03,2.984598e-03,,,186.9
240,1,1.898678,1.587222e-02,2.976041e-03,2.976041e-03,,,203.9
260,1,1.728945,1.582658e-02,2.967484e-03,2.967484e-03,,,220.9
280,1,1.734616,1.578095e-02,2.958928e-03,2.958928e-03,,,237.8
300,1,1.744088,1.573531e-02,2.950371e-03,2.950371e-03,,,254.7
320,1,1.975345,1.568967e-02,2.941814e-03,2.941814e-03,,,271.6
340,1,1.862207,1.564404e-02,2.933257e-03,2.933257e-03,,,288.5
360,1,1.896816,1.559840e-02,2.924701e-03,2.924701e-03,,,305.4
380,1,1.909359,1.555277e-02,2.916144e-03,2.916144e-03,,,322.2
400,1,1.807967,1.550713e-02,2.907587e-03,2.907587e-03,,,339.0
420,1,1.339931,1.546149e-02,2.899030e-03,2.899030e-03,,,355.8
440,1,1.638252,1.541586e-02,2.890473e-03,2.890473e-03,,,372.6
460,1,1.539312,1.537022e-02,2.881917e-03,2.881917e-03,,,389.4
480,1,1.492409,1.532459e-02,2.873360e-03,2.873360e-03,,,406.1
500,1,1.529010,1.527895e-02,2.864803e-03,2.864803e-03,,,422.9
520,1,1.992151,1.523331e-02,2.856246e-03,2.856246e-03,,,439.7
540,1,1.668245,1.518768e-02,2.847690e-03,2.847690e-03,,,456.4
560,1,1.413408,1.514204e-02,2.839133e-03,2.839133e-03,,,473.1
580,1,1.821379,1.509641e-02,2.830576e-03,2.830576e-03,,,489.8
600,1,1.424133,1.505077e-02,2.822019e-03,2.822019e-03,,,506.5
620,1,1.469781,1.500513e-02,2.813463e-03,2.813463e-03,,,523.1
640,1,1.403758,1.495950e-02,2.804906e-03,2.804906e-03,,,539.9
660,1,1.468219,1.491386e-02,2.796349e-03,2.796349e-03,,,556.8
680,1,1.767139,1.486823e-02,2.787792e-03,2.787792e-03,,,573.5
700,1,1.374741,1.482259e-02,2.779236e-03,2.779236e-03,,,590.2
720,1,1.486642,1.477695e-02,2.770679e-03,2.770679e-03,,,606.8
740,1,1.425607,1.473132e-02,2.762122e-03,2.762122e-03,,,623.5
760,1,1.782918,1.468568e-02,2.753565e-03,2.753565e-03,,,640.2
780,1,1.475816,1.464005e-02,2.745009e-03,2.745009e-03,,,656.8
800,1,1.495840,1.459441e-02,2.736452e-03,2.736452e-03,,,673.5
820,1,1.630265,1.454877e-02,2.727895e-03,2.727895e-03,,,690.2
840,1,1.237108,1.450314e-02,2.719338e-03,2.719338e-03,,,706.8
860,1,1.303524,1.445750e-02,2.710782e-03,2.710782e-03,,,723.5
880,1,1.495340,1.441187e-02,2.702225e-03,2.702225e-03,,,740.1
900,1,1.243008,1.436623e-02,2.693668e-03,2.693668e-03,,,756.7
920,1,1.613532,1.432059e-02,2.685111e-03,2.685111e-03,,,773.3
940,1,1.639528,1.427496e-02,2.676554e-03,2.676554e-03,,,789.9
960,1,1.352021,1.422932e-02,2.667998e-03,2.667998e-03,,,806.5
980,1,1.454744,1.418369e-02,2.659441e-03,2.659441e-03,,,823.1
1000,1,1.346346,1.413805e-02,2.650884e-03,2.650884e-03,,,839.6
1020,1,1.560662,1.409241e-02,2.642327e-03,2.642327e-03,,,856.2
