step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
1,1,5.960170,8.000000e-03,3.000000e-03,1.600000e-02,,,5.2
2,1,5.384711,1.600000e-02,3.000000e-03,1.600000e-02,,,79.7
3,1,4.985815,1.583333e-02,2.968750e-03,1.583333e-02,,,129.2
4,1,4.691776,1.566667e-02,2.937500e-03,1.566667e-02,,,191.7
5,1,4.405559,1.550000e-02,2.906250e-03,1.550000e-02,,,258.1
6,1,4.627790,1.533333e-02,2.875000e-03,1.533333e-02,,,296.0
7,1,4.192243,1.516667e-02,2.843750e-03,1.516667e-02,,,361.2
8,1,4.114519,1.500000e-02,2.812500e-03,1.500000e-02,,,418.9
9,1,4.069068,1.483333e-02,2.781250e-03,1.483333e-02,,,465.4
10,1,4.102362,1.466667e-02,2.750000e-03,1.466667e-02,,,507.6
11,1,3.985281,1.450000e-02,2.718750e-03,1.450000e-02,,,557.9
12,1,3.847781,1.433333e-02,2.687500e-03,1.433333e-02,,,611.5
13,1,3.946488,1.416667e-02,2.656250e-03,1.416667e-02,,,674.7
14,1,3.605260,1.400000e-02,2.625000e-03,1.400000e-02,,,737.9
15,1,4.236245,1.383333e-02,2.593750e-03,1.383333e-02,,,785.1
16,1,3.947428,1.366667e-02,2.562500e-03,1.366667e-02,,,840.5
17,1,3.760567,1.350000e-02,2.531250e-03,1.350000e-02,,,905.5
18,1,4.022092,1.333333e-02,2.500000e-03,1.333333e-02,,,960.7
19,1,3.869932,1.316667e-02,2.468750e-03,1.316667e-02,,,1006.8
20,1,3.927925,1.300000e-02,2.437500e-03,1.300000e-02,,,1049.2
21,1,4.098345,1.283333e-02,2.406250e-03,1.283333e-02,,,1096.7
22,1,3.699865,1.266667e-02,2.375000e-03,1.266667e-02,,,1155.5
23,1,3.871861,1.250000e-02,2.343750e-03,1.250000e-02,,,1200.5
24,1,3.727691,1.233333e-02,2.312500e-03,1.233333e-02,,,1252.6
25,1,3.936323,1.216667e-02,2.281250e-03,1.216667e-02,,,1313.9
26,1,3.779222,1.200000e-02,2.250000e-03,1.200000e-02,,,1366.5
27,1,3.907107,1.183333e-02,2.218750e-03,1.183333e-02,,,1409.2
28,1,4.035969,1.166667e-02,2.187500e-03,1.166667e-02,,,1456.1
29,1,3.827694,1.150000e-02,2.156250e-03,1.150000e-02,,,1505.3
30,1,3.808254,1.133333e-02,2.125000e-03,1.133333e-02,,,1561.5
31,1,3.573061,1.116667e-02,2.093750e-03,1.116667e-02,,,1630.3
32,1,3.825271,1.100000e-02,2.062500e-03,1.100000e-02,,,1693.1
33,1,3.816238,1.083333e-02,2.031250e-03,1.083333e-02,,,1750.5
34,1,3.828555,1.066667e-02,2.000000e-03,1.066667e-02,,,1795.9
35,1,3.660584,1.050000e-02,1.968750e-03,1.050000e-02,,,1852.8
36,1,3.890582,1.033333e-02,1.937500e-03,1.033333e-02,,,1916.3
37,1,3.606337,1.016667e-02,1.906250e-03,1.016667e-02,,,1973.7
38,1,3.891666,1.000000e-02,1.875000e-03,1.000000e-02,,,2025.9
39,1,3.615306,9.833333e-03,1.843750e-03,9.833333e-03,,,2077.7
40,1,3.512582,9.666667e-03,1.812500e-03,9.666667e-03,,,2127.8
41,1,3.722835,9.500000e-03,1.781250e-03,9.500000e-03,,,2178.9
42,1,3.452287,9.333333e-03,1.750000e-03,9.333333e-03,,,2226.9
43,1,3.578872,9.166667e-03,1.718750e-03,9.166667e-03,,,2278.1
44,1,3.813710,9.000000e-03,1.687500e-03,9.000000e-03,,,2322.0
45,1,3.707296,8.833333e-03,1.656250e-03,8.833333e-03,,,2366.6
46,1,3.388777,8.666667e-03,1.625000e-03,8.666667e-03,,,2407.6
47,1,3.851054,8.500000e-03,1.593750e-03,8.500000e-03,,,2460.3
48,1,3.671485,8.333333e-03,1.562500e-03,8.333333e-03,,,2510.7
49,1,3.710182,8.166667e-03,1.531250e-03,8.166667e-03,,,2570.9
50,1,3.811553,8.000000e-03,1.500000e-03,8.000000e-03,,,2621.2
