step,tile_name,subtype,actual_norm,lr,target_norm,residual_norm,cosine_sim,signed_bias,zero_frac,recovery_ratio
1,bert.encoder.layer.0.attention.self.query,query,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,bert.encoder.layer.0.attention.self.key,key,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,bert.encoder.layer.0.attention.self.value,value,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,bert.encoder.layer.0.attention.output.dense,dense,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,bert.encoder.layer.1.attention.self.query,query,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,bert.encoder.layer.1.attention.self.key,key,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,bert.encoder.layer.1.attention.self.value,value,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,bert.encoder.layer.1.attention.output.dense,dense,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,bert.encoder.layer.2.attention.self.query,query,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,bert.encoder.layer.2.attention.self.key,key,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,bert.encoder.layer.2.attention.self.value,value,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,bert.encoder.layer.2.attention.output.dense,dense,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,bert.encoder.layer.3.attention.self.query,query,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,bert.encoder.layer.3.attention.self.key,key,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,bert.encoder.layer.3.attention.self.value,value,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,bert.encoder.layer.3.attention.output.dense,dense,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,bert.encoder.layer.4.attention.self.query,query,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,bert.encoder.layer.4.attention.self.key,key,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,bert.encoder.layer.4.attention.self.value,value,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,bert.encoder.layer.4.attention.output.dense,dense,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,bert.encoder.layer.5.attention.self.query,query,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,bert.encoder.layer.5.attention.self.key,key,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,bert.encoder.layer.5.attention.self.value,value,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,bert.encoder.layer.5.attention.output.dense,dense,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,bert.encoder.layer.6.attention.self.query,query,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,bert.encoder.layer.6.attention.self.key,key,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,bert.encoder.layer.6.attention.self.value,value,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,bert.encoder.layer.6.attention.output.dense,dense,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,bert.encoder.layer.7.attention.self.query,query,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,bert.encoder.layer.7.attention.self.key,key,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
