step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
1,1,5.960170,8.000000e-03,3.000000e-03,1.600000e-02,,,69.7
2,1,5.378188,1.600000e-02,3.000000e-03,1.600000e-02,,,118.6
3,1,4.997738,1.583333e-02,2.968750e-03,1.583333e-02,,,192.5
4,1,4.660399,1.566667e-02,2.937500e-03,1.566667e-02,,,254.9
5,1,4.397511,1.550000e-02,2.906250e-03,1.550000e-02,,,295.1
6,1,4.644167,1.533333e-02,2.875000e-03,1.533333e-02,,,365.3
7,1,4.187530,1.516667e-02,2.843750e-03,1.516667e-02,,,417.6
8,1,4.104715,1.500000e-02,2.812500e-03,1.500000e-02,,,460.4
9,1,4.063516,1.483333e-02,2.781250e-03,1.483333e-02,,,507.2
10,1,4.080322,1.466667e-02,2.750000e-03,1.466667e-02,,,557.3
11,1,3.978282,1.450000e-02,2.718750e-03,1.450000e-02,,,598.2
12,1,3.852949,1.433333e-02,2.687500e-03,1.433333e-02,,,642.1
13,1,3.905943,1.416667e-02,2.656250e-03,1.416667e-02,,,704.5
14,1,3.571251,1.400000e-02,2.625000e-03,1.400000e-02,,,756.2
15,1,4.247860,1.383333e-02,2.593750e-03,1.383333e-02,,,809.3
16,1,3.952968,1.366667e-02,2.562500e-03,1.366667e-02,,,871.1
17,1,3.771019,1.350000e-02,2.531250e-03,1.350000e-02,,,920.0
18,1,4.020855,1.333333e-02,2.500000e-03,1.333333e-02,,,972.2
19,1,3.857603,1.316667e-02,2.468750e-03,1.316667e-02,,,1014.1
20,1,3.923247,1.300000e-02,2.437500e-03,1.300000e-02,,,1058.6
21,1,4.086770,1.283333e-02,2.406250e-03,1.283333e-02,,,1111.6
22,1,3.692488,1.266667e-02,2.375000e-03,1.266667e-02,,,1168.1
23,1,3.876470,1.250000e-02,2.343750e-03,1.250000e-02,,,1208.9
24,1,3.749650,1.233333e-02,2.312500e-03,1.233333e-02,,,1256.7
25,1,4.010492,1.216667e-02,2.281250e-03,1.216667e-02,,,1321.0
26,1,3.796453,1.200000e-02,2.250000e-03,1.200000e-02,,,1378.4
27,1,3.880863,1.183333e-02,2.218750e-03,1.183333e-02,,,1416.0
28,1,4.078654,1.166667e-02,2.187500e-03,1.166667e-02,,,1466.6
29,1,3.826167,1.150000e-02,2.156250e-03,1.150000e-02,,,1506.4
30,1,3.812428,1.133333e-02,2.125000e-03,1.133333e-02,,,1559.1
31,1,3.626733,1.116667e-02,2.093750e-03,1.116667e-02,,,1637.9
32,1,3.821096,1.100000e-02,2.062500e-03,1.100000e-02,,,1700.5
33,1,3.832026,1.083333e-02,2.031250e-03,1.083333e-02,,,1749.8
34,1,3.737927,1.066667e-02,2.000000e-03,1.066667e-02,,,1786.9
35,1,3.636338,1.050000e-02,1.968750e-03,1.050000e-02,,,1837.8
36,1,3.875560,1.033333e-02,1.937500e-03,1.033333e-02,,,1889.3
37,1,3.523924,1.016667e-02,1.906250e-03,1.016667e-02,,,1953.1
38,1,3.862256,1.000000e-02,1.875000e-03,1.000000e-02,,,1998.5
39,1,3.633259,9.833333e-03,1.843750e-03,9.833333e-03,,,2048.0
40,1,3.487257,9.666667e-03,1.812500e-03,9.666667e-03,,,2097.4
41,1,3.695777,9.500000e-03,1.781250e-03,9.500000e-03,,,2161.5
42,1,3.402915,9.333333e-03,1.750000e-03,9.333333e-03,,,2222.8
43,1,3.492906,9.166667e-03,1.718750e-03,9.166667e-03,,,2268.9
44,1,3.810223,9.000000e-03,1.687500e-03,9.000000e-03,,,2307.0
45,1,3.634727,8.833333e-03,1.656250e-03,8.833333e-03,,,2352.3
46,1,3.323322,8.666667e-03,1.625000e-03,8.666667e-03,,,2396.8
47,1,3.815547,8.500000e-03,1.593750e-03,8.500000e-03,,,2443.2
48,1,3.613369,8.333333e-03,1.562500e-03,8.333333e-03,,,2493.2
49,1,3.560722,8.166667e-03,1.531250e-03,8.166667e-03,,,2544.8
50,1,3.671204,8.000000e-03,1.500000e-03,8.000000e-03,,,2608.7
