step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
1,1,5.960170,8.000000e-03,3.000000e-03,1.600000e-02,,,75.9
2,1,5.384695,1.600000e-02,3.000000e-03,1.600000e-02,,,143.0
3,1,4.972678,1.583333e-02,2.968750e-03,1.583333e-02,,,212.4
4,1,4.648919,1.566667e-02,2.937500e-03,1.566667e-02,,,258.1
5,1,4.386011,1.550000e-02,2.906250e-03,1.550000e-02,,,305.6
6,1,4.483843,1.533333e-02,2.875000e-03,1.533333e-02,,,369.9
7,1,4.174898,1.516667e-02,2.843750e-03,1.516667e-02,,,413.2
8,1,4.121061,1.500000e-02,2.812500e-03,1.500000e-02,,,459.8
9,1,4.064127,1.483333e-02,2.781250e-03,1.483333e-02,,,502.1
10,1,4.078119,1.466667e-02,2.750000e-03,1.466667e-02,,,552.0
11,1,3.983220,1.450000e-02,2.718750e-03,1.450000e-02,,,592.2
12,1,3.854457,1.433333e-02,2.687500e-03,1.433333e-02,,,647.4
13,1,3.949390,1.416667e-02,2.656250e-03,1.416667e-02,,,694.2
14,1,3.546596,1.400000e-02,2.625000e-03,1.400000e-02,,,742.3
15,1,4.240721,1.383333e-02,2.593750e-03,1.383333e-02,,,791.1
16,1,3.935475,1.366667e-02,2.562500e-03,1.366667e-02,,,849.7
17,1,3.781021,1.350000e-02,2.531250e-03,1.350000e-02,,,909.4
18,1,3.997353,1.333333e-02,2.500000e-03,1.333333e-02,,,956.3
19,1,3.840665,1.316667e-02,2.468750e-03,1.316667e-02,,,1000.8
20,1,3.965234,1.300000e-02,2.437500e-03,1.300000e-02,,,1049.4
21,1,4.070154,1.283333e-02,2.406250e-03,1.283333e-02,,,1090.4
22,1,3.709985,1.266667e-02,2.375000e-03,1.266667e-02,,,1142.0
23,1,3.807090,1.250000e-02,2.343750e-03,1.250000e-02,,,1189.5
24,1,3.746225,1.233333e-02,2.312500e-03,1.233333e-02,,,1235.5
25,1,3.977088,1.216667e-02,2.281250e-03,1.216667e-02,,,1296.6
26,1,3.819076,1.200000e-02,2.250000e-03,1.200000e-02,,,1359.8
27,1,3.864490,1.183333e-02,2.218750e-03,1.183333e-02,,,1404.3
28,1,4.101788,1.166667e-02,2.187500e-03,1.166667e-02,,,1464.2
29,1,3.843863,1.150000e-02,2.156250e-03,1.150000e-02,,,1520.6
30,1,3.737080,1.133333e-02,2.125000e-03,1.133333e-02,,,1590.0
31,1,3.712569,1.116667e-02,2.093750e-03,1.116667e-02,,,1653.7
32,1,3.836775,1.100000e-02,2.062500e-03,1.100000e-02,,,1700.4
33,1,3.802732,1.083333e-02,2.031250e-03,1.083333e-02,,,1744.6
34,1,3.733307,1.066667e-02,2.000000e-03,1.066667e-02,,,1803.8
35,1,3.544675,1.050000e-02,1.968750e-03,1.050000e-02,,,1865.8
36,1,3.976107,1.033333e-02,1.937500e-03,1.033333e-02,,,1916.6
37,1,3.559370,1.016667e-02,1.906250e-03,1.016667e-02,,,1976.8
38,1,3.821171,1.000000e-02,1.875000e-03,1.000000e-02,,,2023.4
39,1,3.689675,9.833333e-03,1.843750e-03,9.833333e-03,,,2071.5
40,1,3.506968,9.666667e-03,1.812500e-03,9.666667e-03,,,2115.0
41,1,3.714561,9.500000e-03,1.781250e-03,9.500000e-03,,,2168.6
42,1,3.408223,9.333333e-03,1.750000e-03,9.333333e-03,,,2220.5
43,1,3.632276,9.166667e-03,1.718750e-03,9.166667e-03,,,2269.4
44,1,3.822739,9.000000e-03,1.687500e-03,9.000000e-03,,,2315.6
45,1,3.607219,8.833333e-03,1.656250e-03,8.833333e-03,,,2375.5
46,1,3.408464,8.666667e-03,1.625000e-03,8.666667e-03,,,2421.8
47,1,3.786028,8.500000e-03,1.593750e-03,8.500000e-03,,,2481.5
48,1,3.680782,8.333333e-03,1.562500e-03,8.333333e-03,,,2529.4
49,1,3.635849,8.166667e-03,1.531250e-03,8.166667e-03,,,2573.2
50,1,3.733456,8.000000e-03,1.500000e-03,8.000000e-03,,,2619.2
