step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
20,1,4.143702,1.739130e-03,3.000000e-03,3.000000e-03,,,235.0
40,1,3.994445,3.478261e-03,3.000000e-03,3.000000e-03,,,468.3
60,1,4.795407,5.217391e-03,3.000000e-03,3.000000e-03,,,704.8
80,1,5.984734,6.956522e-03,3.000000e-03,3.000000e-03,,,940.2
100,1,6.011113,8.695652e-03,3.000000e-03,3.000000e-03,,,1174.8
120,1,5.995360,1.043478e-02,3.000000e-03,3.000000e-03,,,1409.9
140,1,5.979398,1.217391e-02,3.000000e-03,3.000000e-03,,,1645.2
160,1,5.980230,1.391304e-02,3.000000e-03,3.000000e-03,,,1880.8
180,1,6.001987,1.565217e-02,3.000000e-03,3.000000e-03,,,2116.5
200,1,5.968862,1.596349e-02,2.993155e-03,2.993155e-03,,,2352.4
220,1,5.969605,1.591786e-02,2.984598e-03,2.984598e-03,,,2588.3
240,1,5.925782,1.587222e-02,2.976041e-03,2.976041e-03,,,2824.0
260,1,5.986047,1.582658e-02,2.967484e-03,2.967484e-03,,,3059.8
280,1,5.982234,1.578095e-02,2.958928e-03,2.958928e-03,,,3295.6
300,1,6.014358,1.573531e-02,2.950371e-03,2.950371e-03,,,3531.5
320,1,5.953471,1.568967e-02,2.941814e-03,2.941814e-03,,,3767.4
340,1,5.984881,1.564404e-02,2.933257e-03,2.933257e-03,,,4003.3
360,1,5.989617,1.559840e-02,2.924701e-03,2.924701e-03,,,4239.1
380,1,5.931916,1.555277e-02,2.916144e-03,2.916144e-03,,,4474.9
400,1,5.940378,1.550713e-02,2.907587e-03,2.907587e-03,,,4710.7
420,1,5.959961,1.546149e-02,2.899030e-03,2.899030e-03,,,4946.6
440,1,5.993342,1.541586e-02,2.890473e-03,2.890473e-03,,,5182.4
460,1,5.979957,1.537022e-02,2.881917e-03,2.881917e-03,,,5418.2
480,1,5.959309,1.532459e-02,2.873360e-03,2.873360e-03,,,5654.1
500,1,5.975430,1.527895e-02,2.864803e-03,2.864803e-03,,,5890.0
520,1,5.968965,1.523331e-02,2.856246e-03,2.856246e-03,,,6125.9
540,1,5.994311,1.518768e-02,2.847690e-03,2.847690e-03,,,6361.6
560,1,5.983681,1.514204e-02,2.839133e-03,2.839133e-03,,,6597.4
580,1,5.982671,1.509641e-02,2.830576e-03,2.830576e-03,,,6833.1
600,1,5.966173,1.505077e-02,2.822019e-03,2.822019e-03,,,7068.9
620,1,5.947499,1.500513e-02,2.813463e-03,2.813463e-03,,,7304.6
640,1,5.940770,1.495950e-02,2.804906e-03,2.804906e-03,,,7540.3
660,1,5.979332,1.491386e-02,2.796349e-03,2.796349e-03,,,7776.0
680,1,5.944461,1.486823e-02,2.787792e-03,2.787792e-03,,,8011.8
700,1,5.933184,1.482259e-02,2.779236e-03,2.779236e-03,,,8247.5
720,1,5.952542,1.477695e-02,2.770679e-03,2.770679e-03,,,8483.2
740,1,5.960862,1.473132e-02,2.762122e-03,2.762122e-03,,,8718.9
760,1,5.946771,1.468568e-02,2.753565e-03,2.753565e-03,,,8954.7
780,1,5.954288,1.464005e-02,2.745009e-03,2.745009e-03,,,9190.5
800,1,5.939643,1.459441e-02,2.736452e-03,2.736452e-03,,,9426.1
820,1,5.963885,1.454877e-02,2.727895e-03,2.727895e-03,,,9661.9
840,1,5.934438,1.450314e-02,2.719338e-03,2.719338e-03,,,9897.6
860,1,5.928259,1.445750e-02,2.710782e-03,2.710782e-03,,,10133.5
880,1,5.947736,1.441187e-02,2.702225e-03,2.702225e-03,,,10369.0
900,1,5.970060,1.436623e-02,2.693668e-03,2.693668e-03,,,10604.7
920,1,5.958106,1.432059e-02,2.685111e-03,2.685111e-03,,,10840.4
940,1,5.987062,1.427496e-02,2.676554e-03,2.676554e-03,,,11076.1
960,1,5.964573,1.422932e-02,2.667998e-03,2.667998e-03,,,11311.8
980,1,5.929955,1.418369e-02,2.659441e-03,2.659441e-03,,,11547.4
1000,1,5.957414,1.413805e-02,2.650884e-03,2.650884e-03,,,11783.2
1020,1,5.972195,1.409241e-02,2.642327e-03,2.642327e-03,,,12018.8
1040,1,5.948802,1.404678e-02,2.633771e-03,2.633771e-03,,,12254.5
1060,1,5.950001,1.400114e-02,2.625214e-03,2.625214e-03,,,12490.0
1080,1,5.975673,1.395550e-02,2.616657e-03,2.616657e-03,,,12725.6
1100,1,5.942263,1.390987e-02,2.608100e-03,2.608100e-03,,,12961.2
1120,1,5.991184,1.386423e-02,2.599544e-03,2.599544e-03,,,13196.8
1140,1,5.984047,1.381860e-02,2.590987e-03,2.590987e-03,,,13432.5
1160,1,5.963019,1.377296e-02,2.582430e-03,2.582430e-03,,,13668.2
1180,1,5.965557,1.372732e-02,2.573873e-03,2.573873e-03,,,13903.8
1200,1,5.955168,1.368169e-02,2.565317e-03,2.565317e-03,,,14139.5
1220,1,5.953794,1.363605e-02,2.556760e-03,2.556760e-03,,,14375.1
1240,1,5.962677,1.359042e-02,2.548203e-03,2.548203e-03,,,14610.7
1260,1,5.955956,1.354478e-02,2.539646e-03,2.539646e-03,,,14846.2
1280,1,5.976089,1.349914e-02,2.531090e-03,2.531090e-03,,,15081.9
1300,1,5.964260,1.345351e-02,2.522533e-03,2.522533e-03,,,15317.6
1320,1,5.939147,1.340787e-02,2.513976e-03,2.513976e-03,,,15553.1
1340,1,5.949388,1.336224e-02,2.505419e-03,2.505419e-03,,,15788.8
1360,1,5.943671,1.331660e-02,2.496863e-03,2.496863e-03,,,16024.3
1380,1,5.941092,1.327096e-02,2.488306e-03,2.488306e-03,,,16259.8
1400,1,5.939538,1.322533e-02,2.479749e-03,2.479749e-03,,,16495.7
1420,1,5.946747,1.317969e-02,2.471192e-03,2.471192e-03,,,16731.2
1440,1,5.944759,1.313406e-02,2.462635e-03,2.462635e-03,,,16966.7
1460,1,5.941343,1.308842e-02,2.454079e-03,2.454079e-03,,,17202.2
1480,1,5.967790,1.304278e-02,2.445522e-03,2.445522e-03,,,17437.8
1500,1,5.973084,1.299715e-02,2.436965e-03,2.436965e-03,,,17673.5
1520,1,5.971977,1.295151e-02,2.428408e-03,2.428408e-03,,,17908.9
1540,1,5.948391,1.290588e-02,2.419852e-03,2.419852e-03,,,18144.2
1560,1,5.960721,1.286024e-02,2.411295e-03,2.411295e-03,,,18379.7
1580,1,5.947636,1.281460e-02,2.402738e-03,2.402738e-03,,,18615.1
1600,1,5.953335,1.276897e-02,2.394181e-03,2.394181e-03,,,18850.6
1620,1,5.968078,1.272333e-02,2.385625e-03,2.385625e-03,,,19086.0
1640,1,5.950442,1.267770e-02,2.377068e-03,2.377068e-03,,,19321.4
1660,1,5.951430,1.263206e-02,2.368511e-03,2.368511e-03,,,19556.8
1680,1,5.943377,1.258642e-02,2.359954e-03,2.359954e-03,,,19792.2
1700,1,5.959510,1.254079e-02,2.351398e-03,2.351398e-03,,,20027.5
1720,1,5.965090,1.249515e-02,2.342841e-03,2.342841e-03,,,20263.0
1740,1,5.959186,1.244952e-02,2.334284e-03,2.334284e-03,,,20498.3
1760,1,5.953375,1.240388e-02,2.325727e-03,2.325727e-03,,,20733.7
1780,1,5.944160,1.235824e-02,2.317171e-03,2.317171e-03,,,20969.1
1800,1,5.964354,1.231261e-02,2.308614e-03,2.308614e-03,,,21204.4
1820,1,5.958239,1.226697e-02,2.300057e-03,2.300057e-03,,,21439.8
1840,1,5.963631,1.222133e-02,2.291500e-03,2.291500e-03,,,21675.2
1845,1,5.908604,1.220993e-02,2.289361e-03,2.289361e-03,6.42,0.13,21819.1
1860,2,5.986906,1.217570e-02,2.282944e-03,2.282944e-03,,,21995.9
1880,2,5.954576,1.213006e-02,2.274387e-03,2.274387e-03,,,22231.4
1900,2,5.952555,1.208443e-02,2.265830e-03,2.265830e-03,,,22466.8
1920,2,5.943983,1.203879e-02,2.257273e-03,2.257273e-03,,,22702.3
1940,2,5.945276,1.199315e-02,2.248716e-03,2.248716e-03,,,22937.7
1960,2,5.957427,1.194752e-02,2.240160e-03,2.240160e-03,,,23173.0
