step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
20,1,4.119394,1.739130e-03,3.000000e-03,3.000000e-03,,,53.4
40,1,3.489991,3.478261e-03,3.000000e-03,3.000000e-03,,,102.1
60,1,3.366581,5.217391e-03,3.000000e-03,3.000000e-03,,,151.3
80,1,3.183814,6.956522e-03,3.000000e-03,3.000000e-03,,,200.9
100,1,2.486215,8.695652e-03,3.000000e-03,3.000000e-03,,,250.6
120,1,3.092063,1.043478e-02,3.000000e-03,3.000000e-03,,,300.2
140,1,2.404703,1.217391e-02,3.000000e-03,3.000000e-03,,,349.8
160,1,2.910188,1.391304e-02,3.000000e-03,3.000000e-03,,,399.3
180,1,2.351480,1.565217e-02,3.000000e-03,3.000000e-03,,,448.9
200,1,2.168993,1.596349e-02,2.993155e-03,2.993155e-03,,,498.4
220,1,2.494236,1.591786e-02,2.984598e-03,2.984598e-03,,,547.9
240,1,2.212414,1.587222e-02,2.976041e-03,2.976041e-03,,,597.4
260,1,1.853959,1.582658e-02,2.967484e-03,2.967484e-03,,,646.9
280,1,2.007247,1.578095e-02,2.958928e-03,2.958928e-03,,,696.3
300,1,1.827192,1.573531e-02,2.950371e-03,2.950371e-03,,,745.7
320,1,2.331903,1.568967e-02,2.941814e-03,2.941814e-03,,,795.2
340,1,2.023103,1.564404e-02,2.933257e-03,2.933257e-03,,,844.7
360,1,2.129503,1.559840e-02,2.924701e-03,2.924701e-03,,,894.1
380,1,2.392903,1.555277e-02,2.916144e-03,2.916144e-03,,,943.6
400,1,1.993812,1.550713e-02,2.907587e-03,2.907587e-03,,,993.0
420,1,1.559016,1.546149e-02,2.899030e-03,2.899030e-03,,,1042.5
440,1,1.912151,1.541586e-02,2.890473e-03,2.890473e-03,,,1092.0
460,1,1.831874,1.537022e-02,2.881917e-03,2.881917e-03,,,1141.5
480,1,1.991971,1.532459e-02,2.873360e-03,2.873360e-03,,,1191.0
500,1,1.865403,1.527895e-02,2.864803e-03,2.864803e-03,,,1240.8
520,1,2.155075,1.523331e-02,2.856246e-03,2.856246e-03,,,1290.4
540,1,2.066743,1.518768e-02,2.847690e-03,2.847690e-03,,,1339.9
560,1,1.911565,1.514204e-02,2.839133e-03,2.839133e-03,,,1389.4
580,1,1.927228,1.509641e-02,2.830576e-03,2.830576e-03,,,1438.9
600,1,1.982882,1.505077e-02,2.822019e-03,2.822019e-03,,,1488.4
620,1,1.716609,1.500513e-02,2.813463e-03,2.813463e-03,,,1537.9
640,1,1.822976,1.495950e-02,2.804906e-03,2.804906e-03,,,1587.4
660,1,1.756513,1.491386e-02,2.796349e-03,2.796349e-03,,,1637.0
680,1,2.022607,1.486823e-02,2.787792e-03,2.787792e-03,,,1686.6
700,1,1.775166,1.482259e-02,2.779236e-03,2.779236e-03,,,1736.0
720,1,1.827139,1.477695e-02,2.770679e-03,2.770679e-03,,,1785.6
740,1,1.755540,1.473132e-02,2.762122e-03,2.762122e-03,,,1835.2
760,1,2.202948,1.468568e-02,2.753565e-03,2.753565e-03,,,1884.7
780,1,2.102836,1.464005e-02,2.745009e-03,2.745009e-03,,,1934.4
800,1,1.895275,1.459441e-02,2.736452e-03,2.736452e-03,,,1983.9
820,1,2.235035,1.454877e-02,2.727895e-03,2.727895e-03,,,2033.7
840,1,1.644041,1.450314e-02,2.719338e-03,2.719338e-03,,,2083.3
860,1,2.068356,1.445750e-02,2.710782e-03,2.710782e-03,,,2133.0
880,1,2.129232,1.441187e-02,2.702225e-03,2.702225e-03,,,2182.7
900,1,1.883769,1.436623e-02,2.693668e-03,2.693668e-03,,,2232.4
920,1,2.094111,1.432059e-02,2.685111e-03,2.685111e-03,,,2282.2
940,1,2.150520,1.427496e-02,2.676554e-03,2.676554e-03,,,2331.9
960,1,2.036769,1.422932e-02,2.667998e-03,2.667998e-03,,,2381.7
980,1,1.936403,1.418369e-02,2.659441e-03,2.659441e-03,,,2431.4
1000,1,2.023835,1.413805e-02,2.650884e-03,2.650884e-03,,,2481.2
1020,1,2.208216,1.409241e-02,2.642327e-03,2.642327e-03,,,2531.0
1040,1,2.140283,1.404678e-02,2.633771e-03,2.633771e-03,,,2580.8
1060,1,2.102459,1.400114e-02,2.625214e-03,2.625214e-03,,,2630.7
1080,1,1.936832,1.395550e-02,2.616657e-03,2.616657e-03,,,2680.6
1100,1,2.159574,1.390987e-02,2.608100e-03,2.608100e-03,,,2730.6
1120,1,2.325449,1.386423e-02,2.599544e-03,2.599544e-03,,,2780.5
1140,1,2.066312,1.381860e-02,2.590987e-03,2.590987e-03,,,2830.4
1160,1,2.198757,1.377296e-02,2.582430e-03,2.582430e-03,,,2880.5
1180,1,2.193224,1.372732e-02,2.573873e-03,2.573873e-03,,,2930.5
1200,1,2.458204,1.368169e-02,2.565317e-03,2.565317e-03,,,2980.8
1220,1,2.161347,1.363605e-02,2.556760e-03,2.556760e-03,,,3030.6
1240,1,2.424237,1.359042e-02,2.548203e-03,2.548203e-03,,,3080.7
1260,1,2.019701,1.354478e-02,2.539646e-03,2.539646e-03,,,3130.8
1280,1,1.537302,1.349914e-02,2.531090e-03,2.531090e-03,,,3180.9
1300,1,2.056921,1.345351e-02,2.522533e-03,2.522533e-03,,,3230.9
1320,1,1.501267,1.340787e-02,2.513976e-03,2.513976e-03,,,3280.9
1340,1,2.102137,1.336224e-02,2.505419e-03,2.505419e-03,,,3330.9
1360,1,1.595304,1.331660e-02,2.496863e-03,2.496863e-03,,,3381.0
1380,1,2.660462,1.327096e-02,2.488306e-03,2.488306e-03,,,3431.2
1400,1,2.355092,1.322533e-02,2.479749e-03,2.479749e-03,,,3481.3
1420,1,2.105719,1.317969e-02,2.471192e-03,2.471192e-03,,,3531.5
1440,1,2.406025,1.313406e-02,2.462635e-03,2.462635e-03,,,3581.7
1460,1,2.292432,1.308842e-02,2.454079e-03,2.454079e-03,,,3631.9
1480,1,2.560904,1.304278e-02,2.445522e-03,2.445522e-03,,,3682.1
1500,1,2.357910,1.299715e-02,2.436965e-03,2.436965e-03,,,3732.2
1520,1,1.933090,1.295151e-02,2.428408e-03,2.428408e-03,,,3782.4
1540,1,1.444999,1.290588e-02,2.419852e-03,2.419852e-03,,,3832.6
1560,1,2.080293,1.286024e-02,2.411295e-03,2.411295e-03,,,3882.8
1580,1,2.400894,1.281460e-02,2.402738e-03,2.402738e-03,,,3933.0
1600,1,2.315705,1.276897e-02,2.394181e-03,2.394181e-03,,,3983.1
1620,1,1.782002,1.272333e-02,2.385625e-03,2.385625e-03,,,4033.3
1640,1,1.912673,1.267770e-02,2.377068e-03,2.377068e-03,,,4083.6
1660,1,1.854784,1.263206e-02,2.368511e-03,2.368511e-03,,,4133.8
1680,1,2.272333,1.258642e-02,2.359954e-03,2.359954e-03,,,4184.0
1700,1,2.382527,1.254079e-02,2.351398e-03,2.351398e-03,,,4234.4
1720,1,2.679840,1.249515e-02,2.342841e-03,2.342841e-03,,,4284.6
1740,1,2.643144,1.244952e-02,2.334284e-03,2.334284e-03,,,4335.0
1760,1,2.450373,1.240388e-02,2.325727e-03,2.325727e-03,,,4385.3
1780,1,2.178212,1.235824e-02,2.317171e-03,2.317171e-03,,,4435.6
1800,1,1.823807,1.231261e-02,2.308614e-03,2.308614e-03,,,4485.9
1820,1,2.314964,1.226697e-02,2.300057e-03,2.300057e-03,,,4536.2
1840,1,2.392877,1.222133e-02,2.291500e-03,2.291500e-03,,,4586.6
1845,1,2.180089,1.220993e-02,2.289361e-03,2.289361e-03,66.99,55.08,4692.1
1860,2,2.154236,1.217570e-02,2.282944e-03,2.282944e-03,,,4729.9
1880,2,2.853638,1.213006e-02,2.274387e-03,2.274387e-03,,,4780.4
1900,2,2.515867,1.208443e-02,2.265830e-03,2.265830e-03,,,4830.8
1920,2,2.424689,1.203879e-02,2.257273e-03,2.257273e-03,,,4881.3
1940,2,2.473560,1.199315e-02,2.248716e-03,2.248716e-03,,,4931.8
1960,2,2.517425,1.194752e-02,2.240160e-03,2.240160e-03,,,4982.4
1980,2,2.125801,1.190188e-02,2.231603e-03,2.231603e-03,,,5032.9
2000,2,2.727336,1.185625e-02,2.223046e-03,2.223046e-03,,,5083.5
2020,2,2.454885,1.181061e-02,2.214489e-03,2.214489e-03,,,5134.1
2040,2,2.128112,1.176497e-02,2.205933e-03,2.205933e-03,,,5184.6
2060,2,2.643397,1.171934e-02,2.197376e-03,2.197376e-03,,,5235.2
2080,2,2.633805,1.167370e-02,2.188819e-03,2.188819e-03,,,5285.8
2100,2,3.058493,1.162807e-02,2.180262e-03,2.180262e-03,,,5336.4
2120,2,2.064314,1.158243e-02,2.171706e-03,2.171706e-03,,,5386.9
2140,2,2.555756,1.153679e-02,2.163149e-03,2.163149e-03,,,5437.5
2160,2,2.667943,1.149116e-02,2.154592e-03,2.154592e-03,,,5488.2
2180,2,2.808813,1.144552e-02,2.146035e-03,2.146035e-03,,,5538.7
2200,2,2.420455,1.139989e-02,2.137479e-03,2.137479e-03,,,5589.3
2220,2,2.320699,1.135425e-02,2.128922e-03,2.128922e-03,,,5639.9
2240,2,2.641166,1.130861e-02,2.120365e-03,2.120365e-03,,,5690.6
2260,2,2.597043,1.126298e-02,2.111808e-03,2.111808e-03,,,5741.2
2280,2,2.383446,1.121734e-02,2.103252e-03,2.103252e-03,,,5791.7
2300,2,2.280548,1.117171e-02,2.094695e-03,2.094695e-03,,,5842.3
2320,2,2.412180,1.112607e-02,2.086138e-03,2.086138e-03,,,5892.9
2340,2,2.761824,1.108043e-02,2.077581e-03,2.077581e-03,,,5943.5
2360,2,2.928091,1.103480e-02,2.069025e-03,2.069025e-03,,,5994.0
2380,2,2.400538,1.098916e-02,2.060468e-03,2.060468e-03,,,6044.5
2400,2,3.024658,1.094353e-02,2.051911e-03,2.051911e-03,,,6095.1
2420,2,2.403535,1.089789e-02,2.043354e-03,2.043354e-03,,,6145.7
2440,2,2.410702,1.085225e-02,2.034797e-03,2.034797e-03,,,6196.3
2460,2,2.609073,1.080662e-02,2.026241e-03,2.026241e-03,,,6246.9
2480,2,2.535538,1.076098e-02,2.017684e-03,2.017684e-03,,,6297.3
2500,2,2.500777,1.071535e-02,2.009127e-03,2.009127e-03,,,6347.8
2520,2,2.233706,1.066971e-02,2.000570e-03,2.000570e-03,,,6398.4
2540,2,2.425391,1.062407e-02,1.992014e-03,1.992014e-03,,,6449.0
2560,2,2.694329,1.057844e-02,1.983457e-03,1.983457e-03,,,6499.6
2580,2,2.073035,1.053280e-02,1.974900e-03,1.974900e-03,,,6550.3
2600,2,2.560220,1.048716e-02,1.966343e-03,1.966343e-03,,,6600.9
2620,2,2.354267,1.044153e-02,1.957787e-03,1.957787e-03,,,6651.6
2640,2,2.784010,1.039589e-02,1.949230e-03,1.949230e-03,,,6702.1
2660,2,2.453165,1.035026e-02,1.940673e-03,1.940673e-03,,,6752.5
2680,2,2.570616,1.030462e-02,1.932116e-03,1.932116e-03,,,6803.1
2700,2,2.123017,1.025898e-02,1.923560e-03,1.923560e-03,,,6853.5
2720,2,2.823470,1.021335e-02,1.915003e-03,1.915003e-03,,,6904.1
2740,2,2.442905,1.016771e-02,1.906446e-03,1.906446e-03,,,6954.6
2760,2,2.859125,1.012208e-02,1.897889e-03,1.897889e-03,,,7005.1
2780,2,2.669409,1.007644e-02,1.889333e-03,1.889333e-03,,,7055.6
2800,2,2.536520,1.003080e-02,1.880776e-03,1.880776e-03,,,7106.0
2820,2,2.627061,9.985168e-03,1.872219e-03,1.872219e-03,,,7156.5
2840,2,2.953465,9.939532e-03,1.863662e-03,1.863662e-03,,,7206.9
2860,2,2.812099,9.893896e-03,1.855106e-03,1.855106e-03,,,7257.3
2880,2,3.040227,9.848260e-03,1.846549e-03,1.846549e-03,,,7307.6
2900,2,2.817252,9.802624e-03,1.837992e-03,1.837992e-03,,,7358.0
2920,2,3.109665,9.756988e-03,1.829435e-03,1.829435e-03,,,7408.5
2940,2,2.748527,9.711352e-03,1.820878e-03,1.820878e-03,,,7458.9
2960,2,2.919291,9.665716e-03,1.812322e-03,1.812322e-03,,,7509.3
2980,2,2.957666,9.620080e-03,1.803765e-03,1.803765e-03,,,7559.7
3000,2,2.527045,9.574444e-03,1.795208e-03,1.795208e-03,,,7610.2
3020,2,2.737896,9.528808e-03,1.786651e-03,1.786651e-03,,,7660.6
3040,2,3.822728,9.483172e-03,1.778095e-03,1.778095e-03,,,7711.0
3060,2,3.342891,9.437536e-03,1.769538e-03,1.769538e-03,,,7761.4
3080,2,2.641696,9.391900e-03,1.760981e-03,1.760981e-03,,,7811.7
3100,2,2.497622,9.346264e-03,1.752424e-03,1.752424e-03,,,7862.2
