step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
20,1,4.102231,1.739130e-03,3.000000e-03,3.000000e-03,,,27.1
40,1,3.752468,3.478261e-03,3.000000e-03,3.000000e-03,,,49.8
60,1,3.968996,5.217391e-03,3.000000e-03,3.000000e-03,,,74.0
80,1,3.810059,6.956522e-03,3.000000e-03,3.000000e-03,,,98.3
100,1,3.667665,8.695652e-03,3.000000e-03,3.000000e-03,,,123.5
120,1,3.631473,1.043478e-02,3.000000e-03,3.000000e-03,,,149.2
140,1,4.789859,1.217391e-02,3.000000e-03,3.000000e-03,,,174.8
160,1,3.728997,1.391304e-02,3.000000e-03,3.000000e-03,,,200.8
180,1,3.282123,1.565217e-02,3.000000e-03,3.000000e-03,,,227.2
200,1,3.127204,1.596349e-02,2.993155e-03,2.993155e-03,,,253.6
220,1,2.757673,1.591786e-02,2.984598e-03,2.984598e-03,,,279.3
240,1,2.811881,1.587222e-02,2.976041e-03,2.976041e-03,,,305.3
260,1,2.776436,1.582658e-02,2.967484e-03,2.967484e-03,,,331.4
280,1,2.715568,1.578095e-02,2.958928e-03,2.958928e-03,,,357.4
300,1,2.944447,1.573531e-02,2.950371e-03,2.950371e-03,,,383.2
320,1,2.687848,1.568967e-02,2.941814e-03,2.941814e-03,,,409.1
340,1,3.416972,1.564404e-02,2.933257e-03,2.933257e-03,,,435.3
360,1,3.010378,1.559840e-02,2.924701e-03,2.924701e-03,,,461.3
380,1,3.093808,1.555277e-02,2.916144e-03,2.916144e-03,,,487.2
400,1,2.926122,1.550713e-02,2.907587e-03,2.907587e-03,,,513.1
420,1,2.237856,1.546149e-02,2.899030e-03,2.899030e-03,,,539.2
440,1,2.687829,1.541586e-02,2.890473e-03,2.890473e-03,,,565.2
460,1,3.117028,1.537022e-02,2.881917e-03,2.881917e-03,,,591.5
480,1,2.633804,1.532459e-02,2.873360e-03,2.873360e-03,,,617.5
500,1,2.982378,1.527895e-02,2.864803e-03,2.864803e-03,,,643.9
520,1,2.811116,1.523331e-02,2.856246e-03,2.856246e-03,,,670.1
540,1,3.315158,1.518768e-02,2.847690e-03,2.847690e-03,,,696.2
560,1,2.918581,1.514204e-02,2.839133e-03,2.839133e-03,,,722.2
580,1,2.621760,1.509641e-02,2.830576e-03,2.830576e-03,,,748.2
600,1,3.179944,1.505077e-02,2.822019e-03,2.822019e-03,,,774.3
620,1,2.855666,1.500513e-02,2.813463e-03,2.813463e-03,,,800.6
640,1,2.428834,1.495950e-02,2.804906e-03,2.804906e-03,,,826.7
660,1,3.145028,1.491386e-02,2.796349e-03,2.796349e-03,,,852.4
680,1,2.947325,1.486823e-02,2.787792e-03,2.787792e-03,,,878.3
700,1,2.558297,1.482259e-02,2.779236e-03,2.779236e-03,,,904.0
720,1,2.765454,1.477695e-02,2.770679e-03,2.770679e-03,,,929.8
740,1,2.604632,1.473132e-02,2.762122e-03,2.762122e-03,,,955.6
760,1,2.872105,1.468568e-02,2.753565e-03,2.753565e-03,,,981.4
780,1,2.564279,1.464005e-02,2.745009e-03,2.745009e-03,,,1007.4
800,1,2.785498,1.459441e-02,2.736452e-03,2.736452e-03,,,1033.2
820,1,2.932941,1.454877e-02,2.727895e-03,2.727895e-03,,,1058.8
840,1,2.263884,1.450314e-02,2.719338e-03,2.719338e-03,,,1084.1
860,1,2.774866,1.445750e-02,2.710782e-03,2.710782e-03,,,1109.6
880,1,3.249085,1.441187e-02,2.702225e-03,2.702225e-03,,,1135.4
900,1,2.643174,1.436623e-02,2.693668e-03,2.693668e-03,,,1160.9
920,1,2.885104,1.432059e-02,2.685111e-03,2.685111e-03,,,1186.4
940,1,2.997035,1.427496e-02,2.676554e-03,2.676554e-03,,,1211.9
960,1,2.436240,1.422932e-02,2.667998e-03,2.667998e-03,,,1237.8
980,1,2.610828,1.418369e-02,2.659441e-03,2.659441e-03,,,1263.3
1000,1,2.829820,1.413805e-02,2.650884e-03,2.650884e-03,,,1288.9
1020,1,2.540877,1.409241e-02,2.642327e-03,2.642327e-03,,,1314.5
1040,1,2.621581,1.404678e-02,2.633771e-03,2.633771e-03,,,1340.2
1060,1,2.594336,1.400114e-02,2.625214e-03,2.625214e-03,,,1365.8
1080,1,2.702017,1.395550e-02,2.616657e-03,2.616657e-03,,,1391.0
1100,1,3.072408,1.390987e-02,2.608100e-03,2.608100e-03,,,1416.2
1120,1,2.743909,1.386423e-02,2.599544e-03,2.599544e-03,,,1441.3
1140,1,2.414219,1.381860e-02,2.590987e-03,2.590987e-03,,,1466.5
1160,1,2.265888,1.377296e-02,2.582430e-03,2.582430e-03,,,1491.8
1180,1,2.427745,1.372732e-02,2.573873e-03,2.573873e-03,,,1517.5
1200,1,2.759680,1.368169e-02,2.565317e-03,2.565317e-03,,,1543.6
1220,1,2.832493,1.363605e-02,2.556760e-03,2.556760e-03,,,1569.2
1240,1,2.740170,1.359042e-02,2.548203e-03,2.548203e-03,,,1594.9
1260,1,2.376779,1.354478e-02,2.539646e-03,2.539646e-03,,,1620.3
1280,1,2.293115,1.349914e-02,2.531090e-03,2.531090e-03,,,1646.0
1300,1,2.558229,1.345351e-02,2.522533e-03,2.522533e-03,,,1671.6
1320,1,2.060455,1.340787e-02,2.513976e-03,2.513976e-03,,,1696.8
1340,1,2.514717,1.336224e-02,2.505419e-03,2.505419e-03,,,1722.5
1360,1,2.272089,1.331660e-02,2.496863e-03,2.496863e-03,,,1748.1
1380,1,3.189673,1.327096e-02,2.488306e-03,2.488306e-03,,,1773.9
1400,1,3.014393,1.322533e-02,2.479749e-03,2.479749e-03,,,1799.5
1420,1,2.429369,1.317969e-02,2.471192e-03,2.471192e-03,,,1825.2
1440,1,2.603450,1.313406e-02,2.462635e-03,2.462635e-03,,,1850.6
1460,1,2.240422,1.308842e-02,2.454079e-03,2.454079e-03,,,1876.3
1480,1,2.881868,1.304278e-02,2.445522e-03,2.445522e-03,,,1901.7
1500,1,2.824224,1.299715e-02,2.436965e-03,2.436965e-03,,,1927.2
1520,1,2.260740,1.295151e-02,2.428408e-03,2.428408e-03,,,1952.7
1540,1,2.246685,1.290588e-02,2.419852e-03,2.419852e-03,,,1978.7
1560,1,2.443800,1.286024e-02,2.411295e-03,2.411295e-03,,,2004.2
1580,1,3.011924,1.281460e-02,2.402738e-03,2.402738e-03,,,2029.8
1600,1,3.067920,1.276897e-02,2.394181e-03,2.394181e-03,,,2055.4
1620,1,2.193365,1.272333e-02,2.385625e-03,2.385625e-03,,,2080.9
1640,1,2.608373,1.267770e-02,2.377068e-03,2.377068e-03,,,2106.5
1660,1,2.322316,1.263206e-02,2.368511e-03,2.368511e-03,,,2132.1
1680,1,2.454613,1.258642e-02,2.359954e-03,2.359954e-03,,,2157.5
1700,1,2.923386,1.254079e-02,2.351398e-03,2.351398e-03,,,2183.1
1720,1,3.100619,1.249515e-02,2.342841e-03,2.342841e-03,,,2208.6
1740,1,2.882027,1.244952e-02,2.334284e-03,2.334284e-03,,,2234.4
1760,1,2.782623,1.240388e-02,2.325727e-03,2.325727e-03,,,2259.8
1780,1,2.405280,1.235824e-02,2.317171e-03,2.317171e-03,,,2285.4
1800,1,2.143191,1.231261e-02,2.308614e-03,2.308614e-03,,,2310.9
1820,1,2.441853,1.226697e-02,2.300057e-03,2.300057e-03,,,2336.3
1840,1,2.591813,1.222133e-02,2.291500e-03,2.291500e-03,,,2362.0
1845,1,2.828618,1.220993e-02,2.289361e-03,2.289361e-03,59.74,46.55,2463.0
1860,2,2.484199,1.217570e-02,2.282944e-03,2.282944e-03,,,2482.0
1880,2,3.100231,1.213006e-02,2.274387e-03,2.274387e-03,,,2507.8
1900,2,2.749424,1.208443e-02,2.265830e-03,2.265830e-03,,,2533.5
1920,2,2.695354,1.203879e-02,2.257273e-03,2.257273e-03,,,2559.1
1940,2,2.429865,1.199315e-02,2.248716e-03,2.248716e-03,,,2584.5
1960,2,2.825702,1.194752e-02,2.240160e-03,2.240160e-03,,,2610.2
1980,2,2.303818,1.190188e-02,2.231603e-03,2.231603e-03,,,2635.5
2000,2,3.109092,1.185625e-02,2.223046e-03,2.223046e-03,,,2660.9
2020,2,2.882236,1.181061e-02,2.214489e-03,2.214489e-03,,,2686.2
2040,2,2.294486,1.176497e-02,2.205933e-03,2.205933e-03,,,2711.2
2060,2,2.617707,1.171934e-02,2.197376e-03,2.197376e-03,,,2736.7
2080,2,2.753396,1.167370e-02,2.188819e-03,2.188819e-03,,,2762.3
2100,2,3.375287,1.162807e-02,2.180262e-03,2.180262e-03,,,2788.0
2120,2,2.333224,1.158243e-02,2.171706e-03,2.171706e-03,,,2813.2
2140,2,2.792311,1.153679e-02,2.163149e-03,2.163149e-03,,,2838.6
2160,2,2.225792,1.149116e-02,2.154592e-03,2.154592e-03,,,2864.3
2180,2,2.816145,1.144552e-02,2.146035e-03,2.146035e-03,,,2889.7
2200,2,2.672136,1.139989e-02,2.137479e-03,2.137479e-03,,,2915.2
2220,2,2.231118,1.135425e-02,2.128922e-03,2.128922e-03,,,2940.8
2240,2,2.757694,1.130861e-02,2.120365e-03,2.120365e-03,,,2966.2
2260,2,2.599567,1.126298e-02,2.111808e-03,2.111808e-03,,,2991.3
2280,2,2.356527,1.121734e-02,2.103252e-03,2.103252e-03,,,3016.7
2300,2,2.556909,1.117171e-02,2.094695e-03,2.094695e-03,,,3042.0
2320,2,2.765710,1.112607e-02,2.086138e-03,2.086138e-03,,,3067.1
2340,2,2.846514,1.108043e-02,2.077581e-03,2.077581e-03,,,3092.5
2360,2,2.899045,1.103480e-02,2.069025e-03,2.069025e-03,,,3117.9
2380,2,3.319844,1.098916e-02,2.060468e-03,2.060468e-03,,,3143.1
2400,2,2.628278,1.094353e-02,2.051911e-03,2.051911e-03,,,3168.4
2420,2,2.344594,1.089789e-02,2.043354e-03,2.043354e-03,,,3193.6
2440,2,2.268375,1.085225e-02,2.034797e-03,2.034797e-03,,,3218.6
2460,2,3.113858,1.080662e-02,2.026241e-03,2.026241e-03,,,3244.0
2480,2,2.918300,1.076098e-02,2.017684e-03,2.017684e-03,,,3269.1
2500,2,2.502294,1.071535e-02,2.009127e-03,2.009127e-03,,,3294.0
2520,2,2.926950,1.066971e-02,2.000570e-03,2.000570e-03,,,3319.3
2540,2,2.823117,1.062407e-02,1.992014e-03,1.992014e-03,,,3344.8
2560,2,2.882458,1.057844e-02,1.983457e-03,1.983457e-03,,,3369.8
2580,2,2.046073,1.053280e-02,1.974900e-03,1.974900e-03,,,3394.9
2600,2,2.773243,1.048716e-02,1.966343e-03,1.966343e-03,,,3420.0
2620,2,2.534193,1.044153e-02,1.957787e-03,1.957787e-03,,,3445.4
2640,2,3.148780,1.039589e-02,1.949230e-03,1.949230e-03,,,3470.2
2660,2,2.499623,1.035026e-02,1.940673e-03,1.940673e-03,,,3495.2
2680,2,2.850151,1.030462e-02,1.932116e-03,1.932116e-03,,,3520.3
2700,2,2.308975,1.025898e-02,1.923560e-03,1.923560e-03,,,3545.4
