step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
20,1,5.600112,1.739130e-03,3.260870e-04,3.260870e-04,,,21.0
40,1,4.602578,3.478261e-03,6.521739e-04,6.521739e-04,,,37.2
60,1,4.226125,5.217391e-03,9.782609e-04,9.782609e-04,,,53.6
80,1,3.960169,6.956522e-03,1.304348e-03,1.304348e-03,,,70.0
100,1,3.652882,8.695652e-03,1.630435e-03,1.630435e-03,,,86.5
120,1,3.972364,1.043478e-02,1.956522e-03,1.956522e-03,,,103.3
140,1,2.978357,1.217391e-02,2.282609e-03,2.282609e-03,,,120.4
160,1,3.145267,1.391304e-02,2.608696e-03,2.608696e-03,,,137.7
180,1,2.729360,1.565217e-02,2.934783e-03,2.934783e-03,,,155.1
200,1,2.396924,1.596349e-02,2.993155e-03,2.993155e-03,,,172.4
220,1,2.773864,1.591786e-02,2.984598e-03,2.984598e-03,,,189.8
240,1,2.504785,1.587222e-02,2.976041e-03,2.976041e-03,,,207.3
260,1,2.180051,1.582658e-02,2.967484e-03,2.967484e-03,,,224.7
280,1,2.270976,1.578095e-02,2.958928e-03,2.958928e-03,,,242.1
300,1,2.212314,1.573531e-02,2.950371e-03,2.950371e-03,,,259.5
320,1,2.625085,1.568967e-02,2.941814e-03,2.941814e-03,,,276.9
340,1,2.251752,1.564404e-02,2.933257e-03,2.933257e-03,,,294.3
360,1,2.315895,1.559840e-02,2.924701e-03,2.924701e-03,,,311.6
380,1,2.437304,1.555277e-02,2.916144e-03,2.916144e-03,,,329.0
400,1,1.842785,1.550713e-02,2.907587e-03,2.907587e-03,,,346.4
420,1,1.751399,1.546149e-02,2.899030e-03,2.899030e-03,,,363.8
440,1,1.963505,1.541586e-02,2.890473e-03,2.890473e-03,,,381.1
460,1,1.813853,1.537022e-02,2.881917e-03,2.881917e-03,,,398.5
480,1,1.841290,1.532459e-02,2.873360e-03,2.873360e-03,,,415.9
500,1,1.857291,1.527895e-02,2.864803e-03,2.864803e-03,,,433.4
520,1,2.170161,1.523331e-02,2.856246e-03,2.856246e-03,,,450.8
540,1,1.890860,1.518768e-02,2.847690e-03,2.847690e-03,,,468.1
560,1,1.982833,1.514204e-02,2.839133e-03,2.839133e-03,,,485.4
580,1,2.087327,1.509641e-02,2.830576e-03,2.830576e-03,,,502.7
600,1,1.752695,1.505077e-02,2.822019e-03,2.822019e-03,,,520.0
620,1,1.736487,1.500513e-02,2.813463e-03,2.813463e-03,,,537.3
640,1,1.837895,1.495950e-02,2.804906e-03,2.804906e-03,,,554.6
660,1,1.766270,1.491386e-02,2.796349e-03,2.796349e-03,,,571.9
680,1,1.954143,1.486823e-02,2.787792e-03,2.787792e-03,,,589.2
700,1,1.642686,1.482259e-02,2.779236e-03,2.779236e-03,,,606.5
720,1,1.786741,1.477695e-02,2.770679e-03,2.770679e-03,,,623.8
740,1,1.605612,1.473132e-02,2.762122e-03,2.762122e-03,,,641.0
760,1,1.853316,1.468568e-02,2.753565e-03,2.753565e-03,,,658.3
780,1,1.829580,1.464005e-02,2.745009e-03,2.745009e-03,,,675.6
800,1,1.633609,1.459441e-02,2.736452e-03,2.736452e-03,,,692.9
820,1,2.106126,1.454877e-02,2.727895e-03,2.727895e-03,,,710.2
840,1,1.487486,1.450314e-02,2.719338e-03,2.719338e-03,,,727.4
860,1,1.722879,1.445750e-02,2.710782e-03,2.710782e-03,,,744.7
880,1,1.756839,1.441187e-02,2.702225e-03,2.702225e-03,,,761.9
900,1,1.436774,1.436623e-02,2.693668e-03,2.693668e-03,,,779.2
920,1,1.777251,1.432059e-02,2.685111e-03,2.685111e-03,,,796.4
940,1,1.976329,1.427496e-02,2.676554e-03,2.676554e-03,,,813.6
960,1,1.536540,1.422932e-02,2.667998e-03,2.667998e-03,,,830.8
980,1,1.578246,1.418369e-02,2.659441e-03,2.659441e-03,,,848.0
1000,1,1.639584,1.413805e-02,2.650884e-03,2.650884e-03,,,865.1
1020,1,1.772516,1.409241e-02,2.642327e-03,2.642327e-03,,,882.4
1040,1,1.843477,1.404678e-02,2.633771e-03,2.633771e-03,,,899.6
1060,1,1.700001,1.400114e-02,2.625214e-03,2.625214e-03,,,916.8
1080,1,1.812959,1.395550e-02,2.616657e-03,2.616657e-03,,,934.0
1100,1,1.687798,1.390987e-02,2.608100e-03,2.608100e-03,,,951.2
1120,1,1.996688,1.386423e-02,2.599544e-03,2.599544e-03,,,968.3
1140,1,1.391640,1.381860e-02,2.590987e-03,2.590987e-03,,,985.5
1160,1,1.606187,1.377296e-02,2.582430e-03,2.582430e-03,,,1002.8
1180,1,1.567813,1.372732e-02,2.573873e-03,2.573873e-03,,,1020.0
1200,1,1.918700,1.368169e-02,2.565317e-03,2.565317e-03,,,1037.3
1220,1,1.593282,1.363605e-02,2.556760e-03,2.556760e-03,,,1054.4
1240,1,1.900846,1.359042e-02,2.548203e-03,2.548203e-03,,,1071.6
1260,1,1.589892,1.354478e-02,2.539646e-03,2.539646e-03,,,1088.7
1280,1,1.093821,1.349914e-02,2.531090e-03,2.531090e-03,,,1105.9
1300,1,1.523049,1.345351e-02,2.522533e-03,2.522533e-03,,,1123.1
1320,1,0.971256,1.340787e-02,2.513976e-03,2.513976e-03,,,1140.2
1340,1,1.584132,1.336224e-02,2.505419e-03,2.505419e-03,,,1157.3
1360,1,1.427864,1.331660e-02,2.496863e-03,2.496863e-03,,,1174.4
1380,1,2.158027,1.327096e-02,2.488306e-03,2.488306e-03,,,1191.6
1400,1,1.710630,1.322533e-02,2.479749e-03,2.479749e-03,,,1208.8
1420,1,1.385993,1.317969e-02,2.471192e-03,2.471192e-03,,,1225.9
1440,1,1.965793,1.313406e-02,2.462635e-03,2.462635e-03,,,1243.1
1460,1,1.166156,1.308842e-02,2.454079e-03,2.454079e-03,,,1260.2
1480,1,1.839234,1.304278e-02,2.445522e-03,2.445522e-03,,,1277.3
1500,1,1.814197,1.299715e-02,2.436965e-03,2.436965e-03,,,1294.4
1520,1,1.315764,1.295151e-02,2.428408e-03,2.428408e-03,,,1311.5
1540,1,1.127925,1.290588e-02,2.419852e-03,2.419852e-03,,,1328.7
1560,1,1.484703,1.286024e-02,2.411295e-03,2.411295e-03,,,1345.8
1580,1,1.937643,1.281460e-02,2.402738e-03,2.402738e-03,,,1362.9
1600,1,1.731186,1.276897e-02,2.394181e-03,2.394181e-03,,,1380.0
1620,1,1.416650,1.272333e-02,2.385625e-03,2.385625e-03,,,1397.2
1640,1,1.718446,1.267770e-02,2.377068e-03,2.377068e-03,,,1414.3
1660,1,1.203920,1.263206e-02,2.368511e-03,2.368511e-03,,,1431.4
1680,1,1.497759,1.258642e-02,2.359954e-03,2.359954e-03,,,1448.5
1700,1,1.940519,1.254079e-02,2.351398e-03,2.351398e-03,,,1465.6
1720,1,1.778958,1.249515e-02,2.342841e-03,2.342841e-03,,,1482.8
1740,1,1.684695,1.244952e-02,2.334284e-03,2.334284e-03,,,1499.9
1760,1,1.758407,1.240388e-02,2.325727e-03,2.325727e-03,,,1517.0
1780,1,1.305155,1.235824e-02,2.317171e-03,2.317171e-03,,,1534.1
1800,1,1.185665,1.231261e-02,2.308614e-03,2.308614e-03,,,1551.1
1820,1,1.501637,1.226697e-02,2.300057e-03,2.300057e-03,,,1568.2
1840,1,1.569628,1.222133e-02,2.291500e-03,2.291500e-03,,,1585.3
1845,1,1.993017,1.220993e-02,2.289361e-03,2.289361e-03,78.39,67.98,1683.8
1860,2,1.171501,1.217570e-02,2.282944e-03,2.282944e-03,,,1696.6
1880,2,1.772636,1.213006e-02,2.274387e-03,2.274387e-03,,,1713.7
1900,2,1.599532,1.208443e-02,2.265830e-03,2.265830e-03,,,1730.8
1920,2,1.514686,1.203879e-02,2.257273e-03,2.257273e-03,,,1747.9
1940,2,1.451868,1.199315e-02,2.248716e-03,2.248716e-03,,,1764.9
1960,2,1.493782,1.194752e-02,2.240160e-03,2.240160e-03,,,1782.0
1980,2,1.278400,1.190188e-02,2.231603e-03,2.231603e-03,,,1799.1
2000,2,2.087838,1.185625e-02,2.223046e-03,2.223046e-03,,,1816.2
2020,2,1.233604,1.181061e-02,2.214489e-03,2.214489e-03,,,1833.2
2040,2,1.421450,1.176497e-02,2.205933e-03,2.205933e-03,,,1850.3
2060,2,1.588830,1.171934e-02,2.197376e-03,2.197376e-03,,,1867.4
2080,2,1.414236,1.167370e-02,2.188819e-03,2.188819e-03,,,1884.4
2100,2,2.337729,1.162807e-02,2.180262e-03,2.180262e-03,,,1901.5
2120,2,1.114031,1.158243e-02,2.171706e-03,2.171706e-03,,,1918.5
2140,2,1.753740,1.153679e-02,2.163149e-03,2.163149e-03,,,1935.7
2160,2,1.465600,1.149116e-02,2.154592e-03,2.154592e-03,,,1952.7
2180,2,1.932697,1.144552e-02,2.146035e-03,2.146035e-03,,,1969.8
2200,2,1.355516,1.139989e-02,2.137479e-03,2.137479e-03,,,1986.8
2220,2,1.398653,1.135425e-02,2.128922e-03,2.128922e-03,,,2003.9
2240,2,1.450354,1.130861e-02,2.120365e-03,2.120365e-03,,,2021.0
2260,2,1.345291,1.126298e-02,2.111808e-03,2.111808e-03,,,2038.1
