step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
20,1,5.600110,1.739130e-03,3.260870e-04,3.260870e-04,,,24.2
40,1,4.602609,3.478261e-03,6.521739e-04,6.521739e-04,,,43.1
60,1,4.226097,5.217391e-03,9.782609e-04,9.782609e-04,,,62.6
80,1,3.959860,6.956522e-03,1.304348e-03,1.304348e-03,,,83.2
100,1,3.652091,8.695652e-03,1.630435e-03,1.630435e-03,,,104.6
120,1,3.972735,1.043478e-02,1.956522e-03,1.956522e-03,,,127.8
140,1,2.995357,1.217391e-02,2.282609e-03,2.282609e-03,,,153.2
160,1,3.118395,1.391304e-02,2.608696e-03,2.608696e-03,,,179.7
180,1,2.733373,1.565217e-02,2.934783e-03,2.934783e-03,,,206.3
200,1,2.402809,1.596349e-02,2.993155e-03,2.993155e-03,,,232.7
220,1,2.797590,1.591786e-02,2.984598e-03,2.984598e-03,,,259.3
240,1,2.515322,1.587222e-02,2.976041e-03,2.976041e-03,,,286.0
260,1,2.180761,1.582658e-02,2.967484e-03,2.967484e-03,,,312.7
280,1,2.259433,1.578095e-02,2.958928e-03,2.958928e-03,,,339.3
300,1,2.227152,1.573531e-02,2.950371e-03,2.950371e-03,,,365.8
320,1,2.663403,1.568967e-02,2.941814e-03,2.941814e-03,,,392.7
340,1,2.246686,1.564404e-02,2.933257e-03,2.933257e-03,,,419.4
360,1,2.315944,1.559840e-02,2.924701e-03,2.924701e-03,,,445.9
380,1,2.483780,1.555277e-02,2.916144e-03,2.916144e-03,,,472.2
400,1,1.874326,1.550713e-02,2.907587e-03,2.907587e-03,,,498.2
420,1,1.778605,1.546149e-02,2.899030e-03,2.899030e-03,,,524.6
440,1,1.990879,1.541586e-02,2.890473e-03,2.890473e-03,,,550.7
460,1,1.809499,1.537022e-02,2.881917e-03,2.881917e-03,,,577.4
480,1,1.882084,1.532459e-02,2.873360e-03,2.873360e-03,,,603.3
500,1,1.877187,1.527895e-02,2.864803e-03,2.864803e-03,,,629.8
520,1,2.193376,1.523331e-02,2.856246e-03,2.856246e-03,,,655.9
540,1,1.956034,1.518768e-02,2.847690e-03,2.847690e-03,,,681.8
560,1,2.067277,1.514204e-02,2.839133e-03,2.839133e-03,,,707.1
580,1,2.098592,1.509641e-02,2.830576e-03,2.830576e-03,,,732.8
600,1,1.857077,1.505077e-02,2.822019e-03,2.822019e-03,,,758.7
620,1,1.735655,1.500513e-02,2.813463e-03,2.813463e-03,,,784.4
640,1,1.932727,1.495950e-02,2.804906e-03,2.804906e-03,,,810.1
660,1,1.816397,1.491386e-02,2.796349e-03,2.796349e-03,,,836.0
680,1,1.948859,1.486823e-02,2.787792e-03,2.787792e-03,,,861.6
700,1,1.666944,1.482259e-02,2.779236e-03,2.779236e-03,,,887.2
720,1,1.856477,1.477695e-02,2.770679e-03,2.770679e-03,,,912.8
740,1,1.654976,1.473132e-02,2.762122e-03,2.762122e-03,,,938.2
760,1,1.887217,1.468568e-02,2.753565e-03,2.753565e-03,,,963.4
780,1,1.963652,1.464005e-02,2.745009e-03,2.745009e-03,,,989.0
800,1,1.680226,1.459441e-02,2.736452e-03,2.736452e-03,,,1014.3
820,1,2.126774,1.454877e-02,2.727895e-03,2.727895e-03,,,1040.0
840,1,1.584198,1.450314e-02,2.719338e-03,2.719338e-03,,,1065.5
860,1,1.815968,1.445750e-02,2.710782e-03,2.710782e-03,,,1091.0
880,1,1.788404,1.441187e-02,2.702225e-03,2.702225e-03,,,1116.3
900,1,1.519356,1.436623e-02,2.693668e-03,2.693668e-03,,,1141.7
920,1,1.831774,1.432059e-02,2.685111e-03,2.685111e-03,,,1166.7
