step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
20,1,5.191950,1.739130e-03,3.260870e-04,3.260870e-04,,,21.9
40,1,4.208180,3.478261e-03,6.521739e-04,6.521739e-04,,,38.3
60,1,4.033738,5.217391e-03,9.782609e-04,9.782609e-04,,,54.7
80,1,3.767703,6.956522e-03,1.304348e-03,1.304348e-03,,,71.4
100,1,3.358601,8.695652e-03,1.630435e-03,1.630435e-03,,,88.4
120,1,3.353108,1.043478e-02,1.956522e-03,1.956522e-03,,,105.8
140,1,2.560812,1.217391e-02,2.282609e-03,2.282609e-03,,,123.3
160,1,2.858754,1.391304e-02,2.608696e-03,2.608696e-03,,,140.7
180,1,2.456119,1.565217e-02,2.934783e-03,2.934783e-03,,,158.2
200,1,2.145195,1.596349e-02,2.993155e-03,2.993155e-03,,,175.6
220,1,2.545590,1.591786e-02,2.984598e-03,2.984598e-03,,,193.0
240,1,2.191418,1.587222e-02,2.976041e-03,2.976041e-03,,,210.5
260,1,1.899630,1.582658e-02,2.967484e-03,2.967484e-03,,,227.9
280,1,1.866745,1.578095e-02,2.958928e-03,2.958928e-03,,,245.3
300,1,1.933200,1.573531e-02,2.950371e-03,2.950371e-03,,,262.8
320,1,2.229707,1.568967e-02,2.941814e-03,2.941814e-03,,,280.1
340,1,2.092560,1.564404e-02,2.933257e-03,2.933257e-03,,,297.5
360,1,1.982531,1.559840e-02,2.924701e-03,2.924701e-03,,,314.8
380,1,2.019537,1.555277e-02,2.916144e-03,2.916144e-03,,,332.1
400,1,1.927747,1.550713e-02,2.907587e-03,2.907587e-03,,,349.5
420,1,1.496354,1.546149e-02,2.899030e-03,2.899030e-03,,,366.8
440,1,1.846036,1.541586e-02,2.890473e-03,2.890473e-03,,,384.1
460,1,1.666811,1.537022e-02,2.881917e-03,2.881917e-03,,,401.5
480,1,1.849549,1.532459e-02,2.873360e-03,2.873360e-03,,,418.8
500,1,1.797934,1.527895e-02,2.864803e-03,2.864803e-03,,,436.3
520,1,2.146090,1.523331e-02,2.856246e-03,2.856246e-03,,,453.6
540,1,1.904689,1.518768e-02,2.847690e-03,2.847690e-03,,,470.9
560,1,1.871139,1.514204e-02,2.839133e-03,2.839133e-03,,,488.2
580,1,2.085263,1.509641e-02,2.830576e-03,2.830576e-03,,,505.5
600,1,1.646996,1.505077e-02,2.822019e-03,2.822019e-03,,,522.9
620,1,1.600174,1.500513e-02,2.813463e-03,2.813463e-03,,,540.1
640,1,1.607024,1.495950e-02,2.804906e-03,2.804906e-03,,,557.5
660,1,1.614691,1.491386e-02,2.796349e-03,2.796349e-03,,,574.8
680,1,1.908229,1.486823e-02,2.787792e-03,2.787792e-03,,,592.1
700,1,1.546161,1.482259e-02,2.779236e-03,2.779236e-03,,,609.4
720,1,1.630802,1.477695e-02,2.770679e-03,2.770679e-03,,,626.7
740,1,1.513371,1.473132e-02,2.762122e-03,2.762122e-03,,,644.0
760,1,1.828671,1.468568e-02,2.753565e-03,2.753565e-03,,,661.3
780,1,1.745440,1.464005e-02,2.745009e-03,2.745009e-03,,,678.5
800,1,1.657962,1.459441e-02,2.736452e-03,2.736452e-03,,,695.8
820,1,1.854810,1.454877e-02,2.727895e-03,2.727895e-03,,,713.1
840,1,1.661662,1.450314e-02,2.719338e-03,2.719338e-03,,,730.4
