step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
20,1,5.965598,1.739130e-03,3.260870e-04,3.260870e-04,,,24.1
40,1,5.972308,3.478261e-03,6.521739e-04,6.521739e-04,,,40.3
60,1,5.950599,5.217391e-03,9.782609e-04,9.782609e-04,,,56.7
80,1,5.972469,6.956522e-03,1.304348e-03,1.304348e-03,,,72.7
100,1,5.965664,8.695652e-03,1.630435e-03,1.630435e-03,,,88.7
120,1,5.961235,1.043478e-02,1.956522e-03,1.956522e-03,,,104.7
140,1,5.973787,1.217391e-02,2.282609e-03,2.282609e-03,,,120.7
160,1,5.954209,1.391304e-02,2.608696e-03,2.608696e-03,,,136.7
180,1,5.965018,1.565217e-02,2.934783e-03,2.934783e-03,,,152.7
200,1,5.940291,1.596349e-02,2.993155e-03,2.993155e-03,,,168.8
220,1,5.974952,1.591786e-02,2.984598e-03,2.984598e-03,,,184.8
240,1,5.995739,1.587222e-02,2.976041e-03,2.976041e-03,,,200.9
260,1,5.965275,1.582658e-02,2.967484e-03,2.967484e-03,,,216.9
280,1,5.971030,1.578095e-02,2.958928e-03,2.958928e-03,,,233.0
300,1,5.973814,1.573531e-02,2.950371e-03,2.950371e-03,,,249.0
320,1,5.965613,1.568967e-02,2.941814e-03,2.941814e-03,,,265.0
340,1,5.995455,1.564404e-02,2.933257e-03,2.933257e-03,,,281.0
360,1,5.980953,1.559840e-02,2.924701e-03,2.924701e-03,,,297.1
380,1,5.950547,1.555277e-02,2.916144e-03,2.916144e-03,,,313.1
400,1,5.973403,1.550713e-02,2.907587e-03,2.907587e-03,,,329.1
420,1,5.953343,1.546149e-02,2.899030e-03,2.899030e-03,,,345.1
440,1,5.965543,1.541586e-02,2.890473e-03,2.890473e-03,,,361.3
460,1,5.954136,1.537022e-02,2.881917e-03,2.881917e-03,,,377.3
480,1,5.971098,1.532459e-02,2.873360e-03,2.873360e-03,,,393.5
500,1,5.972057,1.527895e-02,2.864803e-03,2.864803e-03,,,410.0
520,1,5.953561,1.523331e-02,2.856246e-03,2.856246e-03,,,426.1
540,1,5.986485,1.518768e-02,2.847690e-03,2.847690e-03,,,442.2
560,1,5.985782,1.514204e-02,2.839133e-03,2.839133e-03,,,458.3
580,1,5.952006,1.509641e-02,2.830576e-03,2.830576e-03,,,474.3
600,1,5.962806,1.505077e-02,2.822019e-03,2.822019e-03,,,490.4
620,1,5.967875,1.500513e-02,2.813463e-03,2.813463e-03,,,506.4
640,1,5.967763,1.495950e-02,2.804906e-03,2.804906e-03,,,522.5
660,1,5.963386,1.491386e-02,2.796349e-03,2.796349e-03,,,538.6
680,1,5.966170,1.486823e-02,2.787792e-03,2.787792e-03,,,554.7
700,1,6.005604,1.482259e-02,2.779236e-03,2.779236e-03,,,571.3
720,1,5.923202,1.477695e-02,2.770679e-03,2.770679e-03,,,587.7
740,1,5.944556,1.473132e-02,2.762122e-03,2.762122e-03,,,604.0
760,1,5.952508,1.468568e-02,2.753565e-03,2.753565e-03,,,620.1
780,1,5.998254,1.464005e-02,2.745009e-03,2.745009e-03,,,636.2
800,1,5.953302,1.459441e-02,2.736452e-03,2.736452e-03,,,652.3
820,1,5.938146,1.454877e-02,2.727895e-03,2.727895e-03,,,668.3
840,1,5.945213,1.450314e-02,2.719338e-03,2.719338e-03,,,684.4
860,1,5.964586,1.445750e-02,2.710782e-03,2.710782e-03,,,700.4
880,1,5.952995,1.441187e-02,2.702225e-03,2.702225e-03,,,716.5
900,1,5.956224,1.436623e-02,2.693668e-03,2.693668e-03,,,732.5
920,1,5.975239,1.432059e-02,2.685111e-03,2.685111e-03,,,748.6
940,1,5.985796,1.427496e-02,2.676554e-03,2.676554e-03,,,764.6
960,1,5.953390,1.422932e-02,2.667998e-03,2.667998e-03,,,780.7
980,1,5.960890,1.418369e-02,2.659441e-03,2.659441e-03,,,796.8
1000,1,5.954648,1.413805e-02,2.650884e-03,2.650884e-03,,,812.8
1020,1,5.969062,1.409241e-02,2.642327e-03,2.642327e-03,,,828.8
1040,1,5.953759,1.404678e-02,2.633771e-03,2.633771e-03,,,844.9
1060,1,5.901711,1.400114e-02,2.625214e-03,2.625214e-03,,,861.0
1080,1,5.929324,1.395550e-02,2.616657e-03,2.616657e-03,,,877.3
1100,1,5.980537,1.390987e-02,2.608100e-03,2.608100e-03,,,893.7
1120,1,5.988723,1.386423e-02,2.599544e-03,2.599544e-03,,,909.9
1140,1,5.809702,1.381860e-02,2.590987e-03,2.590987e-03,,,926.1
1160,1,5.633308,1.377296e-02,2.582430e-03,2.582430e-03,,,942.4
1180,1,5.725699,1.372732e-02,2.573873e-03,2.573873e-03,,,958.7
1200,1,5.712470,1.368169e-02,2.565317e-03,2.565317e-03,,,975.2
1220,1,6.023058,1.363605e-02,2.556760e-03,2.556760e-03,,,991.4
1240,1,5.970519,1.359042e-02,2.548203e-03,2.548203e-03,,,1007.5
1260,1,5.961412,1.354478e-02,2.539646e-03,2.539646e-03,,,1023.6
1280,1,5.946902,1.349914e-02,2.531090e-03,2.531090e-03,,,1039.6
1300,1,5.969681,1.345351e-02,2.522533e-03,2.522533e-03,,,1055.7
1320,1,5.719102,1.340787e-02,2.513976e-03,2.513976e-03,,,1071.7
1340,1,5.994903,1.336224e-02,2.505419e-03,2.505419e-03,,,1088.1
