step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
20,1,5.952635,1.739130e-03,3.260870e-04,3.260870e-04,,,24.0
40,1,5.960876,3.478261e-03,6.521739e-04,6.521739e-04,,,40.4
60,1,5.959697,5.217391e-03,9.782609e-04,9.782609e-04,,,56.5
80,1,5.949169,6.956522e-03,1.304348e-03,1.304348e-03,,,72.7
100,1,5.956041,8.695652e-03,1.630435e-03,1.630435e-03,,,89.1
120,1,5.940663,1.043478e-02,1.956522e-03,1.956522e-03,,,105.4
140,1,5.955307,1.217391e-02,2.282609e-03,2.282609e-03,,,121.5
160,1,5.971029,1.391304e-02,2.608696e-03,2.608696e-03,,,137.7
180,1,5.961769,1.565217e-02,2.934783e-03,2.934783e-03,,,153.8
200,1,5.969964,1.596349e-02,2.993155e-03,2.993155e-03,,,169.9
220,1,5.960926,1.591786e-02,2.984598e-03,2.984598e-03,,,186.1
240,1,5.932916,1.587222e-02,2.976041e-03,2.976041e-03,,,202.4
260,1,5.943572,1.582658e-02,2.967484e-03,2.967484e-03,,,218.5
280,1,5.977773,1.578095e-02,2.958928e-03,2.958928e-03,,,234.6
300,1,5.995683,1.573531e-02,2.950371e-03,2.950371e-03,,,250.7
320,1,5.944776,1.568967e-02,2.941814e-03,2.941814e-03,,,266.8
340,1,5.978366,1.564404e-02,2.933257e-03,2.933257e-03,,,283.0
360,1,5.963649,1.559840e-02,2.924701e-03,2.924701e-03,,,299.0
380,1,5.927346,1.555277e-02,2.916144e-03,2.916144e-03,,,315.1
400,1,5.935226,1.550713e-02,2.907587e-03,2.907587e-03,,,331.2
420,1,5.945695,1.546149e-02,2.899030e-03,2.899030e-03,,,347.2
440,1,5.955969,1.541586e-02,2.890473e-03,2.890473e-03,,,363.3
460,1,5.960416,1.537022e-02,2.881917e-03,2.881917e-03,,,379.3
480,1,5.972683,1.532459e-02,2.873360e-03,2.873360e-03,,,395.4
500,1,5.967228,1.527895e-02,2.864803e-03,2.864803e-03,,,411.5
520,1,5.968560,1.523331e-02,2.856246e-03,2.856246e-03,,,427.6
540,1,5.970699,1.518768e-02,2.847690e-03,2.847690e-03,,,443.7
560,1,5.943231,1.514204e-02,2.839133e-03,2.839133e-03,,,459.7
580,1,5.931811,1.509641e-02,2.830576e-03,2.830576e-03,,,475.8
600,1,5.989323,1.505077e-02,2.822019e-03,2.822019e-03,,,491.9
620,1,5.971683,1.500513e-02,2.813463e-03,2.813463e-03,,,507.9
640,1,5.976119,1.495950e-02,2.804906e-03,2.804906e-03,,,524.0
660,1,5.959544,1.491386e-02,2.796349e-03,2.796349e-03,,,540.1
680,1,5.938714,1.486823e-02,2.787792e-03,2.787792e-03,,,556.2
700,1,5.764130,1.482259e-02,2.779236e-03,2.779236e-03,,,572.3
720,1,5.769581,1.477695e-02,2.770679e-03,2.770679e-03,,,588.7
740,1,5.938882,1.473132e-02,2.762122e-03,2.762122e-03,,,604.9
760,1,5.994838,1.468568e-02,2.753565e-03,2.753565e-03,,,621.0
780,1,5.952543,1.464005e-02,2.745009e-03,2.745009e-03,,,637.2
800,1,5.934946,1.459441e-02,2.736452e-03,2.736452e-03,,,653.3
820,1,5.943839,1.454877e-02,2.727895e-03,2.727895e-03,,,669.4
840,1,5.970665,1.450314e-02,2.719338e-03,2.719338e-03,,,685.9
860,1,5.987194,1.445750e-02,2.710782e-03,2.710782e-03,,,702.1
880,1,5.939339,1.441187e-02,2.702225e-03,2.702225e-03,,,718.2
900,1,5.952546,1.436623e-02,2.693668e-03,2.693668e-03,,,734.3
920,1,5.980419,1.432059e-02,2.685111e-03,2.685111e-03,,,750.5
940,1,5.975965,1.427496e-02,2.676554e-03,2.676554e-03,,,766.6
960,1,5.934009,1.422932e-02,2.667998e-03,2.667998e-03,,,782.6
980,1,5.921428,1.418369e-02,2.659441e-03,2.659441e-03,,,798.7
1000,1,5.976357,1.413805e-02,2.650884e-03,2.650884e-03,,,815.0
1020,1,5.953704,1.409241e-02,2.642327e-03,2.642327e-03,,,831.0
1040,1,5.965324,1.404678e-02,2.633771e-03,2.633771e-03,,,847.1
1060,1,5.982061,1.400114e-02,2.625214e-03,2.625214e-03,,,863.3
1080,1,5.964812,1.395550e-02,2.616657e-03,2.616657e-03,,,879.3
1100,1,5.975399,1.390987e-02,2.608100e-03,2.608100e-03,,,895.4
1120,1,5.969941,1.386423e-02,2.599544e-03,2.599544e-03,,,911.5
1140,1,5.975811,1.381860e-02,2.590987e-03,2.590987e-03,,,927.6
1160,1,5.979415,1.377296e-02,2.582430e-03,2.582430e-03,,,943.7
1180,1,5.979360,1.372732e-02,2.573873e-03,2.573873e-03,,,959.8
1200,1,5.952006,1.368169e-02,2.565317e-03,2.565317e-03,,,976.0
1220,1,5.957846,1.363605e-02,2.556760e-03,2.556760e-03,,,992.1
1240,1,5.935059,1.359042e-02,2.548203e-03,2.548203e-03,,,1008.1
1260,1,5.963579,1.354478e-02,2.539646e-03,2.539646e-03,,,1024.2
1280,1,5.946850,1.349914e-02,2.531090e-03,2.531090e-03,,,1040.3
1300,1,5.956723,1.345351e-02,2.522533e-03,2.522533e-03,,,1056.3
1320,1,5.963399,1.340787e-02,2.513976e-03,2.513976e-03,,,1072.4
1340,1,5.948953,1.336224e-02,2.505419e-03,2.505419e-03,,,1088.5
1360,1,5.939580,1.331660e-02,2.496863e-03,2.496863e-03,,,1104.7
1380,1,5.949926,1.327096e-02,2.488306e-03,2.488306e-03,,,1120.9
