step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
20,1,5.595713,1.739130e-03,3.260870e-04,3.260870e-04,,,20.0
40,1,4.594326,3.478261e-03,6.521739e-04,6.521739e-04,,,35.9
60,1,4.222591,5.217391e-03,9.782609e-04,9.782609e-04,,,51.9
80,1,3.948999,6.956522e-03,1.304348e-03,1.304348e-03,,,67.9
100,1,3.629729,8.695652e-03,1.630435e-03,1.630435e-03,,,83.9
120,1,3.969650,1.043478e-02,1.956522e-03,1.956522e-03,,,100.1
140,1,2.971601,1.217391e-02,2.282609e-03,2.282609e-03,,,116.4
160,1,3.133897,1.391304e-02,2.608696e-03,2.608696e-03,,,132.8
180,1,2.704611,1.565217e-02,2.934783e-03,2.934783e-03,,,149.3
200,1,2.434890,1.596349e-02,2.993155e-03,2.993155e-03,,,165.7
220,1,2.759655,1.591786e-02,2.984598e-03,2.984598e-03,,,182.2
240,1,2.526458,1.587222e-02,2.976041e-03,2.976041e-03,,,198.6
260,1,2.250073,1.582658e-02,2.967484e-03,2.967484e-03,,,215.1
280,1,2.232891,1.578095e-02,2.958928e-03,2.958928e-03,,,231.5
300,1,2.321552,1.573531e-02,2.950371e-03,2.950371e-03,,,248.0
320,1,2.649554,1.568967e-02,2.941814e-03,2.941814e-03,,,264.5
340,1,2.272077,1.564404e-02,2.933257e-03,2.933257e-03,,,280.9
360,1,2.415248,1.559840e-02,2.924701e-03,2.924701e-03,,,297.4
380,1,2.404223,1.555277e-02,2.916144e-03,2.916144e-03,,,313.9
400,1,1.877652,1.550713e-02,2.907587e-03,2.907587e-03,,,330.3
420,1,1.829478,1.546149e-02,2.899030e-03,2.899030e-03,,,346.8
440,1,2.014144,1.541586e-02,2.890473e-03,2.890473e-03,,,363.3
460,1,1.870154,1.537022e-02,2.881917e-03,2.881917e-03,,,379.8
480,1,1.885235,1.532459e-02,2.873360e-03,2.873360e-03,,,396.2
500,1,1.894378,1.527895e-02,2.864803e-03,2.864803e-03,,,412.9
520,1,2.256164,1.523331e-02,2.856246e-03,2.856246e-03,,,429.3
540,1,1.980648,1.518768e-02,2.847690e-03,2.847690e-03,,,445.8
560,1,2.041994,1.514204e-02,2.839133e-03,2.839133e-03,,,462.3
580,1,2.188380,1.509641e-02,2.830576e-03,2.830576e-03,,,478.7
600,1,1.892449,1.505077e-02,2.822019e-03,2.822019e-03,,,495.2
620,1,1.703599,1.500513e-02,2.813463e-03,2.813463e-03,,,511.6
640,1,1.898809,1.495950e-02,2.804906e-03,2.804906e-03,,,528.1
660,1,1.808485,1.491386e-02,2.796349e-03,2.796349e-03,,,544.6
680,1,1.944660,1.486823e-02,2.787792e-03,2.787792e-03,,,561.0
700,1,1.705686,1.482259e-02,2.779236e-03,2.779236e-03,,,577.5
720,1,1.814477,1.477695e-02,2.770679e-03,2.770679e-03,,,593.9
740,1,1.619885,1.473132e-02,2.762122e-03,2.762122e-03,,,610.3
760,1,1.931359,1.468568e-02,2.753565e-03,2.753565e-03,,,626.7
780,1,1.895542,1.464005e-02,2.745009e-03,2.745009e-03,,,643.2
800,1,1.681848,1.459441e-02,2.736452e-03,2.736452e-03,,,659.6
820,1,2.121342,1.454877e-02,2.727895e-03,2.727895e-03,,,676.1
840,1,1.570228,1.450314e-02,2.719338e-03,2.719338e-03,,,692.5
860,1,1.844503,1.445750e-02,2.710782e-03,2.710782e-03,,,709.0
880,1,1.782281,1.441187e-02,2.702225e-03,2.702225e-03,,,725.4
900,1,1.487636,1.436623e-02,2.693668e-03,2.693668e-03,,,741.8
920,1,1.819038,1.432059e-02,2.685111e-03,2.685111e-03,,,758.3
940,1,2.083281,1.427496e-02,2.676554e-03,2.676554e-03,,,774.7
960,1,1.577040,1.422932e-02,2.667998e-03,2.667998e-03,,,791.2
980,1,1.676430,1.418369e-02,2.659441e-03,2.659441e-03,,,807.6
1000,1,1.622217,1.413805e-02,2.650884e-03,2.650884e-03,,,824.0
1020,1,1.929853,1.409241e-02,2.642327e-03,2.642327e-03,,,840.4
1040,1,1.933290,1.404678e-02,2.633771e-03,2.633771e-03,,,856.8
1060,1,1.727149,1.400114e-02,2.625214e-03,2.625214e-03,,,873.3
1080,1,1.921518,1.395550e-02,2.616657e-03,2.616657e-03,,,889.7
1100,1,1.846911,1.390987e-02,2.608100e-03,2.608100e-03,,,906.2
1120,1,2.138636,1.386423e-02,2.599544e-03,2.599544e-03,,,922.6
1140,1,1.425065,1.381860e-02,2.590987e-03,2.590987e-03,,,939.0
1160,1,1.712368,1.377296e-02,2.582430e-03,2.582430e-03,,,955.4
1180,1,1.615923,1.372732e-02,2.573873e-03,2.573873e-03,,,971.9
1200,1,2.046837,1.368169e-02,2.565317e-03,2.565317e-03,,,988.5
1220,1,1.728203,1.363605e-02,2.556760e-03,2.556760e-03,,,1004.9
1240,1,2.008056,1.359042e-02,2.548203e-03,2.548203e-03,,,1021.3
1260,1,1.673597,1.354478e-02,2.539646e-03,2.539646e-03,,,1037.8
1280,1,1.196582,1.349914e-02,2.531090e-03,2.531090e-03,,,1054.2
1300,1,1.678931,1.345351e-02,2.522533e-03,2.522533e-03,,,1070.6
1320,1,1.120159,1.340787e-02,2.513976e-03,2.513976e-03,,,1087.0
1340,1,1.776857,1.336224e-02,2.505419e-03,2.505419e-03,,,1103.5
1360,1,1.511530,1.331660e-02,2.496863e-03,2.496863e-03,,,1119.9
1380,1,2.271796,1.327096e-02,2.488306e-03,2.488306e-03,,,1136.4
1400,1,1.791795,1.322533e-02,2.479749e-03,2.479749e-03,,,1152.8
1420,1,1.606129,1.317969e-02,2.471192e-03,2.471192e-03,,,1169.3
1440,1,2.126677,1.313406e-02,2.462635e-03,2.462635e-03,,,1185.7
1460,1,1.251961,1.308842e-02,2.454079e-03,2.454079e-03,,,1202.1
1480,1,2.038489,1.304278e-02,2.445522e-03,2.445522e-03,,,1218.5
1500,1,1.843791,1.299715e-02,2.436965e-03,2.436965e-03,,,1234.9
1520,1,1.517477,1.295151e-02,2.428408e-03,2.428408e-03,,,1251.3
1540,1,1.257974,1.290588e-02,2.419852e-03,2.419852e-03,,,1267.7
1560,1,1.597188,1.286024e-02,2.411295e-03,2.411295e-03,,,1284.1
1580,1,2.015286,1.281460e-02,2.402738e-03,2.402738e-03,,,1300.5
1600,1,1.888965,1.276897e-02,2.394181e-03,2.394181e-03,,,1316.9
1620,1,1.458843,1.272333e-02,2.385625e-03,2.385625e-03,,,1333.3
1640,1,1.806431,1.267770e-02,2.377068e-03,2.377068e-03,,,1349.7
1660,1,1.347423,1.263206e-02,2.368511e-03,2.368511e-03,,,1366.1
1680,1,1.547087,1.258642e-02,2.359954e-03,2.359954e-03,,,1382.5
1700,1,2.029596,1.254079e-02,2.351398e-03,2.351398e-03,,,1398.9
1720,1,1.935687,1.249515e-02,2.342841e-03,2.342841e-03,,,1415.3
1740,1,1.710682,1.244952e-02,2.334284e-03,2.334284e-03,,,1431.8
1760,1,1.916766,1.240388e-02,2.325727e-03,2.325727e-03,,,1448.2
1780,1,1.386523,1.235824e-02,2.317171e-03,2.317171e-03,,,1464.6
1800,1,1.288719,1.231261e-02,2.308614e-03,2.308614e-03,,,1481.0
1820,1,1.719779,1.226697e-02,2.300057e-03,2.300057e-03,,,1497.5
1840,1,1.731251,1.222133e-02,2.291500e-03,2.291500e-03,,,1513.9
1845,1,2.060847,1.220993e-02,2.289361e-03,2.289361e-03,75.82,65.07,1612.3
1860,2,1.361283,1.217570e-02,2.282944e-03,2.282944e-03,,,1624.6
1880,2,1.863266,1.213006e-02,2.274387e-03,2.274387e-03,,,1641.0
1900,2,1.828342,1.208443e-02,2.265830e-03,2.265830e-03,,,1657.4
1920,2,1.607809,1.203879e-02,2.257273e-03,2.257273e-03,,,1673.8
1940,2,1.598223,1.199315e-02,2.248716e-03,2.248716e-03,,,1690.3
1960,2,1.647209,1.194752e-02,2.240160e-03,2.240160e-03,,,1706.7
1980,2,1.384809,1.190188e-02,2.231603e-03,2.231603e-03,,,1723.0
2000,2,2.193139,1.185625e-02,2.223046e-03,2.223046e-03,,,1739.5
2020,2,1.332974,1.181061e-02,2.214489e-03,2.214489e-03,,,1755.9
2040,2,1.568912,1.176497e-02,2.205933e-03,2.205933e-03,,,1772.3
2060,2,1.722739,1.171934e-02,2.197376e-03,2.197376e-03,,,1788.7
2080,2,1.716271,1.167370e-02,2.188819e-03,2.188819e-03,,,1805.1
2100,2,2.491277,1.162807e-02,2.180262e-03,2.180262e-03,,,1821.5
2120,2,1.226680,1.158243e-02,2.171706e-03,2.171706e-03,,,1837.9
2140,2,2.015748,1.153679e-02,2.163149e-03,2.163149e-03,,,1854.3
2160,2,1.636455,1.149116e-02,2.154592e-03,2.154592e-03,,,1870.7
2180,2,2.103289,1.144552e-02,2.146035e-03,2.146035e-03,,,1887.1
2200,2,1.441818,1.139989e-02,2.137479e-03,2.137479e-03,,,1903.5
2220,2,1.348825,1.135425e-02,2.128922e-03,2.128922e-03,,,1920.0
2240,2,1.575781,1.130861e-02,2.120365e-03,2.120365e-03,,,1936.3
2260,2,1.441921,1.126298e-02,2.111808e-03,2.111808e-03,,,1952.8
2280,2,1.200194,1.121734e-02,2.103252e-03,2.103252e-03,,,1969.2
2300,2,1.435562,1.117171e-02,2.094695e-03,2.094695e-03,,,1985.6
2320,2,1.473771,1.112607e-02,2.086138e-03,2.086138e-03,,,2002.1
2340,2,1.736522,1.108043e-02,2.077581e-03,2.077581e-03,,,2018.5
2360,2,1.747022,1.103480e-02,2.069025e-03,2.069025e-03,,,2035.1
2380,2,1.791685,1.098916e-02,2.060468e-03,2.060468e-03,,,2051.6
2400,2,1.897545,1.094353e-02,2.051911e-03,2.051911e-03,,,2068.1
2420,2,1.364969,1.089789e-02,2.043354e-03,2.043354e-03,,,2084.5
2440,2,1.480373,1.085225e-02,2.034797e-03,2.034797e-03,,,2101.0
2460,2,1.620178,1.080662e-02,2.026241e-03,2.026241e-03,,,2117.4
2480,2,1.399497,1.076098e-02,2.017684e-03,2.017684e-03,,,2133.9
2500,2,1.578557,1.071535e-02,2.009127e-03,2.009127e-03,,,2150.3
2520,2,1.402055,1.066971e-02,2.000570e-03,2.000570e-03,,,2166.7
2540,2,1.495818,1.062407e-02,1.992014e-03,1.992014e-03,,,2183.1
2560,2,1.580661,1.057844e-02,1.983457e-03,1.983457e-03,,,2199.5
2580,2,1.062720,1.053280e-02,1.974900e-03,1.974900e-03,,,2215.9
2600,2,1.665231,1.048716e-02,1.966343e-03,1.966343e-03,,,2232.3
2620,2,1.418558,1.044153e-02,1.957787e-03,1.957787e-03,,,2248.8
2640,2,1.869769,1.039589e-02,1.949230e-03,1.949230e-03,,,2265.2
2660,2,1.180533,1.035026e-02,1.940673e-03,1.940673e-03,,,2281.6
2680,2,1.510175,1.030462e-02,1.932116e-03,1.932116e-03,,,2298.0
2700,2,1.320612,1.025898e-02,1.923560e-03,1.923560e-03,,,2314.4
2720,2,1.674577,1.021335e-02,1.915003e-03,1.915003e-03,,,2330.8
2740,2,1.627344,1.016771e-02,1.906446e-03,1.906446e-03,,,2347.2
2760,2,1.610769,1.012208e-02,1.897889e-03,1.897889e-03,,,2363.6
2780,2,1.885600,1.007644e-02,1.889333e-03,1.889333e-03,,,2380.0
2800,2,1.343451,1.003080e-02,1.880776e-03,1.880776e-03,,,2396.4
2820,2,1.451875,9.985168e-03,1.872219e-03,1.872219e-03,,,2412.8
2840,2,1.581505,9.939532e-03,1.863662e-03,1.863662e-03,,,2429.2
2860,2,1.874270,9.893896e-03,1.855106e-03,1.855106e-03,,,2445.6
2880,2,1.707001,9.848260e-03,1.846549e-03,1.846549e-03,,,2461.9
2900,2,1.528432,9.802624e-03,1.837992e-03,1.837992e-03,,,2478.3
2920,2,1.548766,9.756988e-03,1.829435e-03,1.829435e-03,,,2494.7
2940,2,1.148226,9.711352e-03,1.820878e-03,1.820878e-03,,,2511.1
2960,2,1.474958,9.665716e-03,1.812322e-03,1.812322e-03,,,2527.5
2980,2,1.858921,9.620080e-03,1.803765e-03,1.803765e-03,,,2543.8
3000,2,1.344887,9.574444e-03,1.795208e-03,1.795208e-03,,,2560.2
3020,2,1.461135,9.528808e-03,1.786651e-03,1.786651e-03,,,2576.6
3040,2,2.200065,9.483172e-03,1.778095e-03,1.778095e-03,,,2593.0
3060,2,1.869708,9.437536e-03,1.769538e-03,1.769538e-03,,,2609.6
3080,2,1.413864,9.391900e-03,1.760981e-03,1.760981e-03,,,2626.0
3100,2,1.057125,9.346264e-03,1.752424e-03,1.752424e-03,,,2642.4
3120,2,1.727587,9.300627e-03,1.743868e-03,1.743868e-03,,,2658.8
3140,2,1.520383,9.254991e-03,1.735311e-03,1.735311e-03,,,2675.1
3160,2,1.629526,9.209355e-03,1.726754e-03,1.726754e-03,,,2691.5
3180,2,1.894825,9.163719e-03,1.718197e-03,1.718197e-03,,,2707.9
3200,2,1.581204,9.118083e-03,1.709641e-03,1.709641e-03,,,2724.3
3220,2,1.807844,9.072447e-03,1.701084e-03,1.701084e-03,,,2740.6
3240,2,1.370051,9.026811e-03,1.692527e-03,1.692527e-03,,,2757.0
3260,2,1.614088,8.981175e-03,1.683970e-03,1.683970e-03,,,2773.4
3280,2,1.244964,8.935539e-03,1.675414e-03,1.675414e-03,,,2789.8
3300,2,1.341283,8.889903e-03,1.666857e-03,1.666857e-03,,,2806.2
3320,2,1.725335,8.844267e-03,1.658300e-03,1.658300e-03,,,2822.5
3340,2,1.358592,8.798631e-03,1.649743e-03,1.649743e-03,,,2838.9
3360,2,1.617468,8.752995e-03,1.641187e-03,1.641187e-03,,,2855.3
3380,2,1.248906,8.707359e-03,1.632630e-03,1.632630e-03,,,2871.6
3400,2,1.290810,8.661723e-03,1.624073e-03,1.624073e-03,,,2888.0
3420,2,1.448278,8.616087e-03,1.615516e-03,1.615516e-03,,,2904.4
3440,2,1.588319,8.570451e-03,1.606959e-03,1.606959e-03,,,2920.8
3460,2,1.547967,8.524815e-03,1.598403e-03,1.598403e-03,,,2937.2
3480,2,1.853767,8.479179e-03,1.589846e-03,1.589846e-03,,,2953.6
3500,2,1.585987,8.433542e-03,1.581289e-03,1.581289e-03,,,2970.0
