step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
20,1,5.555011,1.739130e-03,3.260870e-04,3.260870e-04,,,20.3
40,1,4.524739,3.478261e-03,6.521739e-04,6.521739e-04,,,36.4
60,1,4.193083,5.217391e-03,9.782609e-04,9.782609e-04,,,52.6
80,1,3.920155,6.956522e-03,1.304348e-03,1.304348e-03,,,68.7
100,1,3.643349,8.695652e-03,1.630435e-03,1.630435e-03,,,85.0
120,1,3.905485,1.043478e-02,1.956522e-03,1.956522e-03,,,101.3
140,1,2.926615,1.217391e-02,2.282609e-03,2.282609e-03,,,117.7
160,1,3.136435,1.391304e-02,2.608696e-03,2.608696e-03,,,134.3
180,1,2.664703,1.565217e-02,2.934783e-03,2.934783e-03,,,150.7
200,1,2.278892,1.596349e-02,2.993155e-03,2.993155e-03,,,167.2
220,1,2.719935,1.591786e-02,2.984598e-03,2.984598e-03,,,183.7
240,1,2.468501,1.587222e-02,2.976041e-03,2.976041e-03,,,200.2
260,1,2.107651,1.582658e-02,2.967484e-03,2.967484e-03,,,216.7
280,1,2.103113,1.578095e-02,2.958928e-03,2.958928e-03,,,233.2
300,1,2.197835,1.573531e-02,2.950371e-03,2.950371e-03,,,249.7
320,1,2.503557,1.568967e-02,2.941814e-03,2.941814e-03,,,266.1
340,1,2.149318,1.564404e-02,2.933257e-03,2.933257e-03,,,282.6
360,1,2.220892,1.559840e-02,2.924701e-03,2.924701e-03,,,299.1
380,1,2.275716,1.555277e-02,2.916144e-03,2.916144e-03,,,315.5
400,1,1.773779,1.550713e-02,2.907587e-03,2.907587e-03,,,332.0
420,1,1.618125,1.546149e-02,2.899030e-03,2.899030e-03,,,348.5
440,1,1.914873,1.541586e-02,2.890473e-03,2.890473e-03,,,364.9
460,1,1.723560,1.537022e-02,2.881917e-03,2.881917e-03,,,381.4
480,1,1.797919,1.532459e-02,2.873360e-03,2.873360e-03,,,397.8
500,1,1.798053,1.527895e-02,2.864803e-03,2.864803e-03,,,414.4
520,1,2.182202,1.523331e-02,2.856246e-03,2.856246e-03,,,430.8
540,1,1.876143,1.518768e-02,2.847690e-03,2.847690e-03,,,447.2
560,1,1.944633,1.514204e-02,2.839133e-03,2.839133e-03,,,463.5
580,1,2.054018,1.509641e-02,2.830576e-03,2.830576e-03,,,479.9
600,1,1.724579,1.505077e-02,2.822019e-03,2.822019e-03,,,496.3
620,1,1.652069,1.500513e-02,2.813463e-03,2.813463e-03,,,512.7
640,1,1.773002,1.495950e-02,2.804906e-03,2.804906e-03,,,529.1
660,1,1.681649,1.491386e-02,2.796349e-03,2.796349e-03,,,545.6
680,1,1.829154,1.486823e-02,2.787792e-03,2.787792e-03,,,561.9
700,1,1.575465,1.482259e-02,2.779236e-03,2.779236e-03,,,578.3
720,1,1.670735,1.477695e-02,2.770679e-03,2.770679e-03,,,594.7
740,1,1.573764,1.473132e-02,2.762122e-03,2.762122e-03,,,611.1
760,1,1.809291,1.468568e-02,2.753565e-03,2.753565e-03,,,627.5
780,1,1.816175,1.464005e-02,2.745009e-03,2.745009e-03,,,643.9
800,1,1.593102,1.459441e-02,2.736452e-03,2.736452e-03,,,660.3
820,1,1.973554,1.454877e-02,2.727895e-03,2.727895e-03,,,676.7
840,1,1.416072,1.450314e-02,2.719338e-03,2.719338e-03,,,693.0
860,1,1.615640,1.445750e-02,2.710782e-03,2.710782e-03,,,709.4
880,1,1.677267,1.441187e-02,2.702225e-03,2.702225e-03,,,725.8
900,1,1.357583,1.436623e-02,2.693668e-03,2.693668e-03,,,742.2
920,1,1.682328,1.432059e-02,2.685111e-03,2.685111e-03,,,758.6
940,1,1.979975,1.427496e-02,2.676554e-03,2.676554e-03,,,774.9
960,1,1.437043,1.422932e-02,2.667998e-03,2.667998e-03,,,791.3
980,1,1.530499,1.418369e-02,2.659441e-03,2.659441e-03,,,807.6
1000,1,1.532216,1.413805e-02,2.650884e-03,2.650884e-03,,,824.0
1020,1,1.718293,1.409241e-02,2.642327e-03,2.642327e-03,,,840.4
1040,1,1.737511,1.404678e-02,2.633771e-03,2.633771e-03,,,856.7
1060,1,1.635547,1.400114e-02,2.625214e-03,2.625214e-03,,,873.1
1080,1,1.724007,1.395550e-02,2.616657e-03,2.616657e-03,,,889.5
1100,1,1.694592,1.390987e-02,2.608100e-03,2.608100e-03,,,905.8
1120,1,1.926020,1.386423e-02,2.599544e-03,2.599544e-03,,,922.2
1140,1,1.367739,1.381860e-02,2.590987e-03,2.590987e-03,,,938.5
1160,1,1.486470,1.377296e-02,2.582430e-03,2.582430e-03,,,954.9
1180,1,1.556341,1.372732e-02,2.573873e-03,2.573873e-03,,,971.2
1200,1,1.942561,1.368169e-02,2.565317e-03,2.565317e-03,,,987.7
1220,1,1.495584,1.363605e-02,2.556760e-03,2.556760e-03,,,1004.1
1240,1,1.798773,1.359042e-02,2.548203e-03,2.548203e-03,,,1020.4
1260,1,1.553874,1.354478e-02,2.539646e-03,2.539646e-03,,,1036.8
1280,1,1.076749,1.349914e-02,2.531090e-03,2.531090e-03,,,1053.1
1300,1,1.544866,1.345351e-02,2.522533e-03,2.522533e-03,,,1069.5
1320,1,0.958420,1.340787e-02,2.513976e-03,2.513976e-03,,,1085.8
1340,1,1.518994,1.336224e-02,2.505419e-03,2.505419e-03,,,1102.1
1360,1,1.356378,1.331660e-02,2.496863e-03,2.496863e-03,,,1118.5
1380,1,2.133614,1.327096e-02,2.488306e-03,2.488306e-03,,,1134.8
1400,1,1.483905,1.322533e-02,2.479749e-03,2.479749e-03,,,1151.2
1420,1,1.387964,1.317969e-02,2.471192e-03,2.471192e-03,,,1167.5
1440,1,1.954552,1.313406e-02,2.462635e-03,2.462635e-03,,,1183.9
1460,1,1.146987,1.308842e-02,2.454079e-03,2.454079e-03,,,1200.2
1480,1,1.872427,1.304278e-02,2.445522e-03,2.445522e-03,,,1216.5
1500,1,1.827515,1.299715e-02,2.436965e-03,2.436965e-03,,,1232.9
1520,1,1.333675,1.295151e-02,2.428408e-03,2.428408e-03,,,1249.2
1540,1,1.157908,1.290588e-02,2.419852e-03,2.419852e-03,,,1265.5
1560,1,1.450490,1.286024e-02,2.411295e-03,2.411295e-03,,,1281.9
1580,1,1.897645,1.281460e-02,2.402738e-03,2.402738e-03,,,1298.2
1600,1,1.660213,1.276897e-02,2.394181e-03,2.394181e-03,,,1314.6
1620,1,1.311646,1.272333e-02,2.385625e-03,2.385625e-03,,,1330.9
1640,1,1.661298,1.267770e-02,2.377068e-03,2.377068e-03,,,1347.3
1660,1,1.196916,1.263206e-02,2.368511e-03,2.368511e-03,,,1363.6
1680,1,1.541790,1.258642e-02,2.359954e-03,2.359954e-03,,,1379.9
1700,1,1.974310,1.254079e-02,2.351398e-03,2.351398e-03,,,1396.3
1720,1,1.700060,1.249515e-02,2.342841e-03,2.342841e-03,,,1412.6
1740,1,1.674643,1.244952e-02,2.334284e-03,2.334284e-03,,,1428.9
1760,1,1.707784,1.240388e-02,2.325727e-03,2.325727e-03,,,1445.2
1780,1,1.187361,1.235824e-02,2.317171e-03,2.317171e-03,,,1461.5
1800,1,1.085675,1.231261e-02,2.308614e-03,2.308614e-03,,,1477.8
1820,1,1.428473,1.226697e-02,2.300057e-03,2.300057e-03,,,1494.1
1840,1,1.545039,1.222133e-02,2.291500e-03,2.291500e-03,,,1510.5
1845,1,1.932553,1.220993e-02,2.289361e-03,2.289361e-03,79.69,69.43,1608.3
1860,2,1.128536,1.217570e-02,2.282944e-03,2.282944e-03,,,1620.6
1880,2,1.693306,1.213006e-02,2.274387e-03,2.274387e-03,,,1637.0
1900,2,1.501119,1.208443e-02,2.265830e-03,2.265830e-03,,,1653.3
1920,2,1.469440,1.203879e-02,2.257273e-03,2.257273e-03,,,1669.6
1940,2,1.416222,1.199315e-02,2.248716e-03,2.248716e-03,,,1685.9
1960,2,1.456700,1.194752e-02,2.240160e-03,2.240160e-03,,,1702.3
1980,2,1.177866,1.190188e-02,2.231603e-03,2.231603e-03,,,1718.5
2000,2,1.940707,1.185625e-02,2.223046e-03,2.223046e-03,,,1734.9
2020,2,1.163155,1.181061e-02,2.214489e-03,2.214489e-03,,,1751.2
2040,2,1.343409,1.176497e-02,2.205933e-03,2.205933e-03,,,1767.5
2060,2,1.568652,1.171934e-02,2.197376e-03,2.197376e-03,,,1783.8
2080,2,1.405301,1.167370e-02,2.188819e-03,2.188819e-03,,,1800.1
2100,2,2.111903,1.162807e-02,2.180262e-03,2.180262e-03,,,1816.4
2120,2,1.026126,1.158243e-02,2.171706e-03,2.171706e-03,,,1832.7
2140,2,1.718742,1.153679e-02,2.163149e-03,2.163149e-03,,,1849.0
2160,2,1.448180,1.149116e-02,2.154592e-03,2.154592e-03,,,1865.3
2180,2,1.817280,1.144552e-02,2.146035e-03,2.146035e-03,,,1881.7
2200,2,1.314255,1.139989e-02,2.137479e-03,2.137479e-03,,,1898.0
2220,2,1.215466,1.135425e-02,2.128922e-03,2.128922e-03,,,1914.3
2240,2,1.344790,1.130861e-02,2.120365e-03,2.120365e-03,,,1930.6
2260,2,1.343572,1.126298e-02,2.111808e-03,2.111808e-03,,,1946.9
2280,2,1.057639,1.121734e-02,2.103252e-03,2.103252e-03,,,1963.2
2300,2,1.299434,1.117171e-02,2.094695e-03,2.094695e-03,,,1979.5
2320,2,1.328313,1.112607e-02,2.086138e-03,2.086138e-03,,,1995.8
2340,2,1.608427,1.108043e-02,2.077581e-03,2.077581e-03,,,2012.1
2360,2,1.502200,1.103480e-02,2.069025e-03,2.069025e-03,,,2028.5
2380,2,1.613733,1.098916e-02,2.060468e-03,2.060468e-03,,,2044.8
2400,2,1.546783,1.094353e-02,2.051911e-03,2.051911e-03,,,2061.1
2420,2,1.084256,1.089789e-02,2.043354e-03,2.043354e-03,,,2077.4
2440,2,1.318375,1.085225e-02,2.034797e-03,2.034797e-03,,,2093.9
2460,2,1.330478,1.080662e-02,2.026241e-03,2.026241e-03,,,2110.2
2480,2,1.172113,1.076098e-02,2.017684e-03,2.017684e-03,,,2126.5
2500,2,1.295934,1.071535e-02,2.009127e-03,2.009127e-03,,,2142.8
2520,2,1.238323,1.066971e-02,2.000570e-03,2.000570e-03,,,2159.0
2540,2,1.254207,1.062407e-02,1.992014e-03,1.992014e-03,,,2175.4
2560,2,1.319690,1.057844e-02,1.983457e-03,1.983457e-03,,,2191.6
2580,2,0.908139,1.053280e-02,1.974900e-03,1.974900e-03,,,2207.9
2600,2,1.366408,1.048716e-02,1.966343e-03,1.966343e-03,,,2224.2
2620,2,1.179185,1.044153e-02,1.957787e-03,1.957787e-03,,,2240.5
2640,2,1.667028,1.039589e-02,1.949230e-03,1.949230e-03,,,2256.8
2660,2,0.991161,1.035026e-02,1.940673e-03,1.940673e-03,,,2273.1
2680,2,1.390111,1.030462e-02,1.932116e-03,1.932116e-03,,,2289.4
2700,2,1.091564,1.025898e-02,1.923560e-03,1.923560e-03,,,2305.7
2720,2,1.452287,1.021335e-02,1.915003e-03,1.915003e-03,,,2322.0
2740,2,1.294540,1.016771e-02,1.906446e-03,1.906446e-03,,,2338.3
2760,2,1.275116,1.012208e-02,1.897889e-03,1.897889e-03,,,2354.5
2780,2,1.705443,1.007644e-02,1.889333e-03,1.889333e-03,,,2370.9
2800,2,1.210898,1.003080e-02,1.880776e-03,1.880776e-03,,,2387.2
2820,2,1.241456,9.985168e-03,1.872219e-03,1.872219e-03,,,2403.5
2840,2,1.390610,9.939532e-03,1.863662e-03,1.863662e-03,,,2419.8
2860,2,1.526728,9.893896e-03,1.855106e-03,1.855106e-03,,,2436.1
2880,2,1.558107,9.848260e-03,1.846549e-03,1.846549e-03,,,2452.3
2900,2,1.090864,9.802624e-03,1.837992e-03,1.837992e-03,,,2468.6
2920,2,1.478966,9.756988e-03,1.829435e-03,1.829435e-03,,,2484.9
2940,2,1.195883,9.711352e-03,1.820878e-03,1.820878e-03,,,2501.1
2960,2,1.263023,9.665716e-03,1.812322e-03,1.812322e-03,,,2517.4
2980,2,1.693101,9.620080e-03,1.803765e-03,1.803765e-03,,,2533.7
3000,2,1.112616,9.574444e-03,1.795208e-03,1.795208e-03,,,2549.9
3020,2,1.283404,9.528808e-03,1.786651e-03,1.786651e-03,,,2566.2
3040,2,1.889602,9.483172e-03,1.778095e-03,1.778095e-03,,,2582.6
3060,2,1.648226,9.437536e-03,1.769538e-03,1.769538e-03,,,2598.9
3080,2,1.208914,9.391900e-03,1.760981e-03,1.760981e-03,,,2615.2
3100,2,0.892042,9.346264e-03,1.752424e-03,1.752424e-03,,,2631.4
3120,2,1.401252,9.300627e-03,1.743868e-03,1.743868e-03,,,2647.7
3140,2,1.332837,9.254991e-03,1.735311e-03,1.735311e-03,,,2664.1
3160,2,1.293815,9.209355e-03,1.726754e-03,1.726754e-03,,,2680.4
3180,2,1.792028,9.163719e-03,1.718197e-03,1.718197e-03,,,2696.7
3200,2,1.445911,9.118083e-03,1.709641e-03,1.709641e-03,,,2713.0
3220,2,1.469200,9.072447e-03,1.701084e-03,1.701084e-03,,,2729.3
3240,2,1.139724,9.026811e-03,1.692527e-03,1.692527e-03,,,2745.6
3260,2,1.446630,8.981175e-03,1.683970e-03,1.683970e-03,,,2761.9
3280,2,1.067827,8.935539e-03,1.675414e-03,1.675414e-03,,,2778.1
3300,2,1.172598,8.889903e-03,1.666857e-03,1.666857e-03,,,2794.4
3320,2,1.583196,8.844267e-03,1.658300e-03,1.658300e-03,,,2810.6
3340,2,1.148412,8.798631e-03,1.649743e-03,1.649743e-03,,,2826.9
3360,2,1.349994,8.752995e-03,1.641187e-03,1.641187e-03,,,2843.2
3380,2,1.097231,8.707359e-03,1.632630e-03,1.632630e-03,,,2859.4
3400,2,1.063198,8.661723e-03,1.624073e-03,1.624073e-03,,,2875.7
3420,2,1.308404,8.616087e-03,1.615516e-03,1.615516e-03,,,2891.9
3440,2,1.294163,8.570451e-03,1.606959e-03,1.606959e-03,,,2908.2
3460,2,1.280219,8.524815e-03,1.598403e-03,1.598403e-03,,,2924.4
3480,2,1.783575,8.479179e-03,1.589846e-03,1.589846e-03,,,2940.7
3500,2,1.267853,8.433542e-03,1.581289e-03,1.581289e-03,,,2957.0
3520,2,1.030009,8.387906e-03,1.572732e-03,1.572732e-03,,,2973.3
3540,2,1.271768,8.342270e-03,1.564176e-03,1.564176e-03,,,2989.5
3560,2,1.413444,8.296634e-03,1.555619e-03,1.555619e-03,,,3005.8
3580,2,0.954767,8.250998e-03,1.547062e-03,1.547062e-03,,,3022.0
3600,2,1.288566,8.205362e-03,1.538505e-03,1.538505e-03,,,3038.3
3620,2,1.469343,8.159726e-03,1.529949e-03,1.529949e-03,,,3054.6
3640,2,1.416145,8.114090e-03,1.521392e-03,1.521392e-03,,,3070.9
3660,2,1.110385,8.068454e-03,1.512835e-03,1.512835e-03,,,3087.1
3680,2,1.220935,8.022818e-03,1.504278e-03,1.504278e-03,,,3103.4
3690,2,1.321622,8.000000e-03,1.500000e-03,1.500000e-03,82.86,73.39,3205.7
