step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
20,1,5.840375,6.941432e-04,1.301518e-04,1.301518e-04,,,39.7
40,1,5.262079,1.388286e-03,2.603037e-04,2.603037e-04,,,76.8
60,1,4.690129,2.082430e-03,3.904555e-04,3.904555e-04,,,113.9
80,1,4.503146,2.776573e-03,5.206074e-04,5.206074e-04,,,151.1
100,1,4.094885,3.470716e-03,6.507592e-04,6.507592e-04,,,188.1
120,1,4.214153,4.164859e-03,7.809111e-04,7.809111e-04,,,225.1
140,1,3.464171,4.859002e-03,9.110629e-04,9.110629e-04,,,262.2
160,1,4.166463,5.553145e-03,1.041215e-03,1.041215e-03,,,299.4
180,1,3.025148,6.247289e-03,1.171367e-03,1.171367e-03,,,337.2
200,1,2.942965,6.941432e-03,1.301518e-03,1.301518e-03,,,374.8
220,1,3.420069,7.635575e-03,1.431670e-03,1.431670e-03,,,412.8
240,1,1.902706,8.329718e-03,1.561822e-03,1.561822e-03,,,451.0
260,1,2.066738,9.023861e-03,1.691974e-03,1.691974e-03,,,489.1
280,1,2.128733,9.718004e-03,1.822126e-03,1.822126e-03,,,527.2
300,1,2.738736,1.041215e-02,1.952278e-03,1.952278e-03,,,565.2
320,1,2.098868,1.110629e-02,2.082430e-03,2.082430e-03,,,603.3
340,1,2.682020,1.180043e-02,2.212581e-03,2.212581e-03,,,641.3
360,1,2.117516,1.249458e-02,2.342733e-03,2.342733e-03,,,679.3
380,1,2.905158,1.318872e-02,2.472885e-03,2.472885e-03,,,717.3
400,1,2.157158,1.388286e-02,2.603037e-03,2.603037e-03,,,755.5
420,1,1.569094,1.457701e-02,2.733189e-03,2.733189e-03,,,793.7
440,1,2.624888,1.527115e-02,2.863341e-03,2.863341e-03,,,832.0
460,1,1.633504,1.596529e-02,2.993492e-03,2.993492e-03,,,870.3
480,1,1.316370,1.596703e-02,2.993818e-03,2.993818e-03,,,908.5
500,1,1.421715,1.593232e-02,2.987310e-03,2.987310e-03,,,946.7
520,1,2.158135,1.589761e-02,2.980803e-03,2.980803e-03,,,984.9
540,1,1.460723,1.586291e-02,2.974295e-03,2.974295e-03,,,1023.0
560,1,1.746091,1.582820e-02,2.967787e-03,2.967787e-03,,,1061.1
580,1,1.946311,1.579349e-02,2.961280e-03,2.961280e-03,,,1099.2
600,1,1.507217,1.575879e-02,2.954772e-03,2.954772e-03,,,1137.2
620,1,1.677336,1.572408e-02,2.948265e-03,2.948265e-03,,,1175.3
640,1,1.268242,1.568937e-02,2.941757e-03,2.941757e-03,,,1213.2
660,1,1.839037,1.565466e-02,2.935249e-03,2.935249e-03,,,1251.1
680,1,1.620739,1.561996e-02,2.928742e-03,2.928742e-03,,,1288.9
700,1,1.489999,1.558525e-02,2.922234e-03,2.922234e-03,,,1326.9
720,1,1.867951,1.555054e-02,2.915727e-03,2.915727e-03,,,1364.8
740,1,1.349253,1.551584e-02,2.909219e-03,2.909219e-03,,,1402.7
760,1,1.903166,1.548113e-02,2.902711e-03,2.902711e-03,,,1440.7
780,1,1.564738,1.544642e-02,2.896204e-03,2.896204e-03,,,1478.7
800,1,1.746403,1.541171e-02,2.889696e-03,2.889696e-03,,,1516.8
820,1,2.243058,1.537701e-02,2.883189e-03,2.883189e-03,,,1554.8
840,1,1.209186,1.534230e-02,2.876681e-03,2.876681e-03,,,1592.9
860,1,1.460468,1.530759e-02,2.870174e-03,2.870174e-03,,,1630.8
880,1,1.791059,1.527289e-02,2.863666e-03,2.863666e-03,,,1668.6
900,1,1.406784,1.523818e-02,2.857158e-03,2.857158e-03,,,1706.5
920,1,1.730117,1.520347e-02,2.850651e-03,2.850651e-03,,,1744.2
940,1,1.987273,1.516876e-02,2.844143e-03,2.844143e-03,,,1782.4
960,1,2.061501,1.513406e-02,2.837636e-03,2.837636e-03,,,1820.5
980,1,1.283468,1.509935e-02,2.831128e-03,2.831128e-03,,,1858.3
1000,1,1.545548,1.506464e-02,2.824620e-03,2.824620e-03,,,1896.1
1020,1,1.347112,1.502993e-02,2.818113e-03,2.818113e-03,,,1933.9
1040,1,0.781244,1.499523e-02,2.811605e-03,2.811605e-03,,,1971.8
1060,1,1.411177,1.496052e-02,2.805098e-03,2.805098e-03,,,2009.6
1080,1,1.500652,1.492581e-02,2.798590e-03,2.798590e-03,,,2047.6
1100,1,1.525827,1.489111e-02,2.792082e-03,2.792082e-03,,,2085.5
1120,1,1.467774,1.485640e-02,2.785575e-03,2.785575e-03,,,2123.2
1140,1,1.288718,1.482169e-02,2.779067e-03,2.779067e-03,,,2160.9
1160,1,1.524280,1.478698e-02,2.772560e-03,2.772560e-03,,,2199.0
1180,1,1.722120,1.475228e-02,2.766052e-03,2.766052e-03,,,2237.2
