step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
20,1,5.337548,8.695652e-04,1.630435e-04,1.630435e-04,,,40.8
40,1,4.165760,1.739130e-03,3.260870e-04,3.260870e-04,,,78.0
60,1,4.036682,2.608696e-03,4.891304e-04,4.891304e-04,,,115.4
80,1,3.933839,3.478261e-03,6.521739e-04,6.521739e-04,,,152.8
100,1,3.934898,4.347826e-03,8.152174e-04,8.152174e-04,,,190.5
120,1,3.781726,5.217391e-03,9.782609e-04,9.782609e-04,,,228.6
140,1,2.992683,6.086957e-03,1.141304e-03,1.141304e-03,,,267.0
160,1,3.238425,6.956522e-03,1.304348e-03,1.304348e-03,,,305.6
180,1,2.102342,7.826087e-03,1.467391e-03,1.467391e-03,,,344.1
200,1,1.776743,8.695652e-03,1.630435e-03,1.630435e-03,,,382.5
220,1,3.017882,9.565217e-03,1.793478e-03,1.793478e-03,,,420.9
240,1,1.315204,1.043478e-02,1.956522e-03,1.956522e-03,,,459.4
260,1,1.696988,1.130435e-02,2.119565e-03,2.119565e-03,,,498.0
280,1,1.747694,1.217391e-02,2.282609e-03,2.282609e-03,,,536.4
300,1,2.191579,1.304348e-02,2.445652e-03,2.445652e-03,,,574.9
320,1,1.931737,1.391304e-02,2.608696e-03,2.608696e-03,,,613.4
340,1,2.686576,1.478261e-02,2.771739e-03,2.771739e-03,,,651.9
360,1,1.744990,1.565217e-02,2.934783e-03,2.934783e-03,,,690.5
380,1,2.558477,1.597397e-02,2.995120e-03,2.995120e-03,,,728.9
400,1,1.617301,1.593059e-02,2.986986e-03,2.986986e-03,,,767.4
420,1,1.431564,1.588721e-02,2.978853e-03,2.978853e-03,,,805.8
440,1,2.326660,1.584384e-02,2.970719e-03,2.970719e-03,,,844.3
460,1,1.416889,1.580046e-02,2.962586e-03,2.962586e-03,,,882.6
480,1,1.129315,1.575708e-02,2.954452e-03,2.954452e-03,,,921.0
500,1,1.074363,1.571370e-02,2.946318e-03,2.946318e-03,,,959.6
520,1,2.026536,1.567032e-02,2.938185e-03,2.938185e-03,,,997.8
540,1,1.480941,1.562694e-02,2.930051e-03,2.930051e-03,,,1036.1
560,1,1.591948,1.558356e-02,2.921918e-03,2.921918e-03,,,1074.4
580,1,1.622274,1.554018e-02,2.913784e-03,2.913784e-03,,,1112.7
600,1,1.368783,1.549680e-02,2.905651e-03,2.905651e-03,,,1150.9
620,1,1.341031,1.545342e-02,2.897517e-03,2.897517e-03,,,1189.1
640,1,1.277953,1.541005e-02,2.889384e-03,2.889384e-03,,,1227.3
660,1,1.514444,1.536667e-02,2.881250e-03,2.881250e-03,,,1265.5
680,1,1.577858,1.532329e-02,2.873116e-03,2.873116e-03,,,1303.7
700,1,1.409671,1.527991e-02,2.864983e-03,2.864983e-03,,,1342.1
720,1,1.711132,1.523653e-02,2.856849e-03,2.856849e-03,,,1380.8
740,1,1.292070,1.519315e-02,2.848716e-03,2.848716e-03,,,1419.2
760,1,1.948541,1.514977e-02,2.840582e-03,2.840582e-03,,,1457.6
780,1,1.382441,1.510639e-02,2.832449e-03,2.832449e-03,,,1496.0
800,1,1.494758,1.506301e-02,2.824315e-03,2.824315e-03,,,1534.3
820,1,1.862885,1.501963e-02,2.816182e-03,2.816182e-03,,,1572.5
840,1,1.152475,1.497626e-02,2.808048e-03,2.808048e-03,,,1610.6
860,1,1.460692,1.493288e-02,2.799914e-03,2.799914e-03,,,1648.7
880,1,1.557506,1.488950e-02,2.791781e-03,2.791781e-03,,,1686.9
900,1,1.634795,1.484612e-02,2.783647e-03,2.783647e-03,,,1725.0
920,1,1.891854,1.480274e-02,2.775514e-03,2.775514e-03,,,1763.0
940,1,1.848481,1.475936e-02,2.767380e-03,2.767380e-03,,,1801.2
960,1,1.655280,1.471598e-02,2.759247e-03,2.759247e-03,,,1839.5
980,1,1.092126,1.467260e-02,2.751113e-03,2.751113e-03,,,1877.5
1000,1,1.460567,1.462922e-02,2.742979e-03,2.742979e-03,,,1915.6
1020,1,1.597913,1.458584e-02,2.734846e-03,2.734846e-03,,,1953.8
1040,1,0.655209,1.454247e-02,2.726712e-03,2.726712e-03,,,1991.9
1060,1,1.289775,1.449909e-02,2.718579e-03,2.718579e-03,,,2030.1
1080,1,1.362877,1.445571e-02,2.710445e-03,2.710445e-03,,,2068.2
1100,1,1.455422,1.441233e-02,2.702312e-03,2.702312e-03,,,2106.4
1120,1,1.327833,1.436895e-02,2.694178e-03,2.694178e-03,,,2144.4
1140,1,1.218360,1.432557e-02,2.686045e-03,2.686045e-03,,,2182.4
1160,1,1.384700,1.428219e-02,2.677911e-03,2.677911e-03,,,2220.5
1180,1,1.716054,1.423881e-02,2.669777e-03,2.669777e-03,,,2258.8
1200,1,1.615158,1.419543e-02,2.661644e-03,2.661644e-03,,,2296.9
1220,1,1.508433,1.415205e-02,2.653510e-03,2.653510e-03,,,2334.9
1240,1,1.726668,1.410868e-02,2.645377e-03,2.645377e-03,,,2372.9
