step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
20,1,4.136003,8.695652e-04,1.630435e-04,1.630435e-04,,,40.9
40,1,3.591334,1.739130e-03,3.260870e-04,3.260870e-04,,,78.6
60,1,2.275850,2.608696e-03,4.891304e-04,4.891304e-04,,,116.7
80,1,2.801524,3.478261e-03,6.521739e-04,6.521739e-04,,,155.0
100,1,2.663942,4.347826e-03,8.152174e-04,8.152174e-04,,,193.4
120,1,2.688580,5.217391e-03,9.782609e-04,9.782609e-04,,,231.9
140,1,2.080071,6.086957e-03,1.141304e-03,1.141304e-03,,,270.2
160,1,2.870959,6.956522e-03,1.304348e-03,1.304348e-03,,,308.6
180,1,1.516510,7.826087e-03,1.467391e-03,1.467391e-03,,,347.0
200,1,1.857108,8.695652e-03,1.630435e-03,1.630435e-03,,,385.4
220,1,2.529665,9.565217e-03,1.793478e-03,1.793478e-03,,,423.8
240,1,1.303127,1.043478e-02,1.956522e-03,1.956522e-03,,,462.5
260,1,1.776153,1.130435e-02,2.119565e-03,2.119565e-03,,,500.9
280,1,1.516949,1.217391e-02,2.282609e-03,2.282609e-03,,,539.4
300,1,1.896096,1.304348e-02,2.445652e-03,2.445652e-03,,,577.9
320,1,1.955826,1.391304e-02,2.608696e-03,2.608696e-03,,,616.3
340,1,2.386387,1.478261e-02,2.771739e-03,2.771739e-03,,,654.8
360,1,2.421945,1.565217e-02,2.934783e-03,2.934783e-03,,,693.3
380,1,2.597748,1.597397e-02,2.995120e-03,2.995120e-03,,,731.9
400,1,2.359277,1.593059e-02,2.986986e-03,2.986986e-03,,,770.9
420,1,1.769004,1.588721e-02,2.978853e-03,2.978853e-03,,,809.6
440,1,2.596412,1.584384e-02,2.970719e-03,2.970719e-03,,,848.1
460,1,2.117246,1.580046e-02,2.962586e-03,2.962586e-03,,,886.8
480,1,1.321768,1.575708e-02,2.954452e-03,2.954452e-03,,,925.3
500,1,1.622256,1.571370e-02,2.946318e-03,2.946318e-03,,,963.8
520,1,2.233619,1.567032e-02,2.938185e-03,2.938185e-03,,,1002.3
540,1,2.129354,1.562694e-02,2.930051e-03,2.930051e-03,,,1040.7
560,1,1.834463,1.558356e-02,2.921918e-03,2.921918e-03,,,1079.1
580,1,2.080910,1.554018e-02,2.913784e-03,2.913784e-03,,,1117.6
600,1,1.442108,1.549680e-02,2.905651e-03,2.905651e-03,,,1156.1
620,1,2.300694,1.545342e-02,2.897517e-03,2.897517e-03,,,1194.6
640,1,1.622024,1.541005e-02,2.889384e-03,2.889384e-03,,,1233.1
660,1,1.829852,1.536667e-02,2.881250e-03,2.881250e-03,,,1271.6
680,1,1.497309,1.532329e-02,2.873116e-03,2.873116e-03,,,1310.1
700,1,1.661435,1.527991e-02,2.864983e-03,2.864983e-03,,,1349.0
720,1,1.864537,1.523653e-02,2.856849e-03,2.856849e-03,,,1387.7
740,1,1.919783,1.519315e-02,2.848716e-03,2.848716e-03,,,1426.3
760,1,2.255016,1.514977e-02,2.840582e-03,2.840582e-03,,,1464.9
780,1,2.165826,1.510639e-02,2.832449e-03,2.832449e-03,,,1503.3
800,1,1.922071,1.506301e-02,2.824315e-03,2.824315e-03,,,1541.8
820,1,2.402363,1.501963e-02,2.816182e-03,2.816182e-03,,,1580.3
840,1,1.795564,1.497626e-02,2.808048e-03,2.808048e-03,,,1618.7
860,1,1.763941,1.493288e-02,2.799914e-03,2.799914e-03,,,1657.2
880,1,1.832352,1.488950e-02,2.791781e-03,2.791781e-03,,,1695.5
900,1,2.238341,1.484612e-02,2.783647e-03,2.783647e-03,,,1733.9
920,1,2.516937,1.480274e-02,2.775514e-03,2.775514e-03,,,1772.3
940,1,2.077972,1.475936e-02,2.767380e-03,2.767380e-03,,,1810.9
960,1,1.917926,1.471598e-02,2.759247e-03,2.759247e-03,,,1849.4
980,1,1.336451,1.467260e-02,2.751113e-03,2.751113e-03,,,1887.8
1000,1,1.662343,1.462922e-02,2.742979e-03,2.742979e-03,,,1926.2
1020,1,1.437416,1.458584e-02,2.734846e-03,2.734846e-03,,,1964.5
1040,1,1.416808,1.454247e-02,2.726712e-03,2.726712e-03,,,2002.8
1060,1,1.855577,1.449909e-02,2.718579e-03,2.718579e-03,,,2041.2
1080,1,1.882434,1.445571e-02,2.710445e-03,2.710445e-03,,,2079.6
1100,1,1.739396,1.441233e-02,2.702312e-03,2.702312e-03,,,2118.0
1120,1,1.615860,1.436895e-02,2.694178e-03,2.694178e-03,,,2156.3
1140,1,1.482740,1.432557e-02,2.686045e-03,2.686045e-03,,,2194.6
1160,1,1.318602,1.428219e-02,2.677911e-03,2.677911e-03,,,2233.1
1180,1,2.009735,1.423881e-02,2.669777e-03,2.669777e-03,,,2271.6
1200,1,1.747372,1.419543e-02,2.661644e-03,2.661644e-03,,,2309.9
1220,1,1.739673,1.415205e-02,2.653510e-03,2.653510e-03,,,2348.3
1240,1,1.982117,1.410868e-02,2.645377e-03,2.645377e-03,,,2386.7
1260,1,1.617915,1.406530e-02,2.637243e-03,2.637243e-03,,,2425.0
1280,1,1.442159,1.402192e-02,2.629110e-03,2.629110e-03,,,2463.4
1300,1,1.937452,1.397854e-02,2.620976e-03,2.620976e-03,,,2501.7
1320,1,0.965955,1.393516e-02,2.612842e-03,2.612842e-03,,,2540.0
1340,1,0.901514,1.389178e-02,2.604709e-03,2.604709e-03,,,2578.2
1360,1,1.368238,1.384840e-02,2.596575e-03,2.596575e-03,,,2616.6
1380,1,1.632063,1.380502e-02,2.588442e-03,2.588442e-03,,,2655.1
1400,1,1.886474,1.376164e-02,2.580308e-03,2.580308e-03,,,2693.6
1420,1,1.357907,1.371826e-02,2.572175e-03,2.572175e-03,,,2731.9
1440,1,2.121730,1.367489e-02,2.564041e-03,2.564041e-03,,,2770.2
1460,1,1.194075,1.363151e-02,2.555908e-03,2.555908e-03,,,2808.7
1480,1,2.472368,1.358813e-02,2.547774e-03,2.547774e-03,,,2847.1
1500,1,1.967434,1.354475e-02,2.539640e-03,2.539640e-03,,,2885.4
1520,1,1.826757,1.350137e-02,2.531507e-03,2.531507e-03,,,2923.8
1540,1,1.674220,1.345799e-02,2.523373e-03,2.523373e-03,,,2962.2
1560,1,2.031755,1.341461e-02,2.515240e-03,2.515240e-03,,,3000.7
