step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
20,1,4.425763,8.695652e-04,1.630435e-04,1.630435e-04,,,40.7
40,1,3.208371,1.739130e-03,3.260870e-04,3.260870e-04,,,78.9
60,1,2.499534,2.608696e-03,4.891304e-04,4.891304e-04,,,117.5
80,1,3.076831,3.478261e-03,6.521739e-04,6.521739e-04,,,156.7
100,1,2.403522,4.347826e-03,8.152174e-04,8.152174e-04,,,195.8
120,1,2.719920,5.217391e-03,9.782609e-04,9.782609e-04,,,235.0
140,1,2.485249,6.086957e-03,1.141304e-03,1.141304e-03,,,274.3
160,1,2.714265,6.956522e-03,1.304348e-03,1.304348e-03,,,313.1
180,1,1.275455,7.826087e-03,1.467391e-03,1.467391e-03,,,352.0
200,1,1.533741,8.695652e-03,1.630435e-03,1.630435e-03,,,390.9
220,1,2.575490,9.565217e-03,1.793478e-03,1.793478e-03,,,429.6
240,1,0.963838,1.043478e-02,1.956522e-03,1.956522e-03,,,468.8
260,1,1.442102,1.130435e-02,2.119565e-03,2.119565e-03,,,507.9
280,1,1.154661,1.217391e-02,2.282609e-03,2.282609e-03,,,546.7
300,1,1.883446,1.304348e-02,2.445652e-03,2.445652e-03,,,585.3
320,1,1.507096,1.391304e-02,2.608696e-03,2.608696e-03,,,624.1
340,1,2.221911,1.478261e-02,2.771739e-03,2.771739e-03,,,662.8
360,1,1.751148,1.565217e-02,2.934783e-03,2.934783e-03,,,701.5
380,1,2.108457,1.597397e-02,2.995120e-03,2.995120e-03,,,740.2
400,1,1.607586,1.593059e-02,2.986986e-03,2.986986e-03,,,779.1
420,1,1.003548,1.588721e-02,2.978853e-03,2.978853e-03,,,817.7
440,1,2.168841,1.584384e-02,2.970719e-03,2.970719e-03,,,856.4
460,1,1.278093,1.580046e-02,2.962586e-03,2.962586e-03,,,895.1
480,1,1.233538,1.575708e-02,2.954452e-03,2.954452e-03,,,933.8
500,1,1.245027,1.571370e-02,2.946318e-03,2.946318e-03,,,972.4
520,1,2.191180,1.567032e-02,2.938185e-03,2.938185e-03,,,1011.2
540,1,1.738455,1.562694e-02,2.930051e-03,2.930051e-03,,,1049.8
560,1,1.496769,1.558356e-02,2.921918e-03,2.921918e-03,,,1088.6
580,1,1.596770,1.554018e-02,2.913784e-03,2.913784e-03,,,1127.4
600,1,1.536837,1.549680e-02,2.905651e-03,2.905651e-03,,,1166.1
620,1,1.609836,1.545342e-02,2.897517e-03,2.897517e-03,,,1204.8
640,1,1.184991,1.541005e-02,2.889384e-03,2.889384e-03,,,1243.5
660,1,1.810216,1.536667e-02,2.881250e-03,2.881250e-03,,,1282.2
680,1,1.684067,1.532329e-02,2.873116e-03,2.873116e-03,,,1320.9
700,1,1.154307,1.527991e-02,2.864983e-03,2.864983e-03,,,1359.7
720,1,1.981058,1.523653e-02,2.856849e-03,2.856849e-03,,,1398.5
740,1,1.832634,1.519315e-02,2.848716e-03,2.848716e-03,,,1437.3
760,1,1.858094,1.514977e-02,2.840582e-03,2.840582e-03,,,1475.9
780,1,1.487670,1.510639e-02,2.832449e-03,2.832449e-03,,,1514.6
800,1,1.544275,1.506301e-02,2.824315e-03,2.824315e-03,,,1553.5
820,1,1.755620,1.501963e-02,2.816182e-03,2.816182e-03,,,1592.6
840,1,1.287996,1.497626e-02,2.808048e-03,2.808048e-03,,,1631.6
860,1,1.486082,1.493288e-02,2.799914e-03,2.799914e-03,,,1670.7
880,1,1.999202,1.488950e-02,2.791781e-03,2.791781e-03,,,1709.9
900,1,1.691720,1.484612e-02,2.783647e-03,2.783647e-03,,,1749.0
920,1,1.963521,1.480274e-02,2.775514e-03,2.775514e-03,,,1788.0
940,1,1.782588,1.475936e-02,2.767380e-03,2.767380e-03,,,1827.3
960,1,1.492865,1.471598e-02,2.759247e-03,2.759247e-03,,,1866.5
980,1,1.113132,1.467260e-02,2.751113e-03,2.751113e-03,,,1905.8
1000,1,1.367763,1.462922e-02,2.742979e-03,2.742979e-03,,,1944.6
1020,1,1.273789,1.458584e-02,2.734846e-03,2.734846e-03,,,1983.5
1040,1,0.928275,1.454247e-02,2.726712e-03,2.726712e-03,,,2023.0
1060,1,1.542913,1.449909e-02,2.718579e-03,2.718579e-03,,,2062.3
1080,1,2.075272,1.445571e-02,2.710445e-03,2.710445e-03,,,2101.5
1100,1,1.590330,1.441233e-02,2.702312e-03,2.702312e-03,,,2140.8
1120,1,1.412715,1.436895e-02,2.694178e-03,2.694178e-03,,,2180.1
1140,1,1.044749,1.432557e-02,2.686045e-03,2.686045e-03,,,2219.1
1160,1,1.545535,1.428219e-02,2.677911e-03,2.677911e-03,,,2258.6
1180,1,1.852682,1.423881e-02,2.669777e-03,2.669777e-03,,,2297.6
1200,1,1.750680,1.419543e-02,2.661644e-03,2.661644e-03,,,2336.7
1220,1,1.726722,1.415205e-02,2.653510e-03,2.653510e-03,,,2375.6
1240,1,2.470519,1.410868e-02,2.645377e-03,2.645377e-03,,,2414.5
1260,1,2.208538,1.406530e-02,2.637243e-03,2.637243e-03,,,2453.5
1280,1,1.836762,1.402192e-02,2.629110e-03,2.629110e-03,,,2492.5
1300,1,2.500167,1.397854e-02,2.620976e-03,2.620976e-03,,,2531.8
1320,1,1.300328,1.393516e-02,2.612842e-03,2.612842e-03,,,2571.0
1340,1,1.427004,1.389178e-02,2.604709e-03,2.604709e-03,,,2610.1
1360,1,1.519157,1.384840e-02,2.596575e-03,2.596575e-03,,,2649.2
1380,1,1.944498,1.380502e-02,2.588442e-03,2.588442e-03,,,2688.6
1400,1,3.020438,1.376164e-02,2.580308e-03,2.580308e-03,,,2728.0
1420,1,1.639639,1.371826e-02,2.572175e-03,2.572175e-03,,,2767.1
1440,1,1.974661,1.367489e-02,2.564041e-03,2.564041e-03,,,2806.2
1460,1,1.331766,1.363151e-02,2.555908e-03,2.555908e-03,,,2845.3
1480,1,2.447335,1.358813e-02,2.547774e-03,2.547774e-03,,,2884.4
1500,1,2.183453,1.354475e-02,2.539640e-03,2.539640e-03,,,2923.7
1520,1,2.055533,1.350137e-02,2.531507e-03,2.531507e-03,,,2962.6
1540,1,1.722517,1.345799e-02,2.523373e-03,2.523373e-03,,,3001.7
1560,1,2.313755,1.341461e-02,2.515240e-03,2.515240e-03,,,3040.8
1580,1,2.936898,1.337123e-02,2.507106e-03,2.507106e-03,,,3079.9
1600,1,2.574039,1.332785e-02,2.498973e-03,2.498973e-03,,,3119.0
1620,1,1.889872,1.328447e-02,2.490839e-03,2.490839e-03,,,3158.3
1640,1,1.913453,1.324110e-02,2.482705e-03,2.482705e-03,,,3197.5
1660,1,2.262546,1.319772e-02,2.474572e-03,2.474572e-03,,,3236.5
1680,1,2.170064,1.315434e-02,2.466438e-03,2.466438e-03,,,3275.5
1700,1,1.544494,1.311096e-02,2.458305e-03,2.458305e-03,,,3314.7
1720,1,2.707495,1.306758e-02,2.450171e-03,2.450171e-03,,,3353.9
1740,1,1.806054,1.302420e-02,2.442038e-03,2.442038e-03,,,3392.9
1760,1,2.216570,1.298082e-02,2.433904e-03,2.433904e-03,,,3432.0
1780,1,1.487023,1.293744e-02,2.425771e-03,2.425771e-03,,,3471.5
1800,1,1.783647,1.289406e-02,2.417637e-03,2.417637e-03,,,3510.8
1820,1,1.894984,1.285068e-02,2.409503e-03,2.409503e-03,,,3549.9
1840,1,2.044893,1.280731e-02,2.401370e-03,2.401370e-03,,,3588.9
1844,1,1.931135,1.279863e-02,2.399743e-03,2.399743e-03,67.45,55.48,3774.7
1860,2,2.027050,1.276393e-02,2.393236e-03,2.393236e-03,,,3805.8
1880,2,2.429940,1.272055e-02,2.385103e-03,2.385103e-03,,,3844.6
1900,2,1.960814,1.267717e-02,2.376969e-03,2.376969e-03,,,3883.5
1920,2,1.569513,1.263379e-02,2.368836e-03,2.368836e-03,,,3922.6
1940,2,3.212788,1.259041e-02,2.360702e-03,2.360702e-03,,,3961.6
1960,2,2.647766,1.254703e-02,2.352568e-03,2.352568e-03,,,4000.7
1980,2,2.514552,1.250365e-02,2.344435e-03,2.344435e-03,,,4040.1
2000,2,2.525541,1.246027e-02,2.336301e-03,2.336301e-03,,,4079.0
2020,2,2.529516,1.241689e-02,2.328168e-03,2.328168e-03,,,4117.9
2040,2,2.179908,1.237352e-02,2.320034e-03,2.320034e-03,,,4156.6
2060,2,2.527486,1.233014e-02,2.311901e-03,2.311901e-03,,,4195.2
2080,2,2.460551,1.228676e-02,2.303767e-03,2.303767e-03,,,4234.3
2100,2,2.962962,1.224338e-02,2.295634e-03,2.295634e-03,,,4273.3
2120,2,2.280849,1.220000e-02,2.287500e-03,2.287500e-03,,,4312.3
2140,2,2.719562,1.215662e-02,2.279366e-03,2.279366e-03,,,4350.9
2160,2,3.562956,1.211324e-02,2.271233e-03,2.271233e-03,,,4389.3
2180,2,2.872350,1.206986e-02,2.263099e-03,2.263099e-03,,,4427.8
2200,2,2.838897,1.202648e-02,2.254966e-03,2.254966e-03,,,4466.3
2220,2,2.126349,1.198311e-02,2.246832e-03,2.246832e-03,,,4504.9
2240,2,3.538039,1.193973e-02,2.238699e-03,2.238699e-03,,,4543.4
2260,2,3.428585,1.189635e-02,2.230565e-03,2.230565e-03,,,4581.9
2280,2,2.747287,1.185297e-02,2.222432e-03,2.222432e-03,,,4620.5
2300,2,2.636895,1.180959e-02,2.214298e-03,2.214298e-03,,,4659.0
2320,2,2.812774,1.176621e-02,2.206164e-03,2.206164e-03,,,4697.6
2340,2,2.977977,1.172283e-02,2.198031e-03,2.198031e-03,,,4736.2
2360,2,3.043290,1.167945e-02,2.189897e-03,2.189897e-03,,,4774.6
2380,2,3.545289,1.163607e-02,2.181764e-03,2.181764e-03,,,4812.8
2400,2,2.727178,1.159269e-02,2.173630e-03,2.173630e-03,,,4851.0
2420,2,3.293978,1.154932e-02,2.165497e-03,2.165497e-03,,,4889.3
2440,2,2.877939,1.150594e-02,2.157363e-03,2.157363e-03,,,4927.5
2460,2,3.535386,1.146256e-02,2.149229e-03,2.149229e-03,,,4965.5
2480,2,3.388222,1.141918e-02,2.141096e-03,2.141096e-03,,,5003.6
2500,2,3.119664,1.137580e-02,2.132962e-03,2.132962e-03,,,5041.8
2520,2,2.901061,1.133242e-02,2.124829e-03,2.124829e-03,,,5080.1
2540,2,3.196286,1.128904e-02,2.116695e-03,2.116695e-03,,,5118.2
2560,2,3.010827,1.124566e-02,2.108562e-03,2.108562e-03,,,5156.5
2580,2,3.167729,1.120228e-02,2.100428e-03,2.100428e-03,,,5194.6
2600,2,4.175697,1.115890e-02,2.092295e-03,2.092295e-03,,,5232.8
2620,2,3.886582,1.111553e-02,2.084161e-03,2.084161e-03,,,5271.0
2640,2,3.123571,1.107215e-02,2.076027e-03,2.076027e-03,,,5309.2
2660,2,3.681554,1.102877e-02,2.067894e-03,2.067894e-03,,,5347.5
2680,2,3.308451,1.098539e-02,2.059760e-03,2.059760e-03,,,5386.2
2700,2,3.554964,1.094201e-02,2.051627e-03,2.051627e-03,,,5424.6
2720,2,3.867085,1.089863e-02,2.043493e-03,2.043493e-03,,,5463.3
2740,2,4.001358,1.085525e-02,2.035360e-03,2.035360e-03,,,5501.4
2760,2,4.119880,1.081187e-02,2.027226e-03,2.027226e-03,,,5539.7
2780,2,3.658205,1.076849e-02,2.019092e-03,2.019092e-03,,,5578.2
2800,2,3.967577,1.072511e-02,2.010959e-03,2.010959e-03,,,5616.3
2820,2,3.225060,1.068174e-02,2.002825e-03,2.002825e-03,,,5654.5
2840,2,3.592752,1.063836e-02,1.994692e-03,1.994692e-03,,,5692.4
2860,2,3.948388,1.059498e-02,1.986558e-03,1.986558e-03,,,5730.3
2880,2,3.961279,1.055160e-02,1.978425e-03,1.978425e-03,,,5768.0
2900,2,4.462300,1.050822e-02,1.970291e-03,1.970291e-03,,,5806.0
2920,2,4.220608,1.046484e-02,1.962158e-03,1.962158e-03,,,5843.7
2940,2,4.398542,1.042146e-02,1.954024e-03,1.954024e-03,,,5881.6
2960,2,3.904423,1.037808e-02,1.945890e-03,1.945890e-03,,,5919.5
2980,2,3.377467,1.033470e-02,1.937757e-03,1.937757e-03,,,5957.4
3000,2,4.334384,1.029132e-02,1.929623e-03,1.929623e-03,,,5995.3
3020,2,4.588432,1.024795e-02,1.921490e-03,1.921490e-03,,,6033.3
3040,2,4.109693,1.020457e-02,1.913356e-03,1.913356e-03,,,6071.0
3060,2,4.394364,1.016119e-02,1.905223e-03,1.905223e-03,,,6109.0
3080,2,3.887181,1.011781e-02,1.897089e-03,1.897089e-03,,,6146.8
3100,2,4.067461,1.007443e-02,1.888955e-03,1.888955e-03,,,6184.6
3120,2,3.688443,1.003105e-02,1.880822e-03,1.880822e-03,,,6222.5
3140,2,4.841365,9.987671e-03,1.872688e-03,1.872688e-03,,,6260.3
3160,2,4.225102,9.944292e-03,1.864555e-03,1.864555e-03,,,6298.0
3180,2,4.150079,9.900913e-03,1.856421e-03,1.856421e-03,,,6335.8
3200,2,4.825486,9.857534e-03,1.848288e-03,1.848288e-03,,,6373.7
3220,2,4.197313,9.814155e-03,1.840154e-03,1.840154e-03,,,6411.6
3240,2,4.581446,9.770776e-03,1.832021e-03,1.832021e-03,,,6449.7
3260,2,4.098744,9.727397e-03,1.823887e-03,1.823887e-03,,,6487.7
3280,2,3.950224,9.684018e-03,1.815753e-03,1.815753e-03,,,6525.6
3300,2,4.376087,9.640639e-03,1.807620e-03,1.807620e-03,,,6563.1
3320,2,4.055554,9.597260e-03,1.799486e-03,1.799486e-03,,,6600.7
3340,2,4.117891,9.553881e-03,1.791353e-03,1.791353e-03,,,6638.2
3360,2,4.308963,9.510502e-03,1.783219e-03,1.783219e-03,,,6675.7
3380,2,4.156731,9.467123e-03,1.775086e-03,1.775086e-03,,,6713.3
3400,2,3.992221,9.423744e-03,1.766952e-03,1.766952e-03,,,6750.8
3420,2,4.548803,9.380365e-03,1.758818e-03,1.758818e-03,,,6788.3
3440,2,4.497682,9.336986e-03,1.750685e-03,1.750685e-03,,,6825.8
3460,2,4.564104,9.293607e-03,1.742551e-03,1.742551e-03,,,6863.5
3480,2,4.314015,9.250228e-03,1.734418e-03,1.734418e-03,,,6901.3
3500,2,4.345145,9.206849e-03,1.726284e-03,1.726284e-03,,,6938.8
3520,2,4.436054,9.163470e-03,1.718151e-03,1.718151e-03,,,6976.4
3540,2,4.478027,9.120091e-03,1.710017e-03,1.710017e-03,,,7014.1
3560,2,4.426292,9.076712e-03,1.701884e-03,1.701884e-03,,,7051.7
3580,2,4.323385,9.033333e-03,1.693750e-03,1.693750e-03,,,7089.2
3600,2,4.758902,8.989954e-03,1.685616e-03,1.685616e-03,,,7126.7
3620,2,4.417779,8.946575e-03,1.677483e-03,1.677483e-03,,,7164.1
3640,2,4.476022,8.903196e-03,1.669349e-03,1.669349e-03,,,7201.5
3660,2,4.581753,8.859817e-03,1.661216e-03,1.661216e-03,,,7238.9
3680,2,4.426317,8.816438e-03,1.653082e-03,1.653082e-03,,,7276.4
3688,2,3.539478,8.799087e-03,1.649829e-03,1.649829e-03,12.22,4.07,7466.8
3700,3,4.105613,8.773059e-03,1.644949e-03,1.644949e-03,,,7489.3
3720,3,4.488891,8.729680e-03,1.636815e-03,1.636815e-03,,,7526.8
3740,3,4.498586,8.686301e-03,1.628682e-03,1.628682e-03,,,7564.2
3760,3,4.464444,8.642922e-03,1.620548e-03,1.620548e-03,,,7601.6
3780,3,5.221827,8.599543e-03,1.612414e-03,1.612414e-03,,,7638.9
3800,3,4.794739,8.556164e-03,1.604281e-03,1.604281e-03,,,7676.4
3820,3,4.632214,8.512785e-03,1.596147e-03,1.596147e-03,,,7713.9
3840,3,4.342175,8.469406e-03,1.588014e-03,1.588014e-03,,,7751.3
3860,3,4.433592,8.426027e-03,1.579880e-03,1.579880e-03,,,7788.9
3880,3,4.696072,8.382648e-03,1.571747e-03,1.571747e-03,,,7826.2
3900,3,4.533611,8.339269e-03,1.563613e-03,1.563613e-03,,,7863.5
3920,3,4.445520,8.295890e-03,1.555479e-03,1.555479e-03,,,7901.0
3940,3,4.606440,8.252511e-03,1.547346e-03,1.547346e-03,,,7938.4
3960,3,4.247135,8.209132e-03,1.539212e-03,1.539212e-03,,,7975.8
3980,3,4.761727,8.165753e-03,1.531079e-03,1.531079e-03,,,8013.1
4000,3,4.950046,8.122374e-03,1.522945e-03,1.522945e-03,,,8050.4
4020,3,4.575619,8.078995e-03,1.514812e-03,1.514812e-03,,,8087.7
4040,3,4.647991,8.035616e-03,1.506678e-03,1.506678e-03,,,8125.1
4060,3,4.512716,7.992237e-03,1.498545e-03,1.498545e-03,,,8162.4
4080,3,4.482810,7.948858e-03,1.490411e-03,1.490411e-03,,,8199.7
4100,3,4.463260,7.905479e-03,1.482277e-03,1.482277e-03,,,8237.1
4120,3,4.256459,7.862100e-03,1.474144e-03,1.474144e-03,,,8274.4
4140,3,4.232051,7.818721e-03,1.466010e-03,1.466010e-03,,,8311.8
4160,3,4.492030,7.775342e-03,1.457877e-03,1.457877e-03,,,8349.1
4180,3,4.471725,7.731963e-03,1.449743e-03,1.449743e-03,,,8386.4
4200,3,4.774160,7.688584e-03,1.441610e-03,1.441610e-03,,,8423.6
4220,3,4.415085,7.645205e-03,1.433476e-03,1.433476e-03,,,8460.9
4240,3,4.585551,7.601826e-03,1.425342e-03,1.425342e-03,,,8498.1
4260,3,4.595461,7.558447e-03,1.417209e-03,1.417209e-03,,,8535.6
4280,3,4.475489,7.515068e-03,1.409075e-03,1.409075e-03,,,8573.1
4300,3,4.353742,7.471689e-03,1.400942e-03,1.400942e-03,,,8610.4
4320,3,4.708351,7.428311e-03,1.392808e-03,1.392808e-03,,,8647.8
4340,3,4.617912,7.384932e-03,1.384675e-03,1.384675e-03,,,8685.2
