step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
20,1,4.649296,8.695652e-04,1.630435e-04,1.630435e-04,,,40.5
40,1,3.537274,1.739130e-03,3.260870e-04,3.260870e-04,,,79.2
60,1,3.634048,2.608696e-03,4.891304e-04,4.891304e-04,,,118.5
80,1,3.579923,3.478261e-03,6.521739e-04,6.521739e-04,,,159.0
100,1,2.463288,4.347826e-03,8.152174e-04,8.152174e-04,,,200.1
120,1,2.696712,5.217391e-03,9.782609e-04,9.782609e-04,,,241.1
140,1,2.833632,6.086957e-03,1.141304e-03,1.141304e-03,,,282.0
160,1,2.704520,6.956522e-03,1.304348e-03,1.304348e-03,,,322.7
180,1,1.475114,7.826087e-03,1.467391e-03,1.467391e-03,,,363.3
200,1,1.740620,8.695652e-03,1.630435e-03,1.630435e-03,,,404.0
220,1,2.836849,9.565217e-03,1.793478e-03,1.793478e-03,,,444.9
240,1,1.050474,1.043478e-02,1.956522e-03,1.956522e-03,,,485.8
260,1,1.616543,1.130435e-02,2.119565e-03,2.119565e-03,,,526.4
280,1,1.294214,1.217391e-02,2.282609e-03,2.282609e-03,,,567.0
300,1,1.973409,1.304348e-02,2.445652e-03,2.445652e-03,,,607.4
320,1,1.689565,1.391304e-02,2.608696e-03,2.608696e-03,,,647.8
340,1,2.654769,1.478261e-02,2.771739e-03,2.771739e-03,,,688.1
360,1,1.566725,1.565217e-02,2.934783e-03,2.934783e-03,,,728.5
380,1,2.319024,1.597397e-02,2.995120e-03,2.995120e-03,,,768.7
400,1,1.614657,1.593059e-02,2.986986e-03,2.986986e-03,,,809.0
420,1,1.255067,1.588721e-02,2.978853e-03,2.978853e-03,,,849.6
440,1,2.140092,1.584384e-02,2.970719e-03,2.970719e-03,,,890.0
460,1,1.498844,1.580046e-02,2.962586e-03,2.962586e-03,,,930.5
480,1,1.485811,1.575708e-02,2.954452e-03,2.954452e-03,,,970.9
500,1,1.248560,1.571370e-02,2.946318e-03,2.946318e-03,,,1011.3
520,1,2.154742,1.567032e-02,2.938185e-03,2.938185e-03,,,1051.5
540,1,1.449122,1.562694e-02,2.930051e-03,2.930051e-03,,,1091.8
560,1,1.440303,1.558356e-02,2.921918e-03,2.921918e-03,,,1132.1
580,1,1.811268,1.554018e-02,2.913784e-03,2.913784e-03,,,1172.5
600,1,1.168450,1.549680e-02,2.905651e-03,2.905651e-03,,,1212.9
620,1,1.616893,1.545342e-02,2.897517e-03,2.897517e-03,,,1253.4
640,1,1.301614,1.541005e-02,2.889384e-03,2.889384e-03,,,1293.8
660,1,1.411788,1.536667e-02,2.881250e-03,2.881250e-03,,,1334.3
680,1,1.495554,1.532329e-02,2.873116e-03,2.873116e-03,,,1374.9
700,1,1.266575,1.527991e-02,2.864983e-03,2.864983e-03,,,1415.6
720,1,1.607719,1.523653e-02,2.856849e-03,2.856849e-03,,,1456.2
740,1,1.688905,1.519315e-02,2.848716e-03,2.848716e-03,,,1496.8
760,1,1.978714,1.514977e-02,2.840582e-03,2.840582e-03,,,1537.2
780,1,1.450226,1.510639e-02,2.832449e-03,2.832449e-03,,,1577.9
800,1,1.996733,1.506301e-02,2.824315e-03,2.824315e-03,,,1618.5
820,1,2.143945,1.501963e-02,2.816182e-03,2.816182e-03,,,1659.2
840,1,1.445822,1.497626e-02,2.808048e-03,2.808048e-03,,,1699.8
860,1,1.530712,1.493288e-02,2.799914e-03,2.799914e-03,,,1740.5
880,1,1.803404,1.488950e-02,2.791781e-03,2.791781e-03,,,1781.2
900,1,1.544895,1.484612e-02,2.783647e-03,2.783647e-03,,,1822.0
920,1,1.891874,1.480274e-02,2.775514e-03,2.775514e-03,,,1862.7
940,1,1.836368,1.475936e-02,2.767380e-03,2.767380e-03,,,1903.6
960,1,1.705937,1.471598e-02,2.759247e-03,2.759247e-03,,,1944.4
980,1,1.349239,1.467260e-02,2.751113e-03,2.751113e-03,,,1985.1
1000,1,1.454736,1.462922e-02,2.742979e-03,2.742979e-03,,,2025.9
1020,1,1.184721,1.458584e-02,2.734846e-03,2.734846e-03,,,2066.8
1040,1,0.939801,1.454247e-02,2.726712e-03,2.726712e-03,,,2107.5
1060,1,1.525378,1.449909e-02,2.718579e-03,2.718579e-03,,,2148.5
1080,1,1.603443,1.445571e-02,2.710445e-03,2.710445e-03,,,2189.6
1100,1,1.598182,1.441233e-02,2.702312e-03,2.702312e-03,,,2230.5
1120,1,1.727063,1.436895e-02,2.694178e-03,2.694178e-03,,,2271.4
1140,1,1.023448,1.432557e-02,2.686045e-03,2.686045e-03,,,2312.4
1160,1,1.436470,1.428219e-02,2.677911e-03,2.677911e-03,,,2353.6
1180,1,1.967892,1.423881e-02,2.669777e-03,2.669777e-03,,,2394.9
1200,1,1.741634,1.419543e-02,2.661644e-03,2.661644e-03,,,2436.1
1220,1,1.354709,1.415205e-02,2.653510e-03,2.653510e-03,,,2477.2
1240,1,1.951236,1.410868e-02,2.645377e-03,2.645377e-03,,,2518.4
1260,1,2.175422,1.406530e-02,2.637243e-03,2.637243e-03,,,2559.6
1280,1,1.512425,1.402192e-02,2.629110e-03,2.629110e-03,,,2601.0
1300,1,2.172090,1.397854e-02,2.620976e-03,2.620976e-03,,,2642.4
1320,1,1.226379,1.393516e-02,2.612842e-03,2.612842e-03,,,2683.7
1340,1,1.883754,1.389178e-02,2.604709e-03,2.604709e-03,,,2725.2
1360,1,1.517433,1.384840e-02,2.596575e-03,2.596575e-03,,,2766.7
1380,1,2.010471,1.380502e-02,2.588442e-03,2.588442e-03,,,2808.5
1400,1,1.890530,1.376164e-02,2.580308e-03,2.580308e-03,,,2850.4
1420,1,3.004984,1.371826e-02,2.572175e-03,2.572175e-03,,,2892.4
1440,1,2.215083,1.367489e-02,2.564041e-03,2.564041e-03,,,2934.2
1460,1,1.138047,1.363151e-02,2.555908e-03,2.555908e-03,,,2976.2
1480,1,2.637362,1.358813e-02,2.547774e-03,2.547774e-03,,,3018.0
1500,1,1.996702,1.354475e-02,2.539640e-03,2.539640e-03,,,3060.1
1520,1,2.011036,1.350137e-02,2.531507e-03,2.531507e-03,,,3101.9
1540,1,2.670850,1.345799e-02,2.523373e-03,2.523373e-03,,,3143.8
1560,1,2.185932,1.341461e-02,2.515240e-03,2.515240e-03,,,3186.0
1580,1,2.772836,1.337123e-02,2.507106e-03,2.507106e-03,,,3228.0
1600,1,2.834677,1.332785e-02,2.498973e-03,2.498973e-03,,,3270.1
1620,1,2.178491,1.328447e-02,2.490839e-03,2.490839e-03,,,3312.5
1640,1,2.174658,1.324110e-02,2.482705e-03,2.482705e-03,,,3354.6
1660,1,1.880976,1.319772e-02,2.474572e-03,2.474572e-03,,,3396.8
1680,1,2.380316,1.315434e-02,2.466438e-03,2.466438e-03,,,3439.1
1700,1,1.917438,1.311096e-02,2.458305e-03,2.458305e-03,,,3481.3
1720,1,3.053582,1.306758e-02,2.450171e-03,2.450171e-03,,,3523.5
1740,1,2.573338,1.302420e-02,2.442038e-03,2.442038e-03,,,3565.9
1760,1,2.143618,1.298082e-02,2.433904e-03,2.433904e-03,,,3608.5
1780,1,1.644202,1.293744e-02,2.425771e-03,2.425771e-03,,,3651.0
1800,1,1.972504,1.289406e-02,2.417637e-03,2.417637e-03,,,3693.4
1820,1,2.481551,1.285068e-02,2.409503e-03,2.409503e-03,,,3736.2
1840,1,2.102940,1.280731e-02,2.401370e-03,2.401370e-03,,,3778.9
1844,1,1.936000,1.279863e-02,2.399743e-03,2.399743e-03,66.00,53.88,3962.0
1860,2,2.394448,1.276393e-02,2.393236e-03,2.393236e-03,,,3996.2
1880,2,2.505307,1.272055e-02,2.385103e-03,2.385103e-03,,,4039.5
1900,2,2.737191,1.267717e-02,2.376969e-03,2.376969e-03,,,4082.5
1920,2,2.033193,1.263379e-02,2.368836e-03,2.368836e-03,,,4125.5
1940,2,2.683675,1.259041e-02,2.360702e-03,2.360702e-03,,,4168.4
1960,2,2.973562,1.254703e-02,2.352568e-03,2.352568e-03,,,4211.7
1980,2,3.022005,1.250365e-02,2.344435e-03,2.344435e-03,,,4254.9
2000,2,2.106336,1.246027e-02,2.336301e-03,2.336301e-03,,,4297.8
2020,2,3.187544,1.241689e-02,2.328168e-03,2.328168e-03,,,4340.4
2040,2,1.843750,1.237352e-02,2.320034e-03,2.320034e-03,,,4383.3
2060,2,2.358545,1.233014e-02,2.311901e-03,2.311901e-03,,,4426.8
2080,2,2.913864,1.228676e-02,2.303767e-03,2.303767e-03,,,4470.2
2100,2,3.631855,1.224338e-02,2.295634e-03,2.295634e-03,,,4513.2
2120,2,2.523499,1.220000e-02,2.287500e-03,2.287500e-03,,,4556.3
2140,2,3.100370,1.215662e-02,2.279366e-03,2.279366e-03,,,4599.1
2160,2,3.737954,1.211324e-02,2.271233e-03,2.271233e-03,,,4642.1
2180,2,3.219192,1.206986e-02,2.263099e-03,2.263099e-03,,,4685.2
2200,2,2.713497,1.202648e-02,2.254966e-03,2.254966e-03,,,4727.8
2220,2,2.732522,1.198311e-02,2.246832e-03,2.246832e-03,,,4770.4
2240,2,3.803839,1.193973e-02,2.238699e-03,2.238699e-03,,,4813.3
2260,2,3.609186,1.189635e-02,2.230565e-03,2.230565e-03,,,4855.9
2280,2,3.281476,1.185297e-02,2.222432e-03,2.222432e-03,,,4898.5
2300,2,2.634844,1.180959e-02,2.214298e-03,2.214298e-03,,,4941.7
2320,2,3.047521,1.176621e-02,2.206164e-03,2.206164e-03,,,4984.4
2340,2,3.326878,1.172283e-02,2.198031e-03,2.198031e-03,,,5027.0
2360,2,3.054868,1.167945e-02,2.189897e-03,2.189897e-03,,,5069.1
2380,2,3.453302,1.163607e-02,2.181764e-03,2.181764e-03,,,5111.3
2400,2,6.071105,1.159269e-02,2.173630e-03,2.173630e-03,,,5152.7
2420,2,5.973085,1.154932e-02,2.165497e-03,2.165497e-03,,,5190.9
2440,2,5.933509,1.150594e-02,2.157363e-03,2.157363e-03,,,5228.9
2460,2,5.941577,1.146256e-02,2.149229e-03,2.149229e-03,,,5266.8
2480,2,5.986149,1.141918e-02,2.141096e-03,2.141096e-03,,,5304.7
2500,2,5.975651,1.137580e-02,2.132962e-03,2.132962e-03,,,5342.5
2520,2,5.943413,1.133242e-02,2.124829e-03,2.124829e-03,,,5380.4
2540,2,5.936938,1.128904e-02,2.116695e-03,2.116695e-03,,,5418.6
2560,2,5.914147,1.124566e-02,2.108562e-03,2.108562e-03,,,5456.6
2580,2,5.988265,1.120228e-02,2.100428e-03,2.100428e-03,,,5494.4
2600,2,5.949556,1.115890e-02,2.092295e-03,2.092295e-03,,,5532.2
2620,2,5.970028,1.111553e-02,2.084161e-03,2.084161e-03,,,5569.9
2640,2,5.958102,1.107215e-02,2.076027e-03,2.076027e-03,,,5607.5
2660,2,5.968069,1.102877e-02,2.067894e-03,2.067894e-03,,,5645.2
2680,2,5.962765,1.098539e-02,2.059760e-03,2.059760e-03,,,5682.9
2700,2,5.964626,1.094201e-02,2.051627e-03,2.051627e-03,,,5720.7
2720,2,5.938660,1.089863e-02,2.043493e-03,2.043493e-03,,,5758.4
2740,2,5.964743,1.085525e-02,2.035360e-03,2.035360e-03,,,5796.2
2760,2,5.941685,1.081187e-02,2.027226e-03,2.027226e-03,,,5834.1
2780,2,5.948209,1.076849e-02,2.019092e-03,2.019092e-03,,,5871.7
2800,2,5.951370,1.072511e-02,2.010959e-03,2.010959e-03,,,5909.5
2820,2,5.956412,1.068174e-02,2.002825e-03,2.002825e-03,,,5947.1
2840,2,5.949202,1.063836e-02,1.994692e-03,1.994692e-03,,,5984.8
2860,2,5.966458,1.059498e-02,1.986558e-03,1.986558e-03,,,6022.5
2880,2,5.943320,1.055160e-02,1.978425e-03,1.978425e-03,,,6060.0
2900,2,5.950243,1.050822e-02,1.970291e-03,1.970291e-03,,,6097.7
2920,2,5.949970,1.046484e-02,1.962158e-03,1.962158e-03,,,6135.3
2940,2,5.973043,1.042146e-02,1.954024e-03,1.954024e-03,,,6173.0
2960,2,5.948292,1.037808e-02,1.945890e-03,1.945890e-03,,,6210.6
2980,2,5.942680,1.033470e-02,1.937757e-03,1.937757e-03,,,6248.3
3000,2,5.960951,1.029132e-02,1.929623e-03,1.929623e-03,,,6286.1
3020,2,5.951146,1.024795e-02,1.921490e-03,1.921490e-03,,,6323.7
3040,2,5.937449,1.020457e-02,1.913356e-03,1.913356e-03,,,6361.4
3060,2,5.959748,1.016119e-02,1.905223e-03,1.905223e-03,,,6399.0
3080,2,5.945769,1.011781e-02,1.897089e-03,1.897089e-03,,,6436.6
3100,2,5.939868,1.007443e-02,1.888955e-03,1.888955e-03,,,6474.3
3120,2,5.968636,1.003105e-02,1.880822e-03,1.880822e-03,,,6511.8
3140,2,5.933641,9.987671e-03,1.872688e-03,1.872688e-03,,,6549.3
3160,2,5.958038,9.944292e-03,1.864555e-03,1.864555e-03,,,6587.0
3180,2,5.961669,9.900913e-03,1.856421e-03,1.856421e-03,,,6624.6
3200,2,5.941360,9.857534e-03,1.848288e-03,1.848288e-03,,,6662.2
3220,2,5.944292,9.814155e-03,1.840154e-03,1.840154e-03,,,6700.1
3240,2,5.956618,9.770776e-03,1.832021e-03,1.832021e-03,,,6737.8
3260,2,5.945842,9.727397e-03,1.823887e-03,1.823887e-03,,,6775.4
3280,2,5.958214,9.684018e-03,1.815753e-03,1.815753e-03,,,6812.9
3300,2,5.957678,9.640639e-03,1.807620e-03,1.807620e-03,,,6850.5
3320,2,5.964065,9.597260e-03,1.799486e-03,1.799486e-03,,,6888.0
3340,2,5.931604,9.553881e-03,1.791353e-03,1.791353e-03,,,6925.7
3360,2,5.939503,9.510502e-03,1.783219e-03,1.783219e-03,,,6963.4
3380,2,5.950592,9.467123e-03,1.775086e-03,1.775086e-03,,,7001.2
3400,2,5.955361,9.423744e-03,1.766952e-03,1.766952e-03,,,7038.9
3420,2,5.952701,9.380365e-03,1.758818e-03,1.758818e-03,,,7076.5
3440,2,5.949476,9.336986e-03,1.750685e-03,1.750685e-03,,,7114.2
3460,2,5.943546,9.293607e-03,1.742551e-03,1.742551e-03,,,7151.9
3480,2,5.953951,9.250228e-03,1.734418e-03,1.734418e-03,,,7189.6
3500,2,5.947082,9.206849e-03,1.726284e-03,1.726284e-03,,,7227.2
3520,2,5.950231,9.163470e-03,1.718151e-03,1.718151e-03,,,7264.7
3540,2,5.922334,9.120091e-03,1.710017e-03,1.710017e-03,,,7302.4
3560,2,5.962987,9.076712e-03,1.701884e-03,1.701884e-03,,,7340.0
3580,2,5.952692,9.033333e-03,1.693750e-03,1.693750e-03,,,7377.6
3600,2,5.947461,8.989954e-03,1.685616e-03,1.685616e-03,,,7415.1
3620,2,5.968284,8.946575e-03,1.677483e-03,1.677483e-03,,,7452.7
3640,2,5.949802,8.903196e-03,1.669349e-03,1.669349e-03,,,7490.4
3660,2,5.958565,8.859817e-03,1.661216e-03,1.661216e-03,,,7528.1
3680,2,5.948495,8.816438e-03,1.653082e-03,1.653082e-03,,,7565.7
3688,2,5.022871,8.799087e-03,1.649829e-03,1.649829e-03,4.71,0.20,7753.3
3700,3,5.951412,8.773059e-03,1.644949e-03,1.644949e-03,,,7776.0
3720,3,5.968724,8.729680e-03,1.636815e-03,1.636815e-03,,,7813.7
3740,3,5.953882,8.686301e-03,1.628682e-03,1.628682e-03,,,7851.3
3760,3,5.952222,8.642922e-03,1.620548e-03,1.620548e-03,,,7888.9
3780,3,5.963062,8.599543e-03,1.612414e-03,1.612414e-03,,,7926.6
3800,3,5.943169,8.556164e-03,1.604281e-03,1.604281e-03,,,7964.1
3820,3,5.959589,8.512785e-03,1.596147e-03,1.596147e-03,,,8001.6
3840,3,5.959881,8.469406e-03,1.588014e-03,1.588014e-03,,,8039.2
3860,3,5.933575,8.426027e-03,1.579880e-03,1.579880e-03,,,8076.9
3880,3,5.945711,8.382648e-03,1.571747e-03,1.571747e-03,,,8114.4
3900,3,5.959155,8.339269e-03,1.563613e-03,1.563613e-03,,,8152.1
3920,3,5.949093,8.295890e-03,1.555479e-03,1.555479e-03,,,8189.6
3940,3,5.947652,8.252511e-03,1.547346e-03,1.547346e-03,,,8227.4
3960,3,5.937510,8.209132e-03,1.539212e-03,1.539212e-03,,,8265.0
3980,3,5.955890,8.165753e-03,1.531079e-03,1.531079e-03,,,8302.5
4000,3,5.970308,8.122374e-03,1.522945e-03,1.522945e-03,,,8340.1
4020,3,5.963763,8.078995e-03,1.514812e-03,1.514812e-03,,,8377.6
4040,3,5.947679,8.035616e-03,1.506678e-03,1.506678e-03,,,8415.2
4060,3,5.946345,7.992237e-03,1.498545e-03,1.498545e-03,,,8452.8
4080,3,5.967887,7.948858e-03,1.490411e-03,1.490411e-03,,,8490.3
4100,3,5.945386,7.905479e-03,1.482277e-03,1.482277e-03,,,8527.9
4120,3,5.949847,7.862100e-03,1.474144e-03,1.474144e-03,,,8565.5
4140,3,5.965021,7.818721e-03,1.466010e-03,1.466010e-03,,,8603.2
4160,3,5.958088,7.775342e-03,1.457877e-03,1.457877e-03,,,8641.0
4180,3,5.960055,7.731963e-03,1.449743e-03,1.449743e-03,,,8678.6
4200,3,5.945299,7.688584e-03,1.441610e-03,1.441610e-03,,,8716.4
4220,3,5.965129,7.645205e-03,1.433476e-03,1.433476e-03,,,8754.0
