step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
20,1,5.774988,8.695652e-04,1.630435e-04,1.630435e-04,,,40.9
40,1,4.980672,1.739130e-03,3.260870e-04,3.260870e-04,,,78.1
60,1,4.465796,2.608696e-03,4.891304e-04,4.891304e-04,,,115.4
80,1,4.359103,3.478261e-03,6.521739e-04,6.521739e-04,,,152.6
100,1,4.022605,4.347826e-03,8.152174e-04,8.152174e-04,,,190.1
120,1,4.078960,5.217391e-03,9.782609e-04,9.782609e-04,,,227.6
140,1,3.367103,6.086957e-03,1.141304e-03,1.141304e-03,,,265.2
160,1,4.044795,6.956522e-03,1.304348e-03,1.304348e-03,,,303.1
180,1,2.719427,7.826087e-03,1.467391e-03,1.467391e-03,,,341.3
200,1,2.537829,8.695652e-03,1.630435e-03,1.630435e-03,,,379.6
220,1,3.471759,9.565217e-03,1.793478e-03,1.793478e-03,,,418.1
240,1,1.864574,1.043478e-02,1.956522e-03,1.956522e-03,,,456.6
260,1,2.018194,1.130435e-02,2.119565e-03,2.119565e-03,,,495.1
280,1,2.240027,1.217391e-02,2.282609e-03,2.282609e-03,,,533.5
300,1,2.651218,1.304348e-02,2.445652e-03,2.445652e-03,,,572.0
320,1,2.093433,1.391304e-02,2.608696e-03,2.608696e-03,,,610.7
340,1,2.791574,1.478261e-02,2.771739e-03,2.771739e-03,,,649.0
360,1,2.197567,1.565217e-02,2.934783e-03,2.934783e-03,,,687.5
380,1,2.833074,1.597397e-02,2.995120e-03,2.995120e-03,,,726.1
400,1,2.376187,1.593059e-02,2.986986e-03,2.986986e-03,,,764.7
420,1,1.682168,1.588721e-02,2.978853e-03,2.978853e-03,,,803.2
440,1,2.546635,1.584384e-02,2.970719e-03,2.970719e-03,,,841.6
460,1,1.722029,1.580046e-02,2.962586e-03,2.962586e-03,,,879.9
480,1,1.505890,1.575708e-02,2.954452e-03,2.954452e-03,,,918.3
500,1,1.377132,1.571370e-02,2.946318e-03,2.946318e-03,,,957.0
520,1,2.138106,1.567032e-02,2.938185e-03,2.938185e-03,,,995.3
540,1,1.502587,1.562694e-02,2.930051e-03,2.930051e-03,,,1033.7
560,1,1.741820,1.558356e-02,2.921918e-03,2.921918e-03,,,1072.0
580,1,1.979173,1.554018e-02,2.913784e-03,2.913784e-03,,,1110.5
600,1,1.647666,1.549680e-02,2.905651e-03,2.905651e-03,,,1148.8
620,1,1.963173,1.545342e-02,2.897517e-03,2.897517e-03,,,1187.2
640,1,1.535688,1.541005e-02,2.889384e-03,2.889384e-03,,,1225.5
660,1,2.014268,1.536667e-02,2.881250e-03,2.881250e-03,,,1263.9
680,1,1.570832,1.532329e-02,2.873116e-03,2.873116e-03,,,1302.3
700,1,1.793270,1.527991e-02,2.864983e-03,2.864983e-03,,,1340.7
720,1,1.934700,1.523653e-02,2.856849e-03,2.856849e-03,,,1379.1
740,1,1.378096,1.519315e-02,2.848716e-03,2.848716e-03,,,1417.6
760,1,2.077475,1.514977e-02,2.840582e-03,2.840582e-03,,,1455.9
780,1,1.729281,1.510639e-02,2.832449e-03,2.832449e-03,,,1494.2
800,1,1.715894,1.506301e-02,2.824315e-03,2.824315e-03,,,1532.5
820,1,2.145755,1.501963e-02,2.816182e-03,2.816182e-03,,,1570.8
