step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
20,1,5.686915,8.695652e-04,1.630435e-04,1.630435e-04,,,39.7
40,1,4.709697,1.739130e-03,3.260870e-04,3.260870e-04,,,76.6
60,1,4.349133,2.608696e-03,4.891304e-04,4.891304e-04,,,113.5
80,1,4.271961,3.478261e-03,6.521739e-04,6.521739e-04,,,150.5
100,1,4.008605,4.347826e-03,8.152174e-04,8.152174e-04,,,187.7
120,1,4.015893,5.217391e-03,9.782609e-04,9.782609e-04,,,224.9
140,1,3.376592,6.086957e-03,1.141304e-03,1.141304e-03,,,262.3
160,1,3.826253,6.956522e-03,1.304348e-03,1.304348e-03,,,300.1
180,1,2.553644,7.826087e-03,1.467391e-03,1.467391e-03,,,338.1
200,1,2.096532,8.695652e-03,1.630435e-03,1.630435e-03,,,376.2
220,1,3.396618,9.565217e-03,1.793478e-03,1.793478e-03,,,414.3
240,1,1.555909,1.043478e-02,1.956522e-03,1.956522e-03,,,452.4
260,1,1.841879,1.130435e-02,2.119565e-03,2.119565e-03,,,490.6
280,1,1.992313,1.217391e-02,2.282609e-03,2.282609e-03,,,528.7
300,1,2.533122,1.304348e-02,2.445652e-03,2.445652e-03,,,566.8
320,1,2.055440,1.391304e-02,2.608696e-03,2.608696e-03,,,605.0
340,1,2.790064,1.478261e-02,2.771739e-03,2.771739e-03,,,643.1
360,1,1.978974,1.565217e-02,2.934783e-03,2.934783e-03,,,681.3
380,1,2.848804,1.597397e-02,2.995120e-03,2.995120e-03,,,719.4
400,1,1.994370,1.593059e-02,2.986986e-03,2.986986e-03,,,757.5
420,1,1.493645,1.588721e-02,2.978853e-03,2.978853e-03,,,795.6
440,1,2.423630,1.584384e-02,2.970719e-03,2.970719e-03,,,833.7
460,1,1.548862,1.580046e-02,2.962586e-03,2.962586e-03,,,871.8
480,1,1.407831,1.575708e-02,2.954452e-03,2.954452e-03,,,909.9
500,1,1.325724,1.571370e-02,2.946318e-03,2.946318e-03,,,948.1
520,1,2.084599,1.567032e-02,2.938185e-03,2.938185e-03,,,986.2
540,1,1.540736,1.562694e-02,2.930051e-03,2.930051e-03,,,1024.2
560,1,1.589817,1.558356e-02,2.921918e-03,2.921918e-03,,,1062.2
580,1,1.890751,1.554018e-02,2.913784e-03,2.913784e-03,,,1100.2
600,1,1.653879,1.549680e-02,2.905651e-03,2.905651e-03,,,1138.3
620,1,1.630802,1.545342e-02,2.897517e-03,2.897517e-03,,,1176.3
640,1,1.328429,1.541005e-02,2.889384e-03,2.889384e-03,,,1214.3
660,1,1.759281,1.536667e-02,2.881250e-03,2.881250e-03,,,1252.3
680,1,1.579556,1.532329e-02,2.873116e-03,2.873116e-03,,,1290.3
700,1,1.430301,1.527991e-02,2.864983e-03,2.864983e-03,,,1328.3
720,1,1.854910,1.523653e-02,2.856849e-03,2.856849e-03,,,1366.5
740,1,1.417231,1.519315e-02,2.848716e-03,2.848716e-03,,,1404.5
760,1,1.769971,1.514977e-02,2.840582e-03,2.840582e-03,,,1442.4
780,1,1.620877,1.510639e-02,2.832449e-03,2.832449e-03,,,1480.3
800,1,1.699630,1.506301e-02,2.824315e-03,2.824315e-03,,,1518.4
820,1,2.092548,1.501963e-02,2.816182e-03,2.816182e-03,,,1556.4
840,1,1.191273,1.497626e-02,2.808048e-03,2.808048e-03,,,1594.4
860,1,1.583136,1.493288e-02,2.799914e-03,2.799914e-03,,,1632.4
880,1,1.715023,1.488950e-02,2.791781e-03,2.791781e-03,,,1670.4
900,1,1.408387,1.484612e-02,2.783647e-03,2.783647e-03,,,1708.3
920,1,1.857124,1.480274e-02,2.775514e-03,2.775514e-03,,,1746.1
940,1,1.893558,1.475936e-02,2.767380e-03,2.767380e-03,,,1784.1
960,1,1.874888,1.471598e-02,2.759247e-03,2.759247e-03,,,1822.0
980,1,1.260444,1.467260e-02,2.751113e-03,2.751113e-03,,,1860.0
1000,1,1.547115,1.462922e-02,2.742979e-03,2.742979e-03,,,1897.9
1020,1,1.544653,1.458584e-02,2.734846e-03,2.734846e-03,,,1935.7
1040,1,0.680001,1.454247e-02,2.726712e-03,2.726712e-03,,,1973.6
1060,1,1.244270,1.449909e-02,2.718579e-03,2.718579e-03,,,2011.4
1080,1,1.369114,1.445571e-02,2.710445e-03,2.710445e-03,,,2049.3
1100,1,1.415194,1.441233e-02,2.702312e-03,2.702312e-03,,,2087.1
1120,1,1.417613,1.436895e-02,2.694178e-03,2.694178e-03,,,2124.8
1140,1,1.211625,1.432557e-02,2.686045e-03,2.686045e-03,,,2162.5
1160,1,1.306893,1.428219e-02,2.677911e-03,2.677911e-03,,,2200.4
1180,1,1.716605,1.423881e-02,2.669777e-03,2.669777e-03,,,2238.5
1200,1,1.705473,1.419543e-02,2.661644e-03,2.661644e-03,,,2276.2
1220,1,1.521638,1.415205e-02,2.653510e-03,2.653510e-03,,,2313.9
1240,1,1.881454,1.410868e-02,2.645377e-03,2.645377e-03,,,2351.7
1260,1,1.447252,1.406530e-02,2.637243e-03,2.637243e-03,,,2389.4
1280,1,1.102088,1.402192e-02,2.629110e-03,2.629110e-03,,,2427.2
1300,1,1.684105,1.397854e-02,2.620976e-03,2.620976e-03,,,2465.0
1320,1,0.843413,1.393516e-02,2.612842e-03,2.612842e-03,,,2502.8
1340,1,0.711537,1.389178e-02,2.604709e-03,2.604709e-03,,,2540.5
1360,1,1.130092,1.384840e-02,2.596575e-03,2.596575e-03,,,2578.3
1380,1,1.185407,1.380502e-02,2.588442e-03,2.588442e-03,,,2616.1
1400,1,1.555996,1.376164e-02,2.580308e-03,2.580308e-03,,,2653.9
1420,1,1.148783,1.371826e-02,2.572175e-03,2.572175e-03,,,2692.4
1440,1,1.667734,1.367489e-02,2.564041e-03,2.564041e-03,,,2730.4
1460,1,0.877048,1.363151e-02,2.555908e-03,2.555908e-03,,,2768.2
1480,1,1.763096,1.358813e-02,2.547774e-03,2.547774e-03,,,2806.1
1500,1,1.804208,1.354475e-02,2.539640e-03,2.539640e-03,,,2844.3
1520,1,1.876265,1.350137e-02,2.531507e-03,2.531507e-03,,,2882.0
1540,1,1.564602,1.345799e-02,2.523373e-03,2.523373e-03,,,2919.7
1560,1,1.624615,1.341461e-02,2.515240e-03,2.515240e-03,,,2957.3
1580,1,2.262654,1.337123e-02,2.507106e-03,2.507106e-03,,,2995.0
1600,1,1.578707,1.332785e-02,2.498973e-03,2.498973e-03,,,3032.6
1620,1,0.987922,1.328447e-02,2.490839e-03,2.490839e-03,,,3070.3
1640,1,1.710825,1.324110e-02,2.482705e-03,2.482705e-03,,,3108.0
1660,1,1.239075,1.319772e-02,2.474572e-03,2.474572e-03,,,3145.8
1680,1,1.632726,1.315434e-02,2.466438e-03,2.466438e-03,,,3183.5
1700,1,1.260983,1.311096e-02,2.458305e-03,2.458305e-03,,,3221.1
1720,1,2.211377,1.306758e-02,2.450171e-03,2.450171e-03,,,3258.9
1740,1,1.870189,1.302420e-02,2.442038e-03,2.442038e-03,,,3296.6
1760,1,1.513603,1.298082e-02,2.433904e-03,2.433904e-03,,,3334.3
1780,1,0.802797,1.293744e-02,2.425771e-03,2.425771e-03,,,3371.9
1800,1,0.817609,1.289406e-02,2.417637e-03,2.417637e-03,,,3409.6
