step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
20,1,4.183476,8.695652e-04,1.630435e-04,1.630435e-04,,,41.5
40,1,2.991865,1.739130e-03,3.260870e-04,3.260870e-04,,,78.7
60,1,2.838996,2.608696e-03,4.891304e-04,4.891304e-04,,,116.1
80,1,2.792269,3.478261e-03,6.521739e-04,6.521739e-04,,,153.5
100,1,2.405391,4.347826e-03,8.152174e-04,8.152174e-04,,,191.1
120,1,2.745453,5.217391e-03,9.782609e-04,9.782609e-04,,,228.8
140,1,2.249525,6.086957e-03,1.141304e-03,1.141304e-03,,,266.4
160,1,2.698125,6.956522e-03,1.304348e-03,1.304348e-03,,,304.2
180,1,1.524251,7.826087e-03,1.467391e-03,1.467391e-03,,,341.8
200,1,2.092285,8.695652e-03,1.630435e-03,1.630435e-03,,,379.4
220,1,2.781521,9.565217e-03,1.793478e-03,1.793478e-03,,,417.0
240,1,1.244804,1.043478e-02,1.956522e-03,1.956522e-03,,,454.5
260,1,1.544725,1.130435e-02,2.119565e-03,2.119565e-03,,,492.3
280,1,1.430009,1.217391e-02,2.282609e-03,2.282609e-03,,,530.0
300,1,2.083784,1.304348e-02,2.445652e-03,2.445652e-03,,,567.6
320,1,1.773903,1.391304e-02,2.608696e-03,2.608696e-03,,,605.2
340,1,2.721009,1.478261e-02,2.771739e-03,2.771739e-03,,,642.8
360,1,1.700368,1.565217e-02,2.934783e-03,2.934783e-03,,,680.3
380,1,2.109598,1.597397e-02,2.995120e-03,2.995120e-03,,,717.9
400,1,1.721611,1.593059e-02,2.986986e-03,2.986986e-03,,,755.4
420,1,1.218252,1.588721e-02,2.978853e-03,2.978853e-03,,,793.1
440,1,2.212362,1.584384e-02,2.970719e-03,2.970719e-03,,,830.7
460,1,1.755128,1.580046e-02,2.962586e-03,2.962586e-03,,,868.3
480,1,1.503803,1.575708e-02,2.954452e-03,2.954452e-03,,,905.9
500,1,1.767559,1.571370e-02,2.946318e-03,2.946318e-03,,,943.7
520,1,2.170424,1.567032e-02,2.938185e-03,2.938185e-03,,,981.2
540,1,1.457784,1.562694e-02,2.930051e-03,2.930051e-03,,,1018.8
560,1,1.423493,1.558356e-02,2.921918e-03,2.921918e-03,,,1056.3
580,1,1.830101,1.554018e-02,2.913784e-03,2.913784e-03,,,1094.0
600,1,1.353178,1.549680e-02,2.905651e-03,2.905651e-03,,,1131.7
620,1,1.811192,1.545342e-02,2.897517e-03,2.897517e-03,,,1169.3
640,1,1.208313,1.541005e-02,2.889384e-03,2.889384e-03,,,1206.8
660,1,1.819490,1.536667e-02,2.881250e-03,2.881250e-03,,,1244.4
680,1,1.790831,1.532329e-02,2.873116e-03,2.873116e-03,,,1282.0
700,1,1.227773,1.527991e-02,2.864983e-03,2.864983e-03,,,1319.5
720,1,1.840028,1.523653e-02,2.856849e-03,2.856849e-03,,,1357.2
740,1,1.583110,1.519315e-02,2.848716e-03,2.848716e-03,,,1394.8
760,1,1.954639,1.514977e-02,2.840582e-03,2.840582e-03,,,1432.3
780,1,1.718122,1.510639e-02,2.832449e-03,2.832449e-03,,,1469.9
800,1,1.955337,1.506301e-02,2.824315e-03,2.824315e-03,,,1507.3
820,1,1.948198,1.501963e-02,2.816182e-03,2.816182e-03,,,1544.9
840,1,1.298161,1.497626e-02,2.808048e-03,2.808048e-03,,,1582.4
860,1,1.648591,1.493288e-02,2.799914e-03,2.799914e-03,,,1620.0
880,1,1.725091,1.488950e-02,2.791781e-03,2.791781e-03,,,1657.6
900,1,1.782659,1.484612e-02,2.783647e-03,2.783647e-03,,,1695.3
920,1,1.765701,1.480274e-02,2.775514e-03,2.775514e-03,,,1733.0
940,1,1.827610,1.475936e-02,2.767380e-03,2.767380e-03,,,1770.5
960,1,2.019726,1.471598e-02,2.759247e-03,2.759247e-03,,,1808.3
980,1,1.351087,1.467260e-02,2.751113e-03,2.751113e-03,,,1846.0
1000,1,1.614580,1.462922e-02,2.742979e-03,2.742979e-03,,,1883.6
1020,1,1.579990,1.458584e-02,2.734846e-03,2.734846e-03,,,1921.3
1040,1,0.987820,1.454247e-02,2.726712e-03,2.726712e-03,,,1958.9
1060,1,1.488441,1.449909e-02,2.718579e-03,2.718579e-03,,,1996.6
1080,1,1.918307,1.445571e-02,2.710445e-03,2.710445e-03,,,2034.2
1100,1,1.763331,1.441233e-02,2.702312e-03,2.702312e-03,,,2071.8
1120,1,1.428179,1.436895e-02,2.694178e-03,2.694178e-03,,,2109.4
1140,1,1.095784,1.432557e-02,2.686045e-03,2.686045e-03,,,2146.9
1160,1,1.241213,1.428219e-02,2.677911e-03,2.677911e-03,,,2184.3
1180,1,1.813710,1.423881e-02,2.669777e-03,2.669777e-03,,,2222.1
1200,1,1.513287,1.419543e-02,2.661644e-03,2.661644e-03,,,2259.7
1220,1,1.654575,1.415205e-02,2.653510e-03,2.653510e-03,,,2297.2
1240,1,2.092956,1.410868e-02,2.645377e-03,2.645377e-03,,,2334.7
1260,1,1.781838,1.406530e-02,2.637243e-03,2.637243e-03,,,2372.2
1280,1,1.378027,1.402192e-02,2.629110e-03,2.629110e-03,,,2409.7
1300,1,1.874254,1.397854e-02,2.620976e-03,2.620976e-03,,,2447.3
1320,1,0.849673,1.393516e-02,2.612842e-03,2.612842e-03,,,2484.9
1340,1,0.960301,1.389178e-02,2.604709e-03,2.604709e-03,,,2522.5
1360,1,1.439580,1.384840e-02,2.596575e-03,2.596575e-03,,,2560.1
1380,1,1.533061,1.380502e-02,2.588442e-03,2.588442e-03,,,2597.7
1400,1,1.913296,1.376164e-02,2.580308e-03,2.580308e-03,,,2635.3
