step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,f1_c_only,em_c_only,wall_time_s
20,1,5.359282,6.941432e-04,1.301518e-04,1.301518e-04,,,,,41.0
40,1,4.209877,1.388286e-03,2.603037e-04,2.603037e-04,,,,,79.2
60,1,4.082547,2.082430e-03,3.904555e-04,3.904555e-04,,,,,117.4
80,1,4.020949,2.776573e-03,5.206074e-04,5.206074e-04,,,,,155.9
100,1,3.897049,3.470716e-03,6.507592e-04,6.507592e-04,,,,,194.4
120,1,3.906374,4.164859e-03,7.809111e-04,7.809111e-04,,,,,233.3
140,1,3.054440,4.859002e-03,9.110629e-04,9.110629e-04,,,,,272.8
160,1,3.138506,5.553145e-03,1.041215e-03,1.041215e-03,,,,,312.1
180,1,2.092390,6.247289e-03,1.171367e-03,1.171367e-03,,,,,351.2
200,1,1.827034,6.941432e-03,1.301518e-03,1.301518e-03,,,,,390.0
220,1,2.881819,7.635575e-03,1.431670e-03,1.431670e-03,,,,,429.3
240,1,1.973407,8.329718e-03,1.561822e-03,1.561822e-03,,,,,468.4
260,1,1.699711,9.023861e-03,1.691974e-03,1.691974e-03,,,,,507.6
280,1,1.585192,9.718004e-03,1.822126e-03,1.822126e-03,,,,,546.7
300,1,2.583621,1.041215e-02,1.952278e-03,1.952278e-03,,,,,585.7
320,1,1.836214,1.110629e-02,2.082430e-03,2.082430e-03,,,,,624.6
340,1,2.511034,1.180043e-02,2.212581e-03,2.212581e-03,,,,,663.5
360,1,1.743873,1.249458e-02,2.342733e-03,2.342733e-03,,,,,702.3
380,1,2.311670,1.318872e-02,2.472885e-03,2.472885e-03,,,,,741.1
400,1,1.646984,1.388286e-02,2.603037e-03,2.603037e-03,,,,,779.9
420,1,1.312082,1.457701e-02,2.733189e-03,2.733189e-03,,,,,818.9
440,1,2.260793,1.527115e-02,2.863341e-03,2.863341e-03,,,,,857.9
460,1,1.670039,1.596529e-02,2.993492e-03,2.993492e-03,,,,,897.3
480,1,1.246927,1.596703e-02,2.993818e-03,2.993818e-03,,,,,936.2
500,1,1.597994,1.593232e-02,2.987310e-03,2.987310e-03,,,,,975.1
520,1,1.932167,1.589761e-02,2.980803e-03,2.980803e-03,,,,,1014.1
540,1,1.584233,1.586291e-02,2.974295e-03,2.974295e-03,,,,,1053.0
560,1,1.563091,1.582820e-02,2.967787e-03,2.967787e-03,,,,,1091.9
580,1,1.628188,1.579349e-02,2.961280e-03,2.961280e-03,,,,,1130.7
600,1,1.187886,1.575879e-02,2.954772e-03,2.954772e-03,,,,,1169.5
620,1,1.948604,1.572408e-02,2.948265e-03,2.948265e-03,,,,,1208.3
640,1,1.117599,1.568937e-02,2.941757e-03,2.941757e-03,,,,,1247.3
660,1,1.792991,1.565466e-02,2.935249e-03,2.935249e-03,,,,,1286.4
680,1,1.341864,1.561996e-02,2.928742e-03,2.928742e-03,,,,,1325.5
700,1,1.104872,1.558525e-02,2.922234e-03,2.922234e-03,,,,,1364.8
720,1,1.715189,1.555054e-02,2.915727e-03,2.915727e-03,,,,,1403.8
740,1,1.522801,1.551584e-02,2.909219e-03,2.909219e-03,,,,,1442.6
760,1,2.118454,1.548113e-02,2.902711e-03,2.902711e-03,,,,,1481.5
780,1,1.385266,1.544642e-02,2.896204e-03,2.896204e-03,,,,,1520.6
800,1,2.036321,1.541171e-02,2.889696e-03,2.889696e-03,,,,,1559.6
820,1,1.947102,1.537701e-02,2.883189e-03,2.883189e-03,,,,,1598.6
840,1,1.085395,1.534230e-02,2.876681e-03,2.876681e-03,,,,,1637.5
860,1,1.452147,1.530759e-02,2.870174e-03,2.870174e-03,,,,,1676.6
880,1,1.610681,1.527289e-02,2.863666e-03,2.863666e-03,,,,,1715.5
900,1,1.348881,1.523818e-02,2.857158e-03,2.857158e-03,,,,,1754.5
920,1,2.153019,1.520347e-02,2.850651e-03,2.850651e-03,,,,,1793.7
940,1,2.138633,1.516876e-02,2.844143e-03,2.844143e-03,,,,,1832.9
960,1,1.850489,1.513406e-02,2.837636e-03,2.837636e-03,,,,,1872.0
980,1,1.452042,1.509935e-02,2.831128e-03,2.831128e-03,,,,,1910.9
1000,1,1.490986,1.506464e-02,2.824620e-03,2.824620e-03,,,,,1949.9
1020,1,1.152838,1.502993e-02,2.818113e-03,2.818113e-03,,,,,1988.8
1040,1,0.867108,1.499523e-02,2.811605e-03,2.811605e-03,,,,,2027.7
1060,1,1.548344,1.496052e-02,2.805098e-03,2.805098e-03,,,,,2066.6
1080,1,1.642381,1.492581e-02,2.798590e-03,2.798590e-03,,,,,2105.5
1100,1,1.369804,1.489111e-02,2.792082e-03,2.792082e-03,,,,,2144.5
1120,1,1.552418,1.485640e-02,2.785575e-03,2.785575e-03,,,,,2183.5
1140,1,1.211431,1.482169e-02,2.779067e-03,2.779067e-03,,,,,2222.4
1160,1,1.507142,1.478698e-02,2.772560e-03,2.772560e-03,,,,,2261.5
1180,1,1.460083,1.475228e-02,2.766052e-03,2.766052e-03,,,,,2300.6
1200,1,1.447652,1.471757e-02,2.759544e-03,2.759544e-03,,,,,2339.9
1220,1,1.281603,1.468286e-02,2.753037e-03,2.753037e-03,,,,,2379.1
