step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,f1_c_only,em_c_only,wall_time_s
20,1,5.843762,6.941432e-04,1.301518e-04,1.301518e-04,,,,,39.9
40,1,5.277612,1.388286e-03,2.603037e-04,2.603037e-04,,,,,76.5
60,1,4.716584,2.082430e-03,3.904555e-04,3.904555e-04,,,,,113.0
80,1,4.512763,2.776573e-03,5.206074e-04,5.206074e-04,,,,,149.7
100,1,4.103728,3.470716e-03,6.507592e-04,6.507592e-04,,,,,186.4
120,1,4.189917,4.164859e-03,7.809111e-04,7.809111e-04,,,,,223.2
140,1,3.495421,4.859002e-03,9.110629e-04,9.110629e-04,,,,,260.2
160,1,4.202628,5.553145e-03,1.041215e-03,1.041215e-03,,,,,297.2
180,1,3.092594,6.247289e-03,1.171367e-03,1.171367e-03,,,,,334.5
200,1,3.066256,6.941432e-03,1.301518e-03,1.301518e-03,,,,,371.9
220,1,3.410409,7.635575e-03,1.431670e-03,1.431670e-03,,,,,409.7
240,1,2.033907,8.329718e-03,1.561822e-03,1.561822e-03,,,,,447.8
260,1,2.180759,9.023861e-03,1.691974e-03,1.691974e-03,,,,,485.7
280,1,2.267085,9.718004e-03,1.822126e-03,1.822126e-03,,,,,523.6
