step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
20,1,4.117955,8.672087e-04,3.000000e-03,3.000000e-03,,,17.9
40,1,3.505227,1.734417e-03,3.000000e-03,3.000000e-03,,,31.5
60,1,3.332026,2.601626e-03,3.000000e-03,3.000000e-03,,,45.1
80,1,3.176427,3.468835e-03,3.000000e-03,3.000000e-03,,,58.8
100,1,2.387294,4.336043e-03,3.000000e-03,3.000000e-03,,,72.6
120,1,2.924307,5.203252e-03,3.000000e-03,3.000000e-03,,,86.3
140,1,2.283425,6.070461e-03,3.000000e-03,3.000000e-03,,,100.1
160,1,2.852954,6.937669e-03,3.000000e-03,3.000000e-03,,,114.0
180,1,2.290684,7.804878e-03,3.000000e-03,3.000000e-03,,,127.8
200,1,2.034808,8.672087e-03,3.000000e-03,3.000000e-03,,,141.7
220,1,2.305788,9.539295e-03,3.000000e-03,3.000000e-03,,,155.6
240,1,2.049596,1.040650e-02,3.000000e-03,3.000000e-03,,,169.5
260,1,1.765946,1.127371e-02,3.000000e-03,3.000000e-03,,,183.5
280,1,1.780355,1.214092e-02,3.000000e-03,3.000000e-03,,,197.5
300,1,1.718714,1.300813e-02,3.000000e-03,3.000000e-03,,,211.5
320,1,2.069802,1.387534e-02,3.000000e-03,3.000000e-03,,,225.4
340,1,1.968333,1.474255e-02,3.000000e-03,3.000000e-03,,,239.4
360,1,1.918082,1.560976e-02,3.000000e-03,3.000000e-03,,,253.5
380,1,2.018759,1.598745e-02,2.997647e-03,2.997647e-03,,,267.5
400,1,1.688352,1.596463e-02,2.993368e-03,2.993368e-03,,,281.5
420,1,1.320248,1.594181e-02,2.989089e-03,2.989089e-03,,,295.5
440,1,1.695487,1.591898e-02,2.984810e-03,2.984810e-03,,,309.6
460,1,1.567976,1.589616e-02,2.980531e-03,2.980531e-03,,,323.6
480,1,1.588097,1.587334e-02,2.976252e-03,2.976252e-03,,,337.6
500,1,1.588533,1.585052e-02,2.971973e-03,2.971973e-03,,,351.6
520,1,1.965624,1.582770e-02,2.967694e-03,2.967694e-03,,,365.7
540,1,1.881910,1.580488e-02,2.963415e-03,2.963415e-03,,,379.7
560,1,1.604241,1.578206e-02,2.959136e-03,2.959136e-03,,,393.7
580,1,1.808095,1.575924e-02,2.954857e-03,2.954857e-03,,,407.8
600,1,1.512200,1.573641e-02,2.950578e-03,2.950578e-03,,,421.8
620,1,1.483340,1.571359e-02,2.946299e-03,2.946299e-03,,,435.8
640,1,1.562238,1.569077e-02,2.942020e-03,2.942020e-03,,,449.9
660,1,1.471729,1.566795e-02,2.937741e-03,2.937741e-03,,,464.1
680,1,1.790145,1.564513e-02,2.933462e-03,2.933462e-03,,,478.1
700,1,1.461370,1.562231e-02,2.929183e-03,2.929183e-03,,,492.1
720,1,1.506187,1.559949e-02,2.924904e-03,2.924904e-03,,,506.1
740,1,1.392772,1.557667e-02,2.920625e-03,2.920625e-03,,,520.1
760,1,1.793016,1.555384e-02,2.916346e-03,2.916346e-03,,,534.2
780,1,1.528439,1.553102e-02,2.912067e-03,2.912067e-03,,,548.2
800,1,1.486426,1.550820e-02,2.907788e-03,2.907788e-03,,,562.2
820,1,1.675649,1.548538e-02,2.903509e-03,2.903509e-03,,,576.2
840,1,1.292835,1.546256e-02,2.899230e-03,2.899230e-03,,,590.2
860,1,1.441401,1.543974e-02,2.894951e-03,2.894951e-03,,,604.2
880,1,1.471971,1.541692e-02,2.890672e-03,2.890672e-03,,,618.2
900,1,1.265275,1.539409e-02,2.886393e-03,2.886393e-03,,,632.2
920,1,1.617166,1.537127e-02,2.882114e-03,2.882114e-03,,,646.2
940,1,1.772507,1.534845e-02,2.877835e-03,2.877835e-03,,,660.2
960,1,1.401122,1.532563e-02,2.873556e-03,2.873556e-03,,,674.2
980,1,1.432971,1.530281e-02,2.869277e-03,2.869277e-03,,,688.2
1000,1,1.446919,1.527999e-02,2.864998e-03,2.864998e-03,,,702.2
1020,1,1.629314,1.525717e-02,2.860719e-03,2.860719e-03,,,716.3
1040,1,1.701285,1.523435e-02,2.856440e-03,2.856440e-03,,,730.3
1060,1,1.368726,1.521152e-02,2.852161e-03,2.852161e-03,,,744.3
1080,1,1.581300,1.518870e-02,2.847882e-03,2.847882e-03,,,758.3
1100,1,1.452395,1.516588e-02,2.843603e-03,2.843603e-03,,,772.3
1120,1,1.782070,1.514306e-02,2.839324e-03,2.839324e-03,,,786.3
1140,1,1.261023,1.512024e-02,2.835045e-03,2.835045e-03,,,800.3
1160,1,1.365109,1.509742e-02,2.830766e-03,2.830766e-03,,,814.3
