step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
20,1,4.116063,8.672087e-04,3.000000e-03,3.000000e-03,,,21.5
40,1,3.452940,1.734417e-03,3.000000e-03,3.000000e-03,,,37.2
60,1,3.313169,2.601626e-03,3.000000e-03,3.000000e-03,,,53.3
80,1,3.148807,3.468835e-03,3.000000e-03,3.000000e-03,,,70.1
100,1,2.382692,4.336043e-03,3.000000e-03,3.000000e-03,,,87.1
120,1,2.883451,5.203252e-03,3.000000e-03,3.000000e-03,,,104.4
140,1,2.310062,6.070461e-03,3.000000e-03,3.000000e-03,,,122.0
160,1,2.851311,6.937669e-03,3.000000e-03,3.000000e-03,,,139.8
180,1,2.259635,7.804878e-03,3.000000e-03,3.000000e-03,,,157.9
200,1,2.124219,8.672087e-03,3.000000e-03,3.000000e-03,,,176.2
220,1,2.250417,9.539295e-03,3.000000e-03,3.000000e-03,,,194.7
240,1,2.029369,1.040650e-02,3.000000e-03,3.000000e-03,,,213.4
260,1,1.789161,1.127371e-02,3.000000e-03,3.000000e-03,,,232.4
280,1,1.793425,1.214092e-02,3.000000e-03,3.000000e-03,,,251.5
300,1,1.815499,1.300813e-02,3.000000e-03,3.000000e-03,,,270.8
320,1,2.096055,1.387534e-02,3.000000e-03,3.000000e-03,,,290.1
340,1,1.967261,1.474255e-02,3.000000e-03,3.000000e-03,,,309.4
360,1,1.966573,1.560976e-02,3.000000e-03,3.000000e-03,,,328.9
380,1,2.020102,1.598745e-02,2.997647e-03,2.997647e-03,,,348.4
400,1,2.158010,1.596463e-02,2.993368e-03,2.993368e-03,,,368.0
420,1,1.321139,1.594181e-02,2.989089e-03,2.989089e-03,,,387.5
440,1,1.646280,1.591898e-02,2.984810e-03,2.984810e-03,,,407.2
460,1,1.519181,1.589616e-02,2.980531e-03,2.980531e-03,,,426.7
480,1,1.526481,1.587334e-02,2.976252e-03,2.976252e-03,,,446.1
500,1,1.531642,1.585052e-02,2.971973e-03,2.971973e-03,,,465.8
520,1,2.026529,1.582770e-02,2.967694e-03,2.967694e-03,,,485.1
540,1,1.749941,1.580488e-02,2.963415e-03,2.963415e-03,,,504.4
560,1,1.584904,1.578206e-02,2.959136e-03,2.959136e-03,,,523.7
580,1,1.846610,1.575924e-02,2.954857e-03,2.954857e-03,,,543.1
600,1,1.477880,1.573641e-02,2.950578e-03,2.950578e-03,,,562.3
620,1,1.492333,1.571359e-02,2.946299e-03,2.946299e-03,,,581.7
640,1,1.437976,1.569077e-02,2.942020e-03,2.942020e-03,,,600.9
660,1,1.435856,1.566795e-02,2.937741e-03,2.937741e-03,,,620.3
680,1,1.878855,1.564513e-02,2.933462e-03,2.933462e-03,,,639.4
700,1,1.382344,1.562231e-02,2.929183e-03,2.929183e-03,,,658.5
720,1,1.468362,1.559949e-02,2.924904e-03,2.924904e-03,,,677.6
740,1,1.399971,1.557667e-02,2.920625e-03,2.920625e-03,,,696.6
760,1,1.858969,1.555384e-02,2.916346e-03,2.916346e-03,,,715.6
780,1,1.571086,1.553102e-02,2.912067e-03,2.912067e-03,,,734.7
800,1,1.482510,1.550820e-02,2.907788e-03,2.907788e-03,,,753.7
820,1,1.664443,1.548538e-02,2.903509e-03,2.903509e-03,,,772.8
840,1,1.302413,1.546256e-02,2.899230e-03,2.899230e-03,,,791.8
860,1,1.378070,1.543974e-02,2.894951e-03,2.894951e-03,,,810.8
880,1,1.445851,1.541692e-02,2.890672e-03,2.890672e-03,,,829.8
900,1,1.252165,1.539409e-02,2.886393e-03,2.886393e-03,,,848.6
920,1,1.611961,1.537127e-02,2.882114e-03,2.882114e-03,,,867.4
940,1,1.718249,1.534845e-02,2.877835e-03,2.877835e-03,,,886.3
960,1,1.491835,1.532563e-02,2.873556e-03,2.873556e-03,,,905.0
980,1,1.432802,1.530281e-02,2.869277e-03,2.869277e-03,,,923.7
1000,1,1.460907,1.527999e-02,2.864998e-03,2.864998e-03,,,942.5
1020,1,1.606186,1.525717e-02,2.860719e-03,2.860719e-03,,,961.5
1040,1,1.583495,1.523435e-02,2.856440e-03,2.856440e-03,,,980.3
1060,1,1.373732,1.521152e-02,2.852161e-03,2.852161e-03,,,999.0
1080,1,1.612295,1.518870e-02,2.847882e-03,2.847882e-03,,,1018.0
1100,1,1.429026,1.516588e-02,2.843603e-03,2.843603e-03,,,1036.7
1120,1,1.720616,1.514306e-02,2.839324e-03,2.839324e-03,,,1055.4
1140,1,1.274637,1.512024e-02,2.835045e-03,2.835045e-03,,,1074.1
1160,1,1.429488,1.509742e-02,2.830766e-03,2.830766e-03,,,1092.9
1180,1,1.134694,1.507460e-02,2.826487e-03,2.826487e-03,,,1111.7
1200,1,1.660687,1.505178e-02,2.822208e-03,2.822208e-03,,,1130.5
1220,1,1.356374,1.502895e-02,2.817929e-03,2.817929e-03,,,1149.1
1240,1,1.720628,1.500613e-02,2.813650e-03,2.813650e-03,,,1167.8
1260,1,1.351032,1.498331e-02,2.809371e-03,2.809371e-03,,,1186.4
1280,1,1.013381,1.496049e-02,2.805092e-03,2.805092e-03,,,1205.2
