step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
20,1,5.789300,8.695652e-04,1.630435e-04,1.630435e-04,,,40.8
40,1,5.024804,1.739130e-03,3.260870e-04,3.260870e-04,,,78.1
60,1,4.485679,2.608696e-03,4.891304e-04,4.891304e-04,,,115.2
80,1,4.372675,3.478261e-03,6.521739e-04,6.521739e-04,,,152.5
100,1,4.041501,4.347826e-03,8.152174e-04,8.152174e-04,,,189.9
120,1,4.100352,5.217391e-03,9.782609e-04,9.782609e-04,,,227.5
140,1,3.395486,6.086957e-03,1.141304e-03,1.141304e-03,,,264.9
160,1,4.062781,6.956522e-03,1.304348e-03,1.304348e-03,,,302.2
180,1,2.762493,7.826087e-03,1.467391e-03,1.467391e-03,,,339.6
200,1,2.590087,8.695652e-03,1.630435e-03,1.630435e-03,,,377.2
220,1,3.501666,9.565217e-03,1.793478e-03,1.793478e-03,,,415.0
240,1,1.863010,1.043478e-02,1.956522e-03,1.956522e-03,,,452.6
260,1,2.020131,1.130435e-02,2.119565e-03,2.119565e-03,,,490.4
280,1,2.195933,1.217391e-02,2.282609e-03,2.282609e-03,,,527.8
300,1,2.675026,1.304348e-02,2.445652e-03,2.445652e-03,,,565.3
320,1,2.083642,1.391304e-02,2.608696e-03,2.608696e-03,,,602.8
340,1,2.812702,1.478261e-02,2.771739e-03,2.771739e-03,,,640.3
360,1,2.246935,1.565217e-02,2.934783e-03,2.934783e-03,,,677.8
380,1,2.922845,1.597397e-02,2.995120e-03,2.995120e-03,,,715.2
400,1,2.421929,1.593059e-02,2.986986e-03,2.986986e-03,,,752.6
420,1,1.692666,1.588721e-02,2.978853e-03,2.978853e-03,,,790.0
440,1,2.520751,1.584384e-02,2.970719e-03,2.970719e-03,,,827.5
460,1,1.788314,1.580046e-02,2.962586e-03,2.962586e-03,,,865.0
480,1,1.526546,1.575708e-02,2.954452e-03,2.954452e-03,,,902.5
500,1,1.407922,1.571370e-02,2.946318e-03,2.946318e-03,,,940.2
520,1,2.183180,1.567032e-02,2.938185e-03,2.938185e-03,,,977.5
540,1,1.560222,1.562694e-02,2.930051e-03,2.930051e-03,,,1014.9
560,1,1.834491,1.558356e-02,2.921918e-03,2.921918e-03,,,1052.4
580,1,2.026333,1.554018e-02,2.913784e-03,2.913784e-03,,,1089.9
600,1,1.638216,1.549680e-02,2.905651e-03,2.905651e-03,,,1127.5
620,1,2.086012,1.545342e-02,2.897517e-03,2.897517e-03,,,1165.0
640,1,1.607107,1.541005e-02,2.889384e-03,2.889384e-03,,,1202.5
660,1,2.064769,1.536667e-02,2.881250e-03,2.881250e-03,,,1240.1
680,1,1.609073,1.532329e-02,2.873116e-03,2.873116e-03,,,1277.7
700,1,1.809596,1.527991e-02,2.864983e-03,2.864983e-03,,,1315.2
720,1,1.893605,1.523653e-02,2.856849e-03,2.856849e-03,,,1353.0
740,1,1.433326,1.519315e-02,2.848716e-03,2.848716e-03,,,1390.6
760,1,2.005767,1.514977e-02,2.840582e-03,2.840582e-03,,,1428.3
780,1,1.717645,1.510639e-02,2.832449e-03,2.832449e-03,,,1465.8
800,1,1.729179,1.506301e-02,2.824315e-03,2.824315e-03,,,1503.3
820,1,2.113277,1.501963e-02,2.816182e-03,2.816182e-03,,,1540.8
840,1,1.371354,1.497626e-02,2.808048e-03,2.808048e-03,,,1578.3
860,1,1.642730,1.493288e-02,2.799914e-03,2.799914e-03,,,1615.8
880,1,1.782904,1.488950e-02,2.791781e-03,2.791781e-03,,,1653.2
900,1,1.713230,1.484612e-02,2.783647e-03,2.783647e-03,,,1690.6
920,1,2.180588,1.480274e-02,2.775514e-03,2.775514e-03,,,1728.1
940,1,2.069560,1.475936e-02,2.767380e-03,2.767380e-03,,,1765.6
960,1,2.174118,1.471598e-02,2.759247e-03,2.759247e-03,,,1803.3
980,1,1.293850,1.467260e-02,2.751113e-03,2.751113e-03,,,1840.9
1000,1,1.815080,1.462922e-02,2.742979e-03,2.742979e-03,,,1878.7
1020,1,1.638629,1.458584e-02,2.734846e-03,2.734846e-03,,,1916.3
1040,1,0.912461,1.454247e-02,2.726712e-03,2.726712e-03,,,1953.8
1060,1,1.568523,1.449909e-02,2.718579e-03,2.718579e-03,,,1991.3
1080,1,1.616349,1.445571e-02,2.710445e-03,2.710445e-03,,,2028.9
1100,1,1.784028,1.441233e-02,2.702312e-03,2.702312e-03,,,2066.2
1120,1,1.781195,1.436895e-02,2.694178e-03,2.694178e-03,,,2103.5
1140,1,1.397491,1.432557e-02,2.686045e-03,2.686045e-03,,,2141.0
1160,1,1.680082,1.428219e-02,2.677911e-03,2.677911e-03,,,2178.4
1180,1,2.128175,1.423881e-02,2.669777e-03,2.669777e-03,,,2215.9
1200,1,1.841241,1.419543e-02,2.661644e-03,2.661644e-03,,,2253.2
1220,1,1.871738,1.415205e-02,2.653510e-03,2.653510e-03,,,2290.6
1240,1,1.732426,1.410868e-02,2.645377e-03,2.645377e-03,,,2327.9
1260,1,1.614337,1.406530e-02,2.637243e-03,2.637243e-03,,,2365.2
1280,1,1.239036,1.402192e-02,2.629110e-03,2.629110e-03,,,2402.6
1300,1,1.701046,1.397854e-02,2.620976e-03,2.620976e-03,,,2440.1
1320,1,0.969768,1.393516e-02,2.612842e-03,2.612842e-03,,,2477.7
1340,1,1.307690,1.389178e-02,2.604709e-03,2.604709e-03,,,2515.0
1360,1,1.364219,1.384840e-02,2.596575e-03,2.596575e-03,,,2552.3
1380,1,1.270549,1.380502e-02,2.588442e-03,2.588442e-03,,,2589.7
1400,1,1.725617,1.376164e-02,2.580308e-03,2.580308e-03,,,2627.2
1420,1,1.582511,1.371826e-02,2.572175e-03,2.572175e-03,,,2664.8
1440,1,2.169634,1.367489e-02,2.564041e-03,2.564041e-03,,,2702.1
1460,1,1.032985,1.363151e-02,2.555908e-03,2.555908e-03,,,2739.5
1480,1,1.977994,1.358813e-02,2.547774e-03,2.547774e-03,,,2776.8
1500,1,1.573519,1.354475e-02,2.539640e-03,2.539640e-03,,,2814.2
1520,1,2.169880,1.350137e-02,2.531507e-03,2.531507e-03,,,2851.6
1540,1,1.471735,1.345799e-02,2.523373e-03,2.523373e-03,,,2889.2
1560,1,2.018973,1.341461e-02,2.515240e-03,2.515240e-03,,,2926.7
1580,1,2.318953,1.337123e-02,2.507106e-03,2.507106e-03,,,2964.1
1600,1,1.938332,1.332785e-02,2.498973e-03,2.498973e-03,,,3001.6
1620,1,1.329341,1.328447e-02,2.490839e-03,2.490839e-03,,,3039.0
1640,1,2.174560,1.324110e-02,2.482705e-03,2.482705e-03,,,3076.3
1660,1,1.580593,1.319772e-02,2.474572e-03,2.474572e-03,,,3114.0
1680,1,1.516749,1.315434e-02,2.466438e-03,2.466438e-03,,,3151.8
