step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,wall_time_s
20,1,5.282650,1.940217e-03,4.130435e-05,1.630435e-04,,,63.4
40,1,4.259178,3.880435e-03,8.260870e-05,3.260870e-04,,,121.2
60,1,4.062891,5.820652e-03,1.239130e-04,4.891304e-04,,,179.2
80,1,4.044313,7.760870e-03,1.652174e-04,6.521739e-04,,,239.1
100,1,3.927970,9.701087e-03,2.065217e-04,8.152174e-04,,,299.0
120,1,4.196033,1.164130e-02,2.478261e-04,9.782609e-04,,,358.3
140,1,2.739012,1.358152e-02,2.891304e-04,1.141304e-03,,,417.1
160,1,3.370537,1.552174e-02,3.304348e-04,1.304348e-03,,,477.0
180,1,1.909554,1.746196e-02,3.717391e-04,1.467391e-03,,,536.7
200,1,2.085244,1.940217e-02,4.130435e-04,1.630435e-03,,,596.2
220,1,3.006973,2.134239e-02,4.543478e-04,1.793478e-03,,,655.4
240,1,1.766873,2.328261e-02,4.956522e-04,1.956522e-03,,,714.7
260,1,2.527373,2.522283e-02,5.369565e-04,2.119565e-03,,,773.5
280,1,2.222935,2.716304e-02,5.782609e-04,2.282609e-03,,,832.5
300,1,3.088051,2.910326e-02,6.195652e-04,2.445652e-03,,,891.4
320,1,1.868760,3.104348e-02,6.608696e-04,2.608696e-03,,,950.6
340,1,2.834129,3.298370e-02,7.021739e-04,2.771739e-03,,,1009.6
360,1,2.089938,3.492391e-02,7.434783e-04,2.934783e-03,,,1068.8
380,1,2.888827,3.564193e-02,7.587637e-04,2.995120e-03,,,1127.7
400,1,2.183146,3.554514e-02,7.567032e-04,2.986986e-03,,,1186.8
420,1,1.738277,3.544835e-02,7.546427e-04,2.978853e-03,,,1245.7
440,1,3.588098,3.535156e-02,7.525822e-04,2.970719e-03,,,1304.7
460,1,1.466115,3.525477e-02,7.505217e-04,2.962586e-03,,,1363.7
480,1,0.931590,3.515798e-02,7.484612e-04,2.954452e-03,,,1422.6
500,1,1.180798,3.506119e-02,7.464007e-04,2.946318e-03,,,1481.4
520,1,2.532897,3.496440e-02,7.443402e-04,2.938185e-03,,,1540.3
540,1,1.869412,3.486761e-02,7.422797e-04,2.930051e-03,,,1599.3
560,1,2.612686,3.477082e-02,7.402192e-04,2.921918e-03,,,1658.0
580,1,1.164088,3.467403e-02,7.381587e-04,2.913784e-03,,,1716.9
600,1,1.912353,3.457724e-02,7.360982e-04,2.905651e-03,,,1775.7
620,1,2.427623,3.448045e-02,7.340377e-04,2.897517e-03,,,1834.5
640,1,1.130992,3.438366e-02,7.319772e-04,2.889384e-03,,,1892.8
660,1,1.879537,3.428687e-02,7.299167e-04,2.881250e-03,,,1951.7
680,1,1.990338,3.419009e-02,7.278562e-04,2.873116e-03,,,2010.5
700,1,1.410530,3.409330e-02,7.257957e-04,2.864983e-03,,,2069.4
720,1,1.651534,3.399651e-02,7.237352e-04,2.856849e-03,,,2128.1
740,1,1.538990,3.389972e-02,7.216747e-04,2.848716e-03,,,2187.1
760,1,1.709981,3.380293e-02,7.196142e-04,2.840582e-03,,,2245.7
780,1,1.020304,3.370614e-02,7.175537e-04,2.832449e-03,,,2304.6
800,1,1.506722,3.360935e-02,7.154932e-04,2.824315e-03,,,2363.4
820,1,2.307462,3.351256e-02,7.134326e-04,2.816182e-03,,,2422.3
840,1,1.009996,3.341577e-02,7.113721e-04,2.808048e-03,,,2481.1
860,1,1.053504,3.331898e-02,7.093116e-04,2.799914e-03,,,2540.1
880,1,2.072229,3.322219e-02,7.072511e-04,2.791781e-03,,,2598.6
900,1,1.521338,3.312540e-02,7.051906e-04,2.783647e-03,,,2657.5
920,1,1.888822,3.302861e-02,7.031301e-04,2.775514e-03,,,2715.9
940,1,1.586763,3.293182e-02,7.010696e-04,2.767380e-03,,,2774.5
960,1,2.004502,3.283503e-02,6.990091e-04,2.759247e-03,,,2833.3
980,1,1.243932,3.273824e-02,6.969486e-04,2.751113e-03,,,2891.9
1000,1,2.089682,3.264146e-02,6.948881e-04,2.742979e-03,,,2950.2
1020,1,1.572015,3.254467e-02,6.928276e-04,2.734846e-03,,,3008.6
1040,1,0.658473,3.244788e-02,6.907671e-04,2.726712e-03,,,3067.3
1060,1,1.909910,3.235109e-02,6.887066e-04,2.718579e-03,,,3126.0
1080,1,1.801338,3.225430e-02,6.866461e-04,2.710445e-03,,,3185.0
1100,1,1.366764,3.215751e-02,6.845856e-04,2.702312e-03,,,3243.4
1120,1,1.337193,3.206072e-02,6.825251e-04,2.694178e-03,,,3302.2
1140,1,0.765581,3.196393e-02,6.804646e-04,2.686045e-03,,,3360.7
1160,1,1.971144,3.186714e-02,6.784041e-04,2.677911e-03,,,3419.6
1180,1,1.585576,3.177035e-02,6.763436e-04,2.669777e-03,,,3478.0
1200,1,0.904704,3.167356e-02,6.742831e-04,2.661644e-03,,,3536.7
1220,1,1.183673,3.157677e-02,6.722226e-04,2.653510e-03,,,3595.3
1240,1,2.172393,3.147998e-02,6.701621e-04,2.645377e-03,,,3653.9
1260,1,1.769063,3.138319e-02,6.681016e-04,2.637243e-03,,,3712.3
1280,1,0.533019,3.128640e-02,6.660411e-04,2.629110e-03,,,3771.0
1300,1,2.328536,3.118961e-02,6.639806e-04,2.620976e-03,,,3830.2
1320,1,0.644981,3.109283e-02,6.619201e-04,2.612842e-03,,,3889.1
1340,1,0.916471,3.099604e-02,6.598596e-04,2.604709e-03,,,3947.3
1360,1,1.397770,3.089925e-02,6.577991e-04,2.596575e-03,,,4006.3
1380,1,1.119341,3.080246e-02,6.557386e-04,2.588442e-03,,,4064.8
1400,1,1.493698,3.070567e-02,6.536781e-04,2.580308e-03,,,4123.3
1420,1,1.594065,3.060888e-02,6.516176e-04,2.572175e-03,,,4181.6
1440,1,1.582147,3.051209e-02,6.495571e-04,2.564041e-03,,,4240.0
1460,1,1.194759,3.041530e-02,6.474966e-04,2.555908e-03,,,4298.8
1480,1,2.050021,3.031851e-02,6.454361e-04,2.547774e-03,,,4357.5
1500,1,0.971118,3.022172e-02,6.433756e-04,2.539640e-03,,,4415.9
1520,1,1.941570,3.012493e-02,6.413151e-04,2.531507e-03,,,4474.2
1540,1,1.710166,3.002814e-02,6.392546e-04,2.523373e-03,,,4533.0
1560,1,0.850975,2.993135e-02,6.371941e-04,2.515240e-03,,,4591.3
1580,1,2.112328,2.983456e-02,6.351336e-04,2.507106e-03,,,4649.8
1600,1,3.116674,2.973777e-02,6.330731e-04,2.498973e-03,,,4708.0
1620,1,0.898498,2.964098e-02,6.310126e-04,2.490839e-03,,,4766.4
1640,1,1.612611,2.954420e-02,6.289521e-04,2.482705e-03,,,4824.6
1660,1,1.813004,2.944741e-02,6.268916e-04,2.474572e-03,,,4883.2
1680,1,1.631528,2.935062e-02,6.248311e-04,2.466438e-03,,,4941.9
1700,1,1.131045,2.925383e-02,6.227705e-04,2.458305e-03,,,5000.6
1720,1,1.304886,2.915704e-02,6.207100e-04,2.450171e-03,,,5058.9
1740,1,1.047906,2.906025e-02,6.186495e-04,2.442038e-03,,,5117.4
1760,1,1.241360,2.896346e-02,6.165890e-04,2.433904e-03,,,5175.8
1780,1,1.448139,2.886667e-02,6.145285e-04,2.425771e-03,,,5234.3
1800,1,0.848991,2.876988e-02,6.124680e-04,2.417637e-03,,,5292.6
1820,1,1.871137,2.867309e-02,6.104075e-04,2.409503e-03,,,5351.2
1840,1,0.801705,2.857630e-02,6.083470e-04,2.401370e-03,,,5409.2
1844,1,1.914339,2.855694e-02,6.079349e-04,2.399743e-03,79.98,70.70,5619.0
1860,2,1.342969,2.847951e-02,6.062865e-04,2.393236e-03,,,5665.8
1880,2,1.721591,2.838272e-02,6.042260e-04,2.385103e-03,,,5724.3
1900,2,0.711311,2.828593e-02,6.021655e-04,2.376969e-03,,,5782.6
1920,2,1.112879,2.818914e-02,6.001050e-04,2.368836e-03,,,5841.1
1940,2,1.033591,2.809235e-02,5.980445e-04,2.360702e-03,,,5900.1
