layer_idx,sublayer,extra_bit,from_bits,to_bits,marginal_gain
0,FFN1,1,4,5,0.07570761524884939
0,FFN1,2,5,6,0.13343281959274367
0,FFN1,3,6,7,0.16223672404527856
0,FFN1,4,7,8,0.14944253852784717
0,FFN1,5,8,9,0.12065911020510833
0,FFN1,6,9,10,0.09232445658646105
0,FFN1,7,10,11,0.06868789934845809
0,FFN1,8,11,12,0.05067576786326608
0,FFN2,1,4,5,0.11080368477091013
0,FFN2,2,5,6,0.05036938828491756
0,FFN2,3,6,7,0.023980902129681604
0,FFN2,4,7,8,0.01180877384128427
0,FFN2,5,8,9,0.005865213036470097
0,FFN2,6,9,10,0.0028889912790703138
0,FFN2,7,10,11,0.0014474608943077342
0,FFN2,8,11,12,0.0007064806091638728
0,K,1,4,5,0.23241432592272754
0,K,2,5,6,0.16327597435563806
0,K,3,6,7,0.09814697486348452
0,K,4,7,8,0.05444707477465271
0,K,5,8,9,0.028917921597894747
0,K,6,9,10,0.01479361664656608
0,K,7,10,11,0.007486918570084527
0,K,8,11,12,0.0037979815269636656
0,O,1,4,5,0.11187624113234808
0,O,2,5,6,0.050696814102514504
0,O,3,6,7,0.024080190438175556
0,O,4,7,8,0.011857033519659797
0,O,5,8,9,0.005913959965148332
0,O,6,9,10,0.0028708197046056843
0,O,7,10,11,0.0014452041061774575
0,O,8,11,12,0.0007309374440768756
0,Q,1,4,5,0.24942473210219834
0,Q,2,5,6,0.14396136706220455
0,Q,3,6,7,0.07463816212995227
0,Q,4,7,8,0.0373561778156877
0,Q,5,8,9,0.018716017963580817
0,Q,6,9,10,0.009243120664423943
0,Q,7,10,11,0.004615893843537112
0,Q,8,11,12,0.002314816959705566
0,V,1,4,5,0.23003190781098787
0,V,2,5,6,0.14650721819704154
0,V,3,6,7,0.08326006474262841
0,V,4,7,8,0.04473217932760076
0,V,5,8,9,0.023262275784244817
0,V,6,9,10,0.011964809338255378
0,V,7,10,11,0.005976455904111081
0,V,8,11,12,0.003037616595425944
1,FFN1,1,4,5,0.08693302319345841
1,FFN1,2,5,6,0.14772026281325312
1,FFN1,3,6,7,0.1688936302499614
1,FFN1,4,7,8,0.14993906006036006
