layer_name,layer_idx,sublayer,QZR_mean,CCR,theta
bert.encoder.layer.0.attention.self.key,0,K,0.6062814742326736,0.0011702473958333333,0.0003461597370915115
bert.encoder.layer.0.attention.output.dense,0,O,0.12052198473364115,0.0115625,0.0003461597370915115
bert.encoder.layer.0.attention.self.query,0,Q,0.08982561193406582,0.0014485677083333334,0.0003461597370915115
bert.encoder.layer.0.attention.self.value,0,V,0.5973571220040321,0.00736328125,0.0003461597370915115
bert.encoder.layer.1.attention.self.key,1,K,0.6217865923047066,0.0037565104166666667,0.0003461597370915115
bert.encoder.layer.1.attention.output.dense,1,O,0.12112297359853982,0.0128955078125,0.0003461597370915115
bert.encoder.layer.1.attention.self.query,1,Q,0.1286368362978101,0.004117838541666667,0.0003461597370915115
bert.encoder.layer.1.attention.self.value,1,V,0.6132876406610012,0.008611653645833333,0.0003461597370915115
bert.encoder.layer.2.attention.self.key,2,K,0.6376576435565948,0.0026253255208333335,0.0003461597370915115
bert.encoder.layer.2.attention.output.dense,2,O,0.12457902364432812,0.012669270833333333,0.0003461597370915115
bert.encoder.layer.2.attention.self.query,2,Q,0.20559202544391156,0.0027783203125,0.0003461597370915115
bert.encoder.layer.2.attention.self.value,2,V,0.6198442690074444,0.0112939453125,0.0003461597370915115
bert.encoder.layer.3.attention.self.key,3,K,0.6218705794215202,0.002864583333333333,0.0003461597370915115
bert.encoder.layer.3.attention.output.dense,3,O,0.13901612550020218,0.026725260416666667,0.0003461597370915115
bert.encoder.layer.3.attention.self.query,3,Q,0.12550744730979205,0.0025813802083333335,0.0003461597370915115
bert.encoder.layer.3.attention.self.value,3,V,0.6111740770936013,0.014549153645833333,0.0003461597370915115
bert.encoder.layer.4.attention.self.key,4,K,0.6422922743856907,0.004840494791666667,0.0003461597370915115
bert.encoder.layer.4.attention.output.dense,4,O,0.13100305311381816,0.021904296875,0.0003461597370915115
bert.encoder.layer.4.attention.self.query,4,Q,0.10988997653126717,0.0032861328125,0.0003461597370915115
bert.encoder.layer.4.attention.self.value,4,V,0.614804402589798,0.009567057291666667,0.0003461597370915115
bert.encoder.layer.5.attention.self.key,5,K,0.6447505795955658,0.0047395833333333335,0.0003461597370915115
bert.encoder.layer.5.attention.output.dense,5,O,0.12936868213117123,0.022613932291666666,0.0003461597370915115
bert.encoder.layer.5.attention.self.query,5,Q,0.14694063775241376,0.0036832682291666665,0.0003461597370915115
bert.encoder.layer.5.attention.self.value,5,V,0.6186081632971764,0.011959635416666666,0.0003461597370915115
bert.encoder.layer.6.attention.self.key,6,K,0.6493524011969566,0.0078076171875,0.0003461597370915115
bert.encoder.layer.6.attention.output.dense,6,O,0.12395827911794186,0.018206380208333334,0.0003461597370915115
bert.encoder.layer.6.attention.self.query,6,Q,0.14229453183710575,0.004202473958333334,0.0003461597370915115
bert.encoder.layer.6.attention.self.value,6,V,0.615682121515274,0.012843424479166667,0.0003461597370915115
bert.encoder.layer.7.attention.self.key,7,K,0.6770434853434563,0.008362630208333333,0.0003461597370915115
bert.encoder.layer.7.attention.output.dense,7,O,0.12145550906658173,0.014874674479166667,0.0003461597370915115
bert.encoder.layer.7.attention.self.query,7,Q,0.1656453101336956,0.00375,0.0003461597370915115
bert.encoder.layer.7.attention.self.value,7,V,0.6366485743224621,0.0156591796875,0.0003461597370915115
bert.encoder.layer.8.attention.self.key,8,K,0.6574998140335083,0.0093701171875,0.0003461597370915115
bert.encoder.layer.8.attention.output.dense,8,O,0.12062084697186946,0.013958333333333333,0.0003461597370915115
bert.encoder.layer.8.attention.self.query,8,Q,0.14747139185667038,0.005146484375,0.0003461597370915115
bert.encoder.layer.8.attention.self.value,8,V,0.6140997935831547,0.012099609375,0.0003461597370915115
bert.encoder.layer.9.attention.self.key,9,K,0.6627588841319084,0.00794921875,0.0003461597370915115
bert.encoder.layer.9.attention.output.dense,9,O,0.12011871594935655,0.007001953125,0.0003461597370915115
bert.encoder.layer.9.attention.self.query,9,Q,0.09751731127500535,0.00455078125,0.0003461597370915115
bert.encoder.layer.9.attention.self.value,9,V,0.6238460798561573,0.01380859375,0.0003461597370915115
bert.encoder.layer.10.attention.self.key,10,K,0.6639811153709888,0.004327799479166667,0.0003461597370915115
bert.encoder.layer.10.attention.output.dense,10,O,0.12228378362953662,0.005968424479166666,0.0003461597370915115
bert.encoder.layer.10.attention.self.query,10,Q,0.13579849004745484,0.004479166666666667,0.0003461597370915115
bert.encoder.layer.10.attention.self.value,10,V,0.6313047370314598,0.015999348958333333,0.0003461597370915115
bert.encoder.layer.11.attention.self.key,11,K,0.6613298489153385,0.004505208333333333,0.0003461597370915115
bert.encoder.layer.11.attention.output.dense,11,O,0.121763128452003,0.004650065104166667,0.0003461597370915115
bert.encoder.layer.11.attention.self.query,11,Q,0.1479423475265503,0.004361979166666667,0.0003461597370915115
bert.encoder.layer.11.attention.self.value,11,V,0.624233420342207,0.011246744791666667,0.0003461597370915115
